NAME,DESCRIPTION,STARS,OFFICIAL,AUTOMATED,GITHUB
consul," Consul is a datacenter runtime that provides service discovery, configuration, and orchestration. ",1160,1,0,https://github.com/consul
thrift, Thrift is a framework for generating client and services from an IDL. ,108,1,0,https://github.com/thrift
mkroli/servicemix, ,17,0,0,not found
microsoft/service-fabric-onebox, This image is DEPRECATED. Please use the new location below. ,13,0,0,not found
servicecomb/service-center, Service center is service regsitry which provides service discovery ,6,0,0,https://github.com/servicecomb/service-center
microsoft/service-fabric-reverse-proxy, Official image for running Reverse Proxy on Service Fabric. ,5,0,0,https://github.com/microsoft/service-fabric-reverse-proxy
istio/servicegraph, ,4,0,0,not found
reportportal/service-ui, EPAM Report portal. UI Service ,4,0,1,https://github.com/reportportal/service-ui
servicecatalog/oscm-deployer, Open Service Catalog Manager brings your software to the cloud. ,4,0,0,not found
reportportal/service-authorization, EPAM Report portal. SSO Authorization Service ,4,0,1,https://github.com/reportportal/service-authorization
zenoss/serviced-isvcs, Internal services for Control Center ,3,0,0,not found
reportportal/service-jira, EPAM Report portal. Jira Integration ,3,0,1,https://github.com/reportportal/service-jira
reportportal/service-api, EPAM Report portal. Main API Service ,3,0,1,https://github.com/reportportal/service-api
servicebot/servicebot, Official ServiceBot docker image ,3,0,0,not found
microsoft/service-fabric-reliableservices-windowsservercore, Windows Server Core OS image for running Service Fabric reliable services inside Windows containers ,2,0,0,not found
dock0/service, An Arch container with s6 installed for running services  [OK]    ,2,0,1,https://github.com/dock0/service
lacquerlabs/service-wordpress, An alpine 3.7 based nginx / php7fpm server container preconfigured with wordpress:4.8.  [OK]    ,1,0,0,https://github.com/lacquerlabs/service-wordpress
microsoft/service-fabric-build-ubuntu, Service Fabric build environment for Ubuntu 6.04     ,1,0,0,not found
reportportal/service-index, service-index ,1,0,1,https://github.com/reportportal/service-index
signiant/service-generator, Signiant service generation web tool ,1,0,1,https://github.com/signiant/service-generator
reportportal/service-analyzer, # service-analyzer Auto-analysis functionality for ReportPortal ,1,0,1,https://github.com/reportportal/service-analyzer
mozillareleng/services, A development environment for the services in https://github.com/mozilla-releng/services. ,1,0,0,not found
hmcts/service-auth-provider-app, service-auth-provider-app ,1,0,1,https://github.com/hmcts/service-auth-provider-app
swisstopo/service-bdms-nginx, ,1,0,0,not found
swisstopo/service-bdms, ,1,0,0,not found
lacquerlabs/service-php7, An alpine 3.7 based nginx / php7fpm server container  [OK]    ,1,0,1,https://github.com/lacquerlabs/service-php7
moussavdb/service-activemq, ,0,0,0,not found
csmith/service-letsencrypt, Automatic Let's Encrypt certificate obtainer ,0,0,1,not found
servicefabrikjenkins/service-fabrik-broker, ,0,0,0,not found
servicesapi/git-all-branches, ,0,0,0,not found
convox/service, Convox service creator ,0,0,0,not found
phelpdh/service-broker-cassandra, OSBAPI Service Broker for Cassandra keyspace instance provisioning and binding via Service Catalog. ,0,0,0,https://github.com/phelpdh/service-broker-cassandra
govsvc/service-operator, ,0,0,0,not found
servicesapi/capi-release-builder, ,0,0,0,not found
swisstopo/service-referer-apache, WMTS accounting apache frontend ,0,0,0,not found
aemilcar/service1, example service 1 for ALB use     ,0,0,0,not found
