,Url,Description,Topics,Stars
0,https://github.com/udaya2899/go-gin-starter.git,"Opinionated Go starter with gin for REST API, logrus for logging, viper for config with added graceful shutdown",,50
1,https://github.com/649/Memfixed-Mitigation-Tool.git,DDoS mitigation tool for sending flush or shutdown commands to vulnerable Memcached servers obtained using Shodan API,,44
2,https://github.com/msx752/FTN-Power.git,[project-shutdown] Official source code of the FTNPower discordbot with private Fortnite STW API,"discord-net,fortnite-stw-api,fortnite-bot,discord-bot,fortnite-api,ftn,open-source,ftn-power,fortnite,save-the-world",15
3,https://github.com/sahilchaddha/unix-remotecontrol.git,"Remote Control Over HTTP API - Unix Power Commands - Shutdown, Restart etc For Homebridge Apple HomeKit Appliance Protocol (IOT)","homebridge,iot,iot-platform,homekit,nodejs,express",9
4,https://github.com/jae-jae/solusvm-client.git,"SolusVM PHP Api,PHP control vps\u3000reboot, shutdown, boot, status。－通过PHP来管理和控制VPS",,5
5,https://github.com/misha1109/Cook-Now-2.git,https://misha1109.github.io/Cook-Now-2/.   (API server shutdown indefinitely) ,,4
6,https://github.com/dialoganalytics/dialog-node.git,A node.js client for the Dialog API (shutdown),"bot,dialog,chatbot,facebook,kik,twilio,alexa,botkit,conversational-ui",3
7,https://github.com/tarun/tidy-exit.git,NodeJS Tidy Exit - api hooks to detect shutdown and perform cleanup actions for a graceful tidy application exit.,,3
8,https://github.com/amelotti/regnagios.git,API to register and remove nagios client from monitoring in startup and shutdown,,2
9,https://github.com/bradschm/verify-apps.git,"This tool can verify that apps are installed on iPads using the JSS API, send update inventory commands, and shutdown iOS devices. ",,2
10,https://github.com/willwen/ShutdownOnLan.git,"Windows service to shutdown computer , exposed through REST API",,1
11,https://github.com/dialoganalytics/dialog-ruby.git,A ruby client for the Dialog API (shutdown),"bot,chatbot,dialog,conversational-ui,alexa,facebook,telegram,kik,twilio",1
12,https://github.com/nebriv/DigitalOceanDropletController.git,"{""Uses Digital Ocean's RESTful API to spin up and shutdown droplets.""}",,1
13,https://github.com/FxckingCoder/WebmanAPI.git,"a simple webman class which inlcudes some of the same things CCAPI provides except faster, this does not work with rtm modding this only provides things like buzzers, led options, idps/psid changer, custom notify, refresh/restart/shutdown ps3, eject/insert game, unmount game, check for external save data and game launching! check back here for updates",,1
14,https://github.com/kukuhpro/farming-instagram-casperjs.git,"When instagram close their features api to get public content using specific hastags, this repo is to crawling to replace those api that has been shutdown for this features.",,1
