,Url,Description,Topics,Stars
0,https://github.com/mui-org/material-ui.git,"Material-UI is a simple and customizable component library to build faster, beautiful, and more accessible React applications. Follow your own design system, or start with Material Design.","react-components,react,javascript,material-design,design-systems,typescript,hacktoberfest",68112
1,https://github.com/atlassian/react-beautiful-dnd.git,Beautiful and accessible drag and drop for lists with React,"react,drag-and-drop,drag,dnd,sortable,reordering",23574
2,https://github.com/eriklindernoren/ML-From-Scratch.git,Machine Learning From Scratch. Bare bones NumPy implementations of machine learning models and algorithms with a focus on accessibility. Aims to cover everything from linear regression to deep learning.,"machine-learning,deep-learning,deep-reinforcement-learning,machine-learning-from-scratch,data-science,data-mining,genetic-algorithm",19783
3,https://github.com/chakra-ui/chakra-ui.git,"⚡️ Simple, Modular & Accessible UI Components for your React Applications","chakra-ui,react,uikit,react-components,accessible,a11y,wai-aria,reactjs,dark-mode,ui-components,ui-library",17640
4,https://github.com/bootstrap-vue/bootstrap-vue.git,BootstrapVue provides one of the most comprehensive implementations of Bootstrap v4 for Vue.js. With extensive and automated WAI-ARIA accessibility markup.,"bootstrap,vue,nuxt,nuxtjs,wai-aria,bootstrapvue,components,component-library,accessibility,icons,a11y,accessible",13117
5,https://github.com/sweetalert2/sweetalert2.git,"{""A beautiful, responsive, highly customizable and accessible (WAI-ARIA) replacement for JavaScript's popup boxes. Zero dependencies.""}","sweetalert,alert,popup,prompt,dialog,toast,notifications,wai-aria,accessible,confirm,confirmation-dialog,sweetalert2,react,angular,vue",12891
6,https://github.com/tensorflow/tensor2tensor.git,Library of deep learning models and datasets designed to make deep learning more accessible and accelerate ML research.,"machine-learning,machine-translation,deep-learning,reinforcement-learning,tpu",11236
7,https://github.com/clauderic/react-sortable-hoc.git,"A set of higher-order components to turn any list into an animated, accessible and touch-friendly sortable list✌️","react,sortable,drag-and-drop,sorting,javascript,front-end,dragging,grid,higher-order-component",9302
8,https://github.com/tailwindlabs/headlessui.git,"Completely unstyled, fully accessible UI components, designed to integrate beautifully with Tailwind CSS.",,8961
9,https://github.com/mathjax/MathJax.git,Beautiful and accessible math in all browsers,"javascript,mathematics,latex,asciimath-notation,mathml,mathjax,typography,svg,html,css,accessibility",8181
10,https://github.com/grommet/grommet.git,"a react-based framework that provides accessibility, modularity, responsiveness, and theming in a tidy package","grommet,javascript,ux-framework,babel,react,a11y,design-system,hacktoberfest",7223
11,https://github.com/reactjs/react-modal.git,Accessible modal dialog component for React,"react,javascript,modal",6265
12,https://github.com/uswds/uswds.git,"The U.S. Web Design System helps the federal government build fast, accessible, mobile-friendly websites.","design-systems,design,government,uswds",5771
13,https://github.com/formtastic/formtastic.git,A Rails form builder plugin with semantically rich and accessible markup.,,5121
14,https://github.com/reakit/reakit.git,Toolkit for building accessible rich web apps with React,"react,components,reakit,a11y,accessibility,wai-aria,accessible,reactjs,hacktoberfest",4788
15,https://github.com/Khan/tota11y.git,an accessibility (a11y) visualization toolkit,,4742
16,https://github.com/adobe/react-spectrum.git,"A collection of libraries and tools that help you build adaptive, accessible, and robust user experiences.","react,accessibility,design-systems,react-components,wai-aria,ui-components",4575
17,https://github.com/reach/reach-ui.git,The Accessible Foundation for React Apps and Design Systems,,4269
18,https://github.com/oppia/oppia.git,"A free, online learning platform to make quality education accessible for all.","education,interactive,learning,python,appengine,tutor,web,javascript,nonprofit,angularjs,angular,tutorials,teaching",4168
19,https://github.com/dequelabs/axe-core.git,Accessibility engine for automated Web UI testing,"hacktoberfest,axe,a11y,accessibility",3815
20,https://github.com/a11yproject/a11yproject.com.git,The A11Y Project is a community-driven effort to make digital accessibility easier.,"accessibility,a11y,user-experience,inclusive-design",3346
21,https://github.com/mikolajdobrucki/ikonate.git,Fully customisable & accessible vector icons,"icons,icon-set,icon-pack,svg,sprites,spritesheet,icon-system,icon-sprite-generator",3320
22,https://github.com/symfony/dotenv.git,"Symfony Dotenv parses .env files to make environment variables stored in them accessible via getenv(), $_ENV, or $_SERVER.","php,symfony,component,symfony-component,dotenv",3057
23,https://github.com/pa11y/pa11y.git,Pa11y is your automated accessibility testing pal,"a11y,accessibility,testing,automated-testing,javascript,html-codesniffer,accessibility-testing",2924
24,https://github.com/ghosh/Micromodal.git,⭕   Tiny javascript library for creating accessible modal dialogs,"javascript,modal,modal-dialogs,accessibility",2782
