,Url,Description,Topics,Stars
0,https://github.com/actix/actix.git,Actor framework for Rust.,"rust,actor,actor-model,actix,concurrency,hacktoberfest",6278
1,https://github.com/ponylang/ponyc.git,":horse: Pony is an open-source, actor-model, capabilities-secure, high performance programming language","pony-language,pony-source,ponyc,programming-language,actor-model,ponylang",4645
2,https://github.com/puniverse/quasar.git,"Fibers, Channels and Actors for the JVM","java,jvm,fibers,actors,concurrency",4248
3,https://github.com/akkadotnet/akka.net.git,Port of Akka actors for .NET,"akka,actor-model,dotnet,concurrency,cluster,actor,reactive,distributed-programming",3846
4,https://github.com/celluloid/celluloid.git,Actor-based concurrent object framework for Ruby,,3823
5,https://github.com/alibaba/coobjc.git,"coobjc provides coroutine support for Objective-C and Swift. We added await method、generator and actor model like C#、Javascript and Kotlin. For convenience, we added coroutine categories for some Foundation and UIKit API in cokit framework like NSFileManager, JSON, NSData, UIImage etc. We also add tuple support in coobjc.","coroutine,coroutine-library,await,await-promises,actor-model,actor,generator,tuple,objective-c,c,arm64,asm,swift,objc,ios",3791
6,https://github.com/AsynkronIT/protoactor-go.git,"Proto Actor - Ultra fast distributed actors for Go, C# and Java/Kotlin","grpc,actor-model,actors,cross-platform,protobuf,akka,clustering,distributed-computing",3623
7,https://github.com/actorapp/actor-platform.git,Actor Messaging platform,,3313
8,https://github.com/ketoo/NoahGameFrame.git,"A fast, scalable, distributed game server engine/framework for C++, include the actor library, network library, can be used as a  real time multiplayer game engine ( MMO RPG/MOBA ), which support C#/Lua script/ Unity3d, Cocos2dx and plan to support Unreal.","server-architecture,unity3d,architecture,gameserver,game,unity,mmo,game-server,gamedev,game-development,game-engine,mmorpg",2928
9,https://github.com/spray/spray.git,"A suite of scala libraries for building and consuming RESTful web services on top of Akka: lightweight, asynchronous, non-blocking, actor-based, testable",,2542
10,https://github.com/actor-framework/actor-framework.git,An Open Source Implementation of the Actor Model in C++,"actor-model,caf,pattern-matching,actors,async",2498
11,https://github.com/higgsfield/RL-Adventure-2.git,PyTorch0.4 implementation of: actor critic / proximal policy optimization / acer / ddpg / twin dueling ddpg / soft actor critic / generative adversarial imitation learning / hindsight experience replay,,2446
12,https://github.com/ikostrikov/pytorch-a2c-ppo-acktr-gail.git,"PyTorch implementation of Advantage Actor Critic (A2C), Proximal Policy Optimization (PPO), Scalable trust-region method for deep reinforcement learning using Kronecker-factored approximation (ACKTR) and Generative Adversarial Imitation Learning (GAIL).","pytorch,reinforcement-learning,deep-learning,deep-reinforcement-learning,actor-critic,advantage-actor-critic,a2c,ppo,proximal-policy-optimization,acktr,second-order,hessian,natural-gradients,atari,mujoco,roboschool,continuous-control,kfac,kronecker-factored-approximation,ale",2381
13,https://github.com/justquick/django-activity-stream.git,"{""Generate generic activity streams from the actions on your site. Users can follow any actors' activities for personalized streams.""}",,1913
14,https://github.com/orbit/orbit.git,Orbit - Virtual actor framework for building distributed systems,"actors,actor-model,virtual-actors,java,orbit,distributed-systems,distributed-actors,jvm,kotlin,reactive,grains",1550
15,https://github.com/GoogleChromeLabs/clooney.git,Clooney is an actor library for the web. Use workers without thinking about workers.,,1373
16,https://github.com/AsynkronIT/protoactor-dotnet.git,"Proto Actor - Ultra fast distributed actors for Go, C# and Java/Kotlin","actors,clustering,proto-actor,akka,distributed-systems,distributed-computing",1155
17,https://github.com/openai/multiagent-particle-envs.git,"Code for a multi-agent particle environment used in the paper ""Multi-Agent Actor-Critic for Mixed Cooperative-Competitive Environments""",paper,1152
18,https://github.com/elixir-lang/gen_stage.git,Producer and consumer actors with back-pressure for Elixir,,1114
19,https://github.com/celluloid/celluloid-io.git,UNMAINTAINED: See celluloid/celluloid#779 - Evented sockets for Celluloid actors,,894
20,https://github.com/ikostrikov/pytorch-a3c.git,"PyTorch implementation of Asynchronous Advantage Actor Critic (A3C) from ""Asynchronous Methods for Deep Reinforcement Learning"".","python,reinforcement-learning,pytorch,deep-learning,actor-critic,a3c,pytorch-a3c,asynchronous-methods,deep-reinforcement-learning,asynch,asynchronous-advantage-actor-critic",893
21,https://github.com/puniverse/pulsar.git,"Fibers, Channels and Actors for Clojure","clojure,fibers,actors,jvm,concurrency",885
22,https://github.com/nactio/nact.git,nact ⇒ node.js + actors ⇒ your services have never been so µ,"actor-model,nodejs,actorsystem,actors,distributed-systems,akka,microservices,nact",867
23,https://github.com/deepmind/scalable_agent.git,A TensorFlow implementation of Scalable Distributed Deep-RL with Importance Weighted Actor-Learner Architectures.,,852
24,https://github.com/openai/maddpg.git,"Code for the MADDPG algorithm from the paper ""Multi-Agent Actor-Critic for Mixed Cooperative-Competitive Environments""",paper,803
25,https://github.com/uvipen/Super-mario-bros-A3C-pytorch.git,Asynchronous Advantage Actor-Critic (A3C) algorithm for Super Mario Bros,"reinforcement-learning,a3c,pytorch,gym,python,deep-learning,super-mario-bros,mario,ai",794
26,https://github.com/riker-rs/riker.git,"Easily build efficient, highly concurrent and resilient applications. An Actor Framework for Rust.","actors,actor-model,async,resilient,event-sourcing,cqrs",753
27,https://github.com/rail-berkeley/softlearning.git,Softlearning is a reinforcement learning framework for training maximum entropy policies in continuous domains. Includes the official implementation of the Soft Actor-Critic algorithm.,"reinforcement-learning,soft-actor-critic,deep-learning,deep-reinforcement-learning,deep-neural-networks,machine-learning",732
28,https://github.com/celluloid/dcell.git,UNMAINTAINED: See celluloid/celluloid#779 - Actor-based distributed objects in Ruby based on Celluloid and 0MQ,,609
29,https://github.com/puniverse/comsat.git,Fibers and actors for web development,,590
30,https://github.com/haarnoja/sac.git,Soft Actor-Critic,,570
