,Url,Description,Topics,Stars
0,https://github.com/egulias/EmailValidator.git,PHP Email address validator,"emailvalidator,email,validator,php",10040
1,https://github.com/faker-ruby/faker.git,"A library for generating fake data such as names, addresses, and phone numbers.","fake,ruby",9281
2,https://github.com/lionsoul2014/ip2region.git,"Ip2region is a offline IP location library with accuracy rate of 99.9% and 0.0x millseconds searching performance. DB file is ONLY a few megabytes with all IP address stored. binding for Java,PHP,C,Python,Nodejs,Golang,C#,lua. Binary,B-tree,Memory searching algorithm","java,php,clang,python,nodejs,golang,ip-address,ip-lookup,ip-location,c,lua,rust,lua-bindings,php-extension,lua-extension,nginx-extensions",9220
3,https://github.com/netbox-community/netbox.git,IP address management (IPAM) and data center infrastructure management (DCIM) tool.,"dcim,ipam,netbox",7951
4,https://github.com/mailcheck/mailcheck.git,Reduce misspelled email addresses in your web apps.,,7790
5,https://github.com/pennersr/django-allauth.git,"Integrated set of Django applications addressing authentication, registration, account management as well as 3rd party (social) account authentication.",,6416
6,https://github.com/algolia/places.git,:globe_with_meridians: Turn any <input> into an address autocomplete,"algolia,places,geolocation,geo,autocomplete,geocoder",5235
7,https://github.com/cjdelisle/cjdns.git,An encrypted IPv6 network using public-key cryptography for address allocation and a distributed hash table for routing.,"cjdns,mesh,mesh-networks,fcp,networking,routing,dht,cryptography,hyperboria",4597
8,https://github.com/xhzengAIB/MessageDisplayKit.git,"An IM App like WeChat App has to send text, pictures, audio, video, location messaging, managing local address book, share a circle of friends, drifting friends, shake a fun and more interesting features.",,4301
9,https://github.com/natario1/CameraView.git,"📸 A well documented, high-level Android interface that makes capturing pictures and videos easy, addressing all of the common issues and needs. Real-time filters, gestures, watermarks, frame processing, RAW, output of any size.","android,camera,camera-api,high-level,android-library,opengl,camera-control,capture-video,picture,camera-preview,cameraview,camera2-api,camera2,watermarks,frame-processing,real-time-filter,filters,realtime-filter,raw,raw-image",3805
10,https://github.com/google/open-location-code.git,"Open Location Code is a library to generate short codes, called ""plus codes"", that can be used as digital addresses where street addresses don\'t exist.","geo,gps,c,cplusplus,dart,golang,javascript,java,python,ruby,rust,openlocationcode,pluscode,latitude,longitude,street-address",3405
11,https://github.com/openvenues/libpostal.git,A C library for parsing/normalizing street addresses around the world. Powered by statistical NLP and open geo data.,"address-parser,machine-learning,nlp,address,international,c,deduplication,record-linkage,deduping,natural-language-processing",3104
12,https://github.com/mpolden/echoip.git,IP address lookup service,"ip-lookup,ip-location,go,geoip,ip-address-lookup",2963
13,https://github.com/feross/SpoofMAC.git,:briefcase: Change your MAC address for debugging,"spoofmac,mac-address,python,wi-fi,ipconfig,ip,ifconfig,mac,address,wifi",2610
14,https://github.com/aahung/Unshaky.git,"A software attempt to address the ""double key press"" issue on Apple\'s butterfly keyboard [not actively maintained]","butterfly-keyboard,double-press,macbook,macbook-pro,macbook12,macbookpro,keyboard,apple,keyboard-issue,debounce,macbook-air",2548
15,https://github.com/nytimes/pourover.git,"{""A library for simple, fast filtering and sorting of large collections in the browser.   There is a community-maintained fork that addresses a handful of post-NYT issues available via @hhsnopek's https://github.com/hhsnopek/pourover""}",,2422
16,https://github.com/openaddresses/openaddresses.git,A repository of global open address data.,"openaddresses,addresses,geocoding",2164
17,https://github.com/Torann/laravel-geoip.git,Determine the geographical location of website visitors based on their IP addresses.,,1765
18,https://github.com/feross/spoof.git,"Easily spoof your MAC address in macOS, Windows, & Linux!","spoof,javascript,nodejs,wifi,mac,linux,spoofmac",1476
19,https://github.com/mailgun/flanker.git,Python email address and Mime parsing library,,1459
20,https://github.com/OWASP/NodeGoat.git,The OWASP NodeGoat project provides an environment to learn how OWASP Top 10 security risks apply to web applications developed using Node.js and how to effectively address them.,"nodejs,owasp-top-ten,javascript,docker,heroku,vulnerabilities,nodegoat,owasp-zap",1422
21,https://github.com/Alterplay/APAddressBook.git,Easy access to iOS address book,,1403
22,https://github.com/nebgnahz/awesome-iot-hacks.git,A Collection of Hacks in IoT Space so that we can address them (hopefully).,"awesome,iot,security,hack",1380
23,https://github.com/sporkmonger/addressable.git,"{""Addressable is an alternative implementation to the URI implementation that is part of Ruby's standard library. It is flexible, offers heuristic parsing, and additionally provides extensive support for IRIs and URI templates.""}","uri,uri-template",1319
24,https://github.com/loopj/android-smart-image-view.git,"Android ImageView replacement which allows image loading from URLs or contact address book, with caching",,1318
25,https://github.com/gregjacobs/Autolinker.js.git,"Utility to Automatically Link URLs, Email Addresses, Phone Numbers, Twitter handles, and Hashtags in a given block of text/HTML",,1288
26,https://github.com/mothran/mongol.git,A simple python tool to pinpoint the IP addresses of machines working for the Great Firewall of China. ,,1250
27,https://github.com/gekitz/UIDevice-with-UniqueIdentifier-for-iOS-5.git,"{""Brings back the unique identifier support under iOS 5, it uses the device's mac address in combination with the bundle identifier to generate a new hashed unique identifier.""}",,1249
28,https://github.com/indutny/node-ip.git,IP address tools for node.js,,1228
29,https://github.com/roberdam/Xaddress.git,Xaddress - Give 7 billion people an instant physical address,,1186
30,https://github.com/datamade/usaddress.git,:us: a python library for parsing unstructured address strings into address components,"python-library,address,nlp,parserator,python,address-parser,natural-language-processing,machine-learning,conditional-random-fields,crf",1176
31,https://github.com/ipfspics/ipfspics-server.git,"Content-addressable, peer-to-peer method of storing and sharing images on the internet.","ipfs,decentralisation,peer-to-peer,picture-gallery",1075
32,https://github.com/inverse-inc/sogo.git,"SOGo is a very fast and scalable modern collaboration suite (groupware). It offers calendaring, address book management, and a full-featured Webmail client along with resource sharing and permission handling. It also makes use of documented standards (IMAP, CalDAV, CardDAV, etc.) and thereby provides native connectivity (without plugins) to many clients such as Microsoft Outlook, Apple iCal, the iPhone, Mozilla Lightning, and a plethora of mobile devices.","sogo,objective-c,groupware,angularjs-material",1062
33,https://github.com/btrask/stronglink.git,"A searchable, syncable, content-addressable notetaking system",,1039
34,https://github.com/zapret-info/z-i.git,Register of Internet Addresses filtered in Russian Federation,,1038
35,https://github.com/anarchicknight/react-native-communications.git,"Open a web address or call, email, text or iMessage (iOS only) someone in React Native",,1025
36,https://github.com/leereilly/swot.git,:school: Identify email addresses or domains names that belong to colleges or universities. Help automate the process of approving or rejecting academic discounts.,,997
37,https://github.com/18601949127/DiDiCallCar.git,"这是我自己做的一个类似滴滴打车的Android出行项目，主要针对滴滴等出行平台一直饱受质疑的“人车不符”问题，以及当前越发火热的或计划和出海战略，给出行项目增加了下面几个功能：  1. RFID识别验证功能：在司机证件或者车内识别硬件嵌入RFID识别芯片，乘客使用手机读取到芯片信息，并且通过网络发送到出行平台数据库进行验证（我用JNI加了一个C语言的MD5加密算法对识别到的信息进行了加密）。如果不是合规的“人”或“车”，则不能完成订单并向平台或监管单位汇报当前位置。（为了方便读者测试，可以使用手机读取任何一个加密或非加密RFID芯片，比如银行卡、公交卡等，我在代码中的验证前阶段把芯片信息都换成我自己的司机信息，确保读者测试时可以收到服务器的回复） 2. 海外版功能：点击切换当前语言。 3. 司机证件号码识别功能：读取司机证件上的证件号码，也可以用来与出行平台数据库的接单司机信息进行。I complete this whole project on my own . Including Android application programming，web server ( Apache + PHP + MySQL),  and UI.  1．Map route planing。You can use mobile phone choose pick up & destination address，application provide address name hint and draw optimized route for user , then call car for you. 2．RFID authentication function：User can use application to scan driver license or other RFID hardware, then use NDK MD5 algorithm encrypt RFID number, and send it to Web Server Database, check with driver information and authenticate ID number , if ID number coherent with driver info , send back driver information to User and continue call car order . record user location  and alert if ID not coherent. 3．Driver License Number Recognition : Application can recognize driver license digit number ,and also can send to web server for authentication & feed back result to user. ","android,rfid,nfc,mobile,uber,didi,ocr,map,car,call,java",950
38,https://github.com/thewhiteh4t/pwnedOrNot.git,OSINT Tool for Finding Passwords of Compromised Email Addresses,"haveibeenpwned,api,pwnedornot,passwords,hacked-emails,osint",926
39,https://github.com/edsu/anon.git,tweet about anonymous Wikipedia edits from particular IP address ranges,"wikipedia,twitter",919
40,https://github.com/disposable-email-domains/disposable-email-domains.git,a list of disposable and temporary email address domains,"disposable,email,domain,blocklist,filter,allowlist,pypi",903
41,https://github.com/systemd/casync.git,Content-Addressable Data Synchronization Tool,"archive,tar,file-system,http,chunking,synchronization,download,upload,delivery",902
42,https://github.com/varnish/Varnish-Cache.git,Moved. New address: https://github.com/varnishcache/varnish-cache/,,902
43,https://github.com/Makuna/NeoPixelBus.git,An Arduino NeoPixel support library supporting a large variety of individually addressable LEDs.  Please refer to the Wiki for more details.  Please use the gitter channel to ask questions as the GitHub Issues feature is used for bug tracking.  ,"neopixels,arduino,led-controlling,led-strips,rgb-led,ws2812,ws2812b,sk6812,ws2813,esp8266-arduino,esp32-arduino,wire-protocol-rgb,apa106,apa102,ws2811,dotstar,dotstar-leds,lpd8806,rgbw-leds,nano-33-ble",868
44,https://github.com/asual/jquery-address.git,jQuery Address - Deep linking for the masses,,828
45,https://github.com/henices/Tcp-DNS-proxy.git,A TCP dns proxy which can get the RIGHT ip address ,"python,dns-server,tcp-dns-proxy",797
46,https://github.com/commerceguys/addressing.git,"{""A PHP addressing library, powered by CLDR and Google's address data.""}",,780
47,https://github.com/shayne/go-wsl2-host.git,Automatically update your Windows hosts file with the WSL2 VM IP address,,778
48,https://github.com/truemail-rb/truemail.git,"🚀 Configurable framework agnostic plain Ruby 📨 email validator/verifier. Verify email via Regex, DNS, SMTP and even more. Be sure that email address valid and exists.","ruby,ruby-gem,email,email-validation,email-verification,regex-validation,email-validator,smtp-validator,truemail,dns-validation,dns-validator,smtp-validation,mx-validation,truemail-gem,truemail-family,email-verifier,truemail-rb,hacktoberfest",776
49,https://github.com/bhavsec/reconspider.git,"🔎 Most Advanced Open Source Intelligence (OSINT) Framework for scanning IP Address, Emails, Websites, Organizations.","osint,python,recon,framework,pentest,security,hacking,shodan,information-gathering,scanner,automated",746
50,https://github.com/un33k/django-ipware.git,"{""A Django application to retrieve client's IP address""}",,729
51,https://github.com/OutCast3k/coinbin.git,"Javascript Bitcoin Wallet. Supports Multisig, Stealth, HD, SegWit, Bech32, Time Locked Addresses, RBF and more!","bitcoin,wallet,javascript,mit,opensource,raw,multisig,hd,rbf,segwit,bech32,bitcoin-wallet,fee,offline,transaction,coinbin,ntimelock,sign,doublespend",717
52,https://github.com/Tarsnap/spiped.git,Spiped is a utility for creating symmetrically encrypted and authenticated pipes between socket addresses.,,700
53,https://github.com/cjheath/geoip.git,"{""The Ruby gem for querying Maxmind.com's GeoIP database, which returns the geographic location of a server given its IP address""}",,696
54,https://github.com/DigitalRuby/IPBan.git,"IPBan Monitors failed logins and bad behavior and bans ip addresses on Windows and Linux. Highly configurable, lean and powerful. Learn more at ↓","rdp,windows,ipban,block,security,remote-desktop,hack,intruder,firewall,service,csharp,configuration,free,remote,desktop,visual-studio,automation,protocol,script,linux",689
55,https://github.com/smeijer/leaflet-geosearch.git,A geocoding/address-lookup library supporting various api providers.,"javascript,geocoding,leafletjs",688
56,https://github.com/Risk3sixty-Labs/geoapi.git,Lightweight API service to get geolocation data from IP addresses.,,682
57,https://github.com/sindresorhus/public-ip.git,Get your public IP address - very fast!,,676
58,https://github.com/mozilla/fx-private-relay.git,"Keep your email safe from hackers and trackers. Make an email alias with 1 click, and keep your address to yourself.",,676
59,https://github.com/netaddr/netaddr.git,A network address manipulation library for Python,"python,subnet,ipv4,ipv6,devops,networking,netaddr,mac,iab,sysadmin",656
60,https://github.com/katmagic/Shallot.git,"{""Shallot allows you to create customized .onion addresses for your hidden service. (p.s. I didn't write Shallot!)""}",,645
61,https://github.com/Unity-Technologies/Addressables-Sample.git,Demo project using Addressables package,,642
62,https://github.com/woj-ciech/Danger-zone.git,"Correlate data between domains, IPs and email addresses, present it as a graph and store everything into Elasticsearch and JSON files.",,636
63,https://github.com/bit4woo/teemo.git,A Domain Name & Email Address Collection Tool,"domain-name,domain,teemo,information,collection,information-collection,search-engine,domain-discovery,domain-api,sub-domain-enumeration,email,email-collector,subdomain,subdomains,similar-domain,related-domain",624
