,Url,Description,Topics,Stars
0,https://github.com/project-chip/connectedhomeip.git,"Project Connected Home over IP is a new Working Group within the Zigbee Alliance. This Working Group plans to develop and promote the adoption of a new connectivity standard to increase compatibility among smart home products, with security as a fundamental design tenet.","zigbee,standard,internet-of-things,iot,chip,connectedhomeip,connected-devices,connected-home",1219
1,https://github.com/openui/open-ui.git,Maintain an open standard for UI and promote its adherence and adoption.,"ui,ux,w3c,standards,web-components",1201
2,https://github.com/Azure/coco-framework.git,"The Confidential Consortium Blockchain Framework is an open-source system that enables high-scale, confidential blockchain networks that meet all key enterprise requirements—providing a means to accelerate production enterprise adoption of blockchain technology.",,845
3,https://github.com/lexiross/fattest-cat.git,Script to find fattest cat currently up for adoption at SF SPCA,,718
4,https://github.com/animavita/animavita.git,"Trigger life-saving alerts, register animals for adoption and find the closest pet friend to adopt :dog:","react-native,react,hooks,redux,apollo,graphql,javascript,facebook-login,animavita,android,nodejs,relay,expo,pet",517
