,Url,Description,Topics,Stars
0,https://github.com/camptocamp/terraboard.git,:earth_africa: :clipboard:  A web dashboard to inspect Terraform States ,"terraform,terraform-states,web-dashboard,aws,go,devops,devops-tools,versioning,diff,infrastructure-as-code",1260
1,https://github.com/ibaaj/dijkstra-cartography.git,"Using Dijkstra\'s algorithm (""finding the shortest paths between nodes in a graph"") to draw maps :earth_africa:.","dijkstra-cartography,dijkstra,drawing,openstreetmap,paris,cartography,algorithm",1113
2,https://github.com/multiarch/qemu-user-static.git,:earth_africa: `/usr/bin/qemu-*-static`,,909
3,https://github.com/hyperoslo/Compass.git,:earth_africa: Compass helps you setup a central navigation system for your application,"ios,swift,navigation,compass,url,scheme",827
4,https://github.com/multiarch/crossbuild.git,:earth_africa: multiarch cross compiling environments,"multiarch,crossbuild,cross-compiler,build-tool,builder,build-system",648
5,https://github.com/AdevintaSpain/Leku.git,:earth_africa: Map location picker component for Android. Based on Google Maps. An alternative to Google Place Picker.,"location-picker,android,maps,google-maps,google,location,multi-language,rtl,event-tracking,library,geo-search,geolocation,geolocation-api,search-by-voice,placepicker,kotlin,kotlin-library,place-picker,android-library,hacktoberfest",621
6,https://github.com/giving-a-fuck-about-climate-change/carbondoomsday.git,A RESTish web API for climate change related data :earth_africa:,,377
7,https://github.com/ddiakopoulos/tinyply.git, :earth_africa: C++11 ply 3d mesh format importer & exporter,"ply,geometry,mesh,file-format,public-domain,computer-vision",366
8,https://github.com/pluspeople/pesaPi.git,"PesaPI is an API for mobile money systems across Africa. Using PesaPI you can save considerable time and effort when integrating mobile money systems into your application, making it easy for your application to detect when a payment has been received. Full details on http://www.pesapi.com",,325
9,https://github.com/bkhezry/ExtraMapUtils.git,:earth_africa: the simple utility for google maps in android,"android,google-maps,navigation,utility,library",293
10,https://github.com/fabiocaccamo/FCCurrentLocationGeocoder.git,"{""iOS Geocoder for forward geocode and reverse geocode user's current location using a block-based syntax. :round_pushpin::earth_africa:""}","ios,objective-c,geocoder,pod,geoip,geocode,location,ios-geocoder,current-location,geocoding,reverse-geocoding",269
11,https://github.com/cmrivers/ebola.git,Data for the 2014 ebola outbeak in West Africa,,266
12,https://github.com/daviddias/webrtc-explorer.git,:earth_africa: P2P Network Routing Overlay designed for the Web platform (browsers),,265
13,https://github.com/CSSSR/sputnik.git,":earth_africa: Здесь ты найдешь и познаешь мудрость вселенского масштаба, сынок",,262
14,https://github.com/DHI-GRAS/terracotta.git,"A light-weight, versatile XYZ tile server, built with Flask and Rasterio :earth_africa:","xyz,tileserver,python,rasterio,cloud-optimized-geotiff,serverless",232
15,https://github.com/rladies/starter-kit.git,Some useful R-Ladies files :purple_heart: :earth_africa:,"r,rstats,rladies,starter-kit,logo,templates,r-ladies,rladies-global",215
16,https://github.com/GlotPress/GlotPress-WP.git,":earth_africa: :earth_americas: :earth_asia: GlotPress is a WordPress plugin to let you set up your own collaborative, web-based software translation tool.","wordpress-plugin,l10n,i18n,gettext,wordpress,glotpress,translation",212
17,https://github.com/dsfsi/covid19za.git,Coronavirus COVID-19 (2019-nCoV) Data Repository and Dashboard for South Africa,"south-africa,covid-19,coronavirus,dataset,data-science,nicd,dashboard,covid19,covid19-data,covid-data,doi,doh,health",211
18,https://github.com/KKulma/climate-change-data.git,":earth_africa: A curated list of APIs, open data and ML/AI projects on climate change ","climate,climate-change,climate-data,climate-analysis,rstats,r,datascience,python,data-science,data,resources,hacktoberfest",210
19,https://github.com/moleculerjs/moleculer-web.git,:earth_africa: Official API Gateway service for Moleculer framework,"api-gateway,microservices,moleculer,http-server",205
20,https://github.com/jlord/hello-world.git,:wave: :earth_africa: This is an idea,,203
21,https://github.com/PHP-Science/TextRank.git,:cyclone: :zap: :earth_africa: TextRank (automatic text summarization) for PHP7 and 8,"php,science,textrank,search,algorithm,summarization",196
22,https://github.com/lirios/browser.git,:earth_africa: Cross-platform Material design web browser,"browser,material-design,qt5,qt,liri,qt-quick",186
23,https://github.com/gimli-org/gimli.git,Geophysical Inversion and Modeling Library :earth_africa:,"geophysics,modeling,inversion,python,finite-elements,finite-volume,c-plus-plus,open-source",160
24,https://github.com/codeafrica/github-africa.git,GitHub Africa Usage,,149
25,https://github.com/masakhane-io/masakhane-mt.git,Machine Translation for Africa,"machine-translation,african-languages,nlp",148
26,https://github.com/ropensci/rnaturalearth.git,an R package to hold and facilitate interaction with natural earth map data :earth_africa:,"peer-reviewed,r,r-package,rstats",141
27,https://github.com/inextensodigital/react-enhanced-form.git,"The best react form component, on earth :earth_africa: ",,136
28,https://github.com/Lissy93/twitter-sentiment-visualisation.git,":earth_africa: The R&D of a sentiment analysis module, and the implementation of it on real-time social media data, to generate a series of live visual representations of sentiment towards a specific topic or by location in order to find trends.","sentiment-analysis,sentiment-visualisation,twitter,data-visualisation,trends,stream-tweets",132
29,https://github.com/mapsam/project-linework.git,:earth_africa: Handcrafted vector linework for cartography,,124
30,https://github.com/fabiofdsantos/laracountries.git,:earth_africa: Migration and seed files with all countries for Laravel PHP Framework,,121
31,https://github.com/fabiocaccamo/FCIPAddressGeocoder.git,iOS Geocoder for geocode device IP Address location using GeoIP service(s) and a block-based syntax. :computer::earth_africa:,"ios,objective-c,geocoder,pod,geoip,location,geocode,ip-address,ios-geocoder,geoip-service,geocoding",114
32,https://github.com/africa-covid-19-response-toolkit/community.git,🌍 The Africa COVID-19 Response Toolkit (ACRT),"covid-19,covid,volunteer,africa-covid-19,acrt,africa",112
33,https://github.com/chisimba/chisimba.git,"Chisimba is the product of a collaboration of the 13 African universities involved in the African Virtual Open Initiatives and Resources (AVOIR) project. Its main purpose is to foster capacity building in Software Engineering among African universities through the collaborative development of Free Software. The framework includes contributions from others outside AVOIR as well. Its physical home, and the location of the highest concentration of developers is in the Free Software Innovation Unit at the University of the Western Cape (UWC). The word “Chisimba” is the Chichewa (Malawi) word for the framework used to build a traditional African house.",,106
34,https://github.com/BeWelcome/rox.git,":earth_africa: BeWelcome lets you share a place to stay, connect with travellers, meet up and find accommodation on your journey. It is and will always be a free, open source, non for profit, democratic community.  ","open-source,free-software,php,design,sharing,hospitality,symfony,opensource,non-profit,travellers,accommodation,journey,ux,usability,community-driven,bootstrap4",97
35,https://github.com/VictorCazanave/svg-maps.git,:earth_africa: A set of SVG maps,"map,svg,javascript,australia,brazil,cameroon,canada,china,france,germany,hong-kong,india,japan,mexico,south-korea,usa,uae,taiwan,world",90
36,https://github.com/pangeo-data/climpred.git,:earth_americas: Verification of weather and climate forecasts. :earth_africa:,"python,climate,climate-analysis,prediction,xarray,dask,pangeo",90
37,https://github.com/AfricasTalkingLtd/africastalking-node.js.git,"{""Official Node.js SDK for Africa's Talking""}","sms,voice,ussd,payment,callback-url,airtime,africa,api",86
38,https://github.com/ScriptFUSION/Mapper.git,:earth_africa: Transforms arrays using an object composition DSL.,"convert-data,data-mapping,data-transform,dsl,composition,mapper,php-development",81
39,https://github.com/multiarch/alpine.git,:earth_africa: `alpine` Docker image for multiple architectures,"multiarch,docker,alpine,cross-platform,cross-compiler",76
40,https://github.com/ropensci/ropenaq.git,:earth_americas: :earth_africa: :earth_asia: R package for the OpenAQ API :earth_americas: :earth_africa: :earth_asia: ,"openaq,openaq-api,openaq-data,air-quality,air-pollution,air-pollution-levels,air,r,rstats,r-package,peer-reviewed",67
41,https://github.com/kinotto/geonames.js.git,Nodejs and Browser client for Geonames.org REST API :earth_africa:,,63
42,https://github.com/liuderchi/atom-i18n.git,:atom: One Atom i18n Package for Any Locale :earth_asia: :earth_americas: :earth_africa:,"atom-editor,atom-plugin,editor-plugin,atom-package,i18n,localization,translation,multiple-languages,mocha-tests,bdd-specs,travis-ci,community-driven,community-project",57
43,https://github.com/filipsPL/autowx2.git,"The program for scheduling recordings and processing of the satellite and ground radio transmissions (like capturing of the weather APT images from NOAA satellites, voice messages from ISS, fixed time recordings of WeatherFaxes etc.) :earth_africa: :satellite:","noaa,weather,satellite,noaa-satellites,capture,weather-data,antenna",57
44,https://github.com/davidgasquez/kaggle-airbnb.git,:earth_africa: Where will a new guest book their first travel experience?,"kaggle,machine-learning,jupyter",52
45,https://github.com/keleog/PidginUNMT.git,Unsupervised Neural Machine Translation from West African Pidgin (Creole) to English without a single parallel sentence,,51
46,https://github.com/rladies/resources.git,R-Ladies Resources : Various resources for R-Ladies Global and to be shared across chapters :purple_heart: :earth_africa:,"rladies,r-ladies,r,rstats,rladies-chapters,rladies-presentations,rladies-resources",48
47,https://github.com/dsfsi/covid19africa.git,Africa open COVID-19 data working group,"covid19,africa,coronavirus,data-science,coronavirus-pandemic,volunteers,dataset,doi,collate-data,covid-19,covid19-data",47
48,https://github.com/amanuel2/ng-forum.git,:earth_africa: Meet Developers around the Globe ,"forum,angularjs,globe,ng-forum,earth-africa,wiki-page",44
49,https://github.com/KellenHu/VoiceChanger.git,":earth_africa:💥🔥🔥🔥🔥新出炉的一款模仿QQ发送变声消息的Android_Demo，基于FMOD,实现了萝莉，大叔惊悚，搞怪等风格的音效",,42
50,https://github.com/pespantelis/vue-localizer.git,:earth_africa: Localization plugin for Vue.js,,41
51,https://github.com/mikeattara/GADS2020-Roadmap.git,A roadmap for learners in the Google Africa Developer Scholarship on Pluralsight,,40
52,https://github.com/sinnerschrader/website.git,:earth_africa: Source project for sinnerschrader.com,,39
53,https://github.com/richorama/country-code-lookup.git,:earth_africa: Finds countries by various country codes,"country-codes,countries,lookup",39
54,https://github.com/markf94/QML_Thesis.git,"All files for research proposal and bachelor thesis on Quantum Machine Learning at the University of KwaZulu-Natal in Durban, South Africa.",,39
55,https://github.com/im7mortal/UTM.git,Bidirectional UTM-WGS84 converter for golang :earth_africa: :globe_with_meridians:,"geolocation,utm,longitude,latitude",38
56,https://github.com/giving-a-fuck-about-climate-change/carbon-inferno.git,A react.js front-end for climate change related data  :earth_africa:,,36
