,Url,Description,Topics,Stars
0,https://github.com/brycejohnston/awesome-agriculture.git,"Open source technology for agriculture, farming, and gardening","agriculture,awesome-list,farming,farm,plants,agricultural,crop,soil,grower,weather,awesome,gardening",614
1,https://github.com/chrieke/InstanceSegmentation_Sentinel2.git,🌱 Deep Learning for Instance Segmentation of Agricultural Fields - Master thesis,"deep-learning,instance-segmentation,agricultural-fields,earth-observation,remote-sensing,satellite-imagery,sentinel-2,crop,thesis",213
2,https://github.com/ReiniervdL/Vinduino.git,Vinduino is an open license project for agricultural irrigation management,,130
3,https://github.com/OpenDroneMap/FIELDimageR.git,"FIELDimageR: A R package to analyze orthomosaic images from agricultural field trials. This package is a compilation of functions to analyze pos-mosaicking images from research fields, and allows to: crop the image; remove soil effect; build vegetation indices; rotate the image; build the plot shapefile; extract information for each plot; and evaluate stand count, canopy percentage, and plant height.",,116
4,https://github.com/Kerala-Blockchain-Academy/AgroChain.git,Agricultural Supply Chain Dapp With Micro-Finance,"blockchain,ethereum,truffle,geth,agriculture,dapp",115
5,https://github.com/SHI-Labs/Agriculture-Vision.git,"[CVPR 2020 & 2021] Agriculture-Vision Dataset, Prize Challenge and Workshop: A joint effort with many great collaborators to bring Agriculture and Computer Vision/AI communities together to benefit humanity!",,89
6,https://github.com/Sen2Agri/Sen2Agri-System.git,Sentinel-2 for Agriculture (Sen2Agri) is a software system processing high resolution satellite images for agricultural purposes funded by ESA (European Space Agency). Please register on the Sen2Agri webpage for Sen2Agri system updates and information.,"otb,esa,gdal,agricultural",86
7,https://github.com/kwstat/agridat.git,Agricultural datasets,"rstats,data",69
8,https://github.com/trailheadapps/purealoe.git,Salesforce Sample App part of the sample gallery. Agriculture and retail use case. Get inspired and learn best practices.,"salesforce,lightning,salesforcedx",67
9,https://github.com/the-realest-stu/Rustic.git,"A medieval themed Minecraft mod based around decoration, exploration, and agriculture",,66
10,https://github.com/rosszurowski/small-seasons.git,Two week agricultural seasons,,44
11,https://github.com/trailheadapps/purealoe-lwc.git,Sample application for Lightning Web Components on Salesforce Platform. Part of the sample gallery. Agriculture and retail use case. Get inspired and learn best practices.,"salesforce,lightning-web-components,apex",44
12,https://github.com/magpiemodel/magpie.git,Model of Agricultural Production and its Impact on the Environment (MAgPIE) - model code,"magpie,pik,gams,land",37
13,https://github.com/AbnormalDistributions/landsat8_scene_calculator.git,"Creates NDVI, SAVI, RBG, NIR, short wave infrared, agriculture, geology, and bathymetric GeoTIFF files using Landsat8 imagery.","scene,geotiffs,nir,gis,spatial-analysis,geographical-information-system,savi,infrared,bathymetry",37
14,https://github.com/ravirajsinh45/Crop_and_weed_detection.git,we made the crop and weed detection model using YOLOV3 on agricultural image data.,,36
15,https://github.com/OpenOlitor/OpenOlitor.git,Administration platform for Community Supported Agriculture groups,"rvl,csa,solawi,acp,climate-change",35
16,https://github.com/goru001/awesome-agriculture.git,List of project ideas/references which can help engineers build technology for agriculture which can eventually help farmers,,35
17,https://github.com/rodrigobressan/digipathos.git,Brazilian Agricultural Research Corporation (EMBRAPA) fully annotated dataset for plant diseases. Plug and play installation over PiP.,"dataset,plant-disease,plant-pathology,pathology,wrapper,python,open-data",32
18,https://github.com/MarceloAlves/awesome-agtech.git,"A curated list of technology companies, resources, and tools in the agricultural field.","awesome,agtech,awesome-list,resources,tools,agriculture",31
