,Url,Description,Topics,Stars
0,https://github.com/quankiquanki/skytrax-reviews-dataset.git,An air travel dataset consisting of user reviews from Skytrax (www.airlinequality.com),,57
1,https://github.com/davidgasquez/kaggle-airbnb.git,:earth_africa: Where will a new guest book their first travel experience?,"kaggle,machine-learning,jupyter",52
2,https://github.com/NattyBumppo/Ball-Tracking.git,Computer vision algorithm that tracks balls as they travel through the air.,,35
3,https://github.com/simonpcouch/anyflights.git,An R package to generate `nycflights13`-like air travel data🛩️,,26
4,https://github.com/richard512/Little-Big-Data.git,Data describing topics ranging from Cars and Air Travel to Billionaires and Celebrities,,20
5,https://github.com/acircleda/footprint.git,An R package to calculate carbon footprints from air travel based on IATA airport codes or latitude and longitude.,,10
6,https://github.com/staringispolite/airportbingo.git,Add some cynical fun to your bleak miserable travel experience.,,7
7,https://github.com/landgenoot/airtrip-finder.git,Roadtrip through the air: Traveling Europe at minimal costs,,7
8,https://github.com/josedv82/airball.git,An R package to extract common schedule and travel metrics for NBA teams.,"nba,schedule,r,nbastats,rpackage",6
9,https://github.com/airsim/airtsp.git,C++ Simulation Airline Travel Solution Provider Library,,5
10,https://github.com/aayushag/Python-Airline-Booking-System.git,This project helps to build a interface using python between the airline companies and the passengers so that they can book tickets from anywhere in the world. The system should ask for the travel from and travel to citie,,4
11,https://github.com/sakilk130/php-air-ticket-reservation-system.git,User Registration: In this module user must register himself by filling up his personal details.   User Login: User has to login using his username and password which he had specified during registration. After login use will be redirected to booking module.   Admin Login: Admin has particular username and password through which he can login.   Book Flight: User can Book Flight ticket by specifying type of airlines he want to travel and he must specify the place and date when the user is going travel. View Notice: System will provide the user with notice related to flights.   View Booking: User can view the details about the reservation.   View Transaction: Admin can view reservation done by the passengers. Add Notice: Admin can add notice related to flight.,"air-ticket-reservation,book-flight,travel,registration,html,css,php",4
12,https://github.com/zchr/airbnb.git,Chrome extension to discover a new place to travel on every new tab,,4
