,Url,Description,Topics,Stars
0,https://github.com/remy/nodemon.git,Monitor for any changes in your node.js application and automatically restart the server - perfect for development,"nodemon,watch,node,hacktoberfest",22327
1,https://github.com/alibaba/spring-cloud-alibaba.git,Spring Cloud Alibaba provides a one-stop solution for application development for the distributed solutions of Alibaba middleware.,"spring-cloud,java,spring,microservices,cloud-native,spring-cloud-core,alibaba-oss,alibaba,dubbo,rocketmq,nacos,aliyun,service-discovery,service-registry,distributed-configuration,distributed-messaging,distributed-transaction,circuit-breaker,alibaba-middleware,spring-cloud-alibaba",18570
2,https://github.com/jhipster/generator-jhipster.git,"JHipster is a development platform to quickly generate, develop, & deploy modern web applications & microservice architectures.","angular,spring-boot,webpack,java,docker,yeoman-generator,generator,react,kubernetes,cloud,jhipster,hacktoberfest",18387
3,https://github.com/Kotlin/anko.git,Pleasant Android application development,"kotlin,android",15926
4,https://github.com/reactide/reactide.git,Reactide is the first dedicated IDE for React web application development.,"react,redux,devtools,nodejs,javascript,electron,node,desktop-app,reactide",10125
5,https://github.com/aws-amplify/amplify-js.git,A declarative JavaScript library for application development using cloud services.,"react,cloud-service,metrics,javascript,react-native,aws,aws-apigateway,aws-cognito,pinpoint,aws-mobile,aws-mobilehub,aws-s3,mobile-analytics,pwa,analytics,storage,cognito,amazon-cognito",8037
6,https://github.com/gogf/gf.git,"GoFrame is a modular, powerful, high-performance and enterprise-class application development framework of Golang. ","framework,session,orm,cache,validator,logger,config,template,high-performance,modular,goframe,go-framework,tracing,opentelemetry,opentracing,logging,enterprise",5343
7,https://github.com/mgechev/angularjs-style-guide.git,📚 Community-driven set of best practices for AngularJS application development,"angularjs,best-practices",5041
8,https://github.com/oklai/koala.git,"Koala is a GUI application for less, sass and coffeescript compilation, to help web developers to the development more efficient.",,3975
9,https://github.com/groue/GRDB.swift.git,"A toolkit for SQLite databases, with a focus on application development","sqlite,database,sql,sql-builder,grdb,spm,sqlite-databases,database-observation",3913
10,https://github.com/secfigo/Awesome-Fuzzing.git,"A curated list of fuzzing resources ( Books, courses - free and paid, videos, tools, tutorials and vulnerable applications to practice on ) for learning Fuzzing and initial phases of Exploit Development like root cause analysis.","awesome-list,awesome,fuzzing,fuzzing-framework,secfigo",3632
11,https://github.com/neutralinojs/neutralinojs.git,Portable and lightweight cross platform application development framework,"neutralinojs,c-plus-plus,html,css,javascript,cross-platform,native-development,framework,json,http-server",3621
12,https://github.com/dpgaspar/Flask-AppBuilder.git,"Simple and rapid application development framework, built on top of Flask. includes detailed security, auto CRUD generation for your models, google charts and much more. Demo (login with guest/welcome) - http://flaskappbuilder.pythonanywhere.com/","web,flask,crud,sql,python,rest-api,rest,authentication,rbac",3309
13,https://github.com/EugenMayer/docker-sync.git,"Run your application at full speed while syncing your code for development, finally empowering you to utilize docker for development under OSX/Windows/*Linux","docker-sync,docker,docker-compose,osx,macos,docker-devops,d4m,windows,linux,docker-toolbox",3190
14,https://github.com/LWJGL/lwjgl3.git,"LWJGL is a Java library that enables cross-platform access to popular native APIs useful in the development of graphics (OpenGL, Vulkan), audio (OpenAL), parallel computing (OpenCL, CUDA) and XR (OpenVR, LibOVR) applications.","lwjgl,kotlin,opengl,opencl,openal,vulkan,bindings,java,glfw,vr,opengl-es",3182
15,https://github.com/amplication/amplication.git,Amplication is an open‑source development tool. It helps you develop quality Node.js applications without spending time on repetitive coding tasks.,"nodejs,nestjs,prisma,low-code,code-generation,javascript,typescript,api,web",2903
16,https://github.com/MaterializeInc/materialize.git,Materialize simplifies application development with streaming data. Incrementally-updated materialized views - in PostgreSQL and in real time. Materialize is powered by Timely Dataflow.,"rust,database,sql,streaming,kafka,distributed-systems,postgresql-dialect",2689
17,https://github.com/prest/prest.git,"pREST (PostgreSQL REST), simplify and accelerate development, ⚡ instant, realtime, high-performance on any Postgres application, existing or new","postgresql,golang,rest,postgres,rest-api,framework,database,automatic-api,databases,prest,hacktoberfest",2665
18,https://github.com/cyrilmottier/GreenDroid.git,GreenDroid is a development library for the Android platform. It makes UI developments easier and consistent through your applications.,,2603
19,https://github.com/web2py/web2py.git,"Free and open source full-stack enterprise framework for agile development of secure database-driven web-based applications, written and programmable in Python.",,1947
