,Url,Description,Topics,Stars
0,https://github.com/mui-org/material-ui.git,"Material-UI is a simple and customizable component library to build faster, beautiful, and more accessible React applications. Follow your own design system, or start with Material Design.","react-components,react,javascript,material-design,design-systems,typescript,hacktoberfest",68129
1,https://github.com/awesome-selfhosted/awesome-selfhosted.git,A list of Free Software network services and web applications which can be hosted on your own servers,"selfhosted,awesome,awesome-list,privacy,hosting,cloud,self-hosted",58524
2,https://github.com/webpack/webpack.git,"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff.","webpack,javascript,module-bundler,loaders,plugins,build-tool,web,web-performance,compiler,javascript-compiler,commonjs,amd,esm,es6,es2015,javascript-modules",58174
3,https://github.com/pallets/flask.git,The Python micro framework for building web applications.,"python,flask,wsgi,web-framework,werkzeug,jinja,pallets",54853
4,https://github.com/socketio/socket.io.git,Realtime application framework (Node.JS server),,53316
5,https://github.com/ansible/ansible.git,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.","python,ansible,hacktoberfest",48105
6,https://github.com/kelseyhightower/nocode.git,The best way to write secure and reliable applications. Write nothing; deploy nowhere.,,47058
7,https://github.com/florinpop17/app-ideas.git,A Collection of application ideas which can be used to improve your coding skills.,"applications,ideas,coding,hacktoberfest",40368
8,https://github.com/serverless/serverless.git,"⚡ Serverless Framework – Build web, mobile and IoT applications with serverless architectures using AWS Lambda, Azure Functions, Google CloudFunctions & more! – ","serverless,serverless-framework,serverless-architectures,aws-lambda,google-cloud-functions,azure-functions,aws,microservice,aws-dynamodb",39662
9,https://github.com/nwjs/nw.js.git,Call all Node.js modules directly from DOM/WebWorker and enable a new way of writing applications with all Web technologies.,"web-application-framework,javascript,desktop,node-webkit,nwjs,nodejs",38091
10,https://github.com/parcel-bundler/parcel.git,"📦🚀 Blazing fast, zero configuration web application bundler","module-bundler,build-tool,javascript,css,html,assets,web,compiler,commonjs,es6,modules",38079
11,https://github.com/nestjs/nest.git,"A progressive Node.js framework for building efficient, scalable, and enterprise-grade server-side applications on top of TypeScript & JavaScript (ES6, ES7, ES8) 🚀","nest,javascript,typescript,nodejs,framework,nodejs-framework,typescript-framework,javascript-framework,microservices,websockets,node,nestjs",36878
