,Url,Description,Topics,Stars
0,https://github.com/AMAI-GmbH/AI-Expert-Roadmap.git,Roadmap to becoming an Artificial Intelligence Expert in 2021,"deep-learning,artificial-intelligence,roadmap,ai-roadmap,machine-learning,study-plan,data-science,data-analysis,neural-network",10433
1,https://github.com/olistic/warriorjs.git,🏰 An exciting game of programming and Artificial Intelligence,"warriorjs,warrior,epic,battle,game,learn,test,js,javascript,nodejs,ai,artificial-intelligence,skills,sharpen",8612
2,https://github.com/owainlewis/awesome-artificial-intelligence.git,"A curated list of Artificial Intelligence (AI) courses, books, video lectures and papers.","machine-learning,machine-intelligence,artificial-intelligence,reinforcement-learning,intelligent-systems,deep-learning,intelligent-machines,ai,statistical-learning,unsupervised-learning,neural-network",6154
3,https://github.com/aimacode/aima-python.git,"Python implementation of algorithms from Russell And Norvig\'s ""Artificial Intelligence - A Modern Approach""",,5591
4,https://github.com/norvig/paip-lisp.git,"Lisp code for the textbook ""Paradigms of Artificial Intelligence Programming""",,5557
5,https://github.com/MycroftAI/mycroft-core.git,"Mycroft Core, the Mycroft Artificial Intelligence platform. ","ai,open-source,nlp,voice-assistant,python,linux,raspberry-pi,skills,fedora,arch,oss,natural-language-processing,natural-language,voice-as-an-interface,artificial-intelligence,personal-assistant,hacktoberfest",5076
6,https://github.com/okfn-brasil/serenata-de-amor.git,🕵 Artificial Intelligence for social control of public administration,"machine-learning,data-science,artificial-intelligence,politics,civic-tech,open-data,hacktoberfest,hacktoberfest2020",4268
7,https://github.com/microsoft/malmo.git,"Project Malmo is a platform for Artificial Intelligence experimentation and research built on top of Minecraft. We aim to inspire a new generation of research into challenging new problems presented by this unique environment. --- For installation instructions, scroll down to *Getting Started* below, or visit the project page for more information:",,3663
8,https://github.com/ryanb/ruby-warrior.git,Game written in Ruby for learning Ruby and artificial intelligence.,,3628
9,https://github.com/tangyudi/Ai-Learn.git,"人工智能学习路线图，整理近200个实战案例与项目，免费提供配套教材，零基础入门，就业实战！包括：Python，数学，机器学习，数据分析，深度学习，计算机视觉，自然语言处理，PyTorch tensorflow machine-learning,deep-learning data-analysis data-mining mathematics data-science artificial-intelligence python tensorflow tensorflow2 caffe keras pytorch algorithm numpy pandas matplotlib seaborn nlp cv等热门领域","machine-learning,deep-learning,data-analysis,data-mining,mathematics,data-science,artificial-intelligence,python,tensorflow,tensorflow2,caffe,keras,pytorch,algorithm,numpy,pandas,matplotlib,seaborn,nlp,cv",3375
10,https://github.com/TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials.git,"A comprehensive list of Deep Learning / Artificial Intelligence and Machine Learning tutorials - rapidly expanding into areas of AI/Deep Learning / Machine Vision / NLP and industry specific areas such as Climate / Energy, Automotives, Retail, Pharma, Medicine, Healthcare, Policy, Ethics and more.","machine-learning,deep-learning,tensorflow,python,pytorch,keras,lua,matplotlib,aws,kaggle,pandas,scikit-learn,torch,artificial-intelligence,neural-network,convolutional-neural-networks,tensorflow-tutorials,python-data,ipython-notebook,capsule-network",2764
11,https://github.com/fossasia/susi_server.git,SUSI.AI server backend - the Artificial Intelligence server for personal assistants  https://api.susi.ai,,2277
12,https://github.com/opencog/opencog.git,A framework for integrated Artificial Intelligence & Artificial General Intelligence (AGI),"agi,natural-language,natural-language-inference,natural-language-understanding,robotics,robot-controller,learning,learning-algorithm,unsupervised-learning,unsupervised-machine-learning,unsupervised-learning-algorithms",2072
13,https://github.com/afshinea/stanford-cs-221-artificial-intelligence.git,"{""VIP cheatsheets for Stanford's CS 221 Artificial Intelligence""}","cheatsheet,artificial-intelligence,markov-decision-processes,a-star,constraint-satisfaction-problem,bayesian-networks,data-science",1810
14,https://github.com/alfredfrancis/ai-chatbot-framework.git,A python chatbot framework with Natural Language Understanding and Artificial Intelligence.,"chatbot,python,nltk,ai,sklearn,natural-language,conversation,chatbots,ai-chatbot-framework",1479
15,https://github.com/zero-equals-false/awesome-programming-books.git,"📚 A curated list of awesome programming books (Algorithms and data structures, Artificial intelligence, Software Architecture, Human–computer interaction, Operating Systems, Database Systems, IT Security, Concurrency, Interpreters and Compilers, High-Performance Computing, Distributed Systems, Game Development, Mathematical optimization)","awesome,awesome-list,books,programming,learning-resources",1457
16,https://github.com/microsoft/EconML.git,"ALICE (Automated Learning and Intelligence for Causation and Economics) is a Microsoft Research project aimed at applying Artificial Intelligence concepts to economic decision making. One of its  goals is to build a toolkit that combines state-of-the-art machine learning techniques with econometrics in order to bring automation to complex causal inference problems. To date, the ALICE Python SDK (econml) implements orthogonal machine learning algorithms such as the double machine learning work of Chernozhukov et al. This toolkit is designed to measure the causal effect of some treatment variable(s) t on an outcome variable y, controlling for a set of features x.","machine-learning,economics,causal-inference,causality,econometrics,treatment-effects",1339
17,https://github.com/aimacode/aima-java.git,"Java implementation of algorithms from Russell And Norvig\'s ""Artificial Intelligence - A Modern Approach""",,1307
18,https://github.com/chuyangliu/snake.git,Artificial intelligence for the Snake game.,"snake,game,artificial-intelligence,graph-theory,algorithm,python,deep-reinforcement-learning,reinforcement-learning",1258
19,https://github.com/louisfb01/start-machine-learning-in-2020.git,"A complete guide to start and improve in machine learning (ML), artificial intelligence (AI) in 2021 without ANY background in the field and stay up-to-date with the latest news and state-of-the-art techniques!","machine-learning,deep-learning,youtube,neural-networks,artificial-intelligence,course,coursera,coursera-machine-learning,tutorial,tutorials,practice,cheat-sheets,read-articles,2021,learning,learn-to-code,learning-python,linear-algebra,probability-statistics,youtube-playlist",1256
20,https://github.com/primaryobjects/AI-Programmer.git,Using artificial intelligence and genetic algorithms to automatically write programs. Tutorial: http://www.primaryobjects.com/cms/article149,"genetic-algorithms,c-sharp,fitness-score,ai,artificial-intelligence,genetic-algorithm,genetic-programming,programming-language,genome,program-synthesis",955
21,https://github.com/jiqizhixin/Artificial-Intelligence-Terminology.git,The English-Chinese paired terminologies in Artificial Intelligence Domain,,940
22,https://github.com/libgdx/gdx-ai.git,"Artificial Intelligence framework for games based on libGDX or not. Features: Steering Behaviors, Formation Motion, Pathfinding, Behavior Trees and Finite State Machines","libgdx,pathfinding,steering-behaviors,formation-motion,behavior-trees,java,artificial-intelligence,framework,npc,state-machines,decision-making,gamedev,movement",920
23,https://github.com/simpleai-team/simpleai.git,simple artificial intelligence utilities,,899
24,https://github.com/neomatrix369/awesome-ai-ml-dl.git,"Awesome Artificial Intelligence, Machine Learning and Deep Learning as we learn it. Study notes and a curated list of awesome resources of such topics.","ai,ml,dl,artificial-intelligence,machine-learning,deep-learning,neural-networks,algorithms,machine-intelligence,intelligent-systems,data,nlp,natural-language-processing,data-generation,time-series,graal,graalvm,docker,mathematica,cloud-devops",880
