,Url,Description,Topics,Stars
0,https://github.com/wendux/DSBridge-IOS.git,"{"":earth_asia: A modern cross-platform JavaScript bridge, through which you can invoke each other's functions synchronously or asynchronously between JavaScript and native.""}","javascript-bridge,jsbridge,webviewjavascriptbridge",1570
1,https://github.com/fossasia/fossasia-communities.git,FOSSASIA API Files of Communities in Asia,,1434
2,https://github.com/fossasia/sg18.sciencehack.asia.git,UNESCO Hackathon Website at the FOSSASIA Summit Singapore https://sg18.sciencehack.asia,,1390
3,https://github.com/fossasia/unesco.sciencehack.asia.git,UNESCO Hackathon Website https://unesco.sciencehack.asia,,1389
4,https://github.com/fossasia/libregraphics.asia.git,LibreGraphics.asia is a collection of freely licensed photos from Indonesia collected during an environmental IT education contest,,1385
5,https://github.com/fossasia/sciencehack.asia.git,Science Hack Website http://sciencehack.asia,,1372
6,https://github.com/DenisCarriere/geocoder.git,:earth_asia: Python Geocoder,,1354
7,https://github.com/fossasia/publiccode.asia.git,Website of https://publiccode.asia,,1352
8,https://github.com/fossasia/opendesign.asia.git,Website for OpenDesign.Asia http://opendesign.asia,,1327
9,https://github.com/fossasia/sciencetech.asia.git,Website for ScienceTech.Asia http://sciencetech.asia,,1323
10,https://github.com/OpnTec/thai.opentechsummit.asia.git,OpenTechSummit Thailand 2019 https://thai.opentechsummit.asia,,1259
11,https://github.com/OpnTec/opentechsummit.asia.git,OpenTechSummit Asia https://opentechsummit.asia,,1259
12,https://github.com/overtrue/laravel-lang.git,:earth_asia: 75 languages support for Laravel application.,"laravel,localization,i18n",1148
13,https://github.com/bradfitz/talk-yapc-asia-2015.git,talk-yapc-asia-2015,,699
14,https://github.com/OpnTec/vn.opentechsummit.asia.git,https://vn.opentechsummit.asia,,594
15,https://github.com/smartgeometry-ucl/dl4g.git,Example code for the Siggraph Asia Tutorial CreativeAI ,,493
16,https://github.com/niessner/VoxelHashing.git,"[Siggraph Asia 2013] Large-Scale, Real-Time 3D Reconstruction","3d-reconstruction,kinect,computer-vision",458
