,Url,Description,Topics,Stars
0,https://github.com/handsomecode/astrology-motion-ios.git,Astrology animation written in Swift 3,"astrology-animation,swift,ios,animation,animations-sdk",210
1,https://github.com/flatangle/flatlib.git, Python library for Traditional Astrology,,146
2,https://github.com/Kibo/AstroChart.git,A free and open-source JavaScript library for generating SVG charts to display planets in astrology.,,110
3,https://github.com/kunjara/jyotish.git,PHP library for calculations in Vedic astrology,"jyotish,ganita,panchanga,astrology",102
4,https://github.com/morphatic/astrologyjs.git,A NodeJs package that will provide core functionality for including astrological charts in projects.,,102
5,https://github.com/sameerkumar18/aztro.git,The Astrology API 💫 Get daily horoscope!,"astrology,horoscope,api,rest-api,restful-api,python,zodiac-sign,zodiac-api,astro,horoscope-api",89
6,https://github.com/jvidalv/astrale.git,"React Native mobile application. Find out what the future holds for you in this astrology app, available for Android. Powered with Python, MongoDB and PHP.","react-native,react,javascript,ios,android,expo,mongodb,astrology",60
7,https://github.com/cpucycle/astrotime.git,NOAA astrological algorithms for sunrise and sunset ported to Go/Golang,,49
8,https://github.com/nozomi199/qimen_star.git,"My qimen(奇門遁甲), lui yin(大六壬), and astrology(參星) in single html file",,47
9,https://github.com/Tok/AstroChart.git,Astrology Chart Generator,,46
10,https://github.com/erajasekar/Astrosoft.git,Astrosoft is a free Indian Astrology software program for Astrologers.,,46
11,https://github.com/jyotisham/jyotisha.git,Python tools for the astronomical / astrological vedAnga of Hindus,,43
12,https://github.com/0xStarcat/CircularNatalHoroscopeJS.git,An ES6 library for many astrological chart calculations.,"horoscope,chart,house-systems,astrology,zodiac,natal-chart,astrological-calculations,circular-charts,equal-house",37
13,https://github.com/right7ctrl/flutter_astrology_app.git,Flutter astrology app ui,"flutter,dart,flutter-ui,ui-flutter,astrology,flutter-sample,flutter-examples,flutter-app",33
14,https://github.com/gbencke/pyAstroTrader.git,Machine Learning + Financial Markets + Astrology = A Match made in Heaven,"astrology,python,xgboost,jupyter-notebook",32
15,https://github.com/DaWoody/Astrology-JS.git,An open source javascript project to create a class for easy distribution and access to astrological information in web-applications/web-pages,"javascript,zodiac-sign,library,astrology",29
16,https://github.com/CruiserOne/Astrolog.git,"The astrology software ""Astrolog"", version 7.20","astrology,astrolog,ephemeris,planetarium",25
17,https://github.com/pascallemazurier/openastro-dev.git,OpenAstro is an open source fully featured astrology software.,,24
18,https://github.com/kivutar/AstroWS.git,"AstroWS is a set of web services about astrology. Deprecated, use https://github.com/kivutar/goastrows",,24
19,https://github.com/emvakar/EKAstrologyCalc.git,"{""Astrology Calculator calculates moon's rise/set times, moon Age, moon phases and Zodiac Sign for location and time""}","swift,swift4,suncalc,moon,lunar-calendar,astrology-calculator,astronomical-algorithms,moon-rise,moon-phase,zodiac-sign,moon-age,swift5,swift-package-manager,swift-framework",24
20,https://github.com/atten/zodiac.git,Astrology software for desktop,,20
21,https://github.com/airicyu/fortel-codex.git,A Node.js Library for Chinese Astrology Common Codex. (中國術數基本codex),"astrology,fortune-telling",18
22,https://github.com/xiaoerge/LittleAstro-API.git,Lightweight astrology api for horoscope and zodiac,"astrology,zodiac",18
23,https://github.com/cjnoyes/html5chart.git,Astrology charts in Html5 canv as,,17
24,https://github.com/erajasekar/astrochartjs.git,Javascript library for drawing hindu astrological charts,,15
25,https://github.com/sameerkumar18/pyaztro.git,Python Wrapper for aztro - The Astrology API | Get Daily Horoscope  💫,"astrology,python,python3,python2,pypi,pypi-packages,pip,horoscope,horoscope-api",15
26,https://github.com/dildeolupbiten/TkAstroDb.git,TkAstroDb is a Python program that uses Astro-Databank to conduct statistical studies in astrology.,,15
27,https://github.com/vonkow/astrolabe.git,astrological clock in canvas,,14
28,https://github.com/financial-astrology-research/financial-astrology-stats.git,We research the correlations between astrology planet cycles and price effect for multiples financial markets using statistics and machine learning techniques. Join the community discussions at Telegram.,"astrology,astrological,planets,statistics,trading-strategies,trading-algorithms,financial-markets,financial-astrolgy,machine-learning,research",14
29,https://github.com/Narendra-Kamath/indian-astrology.git,A node module to get the Indian astrological details from the provided birth details as a JSON object. You will also get a prediction based on the calculated details.,,13
30,https://github.com/milanpredic/astrochart.git,Astrology Chart ,,11
31,https://github.com/p3ym4n/jdate.git,"Jalali DateTime convertor, based on both Astrological & Arithmetic algorithms, compatible with Laravel","jdate,laravel,jalali,persian-calendar,carbon",11
32,https://github.com/AstroDraw/AstroChart.git,A free and open-source JavaScript library for generating SVG charts to display planets in astrology.,astrology,11
33,https://github.com/jeevika117/astrology.git,Astrology Projects,,10
34,https://github.com/astsakai/js_astro.git,Sample code for astrological calculation written by JavaScript,"astrology,ephemeris",10
35,https://github.com/damienjoldersma/DreamSpell.git,A tool for exploring Mayan Astrology,,10
36,https://github.com/ryuphi/astrology-api.git,Astrology API Rest,"astrology,api,nodejs,swisseph,astrology-api,docker",9
37,https://github.com/astrorigin/oroboros.git,Astrology software for Linux (Python/Qt4) (UNMAINTAINED),,9
38,https://github.com/arturania/swisseph.git,Swiss Ephemeris is a software toolbox for programmers of astrological software.,,9
39,https://github.com/kivutar/goastrows.git,Astrology web service based on swisseph,"ephemeris,golang,webservice,astrology,cgo",9
40,https://github.com/aparcanapavel/astrogram.git,An app that lets people connect by sharing pictures of anything astrology related.,,9
41,https://github.com/JoshMPlant/astrolog.git,Astrology software from Walter D. Pullen.,,8
42,https://github.com/prokerala/astrology-sdk.git,Prokerala.com Astrology API Client Library for PHP,"php,astrology,api,prokerala",8
43,https://github.com/lscalendars/tibcalendar.git,Library for tibetan calendar (and astrological) calculations,,8
44,https://github.com/pravat231/Astrology-Website-In-Codeigniter-Framework.git,Its a astrology product and services website there is also feature of shopping cart which is built in codeigniter.,,8
45,https://github.com/miamor/mAstro.git,mAstro is a free and open astrological community.,"astrolib,astrology,php,sweph",8
46,https://github.com/PtPrashantTripathi/shreeganesh.git,"This Astrology Android app provide solution of your life problem, based upon Krishna Jyotish Padathi.","astrology,android,devloper,shree-ganesh",8
47,https://github.com/magicalmysticalcat/hades-js.git,"Used for calculating planetary positions from a geocentric point of view, ASC,MC, astrological houses and planetary aspects",,8
