,Url,Description,Topics,Stars
0,https://github.com/astroML/astroML.git,"Machine learning, statistics, and data mining for astronomy and astrophysics",,744
1,https://github.com/skyfielders/python-skyfield.git,Elegant astronomy for Python,,664
2,https://github.com/brandon-rhodes/pyephem.git,Scientific-grade astronomy routines for Python,,468
3,https://github.com/MenoData/Time4J.git,"Advanced date, time and interval library for Java with sun/moon-astronomy and calendars like Chinese, Coptic, Ethiopian, French Republican, Hebrew, Hijri, Historic Christian, Indian National, Japanese, Julian, Korean, Minguo, Persian, Thai, Vietnamese","java,time4j,calendar,interval,duration,sun,moon,timezone",335
4,https://github.com/nasa/apod-api.git,Astronomy Picture of the Day API service,"astronomy-picture,astronomy,astronomy-picture-of-the-day,nasa,nasa-api,space",314
5,https://github.com/jonathansick/awesome-astronomy.git,A list of awesome astronomy projects,,242
6,https://github.com/cosmonium/cosmonium.git,3D astronomy and space exploration program.,"astronomy,space,planetarium,procedural-generation,3d,panda3d",158
7,https://github.com/rkaczorek/astroberry-server.git,Astroberry Server is a ready to use system for Raspberry Pi for controlling all your astronomy equipment,"raspberry-pi,indi-server,desktop,indi-driver,astronomy,astronomy-desktop,astrophotography,telescope",142
8,https://github.com/gammapy/gammapy.git,A Python package for gamma-ray astronomy,"python,astropy,astronomy,awesome,numpy",130
9,https://github.com/jakevdp/2013_fall_ASTR599.git,Content for my Astronomy 599 Course: Intro to scientific computing in Python,,128
10,https://github.com/pytroll/pyorbital.git,Orbital and astronomy computations in python,"python,satellite,orbital-mechanics,hacktoberfest",124
11,https://github.com/keflavich/image_registration.git,Image Registration for Astronomy,,110
12,https://github.com/astroML/sklearn_tutorial.git,Tutorial for astronomy data processing with scikit-learn,,100
13,https://github.com/wlandsman/IDLAstro.git,Astronomy related procedures in the commercial IDL language,,98
14,https://github.com/krittikaiitb/tutorials.git,"Set of Jupyter Notebooks, along with datafiles, to get started with Scientific Computing in Astronomy",,96
15,https://github.com/sczesla/PyAstronomy.git,A collection of astronomy-related routines in Python,"python,astronomy,data-analysis",90
16,https://github.com/liberfa/erfa.git,Essential Routines for Fundamental Astronomy. Maintainers: @eteq @mhvk @sergiopasra,,80
17,https://github.com/casacore/casacore.git,Suite of C++ libraries for radio astronomy data processing,,77
18,https://github.com/jakevdp/BayesianAstronomy.git,"Bayesian Methods in Astronomy workshop, presented at AAS227",,76
19,https://github.com/cosinekitty/astronomy.git,"Astronomy Engine: multi-language calculation of Sun, Moon, and planet positions. Predicts lunar phases, eclipses, transits, oppositions, conjunctions, equinoxes, solstices, rise/set times, and other events. Provides vector and angular coordinate transforms among equatorial, ecliptic, and horizontal orientations.",,74
20,https://github.com/jakevdp/2014_fall_ASTR599.git,Content for my Astronomy 599 / Applied Math 500 Course: Intro to scientific computing in Python,,68
21,https://github.com/MilesCranmer/anki_science.git,"Anki decks for physics, astronomy, computer science, machine learning, and statistics.",,67
22,https://github.com/Elinvention/gnome-shell-extension-nasa-apod.git,"{""Change your wallpaper daily to the NASA's astronomy picture of the day""}","gnome-shell-extension,nasa-astronomy-picture,nasa-apod,nasa-api,gnome,poedit,wallpaper",66
23,https://github.com/indigo-astronomy/indigo.git,INDIGO is a system of standards and frameworks for multiplatform and distributed astronomy software development designed to scale with your needs.,"astronomy,astronomy-library,macos,macosx,linux",65
24,https://github.com/0xCoto/Virgo.git,📡 Virgo: A Versatile Spectrometer for Radio Astronomy,"sdr,virgo,radio-telescope,radio,telescope,astronomy,spectrometer,rf,rfi-mitigation,astrophysics,radio-astronomy",59
25,https://github.com/astroCV/astroCV.git,Computer Vision library for Astronomy,"computer-vision,image-processing,astronomy,lsst",55
26,https://github.com/RadioAstronomySoftwareGroup/pyuvdata.git,"A pythonic interface for radio astronomy interferometry data (uvfits, miriad, others)","python,astronomy,radio-astronomy,interferometry",51
27,https://github.com/zingale/astro_animations.git,Various animations used for teaching introductory astronomy concepts,,49
28,https://github.com/gastsail/SimpleMVP.git,"{""A simple app that fetches NASA's API to return the Astronomy Picture of the Day and a live video of the ISS""}","mvp,android,kotlin,java",48
29,https://github.com/astrocatalogs/OACAPI.git,Open Astronomy Catalog API,"catalog,open-astronomy-catalogs,transient-astronomy,supernovae,kilonovae,tidal-disruptions,api,astronomy,astronomy-api",42
