,Url,Description,Topics,Stars
0,https://github.com/cherubicXN/afm_cvpr2019.git,"Official implementation of paper ""Learning Attraction Field Map for Robust Line Segment Detection"" (CVPR 2019)",,246
1,https://github.com/rsrbk/SRAttractionsMap.git,The map contains attractions placed on it with the abillity to click and see the full description.,,50
2,https://github.com/drons/nbody.git,N body gravity attraction problem solver,"nbody,simulation,ode-solver,cuda,openmp,stackless,kd-tree",40
3,https://github.com/gregtatum/Gravity.git,Programming poems on attraction http://gregtatum.com/poems/gravity/1/,,34
4,https://github.com/nickzman/helios.git,"Screen saver that simulates particle attraction/repulsion, macOS port",,26
5,https://github.com/alexa/skill-sample-python-city-guide.git,"{""This Alexa sample skill is a template for a basic city-guide skill. Provided some data about a city's restaurants, attractions, Alexa will recommend a restaurant based on the meal type or recommend an attraction. It can also suggest the current temperature and weather conditions of the city.""}",,25
6,https://github.com/vasturiano/d3-force-magnetic.git,A natural attraction/repulsion force type for the d3-force simulation engine,"d3js,magnetic,force,physics-simulation,electrostatic,gravity,link-force,inverse-square-law",25
7,https://github.com/befelix/lyapunov-learning.git,"Safe learning of regions of attraction in uncertain, nonlinear systems with Gaussian processes",,21
8,https://github.com/thaleslima/GuideApp.git,":thumbsup: [Android] [Google App Engine] Application that displays the cities services. (Restaurants, hotels, attractions, etc.)","android,kotlin,appengine,angular,backend-services",19
9,https://github.com/sohamkamani/d3-force-gravity.git,Implement gravitational attraction (or force-field-like repulsion) using d3-force,,19
10,https://github.com/pfrazee/gsim.git,A little physics simulation which uses time-dilation to create attraction,,18
11,https://github.com/Liumouliu/deepIBL.git,Stochastic Attraction-Repulsion Embedding for Large Scale Localization,,17
12,https://github.com/adeolaadeoti/safarika.git,Take a glimpse of Africa’s bewitching attractions https://safarika.netlify.app/,,14
13,https://github.com/ZGeng/attractionDeformer.git,A maya attraction deformer node (plugin).,,13
14,https://github.com/IBM-MIL/IBM-Ready-App-for-Venue.git,"IBM Ready App for Venue demonstrates a personalized and social experience within the fictional theme park - Brickland. At Brickland, visitors use their mobile app to discover what is near them, find their way to their favorite attractions, keep in touch with their group, and achieve badges based on their activity.",,12
15,https://github.com/berenslab/ne-spectrum.git,A Unifying Perspective on Neighbor Embeddings along the Attraction-Repulsion Spectrum,code,11
16,https://github.com/ericsoco/d3-force-attract.git,simple attraction force module for d3.v4 `forceSimulation`,,10
17,https://github.com/bcrespy/LocalizedAttractionRepulsion.git,Particle system with attraction / repulsion between the particles + attraction range / repulsion range,,9
18,https://github.com/benMcChesney/PixelForces.git,Attraction / Repulsion particle system using an image as a base. Developed in openFrameworks,,8
19,https://github.com/kleberandrade/attraction-repulsion-force-unity.git,Example of an attraction and repulsion magnetism for games,,8
20,https://github.com/ParkitectNexus/CoasterCam.git,A mod for Parkitect. Ride your favorite coasters and attractions with this cam!,,7
21,https://github.com/KTH/xPerturb.git,"perturbation analysis, correctness attraction and randomization, by KTH Royal Institute of Technology",,7
22,https://github.com/mh-community-tools/mh-hunt-helper.git,"Tool to help collect data, estimate attraction, catch, and drop rates for a popular game.",hacktoberfest,6
23,https://github.com/Seattle-Attractions/map.git,"{""Interactive map of Seattle's Premier Attractions""}",,6
24,https://github.com/alexa/skill-sample-java-city-guide.git,"{""This Alexa sample skill is a template for a basic city-guide skill.  Provided some data about a city's restaurants, attractions, Alexa will recommend a restaurant based on the meal type or recommend an attraction.  It can also suggest the current temperature and weather conditions of the city.  This sample Alexa Skill is written in Java and demonstrates the use of external API calls and localization for multiple locale.""}",,5
