,Url,Description,Topics,Stars
0,https://github.com/blueimp/jQuery-File-Upload.git,"File Upload widget with multiple file selection, drag&drop support, progress bar, validation and preview images, audio and video for jQuery. Supports cross-domain, chunked and resumable file uploads. Works with any server-side platform (Google App Engine, PHP, Python, Ruby on Rails, Java, etc.) that supports standard HTML form file uploads.",,31030
1,https://github.com/goldfire/howler.js.git,Javascript audio library for the modern web.,"javascript,audio,html5-audio,playback,volume,web-audio,audio-library,howler",18367
2,https://github.com/android/uamp.git,A sample audio app for Android,,12139
3,https://github.com/Tonejs/Tone.js.git,A Web Audio framework for making interactive music in the browser.,"web-audio,javascript,music,synthesis,scheduling,samples,tone",10876
4,https://github.com/kyleneideck/BackgroundMusic.git,"{""Background Music, a macOS audio utility: automatically pause your music, set individual apps' volumes and record system audio.""}","audio,audio-utility,macos,cpp,objective-c",9443
5,https://github.com/AudioKit/AudioKit.git,"Swift audio synthesis, processing, & analysis platform for iOS, macOS and tvOS","audiokit,swift,playground,audio,ios,macos,tvos,midi,swift-playgrounds,music",8405
6,https://github.com/mediaelement/mediaelement.git,"HTML5 <audio> or <video> player with support for MP4, WebM, and MP3 as well as HLS, Dash, YouTube, Facebook, SoundCloud and others with a common HTML5 MediaElement API, enabling a consistent UI in all browsers.","html5-audio,html5-video,hls,video,streaming,html5,flash,dash,mp4,mp3,html5-video-player",7612
7,https://github.com/mifi/lossless-cut.git,The swiss army knife of lossless video/audio editing,"video,editor,ffmpeg,video-files,cut,codec,player,lossless,video-editor",6644
8,https://github.com/MathewSachin/Captura.git,"Capture Screen, Audio, Cursor, Mouse Clicks and Keystrokes","capture,screenshot,screencast,record,screen-capture,screen-recorder,region-capture,gif,keystrokes,recording,webcam,wpf,windows,dotnet,chocolatey",6011
9,https://github.com/worldveil/dejavu.git,Audio fingerprinting and recognition in Python,,5413
10,https://github.com/jiaaro/pydub.git,Manipulate audio with a simple and easy high level interface,,5315
11,https://github.com/ExistentialAudio/BlackHole.git,BlackHole is a modern macOS virtual audio driver that allows applications to pass audio to other applications with zero additional latency.,"audio,driver,macos",5234
12,https://github.com/katspaugh/wavesurfer.js.git,Navigable waveform built on Web Audio and Canvas,"audio,music,waveform,web-audio",5171
13,https://github.com/PaddlePaddle/PaddleHub.git,"Awesome pre-trained models toolkit based on PaddlePaddle.(300+ models including Image, Text, Audio and Video with Easy Inference & Serving deployment)","deep-learning,pre-trained,model,awesome,nlp,paddlehub,vision,ai-models",5014
14,https://github.com/audacity/audacity.git,Audio Editor                                     ,"audio,editor,cross-platform,wxwidgets-applications,gplv2",4961
15,https://github.com/syedhali/EZAudio.git,"An iOS and macOS audio visualization framework built upon Core Audio useful for anyone doing real-time, low-latency audio processing and visualizations.",,4785
16,https://github.com/scottschiller/SoundManager2.git,"A JavaScript Sound API supporting MP3, MPEG4 and HTML5 audio + RTMP, providing reliable cross-browser/platform audio control in as little as 12 KB. BSD licensed.",,4684
17,https://github.com/jplayer/jPlayer.git,jPlayer : HTML5 Audio & Video for jQuery,,4571
18,https://github.com/muaz-khan/RecordRTC.git,"RecordRTC is WebRTC JavaScript library for audio/video as well as screen activity recording. It supports Chrome, Firefox, Opera, Android, and Microsoft Edge. Platforms: Linux, Mac and Windows.","recordrtc,record-audio,record-video,mediarecorder,mediarecorder-api,mediastreamrecorder,webrtc-recording,record-screen,webrtc",4485
19,https://github.com/librosa/librosa.git,Python library for audio and music analysis,"audio,python,music,dsp,librosa,scipy,nyucds",4464
20,https://github.com/xhzengAIB/MessageDisplayKit.git,"An IM App like WeChat App has to send text, pictures, audio, video, location messaging, managing local address book, share a circle of friends, drifting friends, shake a fun and more interesting features.",,4301
21,https://github.com/CreateJS/SoundJS.git,"A Javascript library for working with Audio. It provides a consistent API for loading and playing audio on different browsers and devices. Currently supports WebAudio, HTML5 Audio, Cordova / PhoneGap, and a Flash fallback.",,4015
22,https://github.com/tyiannak/pyAudioAnalysis.git,"Python Audio Analysis Library: Feature Extraction, Classification, Segmentation and Applications","audio,machine-learning,signal-processing,audio-data,audio-analysis-tasks,pyaudioanalysis",3910
23,https://github.com/supercollider/supercollider.git,"An audio server, programming language, and IDE for sound synthesis and algorithmic composition.","supercollider,sclang,electronic-music,scsynth,synthesis,audio,music,sound,algorithmic-composition,computer-music,livecoding,programming-language,c-plus-plus",3743
24,https://github.com/badaix/snapcast.git,Synchronous multiroom audio player,"audio-player,sonos,lms,synchronous,audio,audio-streaming,multiroom-audio,music",3734
25,https://github.com/mattdiamond/Recorderjs.git,A plugin for recording/exporting the output of Web Audio API nodes,,3729
26,https://github.com/serversideup/amplitudejs.git,"AmplitudeJS: Open Source HTML5 Web Audio Library. Design your web audio player, the way you want. No dependencies required.","javascript,html5-audio,mit-license,web-audio,web-audio-library,html5",3681
27,https://github.com/willianjusten/awesome-audio-visualization.git,A curated list about Audio Visualization.,,3647
