,Url,Description,Topics,Stars
0,https://github.com/jeromeetienne/AR.js.git,Efficient Augmented Reality for the Web - 60fps on mobile!,"a-frame,three-js,webar",15250
1,https://github.com/jeeliz/jeelizFaceFilter.git,"Javascript/WebGL lightweight face tracking library designed for augmented reality webcam filters. Features : multiple faces detection, rotation, mouth opening. Various integration examples are provided (Three.js, Babylon.js, FaceSwap, Canvas2D, CSS3D...). ","face,tracking,detection,javascript,snapchat,3d,webgl,deep-learning,face-detection,face-tracking,threejs,faceswap,library,augmented-reality,face-filters,face-detect,web,lightweight,multiple-faces,camera",1828
2,https://github.com/GeekLiB/AR-Source.git,Augmented reality (AR) development resources(增强现实开发资源汇总)---AIRX整理,,1476
3,https://github.com/exyte/ARTetris.git,Augmented Reality Tetris made with ARKit and SceneKit,"swift,arkit,ios,scenekit,tetromino",1472
4,https://github.com/google/lullaby.git,A collection of C++ libraries designed to help teams develop virtual and augmented reality experiences,"vr,ar,android,ios,linux,windows,daydream,daydream-controllers",1073
5,https://github.com/zac/iphonearkit.git,An Objective-C augmented reality kit for iPhone.,,812
6,https://github.com/farice/ARShooter.git,A demo Augmented Reality shooter made with ARKit in Swift (iOS 11),"swift,ios11,arkit,augmented-reality,ios,fps,game,tutorial,demo,apple",795
7,https://github.com/google-ar/WebARonARKit.git,An experimental app for iOS that lets developers create Augmented Reality (AR) experiences using web technologies.,,717
8,https://github.com/Boris-Em/ARCharts.git,Lovely Augmented Reality Charts for iOS - Built with ARKit,"cocapods,carthage,arkit,ios,swift,augmented-reality,charts,graphs",678
9,https://github.com/promet/PRAugmentedReality.git,iOS Augmented Reality Framework,,610
10,https://github.com/MozillaReality/FirefoxReality.git,A fast and secure browser for standalone virtual-reality and augmented-reality headsets.,,576
11,https://github.com/jcmellado/js-aruco.git,JavaScript library for Augmented Reality applications,,549
12,https://github.com/nitin42/React-Web-AR.git,🕶️ Augmented Reality on web with React,"augmented-reality,augmented-reality-applications,react,react-ar,web,three-js,graphics,artoolkit",537
13,https://github.com/takmin/OpenCV-Marker-less-AR.git,This is a marker less augmented reality application developed using OpenCV. This code can be used under MIT license.  Demo movie: http://youtu.be/KgQguj78qMA,,515
