,Url,Description,Topics,Stars
0,https://github.com/ohmyzsh/ohmyzsh.git,"🙃   A delightful community-driven (with 1800+ contributors) framework for managing your zsh configuration. Includes nearly 300 optional plugins (rails, git, OSX, hub, docker, homebrew, node, php, python, etc), over 140 themes to spice up your morning, and an auto-update tool so that makes it easy to keep up with the latest updates from the community.","shell,zsh-configuration,theme,terminal,productivity,hacktoberfest",127509
1,https://github.com/certbot/certbot.git,"{""Certbot is EFF's tool to obtain certs from Let's Encrypt and (optionally) auto-enable HTTPS on your server.  It can also act as a client for any other CA that uses the ACME protocol.""}","acme,acme-client,certbot,certificate,letsencrypt,python",27951
2,https://github.com/highlightjs/highlight.js.git,JavaScript syntax highlighter with language auto-detection and zero dependencies.,"syntax-highlighting,language-grammars,hacktoberfest,highlighting,syntax-highlighter",18366
3,https://github.com/SnapKit/Masonry.git,"Harness the power of AutoLayout NSLayoutConstraints with a simplified, chainable and expressive syntax. Supports iOS and OSX Auto Layout",,17929
4,https://github.com/electron-userland/electron-builder.git,A complete solution to package and build a ready for distribution Electron app with “auto update” support out of the box,"electron,builder,auto-update,squirrel,nsis,macos,linux,deb,rpm,appx,dmg,pkg,snap,electron-builder,distribution-electron,electron-updater,muon,msi",10542
5,https://github.com/forkingdog/UITableView-FDTemplateLayoutCell.git,Template auto layout cell for automatically UITableViewCell height calculating,,9906
6,https://github.com/teddysun/shadowsocks_install.git,Auto Install Shadowsocks Server for CentOS/Debian/Ubuntu,"shadowsocks,shadowsocksr,shadowsocks-server,shadowsocks-libev,ssr",7483
7,https://github.com/PureLayout/PureLayout.git,"The ultimate API for iOS & OS X Auto Layout — impressively simple, immensely powerful. Objective-C and Swift compatible.","purelayout,ios,autolayout",7470
8,https://github.com/robb/Cartography.git,A declarative Auto Layout DSL for Swift :iphone::triangular_ruler:,,7222
9,https://github.com/oldboyxx/jira_clone.git,"A simplified Jira clone built with React/Babel (Client), and Node/TypeScript (API). Auto formatted with Prettier, tested with Cypress.",,6957
10,https://github.com/dragen1860/TensorFlow-2.x-Tutorials.git,"{""TensorFlow 2.x version's  Tutorials and Examples, including CNN, RNN, GAN, Auto-Encoders, FasterRCNN, GPT, BERT examples, etc. TF 2.0版入门实例代码，实战教程。""}","tensorflow,tensorflow-examples,tensorflow-tutorials,tensorflow-2,deep-learning,machine-learning,computer-vision,nlp,artificial-intelligence,neural-network",5907
11,https://github.com/ponzu-cms/ponzu.git,"{""Headless CMS with automatic JSON API. Featuring auto-HTTPS from Let's Encrypt, HTTP/2 Server Push, and flexible server framework written in Go.""}","cms,tls,http2,golang,cli,json,api,server,productivity",5219
12,https://github.com/dwyl/english-words.git,:memo: A text file containing 479k English words for all your dictionary/word-based projects e.g: auto-completion / autosuggestion,,5171
13,https://github.com/iMeiji/shadowsocks_install.git,Auto install shadowsocks server，thanks 秋水逸冰,,4361
14,https://github.com/StackStorm/st2.git,"StackStorm (aka ""IFTTT for Ops"") is event-driven automation for auto-remediation, security responses, troubleshooting, deployments, and more. Includes rules engine, workflow, 160 integration packs with 6000+ actions (see https://exchange.stackstorm.org) and ChatOps. Installer at https://docs.stackstorm.com/install/index.html. Questions? https://forum.stackstorm.com/.","python,stackstorm,devops,deployment,cicd,automation,auto-remediation,st2,workflows,chatops,ifttt",4300
15,https://github.com/ohld/igbot.git,"🐙 Free scripts, bots and Python API wrapper. Get free followers with our auto like, auto follow and other scripts!","python,api-wrapper,instagram,bot,instabot,like,follow,comment,instagram-bot,instabotpy,instapy",3904
