,Url,Description,Topics,Stars
0,https://github.com/ansible/ansible.git,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.","python,ansible,hacktoberfest",48107
1,https://github.com/home-assistant/core.git,:house_with_garden: Open source home automation that puts local control and privacy first,"python,home-automation,iot,internet-of-things,mqtt,raspberry-pi,asyncio,hacktoberfest",42408
2,https://github.com/SeleniumHQ/selenium.git,A browser automation framework and ecosystem.,"selenium,webdriver,java,ruby,python,javascript,dotnet",20750
3,https://github.com/segmentio/nightmare.git,A high-level browser automation library.,"electron,headless-chrome,browser,phantomjs,chrome",18880
4,https://github.com/jenkinsci/jenkins.git,Jenkins automation server,"continuous-integration,continuous-delivery,continuous-deployment,java,groovy,jenkins,pipelines-as-code,devops,cicd,hacktoberfest",17329
5,https://github.com/arendst/Tasmota.git,"Alternative firmware for ESP8266 with easy configuration using webUI, OTA updates, automation using timers or rules, expandability and entirely local control over MQTT, HTTP, Serial or KNX. Full documentation at","tasmota,firmware,esp8266,sonoff,tuya,knx,arduino,iot,mqtt,ota,automation,smart-home",15185
6,https://github.com/n8n-io/n8n.git,Free and open fair-code licensed node based Workflow Automation Tool. Easily automate tasks across different services.,"automation,automated,iaas,ipaas,n8n,workflow,typescript,node,self-hosted,integrations,workflow-automation,cli,development,docker,low-code,low-code-plattform,low-code-development-platform,data-flow,integration-framework,apis",13804
7,https://github.com/appium/appium.git,":iphone: Automation for iOS, Android, and Windows Apps.","appium,webdriver,android,ios,windows,automation",13595
8,https://github.com/prisma-archive/chromeless.git,🖥  Chrome automation made simple. Runs locally or headless on AWS Lambda.,"serverless,integration-testing,headless-chrome,headless,graphcool,nightmarejs,selenium,chrome",13260
9,https://github.com/capistrano/capistrano.git,Remote multi-server automation tool,"deployment,ssh,ruby,capistrano",11840
10,https://github.com/gradle/gradle.git,"Adaptable, fast automation for all","gradle,build-tool",11799
11,https://github.com/octalmage/robotjs.git,Node.js Desktop Automation. ,,10099
12,https://github.com/wix/Detox.git,Gray box end-to-end testing and automation framework for mobile apps,"e2e-tests,ios,react-native,android,testing",7977
13,https://github.com/Hammerspoon/hammerspoon.git,Staggeringly powerful macOS desktop automation with Lua,"macos,objective-c,lua,hammerspoon,osx,automation,mjolnir,irc",7830
14,https://github.com/webdriverio/webdriverio.git,Next-gen browser and mobile automation test framework for Node.js,"javascript,webdriverio,webdriver,node,test,automation,devtools,performance,performance-test,mocha,cucumber,jasmine",6672
15,https://github.com/go-vgo/robotgo.git,"RobotGo, Go Native cross-platform GUI automation  @vcaesar","go,robot,golang,automation,robotgo,c",6616
16,https://github.com/chef/chef.git,"Chef Infra, a powerful automation platform that transforms infrastructure into code automating how infrastructure is configured, deployed and managed across any environment, at any scale","chef,devops,cfgmgt,infrastructure,automation,deployment,hacktoberfest",6568
17,https://github.com/puppetlabs/puppet.git,Server automation framework and application,,6151
