,Url,Description,Topics,Stars
0,https://github.com/alievk/avatarify-python.git,"Avatars for Zoom, Skype and other video-conferencing apps.",,13436
1,https://github.com/cgoldsby/LoginCritter.git,An animated avatar that responds to text field interactions,"animation,uipropertyanimator,swift",5464
2,https://github.com/timuric/Content-generator-sketch-plugin.git,"Sketch app plugin for generating dummy data such as avatars, names, photos, geo data etc","dummy-data,avatars,javascript,sketch-plugin,design-assets",4416
3,https://github.com/mosch/react-avatar-editor.git,Small avatar & profile picture component. Resize and crop uploaded images using a intuitive user interface.,"react,avatar,crop,javascript,image,profile-picture-component",1761
4,https://github.com/laravolt/avatar.git,"Plug n play avatar, turn name, email, and any other string into beautiful avatar (or gravatar), effortless. ","avatar,php,laravel-package,initials,profile-picture,php-library,gravatar",1468
5,https://github.com/dicebear/dicebear.git,DiceBear is an avatar library for designers and developers.,"avatar,pixel-art,avataaars,bottts,avatars,dicebear",1220
6,https://github.com/multiavatar/Multiavatar.git,Multicultural Avatar Generator in JavaScript,,1042
7,https://github.com/martin90s/ImagePicker.git,"Super Image Picker is a powerful image selector. Support for huge image preview (such as 10000 * 5000px), support for image cropping, configurable avatar mode and normal mode, support for  a variety of image load library","android,imagepicker,photo-gallery",888
8,https://github.com/AlexBarinov/UIBubbleTableView.git,Cocoa UI component for chat bubbles with avatars and images support,,857
9,https://github.com/draftbit/avatar-generator.git,Persona Avatar Generator by Draftbit,"avatars,personas,reasonml",841
10,https://github.com/itsthatguy/avatars-api-middleware.git,The express middleware for our avatars service,,743
11,https://github.com/grantmcconnaughey/django-avatar.git,A Django app for handling user avatars.,"python,django,avatar",723
12,https://github.com/tobiaslins/avatar.git,💎   Beautiful avatars as a microservice,"nodejs,microservice,micro",631
13,https://github.com/WolframHempel/photobooth-js.git,A widget that allows users to take their avatar pictures on your site,,575
14,https://github.com/kongnanlive/android-combination-avatar.git,Imitation QQ discussion group Avatar  模仿QQ讨论组头像,,570
15,https://github.com/eliep/vue-avatar.git,An avatar component for vue.js,,564
16,https://github.com/multiavatar/multiavatar-php.git,Multicultural Avatar Generator in PHP,,545
17,https://github.com/Kikobeats/unavatar.git,Get a unified user avatar from multiple providers.,,522
18,https://github.com/Sitebase/react-avatar.git,Universal avatar makes it possible to fetch/generate an avatar based on the information you have about that user.,,521
19,https://github.com/maximedegreve/TinyFaces.git,Free stock avatars for everyone  👦🏼👨🏾👩🏻  (Built w/ Swift),"api,vapor,swift,xcode,ubuntu",499
20,https://github.com/stfalcon-studio/MultiImageView.git,Android library to display a few images in one ImageView like avatar of group chat. Made by Stfalcon,"android,avatar,groupchat,multiimage",448
21,https://github.com/o1egl/govatar.git,Avatar generation library for GO language,"skin,avatar-generator,go,golang",434
22,https://github.com/umasteeringgroup/UMA.git,Unity Multipurpose Avatar ,,433
23,https://github.com/overtrue/vue-avatar-cropper.git,:girl: A simple and elegant avatar cropping and upload plugin.,"vue,cropper,vue-avatar,avatar-cropper,vue-avatar-cropper",409
24,https://github.com/kirill3333/react-avatar.git,"👤 Load, crop & preview avatar with React","react,avatar,react-component,profile-picture,canvas,javascript",383
25,https://github.com/YiiGuxing/CompositionAvatar.git,Android composition avatar. 仿QQ讨论组头像,"android,custom-view,avatar,qq",373
26,https://github.com/avatartwo/avatar2.git,Python core of avatar²,"embedded-systems,binary-analysis,reverse-engineering",346
27,https://github.com/loweisz/generate-avatar.git,"Generate your 100% fingerprinted example avatar from id, email, username etc.","svg,avatar",319
28,https://github.com/TangoAgency/avatar-view.git,"{""Avatar ImageView with user's name first letter Drawable placeholder""}","android,android-library,android-view,android-ui,android-data-binding",310
29,https://github.com/ElemeFE/image-cropper.git,"A image cropper for cropping user avatar, no dependencies.",,307
30,https://github.com/LasseRafn/php-initial-avatar-generator.git,Generate avatars with initials from user names.,"php,intervention,image,generator,avatar,avatar-generator,profile-picture,php7",304
31,https://github.com/taironas/tinygraphs.git,avatar generator web service,,300
32,https://github.com/microsoft/Microsoft-Rocketbox.git,"Microsoft Rocketbox is now available with MIT license! The library of 115 rigged avatars offers flexibility, enabling the easy use of facial animations across characters and the mixing and matching of texture elements.",,297
33,https://github.com/DropsOfSerenity/react-avatar-cropper.git,Aiming to be a complete solution for avatar cropping in react.,,280
34,https://github.com/holys/initials-avatar.git,Initials avatar for golang,avatar-generator,271
35,https://github.com/lincanbin/Material-Design-Avatars.git,Create material deisgn avatars for users just like Google Messager. It may not be unique but looks better than Identicon or Gravatar. ,"avatar,php,gravatar,material-design",267
36,https://github.com/NumesSanguis/FACSvatar.git,An Open Source Modular Framework From Face to FACS Based Avatar Animation (Unity3D / Blender),"facs,facial-expressions,zeromq,openface,pyzmq,avatar-animation,unity3d,blender,dnn,modular,docker-container,animation",267
37,https://github.com/hongkhanh/cropbox.git,"A lightweight  and simple JavaScript, Jquery, YUI plugin to crop your avatar",,265
38,https://github.com/yueyoum/django-siteuser.git,"Register, Login, OAuth2, Upload avatar...",,254
39,https://github.com/ksz2k/letter_avatar.git,"{""Ruby gem for creating letter avatar from user's name (or any other string :-) ).""}","ruby,letter-avatar",248
40,https://github.com/tj/sponsors-api.git,GitHub Sponsor avatar listings in your Readme.md,"sponsors,sponsorship,github,github-sponsors,golang",227
41,https://github.com/arturgrigor/AGMedallionView.git,"{""iOS Picture View Control (Mac OS X Lion User's Avatar Like)""}","objective-c,ios,macos,osx,xcode",224
42,https://github.com/maximedegreve/TinyFaces-Sketch-Plugin.git,Fill selected layers in Sketch with free stock avatars,"sketch,plugin",222
43,https://github.com/daboth/pagan.git,Python avatar generator for absolute nerds,,222
44,https://github.com/judesfernando/initial.js.git,Simple jQuery plugin to make Gmail like text avatars for profile pictures,,221
45,https://github.com/apgapg/avatar_glow.git,A Flutter Package providing Avatar Glow Widget,"avatar-glow,flutter,dart,pub,apgapg",217
46,https://github.com/HaithemMosbahi/ngx-avatar.git,Universal avatar component for angular 2+ applications makes it possible to fetch / generate  avatar from different sources,"angular2,angular4,angular-component,avatar,facebook,avatar-component,twitter,initials-avatar,vkontakte,angular6",215
47,https://github.com/rurre/PumkinsAvatarTools.git,A toolbox for easily setting up VRChat avatars in Unity. Adds functionality to the editor and automates some of the tedious tasks.,"vrchat,component-copier,dynamic-bones,avatar,virtual-reality,tools,unity,avatars",212
48,https://github.com/malaybaku/VMagicMirror.git,VRM Software for Windows to move avatar with minimal devices.,,198
49,https://github.com/Pedroafa/avatar-android.git,Rounded and Squared Avatar for Android Applications,,197
50,https://github.com/tinyspeck/glitch-avatars.git,"{""Art and source for Glitch's customizable avatars""}",,196
51,https://github.com/MatthewCallis/avatar.git,Library for showing Gravatars or generating user avatars.,"avatar,gravatar,javascript,initials",191
52,https://github.com/hearsilent/AmazingAvatar.git,An android amazing avatar anim in CollapsingToolbarLayout.,"android,avatar,amazing,collapsingtoolbarlayout,android-sample,hacktoberfest",189
53,https://github.com/vpeschenkov/LetterAvatarKit.git,📦  An extension that generates letter-based avatars/placeholders,"swift,swift-framework,letter-avatar,ios,gmail-avatar,objective-c,jazzy,swift-4,fastlane,podspec,initials-avatar,initials,avatar,placeholder-image,swift5,swift4-2,uiimageview-category,uiimageview-letters",188
54,https://github.com/dkalaitzidis/SwiftyAvatar.git,iOS Swift class to create circular or rounded avatar images,,183
55,https://github.com/ljvmiranda921/sprites-as-a-service.git,"Generate your personal 8-bit avatars using Cellular Automata, a mathematical model that simulates life, survival, and extinction","cellular-automata,avatar-generator,vuejs,fastapi,python,nuxtjs,sprites,pixel-art",183
56,https://github.com/orgordin/vuejs-avataaars.git,Simple avatar generator Vue component for avataaars.,,171
57,https://github.com/huika/UMA.git,Unity Multipurpose Avatar,,169
58,https://github.com/Bekt/invatar.git,Invatar is a free service for generating fully customizable avatars with initials. ,,168
59,https://github.com/minotar/imgd.git,"Minotar is a global avatar service that pulls your head off of your Minecraft.net skin, and allows it for use on several thousand sites. ",,164
60,https://github.com/ProteusVRpublic/ProteusTemplate.git,Single/Multiplayer VR Template for Touch/Vive Controllers and Avatars,,157
61,https://github.com/lo-th/Avatar.lab.git,Human avatar and animation for three.js,,157
62,https://github.com/arusanov/avatar-generator.git,8bit avatar generator. Inspired by https://github.com/matveyco/8biticon,,154
63,https://github.com/LucasSheng/avatar-net.git,Avatar-Net: Multi-scale Zero-shot Style Transfer by Feature Decoration,"style-transfer,zero-shot",152
64,https://github.com/wbinnssmith/react-user-avatar.git,React component for a user avatar with fallback to colored initials,,152
65,https://github.com/anasnakawa/chrome-github-avatars.git,display avatars in github news feed,,149
66,https://github.com/CapsAdmin/pac3.git,advanced avatar customization for garrysmod,"lua,garrys-mod,gmod,character-creation",143
67,https://github.com/uttesh/ngletteravatar.git,"directive for the letter avatar for the given string like gmail, first letter of the given data will be the avatar .  ",,137
68,https://github.com/avishayil/react-native-user-avatar.git,Avatar Component For React Native,,136
69,https://github.com/zhushunqing/FaustCplus.git,Flash Avatar Upload Sina Twitter Crack+,,135
70,https://github.com/ralfebert/jgravatar.git,jgravatar is a Java library for accessing gravatar.com avatar images ,,132
71,https://github.com/drhus/awesome-identicons.git,"A curated list of ""Visual Hashs"" (Identicon, Avatar, Fractal, RandomArt and general Hash Visualization)","identicon,avatar,hash,visulization,awesome,pictograph,pictogram,hash-verification,checksum-viewer",123
72,https://github.com/nixzhu/Navi.git,Focus on avatar caching.,,115
73,https://github.com/disintegration/letteravatar.git,Letter avatar generation for Go,"go,avatar,avatar-generator,letter-avatar",112
74,https://github.com/shrekshao/gltf-avatar-threejs.git,A glTF-based 3d avatar system,"threejs,3d,gltf,avatar",111
75,https://github.com/yohang88/letter-avatar.git,Generate user avatar using name initials letter.,,108
76,https://github.com/favrora/Avatar-Maker.git,Create your own avatar with Vue Avatar Maker app.,"vue,avatar,avatars,avatar-maker,avatar-generator,vue-avatar",108
