,Url,Description,Topics,Stars
0,https://github.com/marmelab/react-admin.git,"A frontend Framework for building B2B applications running in the browser on top of REST/GraphQL APIs, using ES6, React and Material Design","material-ui,react,frontend-framework,rest,admin,admin-dashboard,single-page-app,admin-on-rest,react-admin",16765
1,https://github.com/aimeos/aimeos-laravel.git,"Laravel ecommerce package for professional, ultra fast online shops, complex B2B applications and #gigacommerce","aimeos,laravel,ecommerce,e-commerce,shop,b2b,marketplace,php,json-api,laravel-package,laravel-ecommerce,laravel-application,shop-application,ecommerce-framework,vuejs,ecommerce-platform,opensource,multivendor-ecommerce,multi-tenant",4460
2,https://github.com/aimeos/aimeos-core.git,"Aimeos PHP e-commerce framework for ultra fast online shops, complex B2B applications and #gigacommerce","aimeos,php-library,e-commerce,ecommerce,shop,php,performance,b2b,marketplace",1677
3,https://github.com/UnlyEd/next-right-now.git,"Flexible production-grade boilerplate with Next.js 10.2, Vercel and TypeScript. Includes multiple opt-in presets using Storybook, Airtable, GraphQL, Analytics, CSS-in-JS, Monitoring, End-to-end testing, Internationalization, CI/CD and SaaS B2B multi single-tenancy (monorepo) support","typescript,typescript-boilerplate,zeit-now,isomorphic-react,universal-app,universal-react,sentry,amplitude,amplitude-analytics,emotion,font-awesome,graphql,graphcms,i18next,locize,cypress,jest,web-font-loader,react-framework,monorepo",753
