,Url,Description,Topics,Stars
0,https://github.com/zxing/zxing.git,"ZXing (""Zebra Crossing"") barcode scanning library for Java, Android","java,android,barcode,barcode-scanner,zxing,qr-code,datamatrix,upc",27697
1,https://github.com/react-native-camera/react-native-camera.git,A Camera component for React Native. Also supports barcode scanning!,"react-native,face-detection,rncamera,camera",9115
2,https://github.com/dm77/barcodescanner.git,Barcode Scanner Libraries for Android,,5381
3,https://github.com/journeyapps/zxing-android-embedded.git,"Barcode scanner library for Android, based on the ZXing decoder","zxing-android,android-library,barcode-scanning",4744
4,https://github.com/serratus/quaggaJS.git,An advanced barcode-scanner written in JavaScript,,4240
5,https://github.com/lindell/JsBarcode.git,Barcode generation library written in JavaScript that works in both the browser and on Node.js,"barcode,javascript,barcode-generator,es2015,es6",3907
6,https://github.com/MxABC/LBXScan.git,A barcode and qr code scanner (二维码、扫码、扫一扫、ZXing、ZBar、iOS系统AVFoundation扫码封装，扫码界面效果封装),"scan,zbar,avfoundation,zxing,qrcode-scanner,qrcode-generator",3096
7,https://github.com/tecnickcom/TCPDF.git,Official clone of PHP library to generate PDF documents and barcodes,,2882
8,https://github.com/dlazaro66/QRCodeReaderView.git,Modification of ZXING Barcode Scanner project for easy Android QR-Code detection and AR purposes,"android,zxing,camera,qrcodereaderview",1857
9,https://github.com/micjahn/ZXing.Net.git,.Net port of the original java-based barcode reader and generator library zxing,,1650
10,https://github.com/kingsic/SGQRCode.git,The easy to use Barcode and QR code scan library for iOS【iOS 原生二维码生成与扫描 -> 高仿微信】,"barcode,qrcode",1523
11,https://github.com/hyperoslo/BarcodeScanner.git,:mag_right: A simple and beautiful barcode scanner.,"barcode-scanner,camera,swift,ui,ios",1458
12,https://github.com/MxABC/swiftScan.git,A barcode and qr code scanner( 二维码 各种码识别，生成，界面效果),"scan,qrcode,barcode,avfoundation",1368
13,https://github.com/metafloor/bwip-js.git,Barcode Writer in Pure JavaScript,,1301
14,https://github.com/mikebuss/MTBBarcodeScanner.git,"A lightweight, easy-to-use barcode scanning library for iOS 8+","cocoapods,barcode-scanning,objective-c,swift,carthage,camera",1090
15,https://github.com/zxing-js/library.git,"Multi-format 1D/2D barcode image processing library, usable in JavaScript ecosystem.","zxing,typescript,qrcode,barcode,decoding-images,encoding-library,hacktoberfest",1089
16,https://github.com/picqer/php-barcode-generator.git,"Barcode generator in PHP that is easy to use, non-bloated and framework independent.","barcode-generator,php,barcode,upc,msi,gs1-128,code128,ean13,code39,code93",1089
17,https://github.com/boombuler/barcode.git,a barcode creation lib for golang,"barcode,go,qrcode-generator,datamatrix,aztec-code,codabar,code128,code39,code93,ean13,ean8,qrcode,golang,pdf417",966
18,https://github.com/Redth/ZXing.Net.Mobile.git,"Barcode Scanner for Xamarin.iOS, Xamarin.Android, UWP and Tizen",,923
19,https://github.com/milon/barcode.git,Laravel 5 Barcode Generator,"barcode-generator,barcode,laravel",847
20,https://github.com/dokun1/Lumina.git,"A camera designed in Swift for easily integrating CoreML models - as well as image streaming, QR/Barcode detection, and many other features","swift,ios,coreml,camera",792
21,https://github.com/toretore/barby.git,The Ruby barcode generator,,770
22,https://github.com/yeahdongcn/RSBarcodes_Swift.git,1D and 2D barcodes reader and generators for iOS 8 with delightful controls. Now Swift.,,662
23,https://github.com/papyrussolution/UhttBarcodeReference.git,Universe-HTT barcode reference,"opendata,dataset,csv,barcodes,ean-numbers,upc-a,upce,usda,barcode,brand,upc,ean,universe-htt",650
24,https://github.com/mintware-de/flutter_barcode_reader.git,A flutter plugin for reading 2D barcodes and QR codes.,,633
25,https://github.com/EddieLa/JOB.git,"A Barcode scanner capapable of reading Code128, Code93, Code39, Standard/Industrial 2 of 5, Interleaved 2 of 5, Codabar and EAN-13 barcodes in javascript.",,570
26,https://github.com/KingsMentor/MobileVisionBarcodeScanner.git,Barcode Scanner powered by Mobile Vision Api,,534
27,https://github.com/ideacreation/react-native-barcodescanner.git,A barcode scanner component for react native - not maintained anymore - use react-native-camera,,531
28,https://github.com/jpwiddy/iOS7-BarcodeScanner.git,Barcode scanner using the scanning capabilities introduced with iOS 7.,,523
29,https://github.com/zint/zint.git,Zint Barcode Generator,,464
30,https://github.com/zxing-js/ngx-scanner.git,"Angular (2+) QR code, Barcode, DataMatrix, scanner component using ZXing.","zxing,angular,qr-code,barcode,camera,scanner,demo,wiki,hacktoberfest,sponsors",437
31,https://github.com/barnhill/barcodelib.git,C# Barcode Image Generation Library,"barcode,barcode-images,barcode-generator,barcodes,csharp,csharp-library",415
32,https://github.com/ftylitak/qzxing.git,Qt/QML wrapper library for the ZXing library.  1D/2D barcode image processing library,"qml,zxing,qt,barcode,barcode-scanner,barcode-generator,qrcode,datamatrix,1d-barcodes,upc,ean13,ean8",413
33,https://github.com/yeahdongcn/RSBarcodes.git,1D and 2D barcodes scanner and generators for iOS7 with delightful controls.,,393
34,https://github.com/mkoppanen/php-zbarcode.git,PHP extension for reading barcodes. Uses ImageMagick(http://www.imagemagick.org/) for image support and zbar(http://zbar.sourceforge.net/) for scanning the barcodes.,,371
35,https://github.com/NaturalHistoryMuseum/pyzbar.git,Read one-dimensional barcodes and QR codes from Python 2 and 3.,,355
36,https://github.com/bwipp/postscriptbarcode.git,Barcode Writer in Pure PostScript,"postscript,barcode,qr-code,variable-data-printing,ghostscript,distiller,datamatrix,barcode-generator,isbn,pdf417,aztec-code,gs1-databar,code128,code39,dotcode,ean,upc,printer,dmre,eci",328
37,https://github.com/Spelt/ZXing.Delphi.git,ZXing Barcode Scanning object Pascal Library for Delphi VCL and Delphi Firemonkey,,322
38,https://github.com/react-native-component/react-native-smart-barcode.git,A smart barcode scanner component for React Native app.,,309
39,https://github.com/markusfisch/BinaryEye.git,Yet another barcode scanner for Android,"android,kotlin-android,renderscript,android-camera,zxing",301
40,https://github.com/davidscotttufts/php-barcode.git,"Source code for the article ""How To Create Barcodes in PHP"" found at http://davidscotttufts.com/2009/03/31/how-to-create-barcodes-in-php/",,294
41,https://github.com/chenjie1219/SwiftScan.git,A barcode and qr code scanner( 二维码/条形码扫描、生成，仿微信、支付宝),"swift,xcode,scanner,qrcode,barcode,qrcode-generator,qrcode-scanner,ios,wechat,alipay,er-wei-ma,scan,app,ipa,macos,avfoundation,carthage",294
42,https://github.com/Feghal/ImageDetect.git,"✂️ Detect and crop faces, barcodes and texts in image with iOS 11 Vision api.","vision,vision-api,ios11,ios,swift,face,face-detection,face-recognition,barcode,detector,recognition",292
43,https://github.com/netshade/Cocoa-Touch-Barcodes.git,"{""Fork of Jeff Lamarche's original barcode generator library at http://code.google.com/p/cocoabarcodes/""}",,287
44,https://github.com/ravi8x/Barcode-Reader.git,Android barcode reader using google vision library,"android,android-library,google-vision-api,barcode-scanner,barcodes,androidhive",282
45,https://github.com/EddyVerbruggen/nativescript-barcodescanner.git,🔎 NativeScript QR / barcode (bulk)scanner plugin,"nativescript,nativescript-plugin,barcode,barcode-scanner,qr-code,ean8,ean13",281
46,https://github.com/EdwardvanRaak/MaterialBarcodeScanner.git,Easy to use barcode reader for your Android Project (Uses Google Mobile Vision API),,278
47,https://github.com/graphicore/librebarcode.git,Libre Barcode: barcode fonts for various barcode standards.,,267
48,https://github.com/danslimmon/oscar.git,"{""Scan your coffee's barcode, and it'll get added to your grocery list""}",,254
49,https://github.com/WhyNotHugo/python-barcode.git,㊙️ Create standard barcodes with Python. No external dependencies. 100% Organic Python.,"barcode,python,pure-python,svg,image",251
50,https://github.com/aritchie/acr-xamarin-forms.git,"Camera/Gallery, Barcode Scanning, User Dialogs, Geo-Location, Network Utils, Device Info, Settings, E-Mail, Phone, SMS all for Xamarin.Forms",,245
51,https://github.com/oostendo/python-zxing.git,python wrapper for the ZXing barcode library,,244
52,https://github.com/appcoda/QRCodeReader.git,Barcode and QR code reader built in Swift,"swift,barcode,qrcode,xcode,ios-app",239
53,https://github.com/shahnawaz/react-native-barcode-mask.git,A barcode and QR scan layout for react-native applications with customizable styling,"barcode,barcode-scanner,react-native,barcode-mask,style,react-native-barcode-mask,border,edges",238
54,https://github.com/twostraws/CodeScanner.git,"A SwiftUI view that is able to scan barcodes, QR codes, and more, and send back what was found.",,234
55,https://github.com/MattFoley/Smerk.git,"Repository for easily building video detection in iOS, faces to barcodes to QR codes",,226
56,https://github.com/woo-j/OkapiBarcode.git,Open-source barcode encoding program written in Java,,226
57,https://github.com/ericblade/quagga2.git,An advanced barcode-scanner written in Javascript and TypeScript - Continuation from https://github.com/serratus/quaggajs,"barcode,barcode-scanner,barcode-reader,barcodes,barcode-detection,barcode-recognizer,javascript,node,nodejs,camera,hacktoberfest,ean,quagga",220
58,https://github.com/AmolGangadhare/flutter_barcode_scanner.git,Barcode scanner plugin for flutter. Supports barcode scanning for Android and iOS,"flutter,barcode,barcode-scanner,flutterbarcodescanner,flutter-barcode-scanner,barcodescanner,dart,fluttersdk,barcodescanninginflutter,swift,android,ios,scanner,scan,flutter-plugin",213
59,https://github.com/kciter/react-barcode.git,A <Barcode/> component for use with React.,"react,barcode",212
