,Url,Description,Topics,Stars
0,https://github.com/wuhaoyu1990/MagicCamera.git,Real-time Filter Camera&VideoRecorder And ImageEditor With Face Beauty For Android---包含美颜等40余种实时滤镜相机，可拍照、录像、图片修改,,5037
1,https://github.com/LaiFengiOS/LFLiveKit.git,"LaiFeng IOS Live Kit,H264 and AAC Hard coding，support GPUImage Beauty， rtmp transmission，weak network lost frame，Dynamic switching rate",,4183
2,https://github.com/CainKernel/CainCamera.git,"CainCamera is an Android Project to learn about development of beauty camera, image and short video","android,opengles,ffmpeg,android-camera-surfaceview,egl,onpreviewframe,videoeditor,imageeditor",2122
3,https://github.com/ethan-funny/explore-python.git,:green_book: The Beauty of Python Programming.,"python,gitbook",1727
4,https://github.com/ksvc/KSYLive_iOS.git,金山云直播SDK [ iOS推流+播放 ]融合版 支持美颜滤镜(Beauty Filter)、美声(Beauty Voice)、软硬编(Software/Hardware Encoder) 、网络自适应(Network Auto Adapt)、混音(Audio Mixer)、混响(Reverb)、画中画(PIP),"livestream,recoder,ios-sdk,gpuimage,cocoapods,video-streaming,aac,rtmp,h264,h265,beautyfilter",869
5,https://github.com/chenliming777/LMLiveStreaming.git,"IOS Live,H264 and AAC Hard coding，support GPUImage Beauty， rtmp and flv transmission，weak network lost frame，Dynamic switching rate",,788
6,https://github.com/ksvc/KSYStreamer_Android.git,金山云Android采集推流SDK(Livestream SDK)，支持内置/自定义美颜(Beauty Filter)、美声(Beauty Voice)、软硬编(Software/Hardware Encoder) 、网络自适应(Network Auto Adapt)、混音(Voice Mixer)、混响(Reverb)、画中画(PIP)、连麦(RTC)、动态贴纸(Sticker)、大眼瘦脸(Bigger Eyes and Smaller Faces),"livestream,recorder,beautyfilter",703
7,https://github.com/HCIILAB/SCUT-FBP5500-Database-Release.git,A diverse benchmark database for multi-paradigm facial beauty prediction,,514
8,https://github.com/absent1706/sqlalchemy-mixins.git,"Active Record, Django-like queries, nested eager load and beauty __repr__ for SQLAlchemy","sqlalchemy,activerecord,eager-load,django-like,orm,orm-extension,eager-loading",467
9,https://github.com/SumiMakito/hexo-theme-typography.git,Rediscover the beauty of typography.,"hexo-blog,hexo,hexo-theme",370
10,https://github.com/spyoungtech/ahk.git,Python wrapper for AutoHotkey. Harness the automation power of AutoHotkey with the beauty of Python.,"autohotkey,automation,ahk-script,python,windows,asyncio",362
11,https://github.com/manjunath5496/The-Art-of-Computer-Programming-Books.git,"""Everyday life is like programming, I guess. If you love something you can put beauty into it."" ― Donald E. Knuth",,345
12,https://github.com/headsling/Node.cs.git,Node.cs.net - Node.js in c# with all the beauty and performance that C# brings ,,341
13,https://github.com/ksvc/KSYLive_Android.git,"Android播放&推流融合版本[Android Play and LiveStreaming SDK] 直播延时2-3秒（Living delay 2 or 3 seconds），supporting jitter control，software&hardware decode, 支持内置/自定义美颜(Beauty Filter)、美声(Beauty Voice)、软硬编(Software/Hardware Encoder) 、网络自适应(Network Auto Adapt)、混音(Voice Mixer)、混响(Reverb)、画中画(PIP) 、连麦(RTC)、动态贴纸(Sticker)",,302
