,Url,Description,Topics,Stars
0,https://github.com/detailyang/awesome-cheatsheet.git,:beers: awesome cheatsheet,"awesome,cheatsheet",5581
1,https://github.com/frontendbr/forum.git,":beer: Portando discussões feitas em grupos (Facebook, Google Groups, Slack, Disqus) para o GitHub Discussions","forum,frontend,discussion",3703
2,https://github.com/Linuxbrew/brew.git,:beer::penguin: The Homebrew package manager for Linux,"brew,linuxbrew,homebrew,linux,macos,package-manager,ruby",2583
3,https://github.com/Webschool-io/be-mean.git,":beer: Curso voltado a ensinar o STACK conhecido como MEAN(MongoDb, Express, Angular e Node.js) e muitas outras tecnologias que utilizam JavaScript. ONde você se formará um desenvolvedor FULLSTACK!!!",,1325
4,https://github.com/laike9m/pdir2.git,Pretty dir() printing with joy:beer:,,1216
5,https://github.com/INRIA/spoon.git,"Spoon is a metaprogramming library to analyze and transform Java source code (up to Java 15). :spoon: is made with :heart:, :beers: and :sparkles:. It parses source files to build a well-designed AST with powerful analysis and transformation API.","code-analysis,code-transformation,metaprogramming,code-generation,abstract-syntax-tree,ast,static-analysis,compile-time-reflection,java,java9,java-module,spoon,parser,inria,java10",1123
6,https://github.com/sl1673495/leetcode-javascript.git,:beers: 喝杯小酒，一起做题。前端攻城狮从零入门算法的宝藏题库，根据算法大师的经验总结了 100+ 道 LeetCode 力扣的经典题型 JavaScript 题解和思路。已按题目类型分 label，一起加油。,,805
7,https://github.com/breakzplatform/slack-list-brazil.git,:beer: Curadoria de Slacks no Brasil para você participar.,,564
8,https://github.com/EddyVerbruggen/Toast-PhoneGap-Plugin.git,:beers: A Toast popup plugin for your fancy Cordova app,"cordova,phonegap,toast",503
9,https://github.com/backend-br/forum.git,":beer: :coffee: Dúvidas, sugestões ou questões em gerais sobre Back-End",,470
10,https://github.com/SigureMo/bilili.git,:beers: bilibili video (including bangumi) and danmaku downloader | B站视频（含番剧）、弹幕下载器,"bilibili,python3,crawler,spider,video,requests,subtitle,danmaku,multithread,downloader,download",447
11,https://github.com/scottksmith95/beerlocker.git,Source code for Beer Locker tutorials,,424
12,https://github.com/watchdog-framework/watchdog-framework.git,:beers: 「停止维护」基于SpringBoot+Shiro+Mybatis等开发的轻量级管理系统快速开发脚手架,"spring-boot,mybatis,java,freemarker,mybatis-plus,hikaricp,hikari-cp,jdbc,mysql,spring,spring-mvc",422
13,https://github.com/benoitletondor/Beer-Me-Up.git,A beer tracking app made with Flutter,,418
14,https://github.com/shivammathur/homebrew-php.git,:beer: Homebrew tap for PHP 5.6 to 8.1. PHP 8.1 is a nightly build.,"php,homebrew,homebrew-php,homebrew-tap,php8,macos,arm64",376
15,https://github.com/spring-cloud-samples/brewery.git,Brewing beer with Spring Cloud has never been that easy...,,335
16,https://github.com/awslabs/simplebeerservice.git,Simple Beer Service (SBS) is a cloud-connected kegerator that streams live sensor data to AWS.,,297
17,https://github.com/cavalleria/cavaface.pytorch.git,:beers: :rocket: :city_sunset: face recognition project(pytorch),"face-recognition,pytorch,network,loss,arcnegface,arcface,resnest,attention-irse,apex,randaugment,mixup,dataparallel,model-parallel,resnet-irse,curricularface,cosface,amsoftmax,circleloss,ghostnet,efficientnet",291
18,https://github.com/ngryman/badge-size.git,:beers: Displays the size of a given file in your repository.,"badge,size,gzip,minify",281
19,https://github.com/brewsci/homebrew-bio.git,:beer::microscope: Bioinformatics formulae for the Homebrew package manager (macOS and Linux),"bioinformatics,linuxbrew,homebrew,science,hacktoberfest",239
20,https://github.com/andyb129/BeerProgressView.git,A library that lets you create a beer styled progress view with bubbles and all! (hic) :beer:,"android,beer,loading-animations,progress-bar,bubble,gradle",230
21,https://github.com/MorganGeek/bookmarks.git,:bookmark: +4.3K awesome resources for geeks and software crafters :beer:,"bookmarks,awesome-list,developers,devops,programming,tips-and-tricks,productivity,best-practices,ops,problem-solving,security,clean-code,software-craftsmanship,software,practices,list,articles,developer,hacktoberfest",217
22,https://github.com/Zealon159/book-ms-ui.git,:beers:  基于 vue.js 、element-ui 搭建一个极简的前后端分离图书管理平台,"vue,element-ui,admin,vuejs,book",217
23,https://github.com/huytd/azeroth-js.git,:beer: Yet another Static blog engine. Built with :heart: for Github,,211
24,https://github.com/beer-garden/beer-garden.git,The beer-garden application,,198
25,https://github.com/brewfactory/BrewMobile.git,iOS client for the Brewfactory project - brew your own beer,,192
26,https://github.com/Kegbot/kegbot-server.git,"Kegbot Server, the internet beer kegerator monitoring system.",,186
27,https://github.com/xerub/extra_recipe.git,Exception-oriented exploitation by Ian Beer,,183
28,https://github.com/liaohuqiu/btcbot-open.git,在 binance 和 bitfinex 搬砖的机器人，目标是赚更多 BTC  :beer::beer::beer::beer::beer:,btc,181
29,https://github.com/ninjaprawn/async_wake-fun.git,async_wake with a bit of fun! - async_awake by Ian Beer (https://bugs.chromium.org/p/project-zero/issues/detail?id=1417#c3),,160
30,https://github.com/Creditas/kotlin-ddd-sample.git,A sample DDD/CQRS project using KOTLIN :beer:,"kotlin,ddd,cqrs,axonframework",156
31,https://github.com/austinlyons/dcjs-leaflet-untappd.git,"Beer Drinking Data Vizualization using dc.js, Crossfilter, and Leaflet",,153
32,https://github.com/detailyang/nginx-location-match-visible.git,:beers: help you understand how does nginx location match works:),,131
33,https://github.com/homebrewing/brauhausjs.git,A beer recipe calculator for homebrewing on servers and in browsers,,127
34,https://github.com/watchdog-framework/watchdog-framework-web.git,:beers: 「停止维护」watchdog-framework的Web前端项目，基于Vue+iView-Admin+Vue-Router+Vuex开发,"watchdog-framework-web,vue,iview,java,springboot,shiro,springmvc",125
35,https://github.com/laolunsi/spring-boot-examples.git,:green_salad:\u200b Spring/SpringBoot/SpringCloud 实践学习案例，从入门到精通，持续更新中，欢迎交流学习:beer: ！ ,"java,spring,redis,rabbitmq,spring-boot,spring-cloud,blog,gateway,nacos,spring-cloud-gateway,alibaba-cloud,elasticsearch,mail,spring-cloud-alibaba",121
36,https://github.com/initialstate/beerfridge.git,Create a Beer/Wine Fridge of Awesomeness,,119
37,https://github.com/brewfactory/BrewCore.git,SparkCore powered BIAB brewing system. Brew your own beer.,,119
38,https://github.com/BUPT/clubber.ml.git,"A.M.C. - Artificial Intelligence & Machine Learning CLUB: Friends for Code, Paper, and Beers!🍻 ",,118
39,https://github.com/GeekaholicLin/hexo-theme-ylion.git,:blush: 说不定是一个让你感到惊喜的hexo主题 :beers: :candy:,"hexo-theme,hexo",112
40,https://github.com/hhsnopek/beeroclock.git,Is it beer o’clock\xa0yet? 🍺,"api,xinetd,bash",101
41,https://github.com/filmaj/Beer-Me.git,"Mobile application that tells you where the closest beer is, based on your location. One native Android branch, and one PhoneGap (cross-platform mobile development framework based on HTML, CSS and JavaScript) branch.",,99
42,https://github.com/tangweikun/codewars.git,:beers: CodeWars Solutions,"codewars,codewars-kata,codewars-solutions,kata",89
43,https://github.com/bgulla/boozer.git,Kegerator Monitoring Platform. RPi + Docker + Beer + Metrics + Slack. k3s kubernetes friendly.,"homebrew,kegerator,raspberrypi,docker,adafruit,homeassistant,grafana,mqtt,slack-bot,hacktoberfest",89
44,https://github.com/Umbrella001/wx-yunyinyue.git,:beers:  :beers: 原生微信小程序仿网易云音乐+博客系统  微信小程序对接小程序云 :fire:,,88
45,https://github.com/nickhould/craft-beers-dataset.git,Craft Beers & Data Science - Data Analysis of a Craft Beer Dataset,,86
46,https://github.com/relastle/bluewery.vim.git,:small_blue_diamond: Blue-based vim colorscheme :beer:,,86
47,https://github.com/zh-rocco/vue-auto-storage.git,":beers: An automatic storage plugin for Vue2, persist the data with localStorage.","autosave,autostore,persistent-storage,persistence,vue-plugin",83
48,https://github.com/BrewCenter/OpenBrews.git,A cross-platform open source app to help you brew beer.,"ionic,brewing,angularjs",79
49,https://github.com/deanhume/beer.git,The source code for the Progressive Beer app! ,"progressive-web-app,beer,pwa,service-worker,offline-first",73
50,https://github.com/blevesearch/beer-search.git,example bleve application for indexing and search beers and breweries,,71
51,https://github.com/shahrviral/Mac-Setup.git,Buy me a coffee / book / beer,,71
52,https://github.com/ccoenraets/belgian-beer-explorer-ionic.git,Belgian Beer Explorer App built with Ionic Framework,,68
53,https://github.com/pereferrera/trident-hackaton.git,"{""Base project for 10/04/2013 Trident's Hackaton @ Berlin Big Data Beers""}",,66
54,https://github.com/rhanb/nativescript-bottombar.git,Fancy bottom bar for NativeScript :smile: :beers:,"nativescript,bottombar,angular,android,tabview,material,bottom,navigation,menu",65
55,https://github.com/openbeer/world.git,"Free open public domain beer, brewery n brewpub data",,65
56,https://github.com/Qsnh/laravel-cadillac.git,:beer: A database tool for laravel.,"laravel,tool,database",63
57,https://github.com/Jire/Abendigo.git,A free as in both freedom and free beer game modding platform using Kotlin on the JVM.,,62
58,https://github.com/kfei/sshcam.git,:beers: Webcam live streaming in terminal via SSH,,62
59,https://github.com/davidcelis/goodbre.ws.git,:beers: An example implementation of Recommendable. Unfortunately now defunct.,,60
60,https://github.com/aedobbyn/beer-data-science.git,Various forays into the data science of beer. ,,58
61,https://github.com/avelino/beerblogging.git,"{""It's a f*&%cking bet! You have 1 month to write at least 1 blogpost. If you don't do that, you have to pay a beer for everybody.""}",,57
62,https://github.com/lisposter/angular-zeroclipboard.git,:beers: angular directive wrapper for ZeroClipboard,,55
63,https://github.com/rpeleias/beer_api_digital_innovation_one.git,Beer API developed for DIO Live Coding about tests,,55
64,https://github.com/xu-cheng/brew.vim.git,:beer: Vim Syntax for Homebrew formulae,"vim,homebrew,syntax-highlighting",54
65,https://github.com/shivammathur/homebrew-extensions.git,:beers: Homebrew tap for PHP extensions,"php,php-extensions,xdebug,pcov,homebrew,homebrew-tap,amqp,imagick,igbinary,grpc,imap,protobuf,swoole,redis,http,pecl,msgpack,memcached,apcu",52
66,https://github.com/LostInBrittany/polymer-beers.git,"Polymer Beers, a tutorial for Polymer ",,50
67,https://github.com/HarryLovesCode/Vulkan-API-Book.git,A companion book for the recently released Vulkan API :beer:,,50
68,https://github.com/devbeers/devbeers.github.io.git,:beers: devbeers Website,"beer,events",47
69,https://github.com/gjreda/beer-snob-says.git,A bot tweeting nonsensical craft beer reviews via Markov chains,,47
70,https://github.com/yiziz/awesome-starter-kit.git,:beer: Awesome Starter Kit,,46
71,https://github.com/ruiyeclub/SpringBoot-Hello.git,SpringBoot学习入门案例，持续更新中... :beer:,"mybatis-plus,jwt-token,redis,shiro,mongodb,jpa,easyexcel,swagger3,japidocs,18n",45
72,https://github.com/KimDarren/IHateSwift.git,:beer: The first project of Swift based iOS application.,,43
73,https://github.com/wesbos/React-Beer-Me.git,React Beer App,,42
74,https://github.com/Kegbot/kegbot-android.git,Android beer kegerator frontend and controller app.  Works with a Kegbot server to make your kegerator awesome.,,41
75,https://github.com/MuMu1018/sawyer_beer.git,Grasp beer with Sawyer robot and hand it to customer.,,41
76,https://github.com/MikeCodesDotNET/Beer-Drinkin.git,.NET Beer Tacking app built with Xamarin,,39
77,https://github.com/aws-samples/sbs-iot-data-generator.git,Script to locally generate simulated data stream that mimics IoT data from Simple Beer Service (https://github.com/awslabs/simplebeerservice),,39
78,https://github.com/rockyluke/homebrew-devops.git,:beer: DevOps / SRE formulae for the @Homebrew package manager.,"homebrew,devops,sre,homebrew-tap,homebrew-formula,homebrew-formulae",37
79,https://github.com/koromiko/Brewer.git,We brew beer every night! A CI/CD setup example project ft. Fastlane,,37
80,https://github.com/egoist/kanpai.git,:beers: Kanpai is a better way to publish a new version of your node module!,pr-welcome,37
81,https://github.com/sr6033/gistpush.git,Add your Gist using command line & a POW! :beers:,"cli,cli-app,nodejs,npm-package,gist",36
82,https://github.com/haoxins/typed-objects.git,:beers: [typed-objects] :beers: - polyfill of ES7 typed objects for node.js,,36
83,https://github.com/tiagoporto/generator-swill-boilerplate.git,:beer: The front-end Boilerplate that you need to start easily customizable multi-device development.,"boilerplate,generator,yeoman-generator,css,stylus,sass,yeoman,generates-sprites,swill-boilerplate,javascript,html-validation,handlebars,es2015,es2016,es2017,gulp,eslint,gh-pages,unit-testing,autoprefixer",36
84,https://github.com/lchrusciel/Beery.git,Backend application for sharing beers information and rating them.,,36
85,https://github.com/sirensolutions/kibi_radar_vis.git,"***DEPRECATED: No longer being built*** A Radar (or Spider) Chart plugin for Kibi 0.3.x+ or Kibana 4.3.x+ free as in beer and speech, enjoy! Sign up to our mailing list on http://siren.solutions for the most exciting updates about Kibana modding :)",,36
86,https://github.com/detailyang/id-generator.git,:beers: distributed id generation system fork by redis 3.0.2  which support snowflake objectid serialid and sequence number,,35
87,https://github.com/aditya43/golang-101.git,":beer: In-depth internals, my personal notes, example codes and projects. Includes - Thousands of codes, OOP, Concurrency, Parallelism, Goroutines, Mutexes & Wait Groups, Testing in Go, Go tool chain, Backend web development, Some projects including Log file parser using bufio.Scanner, Spam Masker, Retro led clock, Console animations, Dictionary programs, Social Network built using Go and GopherJS, Database Connectivity and working (MySQL, MongoDB, Redis), GopherJS and lot more..","concurrency,parallelism,mutexes,strings-runes,goroutines,golang,go,gotest,gopherjs,rest-api,microservices-architecture,mongodb,mysql,ajax",35
88,https://github.com/detailyang/pre-commit-shell.git,:beers: pre commit wrapper shellcheck,"pre-commit,shellcheck",34
89,https://github.com/beerjs/tahoe.git,"Beer, JavaScript, Tahoe... need I say more",,34
90,https://github.com/beerkit/beer.db.git,beerdb gems - open beer database (beer.db) command line tool and libraries ,"beer,brewery,bier,cerveza,pivo,opendata,brewpub,ruby,gem",34
91,https://github.com/mozilla/opensourcery.git,A beer collaboration between Widmer Brewing and Mozilla,"recipe,beer",32
92,https://github.com/brewdega/open-beer-database-dumps.git,Cleaned up and sanitized dumps of the data originally provided by the Open Beer Database project.,,32
93,https://github.com/beerjs/abq.git,JS types that like beer in The Duke City,,32
94,https://github.com/muratsu/react-native-beer.git,Belgian Beer Explorer in react-native,,30
95,https://github.com/craigmw/CellarWarden.git,A wine/beer cellar temperature/humidity monitoring and control app for the Raspberry Pi,,29
96,https://github.com/yageek/Meschach.git,:beer: Fork of Meschach. Just add CMake integration,"c,matrix,cmake,computation",28
97,https://github.com/gfviegas/express-rest-api.git,":beer: RESTful API sample in Express, Mongoose and ES6.","restful,api,nodejs,mongoose,express,rest",28
98,https://github.com/larsha/bolaget.io.git,"RESTful(ish) JSON API for Swedish alcohol monopoly, Systembolaget. Running on preemptibles on k8s! 🚀✨:beer:","nodejs,json,api,elasticsearch,kubernetes,docker,systembolaget,bolagetio,json-api",28
99,https://github.com/KI-labs/BeerBot.git,A never-ending supply of cold beer at KI labs to maintain employee happiness,"python,raspberry-pi-3,bot,slack,beer",28
100,https://github.com/parryc/beer-advocate-api.git,Unofficial library for working with Beer Advocate data.,,26
101,https://github.com/tseemann/homebrew-bioinformatics-linux.git,:beer: :penguin: Homebrew formulae for bioinformatics software only available for Linux,,26
102,https://github.com/mattsah/beer-recipes.git,Homebrew beer recipes,,26
103,https://github.com/kloon/OpenBeerFiller.git,An opensource beer filling line microcontroller,,25
104,https://github.com/haoxins/redux-action.git,:beers: Flux action utilities for Redux,"react,redux,redux-actions,react-redux",25
105,https://github.com/fahadahmed07/react-js-quick-food-delivery-website.git,"🎉 :pizza: Food delivery website with React.Js, like foodpanda :beers: ❤ Demo link: https://react-quick-food.firebaseapp.com/",,25
106,https://github.com/yhat/beer-bandit.git,Flask app to run a bandit algorithm testing different beer recommenders,,25
107,https://github.com/homebrewing/tapline.git,A homebrew beer recipe API server backed by MongoDB,,25
