,Url,Description,Topics,Stars
0,https://github.com/biometrics/openbr.git,"Open Source Biometrics, Face Recognition",,2703
1,https://github.com/Tencent/soter.git,A secure and quick biometric authentication standard and platform in Android held by Tencent.,"fingerprint,fingerprint-authentication,authentication,authentication-flow,wechat-payment",1721
2,https://github.com/infinum/Android-Goldfinger.git,Android library to simplify Biometric authentication implementation.,"android,fingerprint,fingerprint-authentication,encryption,cipher,android-library,biometric,biometric-authentication,android-development",623
