,Url,Description,Topics,Stars
0,https://github.com/bitcoinbook/bitcoinbook.git,Mastering Bitcoin 2nd Edition - Programming the Open Blockchain,,16187
1,https://github.com/chaozh/awesome-blockchain-cn.git,收集所有区块链(BlockChain)技术开发相关资料，包括Fabric和Ethereum开发资料,,15452
2,https://github.com/Chia-Network/chia-blockchain.git,"Chia blockchain python implementation (full node, farmer, harvester, timelord, and wallet)","chia,blockchain,blockchain-network,proof-of-space,proof-of-time,vdf,farmer,timelord,full-node,harvesters,wallets,chia-blockchain,peer",6605
3,https://github.com/dvf/blockchain.git,A simple Blockchain in Python,"blockchain,cryptocurrency,bitcoin,python,flask",5641
4,https://github.com/yeasy/blockchain_guide.git,"Introduce blockchain related technologies, from theory to practice with bitcoin, ethereum and hyperledger.","blockchain,hyperledger,book,fintech,bitcoin,ethereum",5622
5,https://github.com/lhartikk/naivechain.git,A blockchain implementation in 200 lines of code,,5117
6,https://github.com/MetaMask/metamask-extension.git,:globe_with_meridians: :electric_plug: The MetaMask browser extension enables browsing Ethereum blockchain enabled websites,"chrome,extension,ethereum,firefox,dapp,dapp-developers,opera,brave,edge",4765
7,https://github.com/paritytech/substrate.git,Substrate: The platform for blockchain innovators,"parity,polkadot,blockchain,substrate,client,node",4476
8,https://github.com/bitpay/bitcore.git,A full stack for bitcoin and blockchain-based applications,,4001
9,https://github.com/ripple/rippled.git,Decentralized cryptocurrency blockchain daemon implementing the XRP Ledger in C++,"xrpl,xrp-ledger,xrp,cplusplus,c-plus-plus,cryptography,blockchain",3811
10,https://github.com/bigchaindb/bigchaindb.git,Meet BigchainDB. The blockchain database.,"blockchain,database,json,python,bigchaindb,mongodb,bft,decentralized",3627
11,https://github.com/corda/corda.git,"{""Corda is an open source blockchain project, designed for business from the start. Only Corda allows you to build interoperable blockchain networks that transact in strict privacy. Corda's smart contract technology allows businesses to transact directly, with value.""}","corda,kotlin,distributed-ledger,dlt",3600
12,https://github.com/anders94/blockchain-demo.git,A web-based demonstration of blockchain concepts.,,3405
13,https://github.com/coinpride/CryptoList.git,Curated collection of blockchain & cryptocurrency resources.,"bitcoin,cryptocurrency,ethereum,altcoins,telegram-channel,blockchain,news-aggregator,list,btc,eth,api,resourses,links,directory,folder,collection",3223
14,https://github.com/openblockchains/awesome-blockchains.git,A collection about awesome blockchains - open distributed public databases w/ crypto hashes incl. git ;-).  Blockchains are the new tulips :tulip::tulip::tulip:. Distributed is the new centralized. ,"blockchain,git,distributed-database,content-addressable-storage,tulipmania,merkletree,cryptohash,sha256,transactions,tx,proof-of-waste,proof-of-work,ethereum,universum",3055
15,https://github.com/lbryio/lbrycrd.git,The blockchain that provides the digital content namespace for the LBRY protocol,"blockchain,cryptocurrency,bitcoin,lbry,decentralized,c-plus-plus",3001
16,https://github.com/Jeiwan/blockchain_go.git,A simplified blockchain implementation in Golang,"golang,blockchain,bitcoin,cryptocurrency",2905
17,https://github.com/trufflesuite/ganache.git,Personal blockchain for Ethereum development,"ethereum,blockchain,ganache,electron,development,truffle",2876
18,https://github.com/lbryio/chainquery.git,Chainquery parses and syncs the LBRY blockchain data into structured SQL,"blockchain,sql,lbry,go",2774
19,https://github.com/NebulousLabs/Sia.git,Blockchain-based marketplace for file storage. Project has moved to GitLab: https://gitlab.com/NebulousLabs/Sia,"cloud,blockchain,decentralized,distributed,sia,storage",2722
20,https://github.com/Xel/Blockchain-stuff.git,Blockchain and Crytocurrency Resources,"bitcoin,blockchain,ethereum,smart-contracts,cryptocurrency,awesome,awesome-list",2426
21,https://github.com/cosmos/cosmos-sdk.git,:chains: A Framework for Building High Value Public Blockchains :sparkles:,"go,cryptocurrency,tendermint,cosmos-sdk,golang",2411
22,https://github.com/blockstack/stacks-blockchain.git,The Stacks 2.0 blockchain implementation,"blockstack,blockchain,bitcoin,storage,identity,dns,apps,decentralized,serverless,rust",2366
23,https://github.com/elendirx/web2web.git,P2P web powered by torrents and blockchain.,,2260
24,https://github.com/prysmaticlabs/prysm.git,Go implementation of the Ethereum 2.0 blockchain,ethereum,2036
25,https://github.com/liuchengxu/blockchain-tutorial.git,:ear_of_rice: A step-by-step blockchain tutorial in simplified Chinese,"blockchain,tutorial,bitcoin,cryptocurrency,blockchain-tutorial",1976
26,https://github.com/ethereum/web3.py.git,A python interface for interacting with the Ethereum blockchain and ecosystem.,,1965
