,Url,Description,Topics,Stars
0,https://github.com/imathis/octopress.git,Octopress is an obsessively designed framework for Jekyll blogging. It’s easy to configure and easy to deploy. Sweet huh?,,9406
1,https://github.com/typecho/typecho.git,A PHP Blogging Platform. Simple and Powerful.,"php,blog,typecho,markdown",7888
2,https://github.com/fastai/fastpages.git,"An easy to use blogging platform, with enhanced support for Jupyter Notebooks.","data-science,jekyll-blog,actions,jupyter,jupyter-notebooks,fastai,literate-programming,visualization,github-pages,python,jupyter-lab,nbdev,visualization-tools,jekyll",2436
3,https://github.com/writefreely/writefreely.git,"Simple blogging platform made just for writers. Write together, and build a community.","writing,publishing,blogging,web-application,go,activitypub,federation,beta,writefreely",2122
4,https://github.com/ZHENFENG13/My-Blog.git,:palm_tree::octocat:A simple & beautiful blogging system implemented with spring-boot & thymeleaf & mybatis My Blog 是由 SpringBoot + Mybatis + Thymeleaf 等技术实现的 Java 博客系统，页面美观、功能齐全、部署简单及完善的代码，一定会给使用者无与伦比的体验,"springboot2,springboot,spring-boot,spring-boot2,springboot-mybatis,thymeleaf,mybatis,docker,docker-compose,mysql,javablog,blog,adminlte,adminlte3,jqgrid,java-8,java,maven,springboot-learning,springboot-sample",2032
5,https://github.com/firekylin/firekylin.git,A Simple & Fast Node.js Blogging Platform Base On ThinkJS3 & React & ES2015+,"firekylin,thinkjs,react,blog-platform,thinkjs3,webpack,typescript",1793
6,https://github.com/johnroper100/dropplets.git,Welcome to an easier way to blog. - A minimalist markdown blogging platform.,"php,markdown,blog,blog-engine",1618
7,https://github.com/Raysmond/SpringBlog.git,A simple blogging system implemented with Spring Boot + Hibernate + MySQL + Bootstrap4. ,"spring-boot,blogging",1579
8,https://github.com/Plume-org/Plume.git,"Federated blogging application, thanks to ActivityPub (now on https://git.joinplu.me/ — this is just a mirror)","activitypub,blog,blog-engine,federation,rust,diesel,rocket,activitystreams,decentralization",1517
9,https://github.com/afteracademy/nodejs-backend-architecture-typescript.git,"Node.js Backend Architecture Typescript - Learn to build a backend server for Blogging platform like Medium, FreeCodeCamp, MindOrks, AfterAcademy - Learn to write unit and integration tests - Learn to use Docker image - Open-Source Project By AfterAcademy","nodejs,expressjs,typescript,docker,docker-compose,medium-article,mindorks,jest,mongodb,mongoose,freecodecamp",1380
