,Url,Description,Topics,Stars
0,https://github.com/coolnameismy/BabyBluetooth.git,":baby: The easiest way to use Bluetooth (BLE )in ios/os ,even bady can use . 一个非常容易使用的蓝牙库,适用于ios和os",,4465
1,https://github.com/Jasonchenlijian/FastBle.git,"Android Bluetooth Low Energy (BLE) Fast Development Framework. It uses simple ways to filter, scan, connect, read ,write, notify, readRssi, setMTU, and multiConnection.","android,bluetooth,ble,blue",4145
2,https://github.com/noble/noble.git,A Node.js BLE (Bluetooth Low Energy) central module ,,3053
3,https://github.com/Polidea/RxAndroidBle.git,An Android Bluetooth Low Energy (BLE) Library with RxJava2 interface,"ble,bluetooth-low-energy,bluetooth-le,android-bluetooth,rxjava,rxjava2",2900
4,https://github.com/signal11/hidapi.git,"A Simple library for communicating with USB and Bluetooth HID devices on Linux, Mac, and Windows.",,2009
5,https://github.com/noble/bleno.git,A Node.js module for implementing BLE (Bluetooth Low Energy) peripherals,,1896
6,https://github.com/seemoo-lab/openhaystack.git,"{""Build your own 'AirTags' 🏷 today! Framework for tracking personal Bluetooth devices via Apple's massive Find My network.""}","apple,offline-finding,bluetooth,microbit,location-tracker,macos,find-my,airtag,reverse-engineering",1815
7,https://github.com/pauldemarco/flutter_blue.git,Bluetooth plugin for Flutter,,1670
8,https://github.com/akexorcist/BluetoothSPPLibrary.git,[UNMAINTAINED][Android] Bluetooth Serial Port Profile which comfortable to developer application to communication with microcontroller via bluetooth,,1662
9,https://github.com/pybluez/pybluez.git,Bluetooth Python extension module,,1528
10,https://github.com/OpenIntelWireless/IntelBluetoothFirmware.git,Intel Bluetooth Drivers for macOS,"intel-bluetooth,kernel-extension,intelbluetoothfirmware,macos,kext",1495
11,https://github.com/virtualabs/btlejack.git,Bluetooth Low Energy Swiss-army knife,,1474
12,https://github.com/balenalabs/balena-sound.git,"Build a single or multi-room streamer for an existing audio device using a Raspberry Pi! Supports Bluetooth, Airplay and Spotify Connect","balena,balenacloud,raspberry-pi,raspberrypi,bluetooth-audio,bluetooth,airplay,spotify-connect,audio,bluetooth-devices,multi-room,snapcast",1387
13,https://github.com/IanHarvey/bluepy.git,Python interface to Bluetooth LE on Linux,,1312
14,https://github.com/a-voyager/BluetoothHelper.git,Bluetooth Helper Library.—-蓝牙操作库,,1283
15,https://github.com/Polidea/RxBluetoothKit.git,iOS & OSX Bluetooth library for RxSwift,"rxswift,bluetooth,ble,bluetooth-low-energy,corebluetooth,peripherals,discover-services,scans,bluetooth-library,rssi,emits,swift,swift-library",1236
16,https://github.com/WebBluetoothCG/web-bluetooth.git,Bluetooth support for the Web.,,1132
17,https://github.com/node-hid/node-hid.git,Access USB & Bluetooth HID devices through Node.js,"usb,hid,electron,nodejs",1087
18,https://github.com/don/BluetoothSerial.git,Cordova (PhoneGap) Plugin for Serial Communication over Bluetooth,"bluetooth,bluetooth-low-energy,cordova-plugin",1003
19,https://github.com/bluekitchen/btstack.git,"Dual-mode Bluetooth stack, with small memory footprint.",,977
20,https://github.com/paypal/gatt.git,Gatt is a Go package for building Bluetooth Low Energy peripherals,,977
21,https://github.com/litesuits/android-lite-bluetoothLE.git,BLE Framework. Based on Bluetooth 4.0. Based on callback. Extremely simple!  Communication with BluetoothLE(BLE) device as easy as HTTP communication. Android低功耗蓝牙便捷操作框架，基于回调，完成蓝牙设备交互就像发送网络请求一样简单。,,943
22,https://github.com/steamclock/bluejay.git,A simple Swift framework for building reliable Bluetooth LE apps.,"bluetooth,swift,ios",922
23,https://github.com/oliexdev/openScale.git,"Open-source weight and body metrics tracker, with support for Bluetooth scales",,874
24,https://github.com/NordicSemiconductor/Android-BLE-Library.git,A library that makes working with Bluetooth LE on Android a pleasure. Seriously.,,861
25,https://github.com/mttrb/BeaconOSX.git,Use a Bluetooth 4 enabled Mac running Mavericks (not Yosemite) as an iBeacon,,857
26,https://github.com/don/cordova-plugin-ble-central.git,Bluetooth Low Energy (BLE) Central plugin for Apache Cordova (aka PhoneGap),"bluetooth-low-energy,cordova-plugin",835
27,https://github.com/NordicSemiconductor/Android-nRF-Toolbox.git,The nRF Toolbox is a container app that stores your Nordic Semiconductor apps for Bluetooth Low Energy in one location.,,829
28,https://github.com/alt236/Bluetooth-LE-Library---Android.git,"{""This library allows for easy access to a Bluetooth LE device's AdRecord and RSSI value. It offers additional functionality for iBeacons.""}",,825
29,https://github.com/rabschi/awesome-beacon.git,A curated list of awesome Bluetooth beacon software and tools.,"bluetooth-beacon,bluetooth-low-energy,eddystone,ibeacon,eddystone-url,bluetooth-beacons",795
30,https://github.com/randdusing/cordova-plugin-bluetoothle.git,Bluetooth Low Energy Phonegap Plugin,,745
