,Url,Description,Topics,Stars
0,https://github.com/timekit-io/booking-js.git,:date: Make a beautiful embeddable booking widget in minutes,,2339
1,https://github.com/aws-samples/aws-serverless-airline-booking.git,"Airline Booking is a sample web application that provides Flight Search, Flight Payment, Flight Booking and Loyalty points including end-to-end testing, GraphQL and CI/CD. This web application was the theme of Build on Serverless Season 2 on AWS Twitch running from April 24th until end of August in 2019.","graphql,airline-booking,serverless,sam,lambda-functions,lambda,aws,aws-lambda,python,typescript,aws-lambda-python,aws-lambda-node,tracing",1327
2,https://github.com/neuronetio/gantt-schedule-timeline-calendar.git,"Gantt Gantt Gantt Timeline Schedule Calendar [ javascript gantt, js gantt, projects gantt, timeline, scheduler, gantt timeline, reservation timeline, react gantt, angular gantt, vue gantt, svelte gantt, booking manager ]","gantt,js-gantt,js-scheduler,js-timeline,angular-gantt,angular-scheduler,angular-timeline,react-gantt,react-scheduler,react-timeline,vue-gantt,schedule,gantt-timeline,javascript-gantt,booking,reservation,timeline,scheduler,calendar,timeline-editor",1100
3,https://github.com/webkul/hotelcommerce.git,Hotel & Booking Reservation Ecommerce system on Prestashop,"hotel-booking,webkul,hotel",427
4,https://github.com/OpenConsultingGroup/Taxi-App.git,Taxi booking app built using Flutter,"flutter,flutter-apps,flutter-examples,flutter-bloc-pattern",370
5,https://github.com/rinvex/laravel-bookings.git,"{""Rinvex Bookable is a generic resource booking system for Laravel, with the required tools to run your SAAS like services efficiently. It's simple architecture, accompanied by powerful underlying to afford solid platform for your business.""}","laravel,php,eloquent,booking",330
6,https://github.com/academind/yt-graphql-react-event-booking-api.git,Code for GraphQL + React Event Booking API Series: https://academind.com/learn/node-js/graphql-with-node-react-full-app/,,309
7,https://github.com/julia-/room-booking-system.git,Room booking system built with Node.js and ReactJS,,305
8,https://github.com/olayemii/uberr-ui.git,Flutter UI design for a car booking application,"flutter,ui,uber,android,ios,flutter-app",290
9,https://github.com/blinks32/Taxi-booking-app-with-Admin.git,"This is a complete ride booking app, It uses google maps cordova plugin, firebase database and onesignal as notification provider.","firebase,angular4,ionic3,onesignal,typescript,android,cordova,scss,paystack,google-maps-android,nodejs,ionic5,stripe-api,nexmo-api,capacitor,ios",220
10,https://github.com/berndruecker/trip-booking-saga-java.git,Example implementation of the Saga pattern for the classic trip booking example using the lightweight open source workflow engine (Camunda).,saga-pattern,210
11,https://github.com/rationalappdev/MovieTickets.git,Movie Tickets Booking App with React Native Tutorial,react-native-tutorial,198
12,https://github.com/neokoenig/RoomBooking.git,"This is an open source application for booking rooms via a web based calendar, using cfWheels, Bootstrap3, jQuery, FullCalendar.js, and other bits. AKA the OxAlto RoomBooking System","fullcalendar,cfwheels,javascript,bootstrap,book-rooms",184
13,https://github.com/alfallouji/DHL-API.git,"This library provides a PHP client for the DHL XML Services. DHL XML Services is an online web services integration capability that provides DHL’s service availability, transit times, rates, shipment and courier pickup booking along with shipment tracking from over 140 countries around the world. Using DHL’s XML Services, customers can incorporate DHL shipping functionality into their websites, customer service applications or order processing systems.",,181
14,https://github.com/bitlabstudio/django-booking.git,A reusable Django app that manages bookings for various purposes.,,180
15,https://github.com/andbet39/Hotel.git,How to build  hotel booking engine with Laravel 5 and AngularJS,,171
16,https://github.com/TakeoffAndroid/SeatBookingRecyclerView.git,Custom ReyclerView for bus seat booking,,167
17,https://github.com/iZaL/my-appointment.git,ReactNative App for booking Appointment,"react-native,redux,react,appointment,appointment-booking",166
18,https://github.com/berndruecker/flowing-trip-booking-saga-c-sharp.git,Example implementation of the Saga pattern for the classic trip booking example using the lightweight open source workflow engine (Camunda) and C#.,,144
19,https://github.com/LaravelDaily/Hotel-Booking.git,"Laravel 5.5 Demo-project for booking hotel rooms, mostly generated with https://quickadminpanel.com",,141
20,https://github.com/Roomify/bat.git,A Booking and Availability Management Library for PHP,,138
21,https://github.com/bernii/django-reservations.git,Django module for handling reservations/booking,,137
22,https://github.com/georgesimos/cinema-plus.git,Online Movie Ticket Booking web app with MERN Stack,"cinema,mern,expressjs,javascript,fullstack,redux,mongodb,nodejs,react",134
23,https://github.com/zeke8402/booking-app.git,Laravel 5.1 web application for booking appointments,"laravel,book-appointments,calendar",130
24,https://github.com/cybdom/hotel_booking_ui.git,Flutter Hotel Booking UI,,121
25,https://github.com/Keiku/kaggle-airbnb-recruiting-new-user-bookings.git,2nd Place Solution in Kaggle Airbnb New User Bookings competition,"kaggle,kaggle-competition",118
26,https://github.com/enzoftware/hotel_booking_app.git,:love_hotel: :bookmark_tabs: :heart: Demo application for hotel booking app made with @flutter and love.,"flutter,booking,hotel-booking,flutter-examples,hacktoberfest",110
27,https://github.com/tkrebs/ep3-bs.git,Online booking system for courts,,107
28,https://github.com/Shashank02051997/BusBookingUI-Android.git,Check out the new style for App Design aims for the Bus Booking Service...😉😀😁😎,"ui,android,android-application,android-app,ui-design,business,business-solutions,bus,android-design,android-template,template,android-ui",107
29,https://github.com/rapind/togproof.git,"{""Professional photographer's client and booking management solution, as well as a gallery / portfolio to showcase your work.""}",,107
30,https://github.com/iamSahdeep/fu_uber.git,Flutter based taxi booking app (dummy) using provider.,"flutter,flutter-apps,flutter-demo,flutter-examples,flutter-app,uber,uber-clone,taxi",100
31,https://github.com/Kloudless/meeting-scheduler.git,"{""Drop-in calendar event booking tool for your app's users that integrates with Google, Outlook, Exchange, and CalDAV.. ""}","meeting-scheduler,booking,calendar-view,calendar-api",94
32,https://github.com/thomasms/glastoselenium.git,A bot for booking Glastonbury tickets using selenium,"glastonbury,festival,refresh,refreshinator,pilton,bot,selenium,python,book-glastonbury-tickets,autorefresh,auto",92
33,https://github.com/craigrodway/classroombookings.git,The open source hassle-free room booking system for schools,"php,room-booking,codeigniter,open-source,schools,education",90
34,https://github.com/varunjohn/Booking-Seats-Layout-Sample.git,A sample that shows how to create a dynamic layout for booking seats,"booking-layout,booking-ui,booking-ux,seating,android-ui,booking-seats,booking,booking-android,movie-booking,movie-seating-arrangement,movie,movie-seats",83
35,https://github.com/dzimchuk/book-fast-service-fabric.git,A sample demonstrating how to implement a multitenant facility management and accommodation booking application as native Azure Service Fabric reliable services.,"service-fabric,azure-search,azure-services,netcore,azure-ad,microservices,microservices-architecture",81
36,https://github.com/amirk3321/booking-management-dashboard.git,"flutter Booking Management Dashboard responsive (web,mobile,tablet)","flutter,flutter-ui,responsive-design,responsive-layout,responsive-web-design,clean-code,android-application,ios-app,tablet",79
37,https://github.com/tranngoclam/movie-booking.git,"An example for booking movie seat, combined of Android Data Binding, State Design Pattern and Multibinding + Autofactory. iOS version is: https://github.com/lizhiquan/MovieBooking","android,android-ui,data-binding,dagger2,recyclerview,movie,booking,multibinding,state,design-pattern,clean-code,architecture,dependency-injection,film,factory",78
38,https://github.com/jbro-io/bookingappdemo-angular.git,"Angular files for my blog post: Building a Google Calendar Booking App with MongoDB, ExpressJS, AngularJS, and Node.js – Part 2",,75
