,Url,Description,Topics,Stars
0,https://github.com/felipefialho/awesome-made-by-brazilians.git,🇧🇷 A collection of amazing open source projects built by brazilian developers,"awesome,awesomebrazil,awesome-brazil,awesome-opensource,made-by-brazilians,stars,programming-language,css,javascript",1085
1,https://github.com/brazilian-utils/brazilian-utils.git,Utils library for specific Brazilian businesses,"cpf,cnpj,brazilian,validator,mask,formatter,cep,boleto,phone,states,email,inscricao-estadual,pis,processo-juridico,boleto-bancario,validador,gerador,estados,generator,format",1039
2,https://github.com/okfn-brasil/querido-diario.git,"📰 Brazilian government gazettes, accessible to everyone.","data-science,machine-learning,politics,artificial-intelligence,open-data,civic-tech,governments-gazettes,govtech,gazette-crawler,spider,hacktoberfest",692
3,https://github.com/rafaelsc/IntelliJ.Portuguese.Brazil.Dictionary.git,IntelliJ Portuguese-Brazil Dictionary,,627
4,https://github.com/openfootball/world-cup.git,"Free open public domain football data for the World Cup (incl. Qatar 2022, Russia 2018, Brazil 2014, etc.) and World Cup Quali(fiers)","worldcup,worldcup2018,russia2018,opendata,football,brazil2014",451
5,https://github.com/ipeaGIT/geobr.git,Easy access to official spatial data sets of Brazil in R and Python,"r,rstats,python,spatial-data,geopackage,shapefile,sf,geopandas,brazil,datasets",431
6,https://github.com/BoletoNet/boletonet.git,"Boleto.Net is a library developed for use in Brazil, given it has been programmed with Brazilian retail legislation and business rules for bank registered billing integration.",,390
7,https://github.com/tapajos/brazilian-rails.git,Brazilian Rails é um conjunto de gems para serem usadas com Ruby e com o Ruby on Rails e tem como objetivo unir alguns recursos úteis para os desenvolvedores brasileiros.,,357
8,https://github.com/wcota/covid19br.git,"Confirmed cases and deaths of COVID-19 in Brazil, at municipal (city) level. Description of the data: https://github.com/wcota/covid19br/blob/master/DESCRIPTION.en.md and https://doi.org/10.1590/SciELOPreprints.362","covid-19,covid-19-brazil,covid19,covid19brazil,covid19-data,coronavirus,coronavirus-brazil,dados",345
9,https://github.com/stavarengo/php-sigep.git,"PHP client library for the Brazilian Post Office Web Service. Integração com Web Service do Correios. Consulta preços e prazos, imprime etiquetas e PLP, etc.","php,correios,etiquetas,plp,etiquetas-de-postagem,php-sigep",322
10,https://github.com/reactjs/pt-BR.reactjs.org.git,🇧🇷 React documentation website in Portuguese (Brazil),"react,brasil,portugues",320
11,https://github.com/tbrugz/geodata-br.git,Arquivos Geojson com perímetros dos municípios brasileiros por estado ( Brasil / Brazil ),"geojson,geo,brasil,brazil,municipalities,geodata",317
12,https://github.com/henriquepgomide/caRtola.git,"Extração de dados da API do CartolaFC, análise exploratória dos dados e modelos preditivos em R e Python - 2014-20. [EN] Data munging, analysis and modeling of CartolaFC - the most popular fantasy football game in Brazil and maybe in the world. Data cover years 2014-19.","cartola,r,python,data,dados,data-science,shiny,jupyter-notebook",307
13,https://github.com/okfn-brasil/jarbas.git,🎩 API for information and suspicions about reimbursements by Brazilian congresspeople,,298
14,https://github.com/steniowagner/bon-appetit-app.git,"A React-Native App that shows options of Restaurants, Gastronomic Events and Dishes in the City of Fortaleza (Brazil).",,287
15,https://github.com/Novout/vue4noobs.git,:green_book: Tutorial Vue 3 in Brazilian Portuguese,,215
16,https://github.com/dialetus/dialetus-service.git,API to Informal dictionary for the idiomatic expressions that each Brazilian region It has,"nodejs,api,dialects,brazilian-dialects,javascript,rest-api,serverless,yarn,aws-lambda,idiomatic-expressions,serverless-offline,aws,dynamodb,serverless-examples,json,dialects-mapped,regions",204
17,https://github.com/brazanation/php-documents.git,Library to provide Brazilian Documents as Value Objects in PHP,"cpf,cnpj,brazil,brazilian,nfe,documento,documents,tituloeleitor,pis,pispasep,php,php7,rg,cnh,cns,renavam,brasil,judiciario,judiciary,cartaosus",197
18,https://github.com/guibranco/BancosBrasileiros.git,Lista de bancos brasileiros | Brazilian banks list,"bancos,brasileiros,banks,sql,json,xml,csv,bank,banco,comercial,febraban,bancocentral,bancocentraldobrasil,banco-central-do-brasil,bcb,federacao-brasileira-de-bancos",195
19,https://github.com/jchahoud/BRConferences.git,Conferências e Eventos de Tecnologia e de Startups no Brasil - Brazilian Tech and Startup Conferences,,194
20,https://github.com/bananacss/bananacss.git,:banana: The brazilian CSS preprocessor writen in NodeJS.,"css,banana,preprocessor,nodejs,abstractions,superset",181
21,https://github.com/rodrilima/corona-analytic-api.git,API that generates information about coronavirus (COVID19) cases in the states of Brazil and other parts of the world,,175
22,https://github.com/prodis/correios-cep.git,"Find Brazilian addresses by zipcode, directly from Correios database. No HTML parsers.","correios,correios-cep,zipcode,ruby,prodis,cep",166
23,https://github.com/gatsbyjs/gatsby-pt-BR.git,Brazilian Portuguese translation of Gatsbyjs.org,,156
24,https://github.com/olist/correios.git,A client library for Brazilian Correios APIs and services (SIGEP & SRO).,"correios,brazil,apache,python,python-3,sigep,client,sro,freight",154
25,https://github.com/epicleet/tps2017.git,Results of the Public Security Tests of the Brazilian voting system – 2017,,154
26,https://github.com/eduardocereto/pyboleto.git,"A Python module to create Brazilian ""Boletos de Cobrança"" for multiple banks",,150
27,https://github.com/brazil-it-groups/code-of-conduct.git,Code of conduct to help Brazilian IT group members,,149
28,https://github.com/lucasmation/microdadosBrasil.git,"Reads most common Brazilian public microdata (CENSO, PNAD, etc) easy and fast",,140
29,https://github.com/dude333/rapina.git,"{""Download and process companies' financial data directly from Brazil CVM web server""}","cvm,bovespa",137
30,https://github.com/juliohm/awesome-brazil-data.git,Curated list of Brazilian datasets for anyone interested in studying the country.,"brazil,data,awesome,awesome-list",133
31,https://github.com/OtacilioN/Brasilino.git,Uma biblioteca que permite programar em linguagem Arduino utilizando comandos facilitados em PT-BR. :brazil:,"arduino,arduino-library,brasilino,translation,traducao,portuguese,portugues,brasil,pt-br",133
32,https://github.com/olhoneles/olhoneles.git,Tool to monitor Brazilian legislators expenses while in the exercise of their mandates,"politicians,political-parties,django,expenses,legislative-houses,mandate,open-data,goverment",132
33,https://github.com/react-brasil/awesome-react-events-br.git,Awesome list of React events in Brazil.,,131
34,https://github.com/IonicaBizau/made-in-brazil.git,🇧🇷 A list of neat projects made in Brazil.,hacktoberfest,124
35,https://github.com/design-patterns-for-humans/brazilian-portuguese.git,Brazilian portuguese translation [WIP],"design-patterns,brazilian",122
36,https://github.com/kamushadenes/bankscraper.git,Brazilian Bank and Benefit Scraping Tool,,118
37,https://github.com/okfn-brasil/perfil-politico.git,A platform for profiling public figures in Brazilian politics,"hacktoberfest,hacktoberfest2020",117
38,https://github.com/matheuscas/pycpfcnpj.git,Python module for brazilian register numbers for persons (CPF) and companies (CNPJ).,"python,cnpj,cpf,python-2,python-library,validation,generation,python-3",116
39,https://github.com/carolinabigonha/br-atlas.git,"{""Create TopoJSON files from IBGE's collection of Brazil maps""}",,115
40,https://github.com/thoughtworks/dadoware.git,Brazilian-Portuguese word list and instructions booklet for Diceware,,100
41,https://github.com/raulfdm/taco-api.git,🍉 Brazilian Table of Food Composition (TACO) - JSON API,"food,api,restful-api,nodejs",97
42,https://github.com/cuducos/calculadora-do-cidadao.git,💵 Tool for Brazilian Reais monetary adjustment/correction,"monetary,data-analysis,python,brazil,brasil,hacktoberfest",96
43,https://github.com/BRDumps/wordlists.git,Wordlists based on Brazilian passwords and dictionaries.,,95
44,https://github.com/dialetus/dialetus.git,An informal dictionary with the idiomatic expressions that each Brazilian region. ,"brazilian-dialects,dialetus-service,idiomatic-expressions,dialetus,typescript,react,nextjs,styled-components,linguistic-cultural-traits",93
45,https://github.com/roneysco/Fake.br-Corpus.git,"We introduce the Fake.Br Corpus, which is composed of aligned true and fake news written in Brazilian Portuguese.",,92
46,https://github.com/open-bacen/bancocentralbrasil.git,"💵 💰 :brazil: Informações sobre taxas oficiais diárias de Inflação, Selic, Poupança, Dólar, Dólar PTAX, Euro e Euro PTAX pelo site do Banco Central do Brasil","banco-central,money,python,web-scraping,web-crawling,brasil,brazil",92
47,https://github.com/the-darc/angular-br-filters.git,"An Angular library of masks applicable to several Brazilian data like I.E., CNPJ, CPF and others",,90
48,https://github.com/danicat/datasus.git,An Interface for the Brazilian Public Healthcare Data Repository (DATASUS) for the R Language,,89
49,https://github.com/Novout/cpp4noobs.git,:blue_book: Tutorial C++ in Brazilian Portuguese,,88
50,https://github.com/poliquin/brazilnum.git,"Python functions for CNPJ, CEI, CPF, PIS/PASEP, CEP, and município numbers from Brazil.","brazil,cnpj,python",84
51,https://github.com/brazil-tech-expats/wiki.git,https://brazil-tech-expats.gitbooks.io/wiki/content/,"brazil,expats,brasil,wiki,faq",83
52,https://github.com/cuducos/fio-de-ariadne.git,🪁 Structuiring data on missing kids in Brazil,hacktoberfest,79
53,https://github.com/fellyph/devtube-brazil.git,:brazil: Lista de canais Brasileiros sobre Tecnologia,"list,technology,youtube,community",79
54,https://github.com/devigor/awesome-ux-ui.git,A list with the bests links about UX and UI Design in pt-BR :brazil: :smile:,"ux,ui,design,list,pt-br",78
55,https://github.com/rafaelrinaldi/porreta.git,:+1: Get funny words in Brazilian Portuguese,,74
56,https://github.com/claudiosanches/woocommerce-extra-checkout-fields-for-brazil.git,Brazilian Market on WooCommerce - WordPress Plugin.,"woocommerce,brazil,cpf,cnpj",73
57,https://github.com/chgasparoto/curso-aws-com-terraform.git,":cinema: :brazil: Arquivos do curso ""DevOps: AWS com Terraform Automatizando sua infraestrutura"" publicado na Udemy.","terraform,aws,terraform-aws,aws-lambda-node,aws-s3,aws-ec2,aws-lambda,aws-ecs",73
58,https://github.com/openfootball/south-america.git,"Free open public domain football data (football.db) for South America (incl. Brazil • Brasil, Argentina, and much more)",,72
59,https://github.com/rogerluan/JobList.git,"A list of worldwide (and also Brazilian-specific) websites to find and apply for remote jobs, both freelancing and full-time.",,69
60,https://github.com/Nhanderu/brdoc.git,"Brazilian docs validator for Go - CPF, CNPJ, CEP, RENAVAM, CNH and license plate!","cnpj,cpf,cep,license-plate,renavam,cnh,validation,go,golang,brazil,cns",68
61,https://github.com/taxweb/ruby_danfe.git,Brazilian DANFE (PDF) generator in Ruby,,65
62,https://github.com/marcelobarreto/via_cep.git,Brazilian zipcode information,"cep,zipcode,rubygems,brazil",65
63,https://github.com/nigellima/br-dev-remoto.git,Repository with tips to find foreign remote jobs for Brazilians.,,63
64,https://github.com/chesterbr/minitruco-android.git,"Port of miniTruco, the popular J2ME Brazilian Truco game (http://chester.blog.br/minitruco) to Android","jogo,game,truco,android",61
65,https://github.com/luizpedone/municipal-brazilian-geodata.git,GeoJSON data with municipal boundaries for all Brazilian cities.,,60
66,https://github.com/rafpyprog/pySGS.git,"{""📈 Python interface for the Brazilian Central Bank's Time Series Management System (SGS)""}","banco-central-do-brasil,wrapper-api,python,time-series,dataset",60
67,https://github.com/drupalista-br/Boleto.git,Boleto Library PHP - Brazilian Payment Method,,59
68,https://github.com/lucasbento/graphql-correios.git,"{""✉️  Interact with Brazil's post-office through GraphQL!""}","correios,frete,brasil,graphql,graphql-correios,correios-api",59
69,https://github.com/paulofreitas/geodata-br.git,Free open public domain geographic data of Brazil available in multiple languages and formats.,"public-domain,geodata,open-data,brasil,ibge,states,estados,municipalities,municipios,districts,distritos,administrative-divisions,dataset,pddl,brazil,geographic-data,subdistricts,subdistritos",58
