,Url,Description,Topics,Stars
0,https://github.com/Stiivi/brewery.git,IMPORTANT: Data Brewery is now Bubbles: https://github.com/stiivi/bubbles This brewery repository is NOT MAINTAINED any more.,,135
1,https://github.com/blevesearch/beer-search.git,example bleve application for indexing and search beers and breweries,,71
2,https://github.com/openbeer/world.git,"Free open public domain beer, brewery n brewpub data",,65
3,https://github.com/BrewBench/monitor.git,BrewBench Monitor is a homebrew and brewery controller and fermentation monitor,"arduino,monitor,brewing,beer,controller",55
4,https://github.com/openbrewerydb/openbrewerydb.git,"🍻 An open-source dataset of breweries, cideries, brewpubs, and bottleshops.","breweries,dataset,hacktoberfest,csv,json,sql,typescript",54
5,https://github.com/openbrewerydb/openbrewerydb-gatsby.git,Official Open Brewery DB website built with Gatsby,"gatsby,hacktoberfest,documentation",53
6,https://github.com/springframeworkguru/mssc-brewery.git,Spring MVC Brewery Microservice,,29
7,https://github.com/springframeworkguru/ssc-brewery.git,Spring Security Core Brewery,"spring,spring-boot,springmvc,springsecurity",27
8,https://github.com/alexander-young/brewlala.git,A simple brewery finder project,,24
9,https://github.com/BrewBlox/brewblox-ui.git,single page app as frontend for brewery control built with Vue.js and Quasar,,23
10,https://github.com/jangevaare/brew2.git,A sophisticated brewery control dashboard using node-red,"node-red-project,node-red,homebrewing,process-control,pid",18
11,https://github.com/ferakpeter/6beers-cms-client.git,"This the app for a local brewery (www.6beers.at) written in ReasonML. It uses bs-director for routing, and bs-fetch and bs-json for calling an API.",,18
12,https://github.com/openbrewerydb/openbrewerydb-rails-api.git,Official v1 Open Brewery DB REST API built with Ruby on Rails,"rails,api-rest,hacktoberfest",16
13,https://github.com/springframeworkguru/mssc-brewery-client.git,Spring MVC Brewery Client,,15
14,https://github.com/mezzoblue/canadian-craft-breweries.git,Canadian Craft Breweries,,15
15,https://github.com/amolenaar/brewberry-pi.git,Home brewery automation the smart way,"elixir,nerves,firmware,brewing-beer,embedded,raspberry-pi",15
16,https://github.com/openbeer/openbeer.github.io.git,"Open Beer, Brewery n Brewpubs Data (beer.db) Web Site",,15
17,https://github.com/chrisjm/openbrewerydb-website.git,Open Brewery DB website with brewery search React app (Deprecated),,14
18,https://github.com/ErinMorelli/em-beer-manager.git,Manage your beers with WordPress. Integrates simply with Untappd beer checkins. Great for everyone from home brewers to professional breweries!,"untappd,beer,wordpress,wordpress-plugin,untappd-api,beers,plugin,brewing,brewery,shortcode,widget",14
19,https://github.com/dataintoresults/data-brewery.git,"Data Brewery is an ETL (Extract-Transform-Load) program that connect to many data sources (cloud services, databases, ...) and manage data warehouse workflow.","etl,datawarehouse,data-engineering,data-warehouse,elt",14
20,https://github.com/kegged/client.git,A social media app driven by user activity to discuss and discover breweries and brews around North Carolina.,,12
21,https://github.com/openbeer/us-united-states.git,"Free open public domain beer, brewery n brewpub data for the United States / North America",,12
22,https://github.com/springframeworkguru/tsbb2b-sfg-brewery.git,Testing Spring Boot B2G SFG Brewery,,11
23,https://github.com/redhat-developer-demos/brewery.git,The repository to hold the Spring Cloud Brewery application which will be deployed to OpenShift/Kubernetes,"kubernetes,spring,openshift,microservices,demos",11
24,https://github.com/openbeer/at-austria.git,"Free open public domain beer, brewery n brewpub data for Austria (Österreich) / Europe","beer,austria,vienna,wien,salzburg,graz,linz,bier,opendata,publicdomain,brewery",10
