,Url,Description,Topics,Stars
0,https://github.com/metabase/metabase.git,"The simplest, fastest way to get business intelligence and analytics  to everyone in your company :yum:","analytics,businessintelligence,dashboard,reporting,slack,clojure,database,metabase,postgres,postgresql,mysql,bi,visualization,data,data-analysis,sql-editor,data-visualization,business-intelligence",24769
1,https://github.com/odoo/odoo.git,Odoo. Open Source Apps To Grow Your Business.,"odoo,python,business,management,odoo-apps,erp,apps",21288
2,https://github.com/diem/diem.git,Diem’s mission is to build a trusted and innovative financial network that empowers people and businesses around the world.,blockchain,15848
3,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition.git,FizzBuzz Enterprise Edition is a no-nonsense implementation of FizzBuzz made by serious businessmen for serious business purposes.,,14494
4,https://github.com/monicahq/monica.git,"Personal CRM. Remember everything about your friends, family and business relationships.","laravel,crm,friends,family,social,prm,php,hacktoberfest",12855
5,https://github.com/asLody/VirtualApp.git,Virtual Engine for Android(Support 12.0 in business version),"android,plugin,framework,plugin-manager",7757
6,https://github.com/Activiti/Activiti.git,"{""Activiti is a light-weight workflow and Business Process Management (BPM) Platform targeted at business people, developers and system admins. Its core is a super-fast and rock-solid BPMN 2 process engine for Java. It's open-source and distributed under the Apache license. Activiti runs in any Java application, on a server, on a cluster or in the cloud. It integrates perfectly with Spring, it is extremely lightweight and based on simple concepts. ""}","java,bpm,spring,cloud,microservices,business-process,activiti,product-activiti,bpmn",7714
7,https://github.com/digoal/blog.git,"Everything about database,business.(Most for PostgreSQL).","postgresql,oracle,greenplum,enterprisedb,database,gpdb,hawq,mysql,mongodb,pgsql,postgres,pg",5738
8,https://github.com/alibaba/MNN.git,"MNN is a blazing fast, lightweight deep learning framework, battle-tested by business-critical use cases in Alibaba","mnn,convolution,vulkan,embedded-devices,winograd-algorithm,machine-learning,deep-learning,ml,deep-neural-networks,arm",5653
9,https://github.com/uber/cadence.git,"Cadence is a distributed, scalable, durable, and highly available orchestration engine to execute asynchronous long-running business logic in a scalable and resilient way.","uber,cadence,workflows,orchestration-engine,workflow-automation,distributed-systems,service-bus,service-fabric,services-platform,golang,java",4902
10,https://github.com/qor/qor.git,"QOR is a set of libraries written in Go that abstracts common features needed for business applications, CMSs, and E-commerce systems.","go,golang,cms,admin,api",4725
11,https://github.com/flowable/flowable-engine.git,"A compact and highly efficient workflow and Business Process Management (BPM) platform for developers, system admins and business users.",,4070
12,https://github.com/bytefury/crater.git,Free & Open Source Invoice App for Freelancers & Small Businesses,"invoices,php,laravel,javascript,vue,payment,laravel-framework",3882
13,https://github.com/corda/corda.git,"{""Corda is an open source blockchain project, designed for business from the start. Only Corda allows you to build interoperable blockchain networks that transact in strict privacy. Corda's smart contract technology allows businesses to transact directly, with value.""}","corda,kotlin,distributed-ledger,dlt",3600
14,https://github.com/bagisto/bagisto.git,A Free and Opensource Laravel eCommerce framework built for all to build and scale your business.,"ecommerce-framework,laravel,vue,php,warehouse-management,ecommerce,ecommerce-platform,laravel-application,laravel-ecommerce,laravel-package,opensource,multivendor-ecommerce,multi-tenant,multi-tenancy-plugin,opensource-ecommerce-framework,hacktoberfest2020,hacktoberfest",3563
15,https://github.com/Budibase/budibase.git,"Budibase is a free and open-source development platform that helps you build business apps on your own infrastructure, in minutes 🚀 ","nocode,lowcode,webdevelopment,webdev,opensource,selfhosted,developer-tools,internal-tools,internal-project,internal-tool,docker,docker-compose,automation,low-code,workflow-automation,low-code-development-platform,low-code-development,web-development,web-dev,web-development-tools",3177
16,https://github.com/ankane/blazer.git,Business intelligence made simple,"business-intelligence,charts,sql",2925
17,https://github.com/jiajunhui/PlayerBase.git,The basic library of Android player will process complex business components. The access is simple。Android播放器基础库，专注于播放视图组件的高复用性和组件间的低耦合，轻松处理复杂业务。,"player,video,listvideo,widget,fullscreen,android,surfaceview,textureview,exoplayer,mediaplayer,listplay,ijkplayer",2770
18,https://github.com/PMSI-AlignAlytics/dimple.git,An object-oriented API for business analytics,,2724
19,https://github.com/alibaba/QLExpress.git,"QLExpress is a powerful, lightweight, dynamic language for the Java platform aimed at improving developers’ productivity in different business scenes.",,2671
20,https://github.com/everpix/Everpix-Intelligence.git,"Uncensored Everpix metrics, financials and business data for your perusing",,2431
21,https://github.com/async-labs/saas.git,"Build your own SaaS business with SaaS boilerplate. Productive stack: React, Material-UI, Next, MobX, WebSockets, Express, Node, Mongoose, MongoDB. Written with TypeScript.","saas,boilerplate,react,material-ui,nextjs,mobx,express,mongoose,mongodb,typescript,google-api,passport,aws-ses,aws-s3,mailchimp,saas-boilerplate,saas-business,saas-product",2360
22,https://github.com/beberlei/assert.git,Thin assertion library for use in libraries and business-model,,2145
23,https://github.com/serenity-is/Serenity.git,Business Apps Made Simple with Asp.Net Core MVC / TypeScript,"aspnet-core,asp-mvc,mvc,business,admin,serenity,typescript,dotnetcore,c-sharp",2094
24,https://github.com/wesdoyle/design-patterns-explained-with-food.git,"GoF Design Patterns with ""Real-World"" examples involving Food-Related Businesses and mock dependencies","design-patterns,gang-of-four,dotnet,object-oriented-design",2034
25,https://github.com/kumailht/flakes.git,"Flakes is an Admin Template Framework. A combination of CSS Libraries, JavaScript Libraries and Design files that help you build business tools very quickly.",,1853
26,https://github.com/shzlw/poli.git,An easy-to-use BI server built for SQL lovers. Power data analysis in SQL and gain faster business insights.,"business-intelligence,sql,dashboard,data-visualization,sql-editor,jdbc,bigdata,reporting,spring-boot,reactjs",1797
27,https://github.com/jeffbski/redux-logic.git,Redux middleware for organizing all your business logic. Intercept actions and perform async processing.,,1771
28,https://github.com/SpecFlowOSS/SpecFlow.git,"#1 .NET BDD Framework. SpecFlow automates your testing & works with your existing code. Find Bugs before they happen. Behavior Driven Development helps developers, testers, and business representatives to get a better understanding of their collaboration","specflow,xunit,mstest,nunit,bdd,gherkin,hacktoberfest",1711
29,https://github.com/DevExpress/devextreme-reactive.git,Business React components for Bootstrap and Material-UI,"react,react-components,material-ui,material-design,bootstrap,datagrid,charts,scheduler,calendar",1656
30,https://github.com/chris1610/pbpython.git,"Code, Notebooks and Examples from Practical Business Python","python,pandas,datascience,scikit-learn,data-analysis,data-visualization",1599
31,https://github.com/pencilblue/pencilblue.git,"Business class content management for Node.js (plugins, server cluster management, data-driven pages)",,1593
32,https://github.com/AaronLasseigne/active_interaction.git,:briefcase: Manage application specific business logic.,"ruby,activemodel,service-object,method-object,command-pattern",1571
33,https://github.com/szad670401/HyperLandmark.git,Deep Learning Based Free Mobile Real-Time  Face Landmark Detector. Contact:jack-yu-business@foxmail.com,"face-landmark,cnn,android,tracking,106-points,face-alignment",1511
34,https://github.com/thirtythreeforty/businesscard-linux.git,A Buildroot distribution small enough to run on my business card,"buildroot,linux,allwinner-f1c100s,lichee-nano",1488
35,https://github.com/ONLYOFFICE/CommunityServer.git,"Free open source office suite with business productivity tools: document and project management, CRM, mail aggregator.","onlyoffice,collaboration,dms,document-management,project-management,crm,file-sharing,csharp,tsql",1406
36,https://github.com/cypriss/mutations.git,Compose your business logic into commands that sanitize and validate input.,,1323
37,https://github.com/Tencent/paxosstore.git,"PaxosStore has been deployed in WeChat production for more than two years, providing storage services for the core businesses of WeChat backend. Now PaxosStore is running on thousands of machines, and is able to afford billions of peak TPS.","paxos,database,distributed-database,consensus",1315
38,https://github.com/aws-samples/lambda-refarch-webapp.git,"The Web Application reference architecture is a general-purpose, event-driven, web application back-end that uses AWS Lambda, Amazon API Gateway for its business logic. It also uses Amazon DynamoDB as its database and Amazon Cognito for user management. All static content is hosted using AWS Amplify Console.","serverless,lambda,aws,aws-lambda,amplify,dynamodb",1257
39,https://github.com/kiegroup/jbpm.git,a Business Process Management (BPM) Suite,"jbpm,bpm,bpmn,business-process,case-management,workflow,bpmn2,process-engine,opensource",1243
