,Url,Description,Topics,Stars
0,https://github.com/bumptech/glide.git,An image loading and caching library for Android focused on smooth scrolling,"android,imageloader,gif,disk-cache,glide",31142
1,https://github.com/SDWebImage/SDWebImage.git,Asynchronous image downloader with cache support as a UIImageView category,"macos,ios,watchos,image,jpeg,png,gif,webp,cache,objective-c,swift,cocoapods,carthage,sdwebimage",23527
2,https://github.com/tannerlinsley/react-query.git,"⚛️ Hooks for fetching, caching and updating asynchronous data in React","react,hooks,fetch,cache,async,rest,graphql,data,query,stale,stale-while-revalidate,update",19892
3,https://github.com/onevcat/Kingfisher.git,"A lightweight, pure-Swift library for downloading and caching images from the web.","swift,kingfisher,image,cache,filters,image-processor,xcode,ios,macos",18402
4,https://github.com/square/picasso.git,A powerful image downloading and caching library for Android,,17962
5,https://github.com/nostra13/Android-Universal-Image-Loader.git,"Powerful and flexible library for loading, caching and displaying images on Android.",,16804
6,https://github.com/redisson/redisson.git,"Redisson - Redis Java client with features of In-Memory Data Grid. Over 50 Redis based Java objects and services: Set, Multimap, SortedSet, Map, List, Queue, Deque, Semaphore, Lock, AtomicLong, Map Reduce, Publish / Subscribe, Bloom filter, Spring Cache, Tomcat, Scheduler, JCache API, Hibernate, MyBatis, RPC, local cache ...","java,redis,lock,map,list,queue,executor,redis-cluster,redis-client,distributed,set,distributed-locks,tomcat,hibernate,cache,scheduler,mapreduce,session,spring-cache",16398
7,https://github.com/apollographql/apollo-client.git,":rocket: A fully-featured, production ready caching GraphQL client for every UI framework and GraphQL server","graphql,graphql-client,typescript,apollo-client,apollographql",16090
8,https://github.com/graphql/dataloader.git,"{""DataLoader is a generic utility to be used as part of your application's data fetching layer to provide a consistent API over various backends and reduce requests to those backends via batching and caching.""}","nodejs,dataloader,graphql,batch",10441
9,https://github.com/golang/groupcache.git,"groupcache is a caching and cache-filling library, intended as a replacement for memcached in many cases.",,10220
10,https://github.com/ben-manes/caffeine.git,A high performance caching library for Java,,9791
11,https://github.com/geektutu/7days-golang.git,"7 days golang programs from scratch (web framework Gee, distributed cache GeeCache, object relational mapping ORM framework GeeORM, rpc framework GeeRPC etc)  7天用Go动手写/从零实现系列","learning,starter-project,golang,scratch",7132
12,https://github.com/doctrine/cache.git,Doctrine Cache component,,6980
13,https://github.com/liuliu/ccv.git,"C-based/Cached/Core Computer Vision Library, A Modern Computer Vision Library",,6779
14,https://github.com/kean/Nuke.git,Powerful image loading and caching system,"cache,image,swift,webp,gif,progressive",6010
15,https://github.com/FormidableLabs/urql.git,The highly customizable and versatile GraphQL client with which you add on features like normalized caching as you grow.,"graphql,graphql-client,formidable,exchange,graphql-clients,complex-apps",5857
16,https://github.com/JakeWharton/DiskLruCache.git,Java implementation of a Disk-based LRU cache which specifically targets Android compatibility.,,5570
17,https://github.com/Haneke/HanekeSwift.git,A lightweight generic cache for iOS written in Swift with extra love for images.,,5094
18,https://github.com/patrickmn/go-cache.git,"An in-memory key:value store/cache (similar to Memcached) library for Go, suitable for single-machine applications.","go,cache,library",4962
19,https://github.com/527515025/springBoot.git,springboot 框架与其它组件结合如 jpa、mybatis、websocket、security、shiro、cache等,,4922
20,https://github.com/allegro/bigcache.git,Efficient cache for gigabytes of data written in Go.,"cache,performance,caching,golang-library,hacktoberfest",4815
21,https://github.com/EasyDarwin/EasyDarwin.git,"open source、high performance、industrial rtsp streaming server,a lot of optimization on streaming relay,KeyFrame cache,RESTful,and web management,also EasyDarwin support distributed load balancing,a simple streaming media cloud platform architecture.高性能开源RTSP流媒体服务器，基于go语言研发，维护和优化：RTSP推模式转发、RTSP拉模式转发、录像、检索、回放、关键帧缓存、秒开画面、RESTful接口、WEB后台管理、分布式负载均衡，基于EasyDarwin构建出了一套基础的流媒体云视频平台架构！","easydarwin,easycms,easycamera,rtsp-server,rtsp-relay,rtsp-annouce",4803
22,https://github.com/danikula/AndroidVideoCache.git,Cache support for any video player with help of single line,"android,video,cache",4621
23,https://github.com/microsoft/FASTER.git,"Fast persistent recoverable log and key-value store + cache, in C# and C++.","key-value-store,hash-table,persistent,recoverable,concurrent,multi-threaded,library,logging,indexing",4507
24,https://github.com/moby/buildkit.git,"concurrent, cache-efficient, and Dockerfile-agnostic builder toolkit","buildkit,dockerfile,docker,oci-image,oci,containers,builder",3753
25,https://github.com/yangfuhai/ASimpleCache.git,a simple cache for android and java,,3608
26,https://github.com/nytimes/Store.git,Android Library for Async Data Loading and Caching,"android-library,caching,rxjava,data-flow",3596
27,https://github.com/symfony/cache.git,The Cache component provides an extended PSR-6 implementation for adding cache to your applications.,"php,symfony,component,symfony-component,cache,psr-16,caching,psr-6",3369
28,https://github.com/addyosmani/basket.js.git,A script and resource loader for caching & loading files with localStorage,,3365
29,https://github.com/coocood/freecache.git,A cache library for Go with zero GC overhead.,,3293
30,https://github.com/MugunthKumar/MKNetworkKit.git,Modern NSURLSession based Networking Framework with built in authentication and HTTP 1.1 caching standards support for iOS 8+ devices,,3117
31,https://github.com/TumblrArchive/TMCache.git,Fast parallel object cache for iOS and OS X.,,3067
32,https://github.com/stephanenicolas/robospice.git,"Repo of the Open Source Android library : RoboSpice. RoboSpice is a modular android library that makes writing asynchronous long running tasks easy. It is specialized in network requests, supports caching and offers REST requests out-of-the box using extension modules.",,3002
33,https://github.com/apollographql/apollo-ios.git,"📱 A strongly-typed, caching GraphQL client for iOS, written in Swift","swift,graphql-client,apollo-ios,ios,graphql,apollographql",2963
34,https://github.com/sindresorhus/electron-store.git,"Simple data persistence for your Electron app or module - Save and load user preferences, app state, cache, etc","storage,user-preferences,config,preferences,electron,electron-module,data-persistence,npm-package",2929
35,https://github.com/dgraph-io/ristretto.git,A high performance memory-bound Go cache,"cache,performance,golang,go,library",2925
36,https://github.com/alibaba/jetcache.git,JetCache is a Java cache framework.,"java,redis,spring-cache,jcache,spring,cache",2883
37,https://github.com/doctrine/DoctrineCacheBundle.git,Symfony2 Bundle for Doctrine Cache,"symfony,symfony-bundle,cache,doctrine",2811
38,https://github.com/apollographql/apollo-android.git,":robot: A strongly-typed, caching GraphQL client for the JVM, Android and Kotlin multiplatform","graphql-client,android,apollographql,graphql,kotlin,multiplatform",2735
39,https://github.com/varnishcache/varnish-cache.git,Varnish Cache source code repository,"http,caching,reverse-proxy,high-performance",2545
40,https://github.com/django-compressor/django-compressor.git,Compresses linked and inline javascript or CSS into a single cached file.,,2451
41,https://github.com/pinterest/PINCache.git,"Fast, non-deadlocking parallel object cache for iOS, tvOS and OS X","carthage,cocoapods,objective-c,ios,cache",2439
42,https://github.com/willnorris/imageproxy.git,"A caching, resizing image proxy written in Go",,2422
43,https://github.com/VictorAlbertos/RxCache.git,Reactive caching library for Android and Java,,2402
44,https://github.com/hyperoslo/Cache.git,:package: Nothing but Cache.,"cache,cache-storage,disk-cache,memory-cache,swift,ios",2313
45,https://github.com/hashicorp/golang-lru.git,Golang LRU cache,,2261
46,https://github.com/ibireme/YYCache.git,High performance cache framework for iOS.,,2236
47,https://github.com/newyjp/JPVideoPlayer.git,Automatic play video & cache video data in UITableView like Weibo and Douyin.,,2186
48,https://github.com/dropbox/Store.git,Kotlin Library for Async Data Loading and Caching,,2166
49,https://github.com/garden-io/garden.git,"Automation for Kubernetes development and testing. Spin up production-like environments for development, testing, and CI on demand. Use the same configuration and workflows at every step of the process. Speed up your builds and test runs via shared result caching.","kubernetes,developer-tools,containers,testing-tools,testing",2136
50,https://github.com/PHPSocialNetwork/phpfastcache.git,"A high-performance backend cache system.  It is intended for use in speeding up dynamic web applications by alleviating database load.  Well implemented, it can drops the database load to almost nothing, yielding faster page load times for users, better resource utilization.  It is simple yet powerful. ","cache,php,redis,couchbase,speed,website,mongodb,cassandra,driver,memcached,couchdb,phpfastcache,php7",2130
51,https://github.com/cloudhead/node-static.git,"rfc 2616 compliant HTTP static-file server module, with built-in caching.",,2112
52,https://github.com/reactiveui/Akavache.git,"An asynchronous, persistent key-value store created for writing desktop and mobile applications, based on SQLite3. Akavache is great for both storing important data as well as cached local data that expires.","c-sharp,cache,reactive-extensions,reactive-programming,xamarin,dotnet,akavache,cross-platform",2084
53,https://github.com/Sly777/ran.git,":zap: RAN! React . GraphQL . Next.js Toolkit :zap: - SEO-Ready, Production-Ready, SSR, Hot-Reload, CSS-in-JS, Caching, CLI commands and more...","react,nextjs,graphql,apollo,styled-components,boilerplate,nodejs,redux,rng,seo-ready,zeit,toolkit",2074
54,https://github.com/jazzband/django-redis.git,Full featured redis cache backend for Django.,,2053
