,Url,Description,Topics,Stars
0,https://github.com/fullcalendar/fullcalendar.git,Full-sized drag & drop event calendar,,13831
1,https://github.com/sovereign/sovereign.git,"A set of Ansible playbooks to build and maintain your own private cloud: email, calendar, contacts, file sync, IRC bouncer, VPN, and more.",,10006
2,https://github.com/WenchaoD/FSCalendar.git,"A fully customizable iOS calendar library, compatible with Objective-C and Swift","swift,objective-c,calendar,library,cocoapods,carthage,ios",9568
3,https://github.com/nhn/tui.calendar.git,🍞📅A JavaScript calendar that has everything you need.,"calendar,fullcalendar,frontend,schedule,javascript,monthly,weekly,daily,task,milestone,jquery,jquery-plugin",9072
4,https://github.com/huanghaibin-dev/CalendarView.git,"Android上一个优雅、万能自定义UI、支持周视图、自定义周起始、性能高效的日历控件，支持热插拔实现的UI定制！支持标记、自定义颜色、农历、自定义月视图各种显示模式等。Canvas绘制，速度快、占用内存低，你真的想不到日历居然还可以如此优雅！An elegant, highly customized and high-performance Calendar Widget on Android.","calendarview,calendar-component,calendar-view,calendar-widget,calendar,calendar-api,android",7583
5,https://github.com/patchthecode/JTAppleCalendar.git,The Unofficial Apple iOS Swift Calendar View. Swift calendar Library. iOS calendar Control. 100% Customizable,"calendar,swift,ios,jtapplecalendar,year-calendar,year-view,weekview",6916
6,https://github.com/wix/react-native-calendars.git,React Native Calendar Components 🗓️ 📆 ,"react-native,android,ios,calendar,ui-components",6680
7,https://github.com/IonicaBizau/git-stats.git,🍀 Local git statistics including GitHub-like contributions calendars.,"contributions-calendar,gitstats,calendar,statistics,hacktoberfest",5674
8,https://github.com/jquense/react-big-calendar.git,gcal/outlook like calendar component,,4953
9,https://github.com/square/android-times-square.git,Standalone Android widget for picking a single date from a calendar view.,,4433
10,https://github.com/CVCalendar/CVCalendar.git,A custom visual calendar for iOS 8+ written in Swift (>= 4.0).,"cvcalendar,calendarview,ios,swift,swift3,custom-view,calendar,calendar-view,calendar-component,swift4",3407
11,https://github.com/alamkanak/Android-Week-View.git,Android Week View is an android library to display calendars (week view or day view) within the app. It supports custom styling.,"android,custom-view,calendar,calendar-view",3308
12,https://github.com/Serhioromano/bootstrap-calendar.git,"Full view calendar with year, month, week and day views based on templates with Twitter Bootstrap.","calendar,twitter-bootstrap,event-management",2994
13,https://github.com/bevacqua/rome.git,":calendar: Customizable date (and time) picker. Opt-in UI, no jQuery!","front-end,javascript,vanilla,calendar,component",2890
14,https://github.com/kylestetz/CLNDR.git,:calendar: a jQuery calendar plugin that uses HTML templates,"calendar,jquery-plugin",2798
15,https://github.com/nathanreyes/v-calendar.git,An elegant calendar and datepicker plugin for Vue.,,2766
16,https://github.com/jonathantribouharet/JTCalendar.git,A customizable calendar view for iOS.,"ios,calendar",2736
17,https://github.com/kizitonwose/CalendarView.git,"A highly customizable calendar library for Android, powered by RecyclerView.","calendar,calendarview,date,datepicker,daterange,daterangepicker",2550
18,https://github.com/insanum/gcalcli.git,Google Calendar Command Line Interface,,2499
19,https://github.com/SimpleMobileTools/Simple-Calendar.git,"A simple calendar with events, customizable widgets and no ads.","calendar,android,android-development,open-source,freedom,kotlin",2460
20,https://github.com/mattlewis92/angular-calendar.git,"A flexible calendar component for angular 6.0+ that can display events on a month, week or day view.","angular,calendar,calendar-component",2212
21,https://github.com/sfsam/Itsycal.git,"{""Itsycal is a tiny calendar for your Mac's menu bar. http://www.mowglii.com/itsycal""}",,2164
22,https://github.com/wa0x6e/cal-heatmap.git,Cal-Heatmap is a javascript module to create calendar heatmap to visualize time series data,"javascript,series-data,calendar-heatmap,d3js",2158
23,https://github.com/Kozea/Radicale.git,A simple CalDAV (calendar) and CardDAV (contact) server.,"python,caldav,cardav,icalendar",2098
24,https://github.com/jakubroztocil/rrule.git,JavaScript library for working with recurrence rules for calendar dates as defined in the iCalendar RFC and more.,"recurrence-rules,javascript,rrule,library,calendar,icalendar-rfc,rfc,python-dateutil,jakubroztocil,typescript",2024
25,https://github.com/erichoracek/MSCollectionViewCalendarLayout.git,UICollectionViewLayout for displaying cells chronologically. Similar to the iOS Calendar app.,,1959
26,https://github.com/jivesoftware/PDTSimpleCalendar.git,A simple Calendar / Date Picker for iOS using UICollectionView,,1939
27,https://github.com/airbnb/HorizonCalendar.git,"A declarative, performant, iOS calendar UI component that supports use cases ranging from simple date pickers all the way up to fully-featured calendar apps.",,1866
28,https://github.com/jonthornton/jquery-timepicker.git,A javascript timepicker plugin for jQuery inspired by Google Calendar.,,1823
29,https://github.com/sabre-io/Baikal.git,Baïkal is a Calendar+Contacts server,,1797
30,https://github.com/richardtop/CalendarKit.git,"📅 Calendar for iOS, iPadOS and macOS in Swift","cocoapods,swift,ios,calendar,ios-ui,ios-calendar,ios-lib,ios-swift,calendarkit,swift-package-manager,macos,catalyst",1786
31,https://github.com/wojtekmaj/react-calendar.git,Ultimate calendar for your React app.,"react,calendar,date,date-picker,month-picker",1767
32,https://github.com/pimutils/khal.git,:calendar: CLI calendar application,"python,calendar,terminal,icalendar",1718
33,https://github.com/akosma/SwiftMoment.git,"A time and calendar manipulation library for  iOS 9+, macOS 10.11+, tvOS 9+, watchOS 2+ written in Swift 4.",,1638
34,https://github.com/itchyny/calendar.vim.git,A calendar application for Vim,"vim,google-calendar,calendar",1605
35,https://github.com/react-component/calendar.git,React Calendar,,1602
36,https://github.com/puls/objc-TimesSquare.git,TimesSquare is an Objective-C calendar view for your apps.,,1567
37,https://github.com/ApplikeySolutions/CosmoCalendar.git,📅 CosmoCalendar is a fully customizable calendar with a wide variety of features and displaying modes. ,"calendar,calendar-dialog,customizable,calendarview",1526
38,https://github.com/traex/CalendarListview.git,Implementation of a calendar in a ListView. One month by row,,1496
39,https://github.com/SundeepK/CompactCalendarView.git,An android library which provides a compact calendar view much like the one used in google calenders.,"calendar,compactcalendarview,android,android-library,android-ui,java,animation",1493
40,https://github.com/roomorama/Caldroid.git,A better calendar for Android,,1424
41,https://github.com/Wanderxx/vue-fullcalendar.git,vue calendar fullCalendar. no jquery required. Schedule events management,,1384
