,Url,Description,Topics,Stars
0,https://github.com/flameshot-org/flameshot.git,Powerful yet simple to use screenshot software :desktop_computer: :camera_flash:,"screenshot,qt,image-editing,gnu-linux,free-software,capture,gui,hacktoberfest,cross-platform",12890
1,https://github.com/react-native-camera/react-native-camera.git,A Camera component for React Native. Also supports barcode scanning!,"react-native,face-detection,rncamera,camera",9115
2,https://github.com/desandro/imagesloaded.git,":camera: JavaScript is all like ""You images done yet or what?""",,8477
3,https://github.com/react-native-image-picker/react-native-image-picker.git,:sunrise_over_mountains: A React Native module that allows you to use native UI to select media from the device library or directly from the camera.,"react-native,image-picker,picker",7067
4,https://github.com/raulmur/ORB_SLAM2.git,"Real-Time SLAM for Monocular, Stereo and RGB-D Cameras, with Loop Detection and Relocalization Capabilities",,6214
5,https://github.com/ArthurHub/Android-Image-Cropper.git,"Image Cropping Library for Android, optimized for Camera / Gallery.","android,android-image-cropper,cropper",5746
6,https://github.com/CameraKit/camerakit-android.git,Library for Android Camera 1 and 2 APIs. Massively increase stability and reliability of photo and video capture on all Android devices.,"java,captured-images,camera,camera-api,capture-video,android,android-library,ndk,c-plus-plus,performance,native",5037
7,https://github.com/wuhaoyu1990/MagicCamera.git,Real-time Filter Camera&VideoRecorder And ImageEditor With Face Beauty For Android---包含美颜等40余种实时滤镜相机，可拍照、录像、图片修改,,5037
8,https://github.com/ivpusic/react-native-image-crop-picker.git,"iOS/Android image picker with support for camera, video, configurable compression, multiple images and cropping","react,react-native,image,video,crop,ios,android,cropping,recording",4967
9,https://github.com/SixLabors/ImageSharp.git,":camera: A modern, cross-platform, 2D Graphics library for .NET","image-processing,drawing,c-sharp,jpeg,gif,bmp,png,netcore,exif,graphics,hacktoberfest",4729
10,https://github.com/google/cameraview.git,[DEPRECATED] Easily integrate Camera features into your Android app,"android,camera",4716
11,https://github.com/hyperoslo/ImagePicker.git,:camera: Reinventing the way ImagePicker works.,"ios,swift,imagepicker",4560
12,https://github.com/lolcommits/lolcommits.git,:camera: git-based selfies for software developers,"git,git-addons,webcam,selfie,humor",4440
13,https://github.com/RedApparat/Fotoapparat.git,Making Camera for Android more friendly. 📸,"android,camera",3663
14,https://github.com/ZoneMinder/zoneminder.git,"ZoneMinder is a free, open source Closed-circuit television software application developed for Linux which supports IP, USB and Analog cameras. ","zoneminder,cctv,video,vms,h264,h265,scalable,distributed,zmninja",3188
15,https://github.com/Skykai521/StickerCamera.git,"This is an Android application with camera,picture cropping,collage sticking and tagging.贴纸标签相机,功能:拍照,相片裁剪,给图片贴贴纸,打标签。","camera,photos,stickercamera",3088
16,https://github.com/rFlex/SCRecorder.git,"iOS camera engine with Vine-like tap to record, animatable filters, slow motion, segments editing",,3046
17,https://github.com/sahin/mobileplayer-ios.git,:iphone: :movie_camera: A powerful and completely customizable media player for iOS,"mobile,video,video-player,player,ios,mobile-player,ads,cocoapods,swift",2886
18,https://github.com/android/camera-samples.git,Multiple samples showing the best practices in camera APIs on Android.,"kotlin,samples",2805
19,https://github.com/Ullaakut/cameradar.git,Cameradar hacks its way into RTSP videosurveillance cameras,"penetration-testing,security,hacking,infosec,rtsp,cctv,cameras,hacking-tool,pentesting,security-tools,netsec",2554
20,https://github.com/ytakzk/Fusuma.git,Instagram-like photo browser and a camera feature with a few line of code in Swift.,"swift,cocoapod,cocoapods,carthage,photo-browser,instagram,crop,ios,video",2428
21,https://github.com/JimBobSquarePants/ImageProcessor.git,:camera: A fluent wrapper around System.Drawing for the processing of image files.,"image-processor,c-sharp,jpeg,gif,png,bmp,tiff,webp,aspnet",2410
22,https://github.com/florent37/CameraFragment.git,A simple easy-to-integrate Camera Fragment for Android,"android,camera,capture,video,photos,api",2303
23,https://github.com/saki4510t/UVCCamera.git,library and sample to access to UVC web camera on non-rooted Android device,,2134
24,https://github.com/CainKernel/CainCamera.git,"CainCamera is an Android Project to learn about development of beauty camera, image and short video","android,opengles,ffmpeg,android-camera-surfaceview,egl,onpreviewframe,videoeditor,imageeditor",2122
25,https://github.com/shogo4405/HaishinKit.swift.git,"Camera and Microphone streaming library via RTMP, HLS for iOS, macOS, tvOS.","rtmp,hls,streaming,camera,aac,h264",2087
26,https://github.com/facebook/Surround360.git,"{""Surround360 is Facebook's open source hardware and software for capturing stereoscopic 3D 360 video for VR. The repo contains hardware designs, as well as software for camera control and rendering.""}",,2080
27,https://github.com/AlexLittlejohn/ALCameraViewController.git,A camera view controller with custom image picker and image cropping.,"swift,camera,ios,photos,cropping",2015
28,https://github.com/nekocode/CameraFilter.git,📷 Realtime camera filters on android.,"android,graphics,app",1990
29,https://github.com/sarxos/webcam-capture.git,"The goal of this project is to allow integrated or USB-connected webcams to be accessed directly from Java. Using provided libraries users are able to read camera images and detect motion. Main project consist of several sub projects - the root one, which contains required classes, build-in webcam driver compatible with Windows, Linux and Mac OS, which can stream images as fast as your camera can serve them (up to 50 FPS). Main project can be used standalone, but user is able to replace build-in driver with different one - such as OpenIMAJ, GStreamer, V4L4j, JMF, LTI-CIVIL, FMJ, etc.","webcam,java,webcam-capture",1862
30,https://github.com/Awalz/SwiftyCam.git,A Snapchat Inspired iOS Camera Framework written in Swift,"video-capture,camera,video-recording,flash,image-capture,snapchat,photos,retina-flash,avfoundation",1830
