,Url,Description,Topics,Stars
0,https://github.com/DevsHelpDevs/DevsHelpDevs.git,"{""Let's develop a community run charity platform that helps to provide developers with the needed tools to work""}",,106
1,https://github.com/mietek/charity-lang.git,Charity language interpreters and literature,,102
2,https://github.com/2Fwebd/juntos.git,"Juntos, Free & Open Source One Page Template for Charities and Association of every nation, size and color.",,72
3,https://github.com/GiveCampUK/GiveCRM.git,"GiveCRM is a quality open-source CRM, designed for charities. The aim is to be incredibly straightforward to get started and use, with the added bonus of being free.",,61
4,https://github.com/openpetra/openpetra.git,OpenPetra is an administration software (CRM+ERP) for charities,"openpetra,c-sharp,charity,erp,crm",53
5,https://github.com/ncvo/charity-commission-extract.git,Python utilities for handling the import of data from the Charity Commission data extract,,40
6,https://github.com/Suave/1kg.org.git,"a charity website based China, named 1KG more",,39
7,https://github.com/aerogear/OpenVolunteerPlatform.git,Platform for building volunteer management systems dedicated for local gov and charity organizations,"mobile,volunteer,covid19,ionic,graphql",36
8,https://github.com/Altruisto/altruisto.git,A browser extension that allows raising money for charities through online shoppings,"javascript,browser-extension,chrome-extension,firefox-addon,non-profit,charity",34
9,https://github.com/dobesv/charity.git,Charity Programming Language,,33
10,https://github.com/ccusa/Disaster_Vulnerability_Map.git,DataKind DC volunteer project building a vulnerability and disaster risk map for Catholic Charities USA.,,28
11,https://github.com/Maadhav/flutter-charity-donation-app-concept.git,Flutter Charity Donation App Concept,flutter,27
12,https://github.com/chad/sor-tutorial.git,Scotland on Rails Charity tutorial,,25
13,https://github.com/KevinHock/awesome-charity-ideas.git,A collection of ideas to raise money for charities.,"altruism,charity,charities,effective-altruism,awesome-list,awesome-lists",23
14,https://github.com/barelyknown/charity_auction-server.git,A Ruby on Rails JSON API compliant server to host charity auctions.,,22
15,https://github.com/drkane/find-that-charity.git,"Reconciliation for UK Charities and other nonprofit organisations, with elasticsearch back end. ","charity,reconciliation,elasticsearch,charity-commission,scottish-charities,reconciliation-api,python-django",21
16,https://github.com/RadiCards/radi.cards.git,NFT eCards for greater fun and greater good. All income goes to charities working to promote Internet freedom and environmental rights. ♣️,,21
17,https://github.com/ganlu19940318/charityblockchain.git,charity blockchain,,20
18,https://github.com/makingwaves/BurnForMoney.git,Burn for Money is a CSR internal initiative that connects charity with fit lifestyle.,"charity,sports,strava,strava-api,corporate-social-responsibility",16
19,https://github.com/systemseed/falcon.git,Distribution made for Charities. Powered by Drupal and React,,16
20,https://github.com/btcpayserver/directory.btcpayserver.org.git,"BTCPay Server Directory - Merchants, Projects & Charities accepting Bitcoin",btcpayserver,15
21,https://github.com/UnchainedCommunity/sanabil.git,A platform to organize the work of charity in Algiers City,"backend,django,charity,webapp",15
22,https://github.com/devaspot/charity.git,Charity Total Functional Language based on Category Theory,,15
23,https://github.com/lmego/finding_donors.git,"{""Finding Donors for Charity - 3rd project for Udacity's Machine Learning Nanodegree""}","udacity,udacity-nanodegree,machine-learning,supervised-learning,adaboost,naive-bayes-classifier,ensemble-learning",14
24,https://github.com/VolcaTech/cryptoxmas.xyz.git,Surprise your friends & support charity,,14
