,Url,Description,Topics,Stars
0,https://github.com/d3/d3.git,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:",visualization,96780
1,https://github.com/chartjs/Chart.js.git,Simple HTML5 Charts using the <canvas> tag,"javascript,chart,html5,canvas,graph,html5-charts,hacktoberfest",53546
2,https://github.com/apache/echarts.git,"Apache ECharts is a powerful, interactive charting and data visualization library for browser","echarts,data-visualization,charts,charting-library,visualization,apache,data-viz,canvas,svg",46338
3,https://github.com/PhilJay/MPAndroidChart.git,"A powerful 🚀 Android chart view / graph view library, supporting line- bar- pie- radar- bubble- and candlestick charts as well as scaling, panning and animations.","java,chart,graph,android,mpandroidchart",33293
4,https://github.com/danielgindi/Charts.git,Beautiful charts for iOS/tvOS/OSX! The Apple side of the crossplatform MPAndroidChart.,,24219
5,https://github.com/recharts/recharts.git,Redefined chart library built with React and D3,"react,charting-library,recharts,d3",16299
6,https://github.com/frappe/charts.git,"Simple, responsive, modern SVG Charts with zero dependencies","chart,javascript,svg,svg-chart,graph,zero-dependency",13865
7,https://github.com/plotly/plotly.js.git,Open-source JavaScript charting library behind Plotly and Dash,"data-visualization,d3,webgl,plotly,charting-library,charts,visualization,plotly-dash,regl",13178
8,https://github.com/nhn/tui.editor.git,🍞📝 Markdown WYSIWYG Editor. GFM Standard + Chart & UML Extensible.,"editor,wysiwyg,markdown,gfm,jquery,frontend,documentation,commonmark,uml,html,jquery-plugin,chart",12891
9,https://github.com/gionkunz/chartist-js.git,Simple responsive charts,"chartist,responsive-charts,charting-library,javascript,svg",12576
10,https://github.com/ossu/data-science.git,:bar_chart: Path to a free self-taught education in Data Science!,,11395
11,https://github.com/antvis/G2.git,📊 A highly interactive data-driven visualization grammar for statistical charts.,"visualization,grammar,graphics,charts,graph,data-visualization,canvas,statistics,svg,interaction,data-driven",10645
12,https://github.com/apexcharts/apexcharts.js.git,📊 Interactive JavaScript Charts built on SVG,"charts,graphs,javascript,svg,data-visualization,visualization,interactive",10270
13,https://github.com/highcharts/highcharts.git,"Highcharts JS, the JavaScript charting framework",,10050
14,https://github.com/kevinzhow/PNChart.git,A simple and beautiful chart lib used in Piner and CoinsMan for iOS,,9756
15,https://github.com/c3js/c3.git,:bar_chart: A D3-based reusable chart library,"chart,d3,graphics,data-visualization,svg,graph,interactive-visualizations",9061
16,https://github.com/antvis/F2.git,"📱📈An elegant, interactive and flexible charting library for mobile.","mobile,charts,visualization,grammar,antv,f2,html5-canvas,data-visualization,data-visualisation",7526
17,https://github.com/adrai/flowchart.js.git,Draws simple SVG flow chart diagrams from textual representation of the diagram,"flowchart,diagram,javascript,svg",7437
18,https://github.com/dropwizard/metrics.git,"{"":chart_with_upwards_trend: Capturing JVM- and application-level metrics. So you know what's going on.""}","metrics,java,metrics-library,dropwizard-metrics",7340
19,https://github.com/dc-js/dc.js.git,Multi-Dimensional charting built to work natively with crossfilter rendered with d3.js,"crossfilter,visualization,charting",7217
20,https://github.com/lecho/hellocharts-android.git,"Charts/graphs library for Android compatible with API 8+, several chart types with support for scaling, scrolling and animations","chart,android",7167
21,https://github.com/novus/nvd3.git,A reusable charting library written in d3.js,,7108
22,https://github.com/timqian/chart.xkcd.git,xkcd styled chart lib,"xkcd,hand-drawn,chart,graph,svg,svg-sprite,html5-charts,html5",6791
23,https://github.com/leeoniya/uPlot.git,"📈 A small, fast chart for time series, lines, areas, ohlc & bars","time-series,ohlc,line-chart,performance,lightweight,plotting,graphs,charts,streaming,analytics,plot,data-visualization,chart,graph,timeseries,trend-analysis",6210
24,https://github.com/wbkd/react-flow.git,"Highly customizable library for building interactive node-based UIs, editors, flow charts and diagrams ","flowchart,nodebased,graph,typescript-library,react-library,react,typescript",6019
25,https://github.com/flot/flot.git,Attractive JavaScript charts for jQuery,,5904
26,https://github.com/jwilber/roughViz.git,Reusable JavaScript library for creating sketchy/hand-drawn styled charts in the browser.,"data-visualization,d3v5,dashboard,data-science,visualization,charting-library",5771
27,https://github.com/ankane/chartkick.git,Create beautiful JavaScript charts with one line of Ruby,"charts,visualization,chartjs,google-charts,highcharts",5766
28,https://github.com/NorthwoodsSoftware/GoJS.git,"JavaScript diagramming library for interactive flowcharts, org charts, design tools, planning tools, visual languages.","html,diagram,flowchart,javascript,orgchart,layout,graph,typescript,interactive-diagrams,javascript-library,chart,visualization,data-visualization,es6,typescript-library,es6-modules,gojs",5217
29,https://github.com/asmuth/clip.git,Create charts from the command line,"plotting,plots,chart,charts,csv,cpp17,visualization,data-visualization",5052
30,https://github.com/nhn/tui.chart.git,🍞📊  Beautiful chart for data visualization.,"chart,data-visualization,toast-ui,visualization,simple,easy,canvas",4927
31,https://github.com/Live-Charts/Live-Charts.git,"Simple, flexible, interactive & powerful charts, maps and gauges for .Net","chart,data-visualization,maps,wpf,winforms,uwp",4828
32,https://github.com/naver/billboard.js.git,":bar_chart: Re-usable, easy interface JavaScript chart library based on D3.js","chart,d3,svg,graph,data-visualizations",4800
33,https://github.com/diogobernardino/williamchart.git,Android Library to rapidly develop attractive and insightful charts in android applications.,"charts,android-library,java,williamchart,android",4635
34,https://github.com/xiaolin3303/wx-charts.git,微信小程序图表charts组件，Charts for WeChat small app,"chart,wechat,canvas,wechat-app",4531
35,https://github.com/aalhour/C-Sharp-Algorithms.git,:books: :chart_with_upwards_trend: Plug-and-play class-library project of standard Data Structures and Algorithms in C#,"csharp,algorithms,data-structures,graph,graph-algorithms,tree,binary-trees,tree-algorithms,heaps,queues,sorting,sorting-algorithms,searching,searching-algorithms,hashing,hashing-algorithms",4318
