,Url,Description,Topics,Stars
0,https://github.com/dense-analysis/ale.git,"Check syntax in Vim asynchronously and fix files, with Language Server Protocol (LSP) support","linter,vim,syntax-checker,vim-plugin,vim-plugins,language-server-protocol,neovim-plugin,languageclient,autocomplete",10819
1,https://github.com/sparksuite/simplemde-markdown-editor.git,"A simple, beautiful, and embeddable JavaScript Markdown editor. Delightful editing for beginners and experts alike. Features built-in autosaving and spell checking.",,8455
2,https://github.com/Asabeneh/30-Days-Of-React.git,"30 Days of  React challenge is a step by step guide to learn React in 30 days. It requires HTML, CSS, and JavaScript knowledge. You should be comfortable with JavaScript before you start to React.  If you are not comfortable with JavaScript check out 30DaysOfJavaScript. This is a continuation of 30 Days Of JS.  This challenge may take up to 100 days, follow your own pace. ",,7353
3,https://github.com/docker/docker-bench-security.git,The Docker Bench for Security is a script that checks for dozens of common best-practices around deploying Docker containers in production.,,6742
4,https://github.com/siddharthkp/bundlesize.git,Keep your bundle size in check,,4139
5,https://github.com/aquasecurity/kube-bench.git,Checks whether Kubernetes is deployed according to security best practices as defined in the CIS Kubernetes Benchmark,"kube-bench,cis-security,kubernetes-security,cis-benchmark,cis-kubernetes-benchmark,openshift,kubernetes,hacktoberfest",3676
6,https://github.com/hyperledger/hyperledger.git,Hyperledger Project is a new Collaborative Project at The Linux Foundation. The technical community is just getting started and will be adding code to the repository in the coming weeks. Check hyperledger.org for more information about joining the mailing lists and participating in the conversations.,"hyperledger,blockchain,distributed-ledger",3627
7,https://github.com/jeremylong/DependencyCheck.git,OWASP dependency-check is a software composition analysis utility that detects publicly disclosed vulnerabilities in application dependencies.,"security-audit,build-tool,maven-plugin,jenkins-plugin,gradle-plugin,vulnerability-detection,security,ant-task,software-composition-analysis",3022
8,https://github.com/Veil-Framework/Veil.git,Veil 3.1.X (Check version info in Veil at runtime),"veil,antivirus,evasion",2665
9,https://github.com/KasperskyLab/TinyCheck.git,"TinyCheck allows you to easily capture network communications from a smartphone or any device which can be associated to a Wi-Fi access point in order to quickly analyze them. This can be used to check if any suspect or malicious communication is outgoing from a smartphone, by using heuristics or specific Indicators of Compromise (IoCs). In order to make it working, you need a computer with a Debian-like operating system and two Wi-Fi interfaces. The best choice is to use a Raspberry Pi (2+) a Wi-Fi dongle and a small touch screen. This tiny configuration (for less than $50) allows you to tap any Wi-Fi device, anywhere.",,1782
10,https://github.com/DemocracyOS/democracyos.git,Democracia en Red is focusing on specific implementations of DemocracyOS. We are working now working with governments and activists all over Latin America. If you are interested in our online participation tools you can check them out on our site.,"voting,democracy,decision-making,poll,javascript,democracyos,deliberation,political-proposals",1753
11,https://github.com/dwyl/learn-tdd.git,"{"":white_check_mark: A brief introduction to Test Driven Development (TDD) in JavaScript (Complete Beginner's Step-by-Step Tutorial)""}",,1630
12,https://github.com/elgalu/docker-selenium.git,Selenium in Docker with Chrome & Firefox plus video recording support. Also check: Zalenium,"docker-selenium,selenium-grid,selenium-server,headless,chrome,firefox,vnc,video-recording",1430
13,https://github.com/comyar/Sol.git,:sunny: Sol° beautifully displays weather information so you can plan your day accordingly. Check the weather in your current location or any city around the world. Implemented in Objective-C.,"sol,weather,objective-c,wunderground,iphone,ios,ios-app",1427
14,https://github.com/wummel/linkchecker.git,check links in web documents or full websites,,1348
15,https://github.com/deependersingla/deep_trader.git,This project uses reinforcement learning on stock market and agent tries to learn trading. The goal is to check if the agent can learn to read tape. The project is dedicated to hero in life great Jesse Livermore. ,,1342
16,https://github.com/stackrox/kube-linter.git,KubeLinter is a static analysis tool that checks Kubernetes YAML files and Helm charts to ensure the applications represented in them adhere to best practices.,"static-analysis,yaml-files,helm-charts,kubernetes",1339
17,https://github.com/rails/strong_parameters.git,Taint and required checking for Action Pack and enforcement in Active Model,,1275
18,https://github.com/eliotsykes/rails-security-checklist.git,"{"":key: Community-driven Rails Security Checklist (see our GitHub Issues for the newest checks that aren't yet in the README)""}","checklist,rails-security,rails,rails-security-checklist,ruby-on-rails,security-audit,security-hardening,security",1269
19,https://github.com/wagiro/BurpBounty.git,"Burp Bounty (Scan Check Builder in BApp Store) is a extension of Burp Suite that allows you, in a quick and simple way, to improve the active and passive scanner by means of personalized rules through a very intuitive graphical interface.","bugbounty,burp-extensions,burpsuite,bug-bounty,vulnerability-scanner,vulnerability-detection",1058
20,https://github.com/trumail/trumail.git,:email: :white_check_mark: A Fast and Free Email Verification API written in Go,"verification,docker,email,golang,validation,api",940
21,https://github.com/SkalskiP/ILearnDeepLearning.py.git,This repository contains small projects related to Neural Networks and Deep Learning in general. Subjects are closely linekd with articles I publish on Medium. I encourage you both to read as well as to check how the code works in the action.,"neural-network,deep-learning,visualizations,numpy,deep-learning-tutorial,computer-vision",922
