,Url,Description,Topics,Stars
0,https://github.com/deepchem/deepchem.git,"Democratizing Deep-Learning for Drug Discovery, Quantum Chemistry, Materials Science and Biology","drug-discovery,quantum-chemistry,deep-learning,biology,materials-science,hacktoberfest",2919
1,https://github.com/psi4/psi4.git,Open-Source Quantum Chemistry – an electronic structure package in C++ driven by Python,"quantum-chemistry,c-plus-plus,python,computational-chemistry,chemistry,physics",546
2,https://github.com/pyscf/pyscf.git,Python module for quantum chemistry,,518
3,https://github.com/chainer/chainer-chemistry.git,Chainer Chemistry: A Library for Deep Learning in Biology and Chemistry,"deep-learning,chemistry,neural-network,biology,chainer,python,graph-convolutional-networks",470
4,https://github.com/lmmentel/awesome-python-chemistry.git,A curated list of Python packages related to chemistry ,"chemistry,quantum-chemistry,python-chemistry,molecular-dynamics,simulation,computational-chemistry,atomistic-simulations",427
5,https://github.com/Mariewelt/OpenChem.git,OpenChem: Deep Learning toolkit for Computational Chemistry and Drug Design Research,"computational-chemistry,computational-biology,deep-learning,deep-neural-networks,graph-convolutional-networks,drug-discovery,drug-design,qsar,predictive-modeling,machine-learning,pytorch",372
6,https://github.com/cp2k/cp2k.git,Quantum chemistry and solid state physics software package,,325
7,https://github.com/lrjconan/LanczosNetwork.git,"Lanczos Network, Graph Neural Networks, Deep Graph Convolutional Networks, Deep Learning on Graph Structured Data, QM8 Quantum Chemistry Benchmark, ICLR 2019","graph-neural-networks,graph-convolutional-networks,lanczos-network,iclr2019,benchmark,pytorch",294
8,https://github.com/cdk/cdk.git,The Chemistry Development Kit,"code4lib,chemistry,java,cheminformatics,bioinformatics",287
9,https://github.com/cryos/avogadro.git,"Development of Avogadro 2 is being done at https://github.com/openchemistry/avogadrolibs. Avogadro is an advanced molecular editor designed for cross-platform use in computational chemistry, molecular modeling, bioinformatics, materials science, and related areas.",,274
10,https://github.com/quantumlib/OpenFermion-Cirq.git,Quantum circuits for simulations of quantum chemistry and materials.,"quantum-computing,quantum-algorithms,quantum-chemistry,electronic-structure",260
11,https://github.com/bjodah/chempy.git,⚗ A package useful for chemistry written in Python,"chemistry,physical-chemistry,chemical-kinetics,chemical-formulas,chemical-reaction-model,python,speciation",255
12,https://github.com/aspuru-guzik-group/selfies.git,"Robust representation of semantically constrained graphs, in particular for molecules in chemistry",,246
13,https://github.com/nwchemgit/nwchem.git,NWChem: Open Source High-Performance Computational Chemistry,"computational-chemistry,parallel-computing,electronic-structure-calculations,molecular-simulation,density-functional-theory,nwchem,chemistry,hartree-fock,quantum-chemistry",243
14,https://github.com/awslabs/dgl-lifesci.git,Python package for graph neural networks in chemistry and biology,"deep-learning,graph-neural-networks,dgl,cheminformatics,bioinformatics,geometric-deep-learning,drug-discovery,molecule",218
15,https://github.com/MolSSI/cookiecutter-cms.git,Python-centric Cookiecutter for Molecular Computational Chemistry Packages,"cookiecutter,python-packages,molecular-sciences,conda-environment,pytest,conda-forge,computational-chemistry,github-actions",206
16,https://github.com/cclib/cclib.git,Parsers and algorithms for computational chemistry logfiles,"python,computational-chemistry,quantum-chemistry",191
17,https://github.com/chemlab/chemlab.git,The chemistry library you were waiting for,"chemistry,python,physics,molecular-dynamics,molecular-graphics",189
18,https://github.com/OpenChemistry/avogadrolibs.git,"Avogadro libraries provide 3D rendering, visualization, analysis and data processing useful in computational chemistry, molecular modeling, bioinformatics, materials science, and related areas.","chemistry,scientific-computing,open-source,open-science,opengl,visualization,desktop,compchem,avogadro,computational-chemistry,openchemistry",174
19,https://github.com/BenevolentAI/guacamol.git,Benchmarks for generative chemistry,,173
20,https://github.com/mufeili/DL4MolecularGraph.git,Literature of deep learning for graphs in Chemistry and Biology,,167
21,https://github.com/shah-xad/flutter_tex.git,"A Flutter Package to render Mathematics, Physics and Chemistry Equations based on LaTeX","flutter,latex,tex,equations,mathjax,katex",165
22,https://github.com/choderalab/software-development.git,A primer on software development best practices for computational chemistry,"development-practices,computational-chemistry,python",162
23,https://github.com/duerrsimon/bioicons.git,A library of free open source icons for science illustrations in biology and chemistry,"illustration,science,biology,chemistry,graphics",144
24,https://github.com/brain-research/mpnn.git,"Open source implementation of ""Neural Message Passing for Quantum Chemistry""",,141
25,https://github.com/CrawfordGroup/ProgrammingProjects.git,C++ Programming Tutorial in Chemistry,,128
26,https://github.com/cirosantilli/write-free-science-books-to-get-famous-website.git,"MOVING to: https://cirosantilli.com/write-free-books-to-get-famous-website Mission: live in a world where you can learn university-level mathematics, physics, chemistry, biology and engineering for free whenever you want from perfect open source books made for free by random people who want to get famous to get better paying jobs. 使命：生活在一个世界上，您可以随时随地免费获得完全随机的，希望成名以求高薪工作的人免费制作的完美开源书籍，免费学习大学级数学，物理学，化学，生物学和工程学。",,118
