,Url,Description,Topics,Stars
0,https://github.com/hankcs/HanLP.git,"Natural Language Processing for the next decade. Tokenization, Part-of-Speech Tagging, Named Entity Recognition, Syntactic & Semantic Dependency Parsing, Document Classification","nlp,natural-language-processing,hanlp,pos-tagging,dependency-parser,text-classification,named-entity-recognition,semantic-parsing",22778
1,https://github.com/facebookresearch/fastText.git,Library for fast text representation and classification.,,22551
2,https://github.com/microsoft/LightGBM.git,"A fast, distributed, high performance gradient boosting (GBT, GBDT, GBRT, GBM or MART) framework based on decision tree algorithms, used for ranking, classification and many other machine learning tasks.","gbdt,gbm,machine-learning,data-mining,distributed,lightgbm,gbrt,microsoft,decision-trees,gradient-boosting,python,r,parallel,kaggle",12505
3,https://github.com/brightmart/text_classification.git,all kinds of text classification models and more with deep learning,"classification,nlp,fasttext,textcnn,textrnn,tensorflow,multi-label,multi-class,attention-mechanism,text-classification,convolutional-neural-networks,sentence-classification,memory-networks",6901
4,https://github.com/catboost/catboost.git,"A fast, scalable, high performance Gradient Boosting on Decision Trees library, used for ranking, classification, regression and other machine learning tasks for Python, R, Java, C++. Supports computation on CPU and GPU.","machine-learning,decision-trees,gradient-boosting,gbm,gbdt,python,r,kaggle,gpu-computing,catboost,tutorial,categorical-features,gpu,coreml,data-science,big-data,cuda,data-mining",5858
5,https://github.com/yahoo/open_nsfw.git,Not Suitable for Work (NSFW) classification using deep neural network Caffe models.,,5463
6,https://github.com/dennybritz/cnn-text-classification-tf.git,Convolutional Neural Network for Text Classification in Tensorflow,,5391
7,https://github.com/oarriaga/face_classification.git,Real-time face detection and emotion/gender classification using fer2013/imdb datasets with a keras CNN model and openCV.,,5072
8,https://github.com/humphd/have-fun-with-machine-learning.git,"{""An absolute beginner's guide to Machine Learning and Image Classification with Neural Networks""}","neural-network,image-classification,machine-learning,caffe,tutorial",4891
9,https://github.com/lucidrains/vit-pytorch.git,"Implementation of Vision Transformer, a simple way to achieve SOTA in vision classification with only a single transformer encoder, in Pytorch","artificial-intelligence,attention-mechanism,transformers,computer-vision,image-classification",4136
10,https://github.com/benedekrozemberczki/awesome-graph-classification.git,"A collection of important graph embedding, classification and representation learning papers with implementations.","graph2vec,classification-algorithm,graph-kernels,weisfeiler-lehman,kernel-methods,deep-graph-kernels,netlsd,graph-attention-model,graph-attention-networks,structural-attention,attention-mechanism,graph-kernel,node2vec,graph-embedding,network-embedding,node-embedding,graph-representation-learning,deepwalk,graph-convolutional-networks,graph-classification",4039
11,https://github.com/tyiannak/pyAudioAnalysis.git,"Python Audio Analysis Library: Feature Extraction, Classification, Segmentation and Applications","audio,machine-learning,signal-processing,audio-data,audio-analysis-tasks,pyaudioanalysis",3913
12,https://github.com/rasbt/pattern_classification.git,A collection of tutorials and examples for solving and understanding machine learning and pattern classification tasks,"machine-learning,pattern-classification,machine-learning-algorithms",3793
13,https://github.com/facebookresearch/StarSpace.git,"Learning embeddings for classification, retrieval and ranking.",,3595
14,https://github.com/charlesq34/pointnet.git,PointNet: Deep Learning on Point Sets for 3D Classification and Segmentation,"point-cloud,classification,segmentation,neural-network,tensorflow,geometry-processing",3206
15,https://github.com/WZMIAOMIAO/deep-learning-for-image-processing.git,deep learning for image processing including classification and object-detection etc.,"pytorch,tensorflow2,classification,object-detection,bilibili,deep-learning",2630
16,https://github.com/cloud-annotations/training.git,🐝 Custom Object Detection and Classification Training,"training,machine-learning,tensorflow,hacktoberfest",2571
17,https://github.com/ThilinaRajapakse/simpletransformers.git,"Transformers for Classification, NER, QA, Language Modelling, Language Generation, T5, Multi-Modal, and Conversational AI","transformers,text-classification,named-entity-recognition,question-answering,conversational-ai",2347
18,https://github.com/satoshiiizuka/siggraph2016_colorization.git,"{""Code for the paper 'Let there be Color!: Joint End-to-end Learning of Global and Local Image Priors for Automatic Image Colorization with Simultaneous Classification'. ""}",,2110
19,https://github.com/BrikerMan/Kashgari.git,"Kashgari is a production-level NLP Transfer learning framework built on top of tf.keras for text-labeling and text-classification, includes Word2Vec, BERT, and GPT2 Language Embedding.","nlp,sequence-labeling,text-classification,bert-model,ner,machine-learning,nlp-framework,named-entity-recognition,gpt-2,transfer-learning,seq2seq,bert,text-labeling",2096
20,https://github.com/yoonkim/CNN_sentence.git,CNNs for sentence classification,,1941
21,https://github.com/szilard/benchm-ml.git,"A minimal benchmark for scalability, speed and accuracy of commonly used open source implementations (R packages, Python scikit-learn, H2O, xgboost, Spark MLlib etc.) of the top machine learning algorithms for binary classification (random forests, gradient boosted trees, deep neural networks etc.).","machine-learning,data-science,r,python,gradient-boosting-machine,random-forest,deep-learning,xgboost,h2o,spark",1816
22,https://github.com/weiaicunzai/awesome-image-classification.git,A curated list of deep learning image classification papers and codes,"deep-learning,computer-vision,image-classification,awesome,awesome-list,papers",1778
23,https://github.com/facebookresearch/video-nonlocal-net.git,Non-local Neural Networks for Video Classification,,1773
24,https://github.com/facebookresearch/ResNeXt.git,Implementation of a classification framework from the paper Aggregated Residual Transformations for Deep Neural Networks,,1771
