,Url,Description,Topics,Stars
0,https://github.com/TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials.git,"A comprehensive list of Deep Learning / Artificial Intelligence and Machine Learning tutorials - rapidly expanding into areas of AI/Deep Learning / Machine Vision / NLP and industry specific areas such as Climate / Energy, Automotives, Retail, Pharma, Medicine, Healthcare, Policy, Ethics and more.","machine-learning,deep-learning,tensorflow,python,pytorch,keras,lua,matplotlib,aws,kaggle,pandas,scikit-learn,torch,artificial-intelligence,neural-network,convolutional-neural-networks,tensorflow-tutorials,python-data,ipython-notebook,capsule-network",2765
1,https://github.com/codeclimate/codeclimate.git,Code Climate CLI,"climate-cli,quality,code-quality,static-analysis,static-code-analysis,codeclimate,codeclimate-engine,docker,hacktoberfest",2193
2,https://github.com/philsturgeon/awesome-earth.git,"""What can I do about the climate crisis?"" Here are 326 things you can do.","carbon-footprint,carbon-emissions,climate-change,climate-crisis,climate-action,awesome,awesome-list,renewable-energy,carbon-reduction,food-waste,footprint-calculators",934
3,https://github.com/smartHomeHub/SmartIR.git,"Integration for Home Assistant to control climate, TV and fan devices via IR/RF controllers (Broadlink, Xiaomi, MQTT, LOOKin, ESPHome)","iot,smarthome,homeassistant,broadlink,chuangmiir,lookin,esphome",725
4,https://github.com/protontypes/open-sustainable-technology.git,"Listing of worldwide open technology projects preserving a stable climate, energy supply and vital natural resources.  https://opensustain.tech/","sustainability,photovoltaic,energy-storage,energy-consumption,energy,wind-turbine,clean-energy,battery,mobility,ocean,carbon-footprint,renewable-energy,carbon-emissions,electric-vehicles,soil,awesome,awesome-list,environmental-technology,climate,climate-change",685
5,https://github.com/giving-a-fuck-about-climate-change/carbondoomsday.git,A RESTish web API for climate change related data :earth_africa:,,377
6,https://github.com/pangeo-data/awesome-open-climate-science.git,"Awesome Open Atmospheric, Ocean, and Climate Science ",,319
7,https://github.com/CliMA/ClimateMachine.jl.git,Climate Machine: an Earth System Model that automatically learns from data,"climate,climate-change,julia,gpu",284
8,https://github.com/KKulma/climate-change-data.git,":earth_africa: A curated list of APIs, open data and ML/AI projects on climate change ","climate,climate-change,climate-data,climate-analysis,rstats,r,datascience,python,data-science,data,resources,hacktoberfest",211
9,https://github.com/worrydream/ClimateChange.git,What can a technologist do about climate change? A personal view,,200
10,https://github.com/rockita/Environmental_Intelligence.git,"{""Data for Environmental Intelligence: A mega list of Earth System Datasets covering earth observations, climate, water, forests, biodiversity, ecology, protected areas, natural hazards, marine and the tracking of UN's Sustainable Development Goals""}",,193
11,https://github.com/NCAR/ncl.git,The NCAR Command Language (NCL) is a scripting language for the analysis and visualization of climate and weather data.,,174
12,https://github.com/apache/attic-climate.git,Mirror of Apache Open Climate Workbench,climate,132
13,https://github.com/codeclimate/test-reporter.git,Code Climate Test Reporter,hacktoberfest,131
14,https://github.com/monocongo/climate_indices.git,"Climate indices for drought monitoring, community reference implementations in Python",,130
15,https://github.com/brian-rose/climlab.git,Python package for process-oriented climate modeling,"python,climate-model,educational-software,climate-science",129
16,https://github.com/daviddao/code-against-climate-change.git,🌏 A curated list of tech projects against climate change - hoping to inspire disruptive technological climate action!,,125
17,https://github.com/ProjectDrawdown/solutions.git,"The mission of Project Drawdown is to help the world reach “Drawdown”— the point in the future when levels of greenhouse gases in the atmosphere stop climbing and start to steadily decline, thereby stopping catastrophic climate change — as quickly, safely, and equitably as possible.","climate-solutions,climate,climate-change,climate-model,climate-change-mitigation,drawdown",118
18,https://github.com/Ouranosinc/xclim.git,"Library of derived climate variables, ie climate indicators, based on xarray. ","climate-analysis,climate-science,python,xarray,icclim,netcdf4",114
19,https://github.com/royalosyin/Python-Practical-Application-on-Climate-Variability-Studies.git,"{""This tutorial is a companion volume of Matlab versionm but add more. Main objective is the transference of know-how in practical applications and management of statistical tools commonly used to explore meteorological time series, focusing on applications to study issues related with the climate variability and climate change. This tutorial starts with some basic statistic for time series analysis as estimation of means, anomalies, standard deviation, correlations, arriving the estimation of particular climate indexes (Niño 3), detrending single time series and decomposition of time series, filtering, interpolation of climate variables on regular or irregular grids, leading modes of climate variability (EOF or HHT), signal processing in the climate system (spectral and wavelet analysis). In addition, this tutorial also deals with different data formats such as CSV, NetCDF, Binary, and matlab'mat, etc. It is assumed that you have basic knowledge and understanding of statistics and Python.""}",,105
20,https://github.com/thegreenwebfoundation/green-cost-explorer.git,"{""See how much of your cloud bill is spent on fossil fuels ,so you can do the right thing and switch. We're in a climate crisis, remember?""}",,105
21,https://github.com/codeclimate/platform.git,Code Climate Engineering Data Platform,"codeclimate,code-quality,specification,analytics,data",104
22,https://github.com/RobHofmann/HomeAssistant-GreeClimateComponent.git,"{""Custom Gree climate component written in Python3 for Home Assistant. Controls AC's supporting the Gree protocol.""}",,98
23,https://github.com/codeclimate/ruby-test-reporter.git,DEPRECATED Uploads Ruby test coverage data to Code Climate,"ruby,ci,continuous-integration,test-coverage,coverage-report,quality,code-quality,codeclimate",92
