,Url,Description,Topics,Stars
0,https://github.com/bearpaw/clothing-co-parsing.git,"CCP dataset from ""Clothing Co-Parsing by Joint Image Segmentation and Labeling "" (CVPR 2014)",,374
1,https://github.com/andrewjong/SwapNet.git,Virtual Clothing Try-on with Deep Learning. PyTorch reproduction of SwapNet by Raj et al. 2018. Now with Docker support!,"deep-learning,computer-vision,gan,virtual-try-on,pix2pix,image-generation",204
2,https://github.com/facebookresearch/LeViT.git,"{""LeViT a Vision Transformer in ConvNet's Clothing for Faster Inference""}",,201
3,https://github.com/khanhnamle1994/fashion-recommendation.git,A clothing retrieval and visual recommendation model for fashion images.,"computer-vision,fashion-recommendation,floydhub,resnet,deepfashion,python3,tensorflow,numpy,pandas",198
4,https://github.com/chaitanya100100/TailorNet.git,"Code for our CVPR 2020 (ORAL) paper - TailorNet: Predicting Clothing in 3D as a Function of Human Pose, Shape and Garment Style.","garment,3d-models,3d-reconstruction,clothing,predict-garments,3d-vision,3d-computer-vision,3d-computer-graphics",190
5,https://github.com/thmoa/octopus.git,This repository contains code corresponding to the paper Learning to Reconstruct People in Clothing from a Single RGB Camera.,,183
6,https://github.com/aymenmir1/pix2surf.git,"Learning to Transfer Texture from Clothing Images to 3D Humans, CVPR 2020",,167
7,https://github.com/classner/generating_people.git,"Official code repository for the paper ""A Generative Model for People in Clothing"".",,152
8,https://github.com/qianlim/CAPE.git,"Official implementation of CVPR2020 paper ""Learning to Dress 3D People in Generative Clothing"" https://arxiv.org/abs/1907.13615","smpl-model,smpl-body,mesh-generation,vae-gan,graph-convolutional-networks,clothing,cvpr2020,cvpr,cvpr-2020",152
9,https://github.com/anthonyheckmann/KinectDressingRoom.git,"A virtual dressing room in Unity using the Kinect sensor, an adaptable body mesh and full clothing simulation.",,112
10,https://github.com/fbsamples/original-coast-clothing.git,Sample Messenger App - Original Coast Clothing,,106
11,https://github.com/minar09/cp-vton-plus.git,"Official implementation for ""CP-VTON+: Clothing Shape and Texture Preserving Image-Based Virtual Try-On"", CVPRW 2020","cp-vton-plus,pytorch,pytorch-implementation,official-implementation,emcom,emcom-lab,seoultech,virtual-try-on,image-based,2d-virtual-try-on,virtual-tryon,vton",106
12,https://github.com/zycliao/TailorNet_dataset.git,"[CVPR 2020] Dataset of ""TailorNet: Predicting Clothing in 3D as a Function of Human Pose, Shape and Garment Style""",,70
13,https://github.com/wenxinxu/deep-shopping.git,Content-based Clothing Image Retrieval Using Deep Features,,66
14,https://github.com/tan5o/anime2clothing.git,Pytorch official implementation of Anime to Real Clothing: Cosplay Costume Generation via Image-to-Image Translation.,"anime,gan,gans,image-to-image-translation,image-to-image",60
15,https://github.com/sampathweb/apparel-styles.git,Deep Learning to Describe Clothing by Semantic Attributes,,58
16,https://github.com/seralexger/clothing-detection-dataset.git,Clothing detection dataset,"fashion-classifier,fashion-mnist,deep-learning-datasets,computer-vision,clothes-detection,vision-for-fashion,clothing-detection-dataset,dataset",55
17,https://github.com/vumaasha/Atlas.git,Atlas: A Dataset and Benchmark for E-commerce Clothing Product Categorization,,52
18,https://github.com/zuowang/deep-fashion.git,Proposal a new method to retrieval clothing images,"deep-learning,image-retrieval",45
19,https://github.com/paramaggarwal/stylebook.git,Stylebook lets you explore and shop for clothing collections.,,44
20,https://github.com/DataTurks-Engg/Automatic_tagging_of_clothing_in_E-Commerce.git,"Automatic tagging of clothing in E-Commerce, Using Tensorflow and GCP. Classify the clothing products into various categories using Machine Learning.","object-detection,image-classification,ecommerce,python,tensorflow,mobilenet,deep-learning,image-segmentation,annotations,labeling,labeling-tool,image-annotation,tenserflow",42
21,https://github.com/ChanningPing/Fashion_AttGAN.git,A dataset of fashion clothing images paired with attribute labels.,,40
22,https://github.com/andrewjong/ShineOn-Virtual-Tryon.git,"Code for ""ShineOn: Illuminating Design Choices for Practical Video-based Virtual Clothing Try-on"", accepted at WACV 2021 Generation of Human Behavior Workshop.",,39
23,https://github.com/MVC-Datasets/MVC.git,MULTI-VIEW CLOTHING DATASET,"dataset,clothing,multiview",34
24,https://github.com/hckuo/Lupine-Linux.git,Linux in Unikernel Clothing,,31
25,https://github.com/maria-korosteleva/Body-Shape-Estimation.git,Estimate the pose and shape under clothing given a static 3D scan of a human,"kaist,openpose,shape-estimation,ceres-solver,smpl",31
26,https://github.com/hackforla/spare.git,Spare connects people in need of clothing and other essentials with people in the community who have things to spare. It is like a one-on-one Goodwill.  We are hoping the donation can be a mechanism for building these connections throughout our community.,"hack-for-la,code-for-america,homeless,homelessness,unhoused,django,react,donation,giving,donations,sharing,helping,non-profit",29
27,https://github.com/seralexger/clothing-detection-ecommerce-dataset.git,Clothing detection dataset,"clothing-detection-dataset,dataset,annotations,fashion-mnist,fashion-classifier,datasets,clothes-detection,clothes-detector,clothes-segmentation,object-detection,bounding-boxes",25
28,https://github.com/minar09/Fashion-Clothing-Parsing.git,"FCN, U-Net models implementation in TensorFlow for fashion clothing parsing","fcn,u-net,tensorflow,fashion,clothing,parsing,segmentation,semantic-segmentation,clothing-parsing,fashion-parsing,fully-convolutional-networks",24
29,https://github.com/benekastah/oppo.git,"{""If javascript is lisp in c's clothing, then oppo is lisp in lisp's clothing, with c's pajamas.""}",,21
30,https://github.com/rishabhmisra/Product-Catalog-Size-Recommendation-Framework.git,Framework based on latent factor model and metric learning technique to predict fit of different catalog sizes of clothing products so as to recommend appropriately sized products to customers. ,"recommender-systems,machine-learning,metric-learning",21
31,https://github.com/magentech/free-magento2-theme.git,"SM MageTheme is a Free Magento 2 Theme by Magentech. That is ideal for any online stores, especially for digital store, hi-tech store, watch store, clothing store and accessories store or mega store with multi-categories. This eCommerce Magento 2 theme comes with a flexible layout with unlimited color schemes. Try now: https://www.magentech.com/magento/free-magento-themes/item/965-sm-magetheme-responsive-multipurpose-free-magento-2-theme","magento2,magetheme,magento-template,magento2-template,magento2-theme,free-magento2-theme,free-theme,free-magento2-templates,clothing-store,accessories-store,digital-store,sm-magetheme,unlimited-color-schemes,tech-store,watch-store",21
32,https://github.com/ankitkanojia/eCommerce_Shop.git,"eCommerceShop renowned stylish, affordable, new and original fashion to you. our product mainly focuses on women wear’s, but it also offers men\'s apparel, children clothes, accessories, shoes, bags and other fashion items.  BossKinds manufacture and supplier of leisurewear, workwear and school uniforms. we understood the importance of making good impression ""Let your uniform do the talking"" with in-house embroidery and print facility. we can customize any garment by providing range of high-quality logo application solution with perfect results. our range of products makes us to go to people when it comes to promotional, industrial clothing, leisure wear and sportswear.","mvc-framework,bootstrap,css,ajax,mssql",21
33,https://github.com/xchopin/FiveM-Clothes.git,👖 [FiveM Plugin] Clothing Shops and more!,"skin,shop,cloth,fivem,gta,clothing-shops,grand-theft-auto",20
34,https://github.com/zeynepCankara/Clothing-Style-Detector.git,"Clothes style detector, predicts patterns and color together with the clothing category.  ","clothes-detector,tensorflow,classification,machine-learning,object-detection,keras-api",20
35,https://github.com/NeverInAsh/fit-recommendation.git,Deep Learning based solution for fit clothing size recommendation,,19
36,https://github.com/jfuentescpp/where_to_buy_it.git,Implementation of Where to Buy It: Matching Street Clothing Photos in Online Shops,,19
37,https://github.com/alexeygrigorev/clothing-dataset-small.git,"Clothing dataset, 10 classes",,18
38,https://github.com/chrisbradshaw/armoire.git,"Rails application designed to reduce ""decision fatigue"", by tracking the clothing you own, and optimizing your daily outfit selection, so you can focus on more important things, like programming",,16
39,https://github.com/ncaadam/clothing_segmentation.git,Tornado API to segment clothing in fashion images,,15
40,https://github.com/zuoxiang95/BCRNN.git,A TensorFlow implementation of “Attentive Fashion Grammar Network for Fashion Landmark Detection and Clothing Category Classification”,,15
41,https://github.com/muhsyafi/sandang.git,website clothing,,14
42,https://github.com/feministy/cryptozoologist.git,"Ruby gem to generate many ipsums from animals, clothing items, and colors","lorem-ipsum,lorem-ipsum-generator,unicorns,pygmy-puffs,animals,sloths",11
43,https://github.com/allisonkcraig/EasyDrafter.git,Project for Hackbright to draft clothing pattern blocks.,,11
44,https://github.com/kerkkoh/simple-clothing-store.git,"Simple clothing store for on-demand printing from Printful, payments from Paypal, implemented with Node.js & React.","clothing-store,paypal,printful,react,javascript,responsive",11
45,https://github.com/whyoh/blender_clothing_tools.git,helper scripts for creation of clothing from sewing patterns for the blender cloth physics engine.,blender-scripts,11
46,https://github.com/holdenk/clothes-from-code.git,Auto generate cool code based clothing [WIP],,11
47,https://github.com/lstearns86/clothing-pattern-dataset.git,A large dataset containing images of clothing patterns,,10
48,https://github.com/IndicoDataSolutions/clothing_similarity.git,Final and skeleton code for the clothing similarity walkthrough,,10
49,https://github.com/slin12/thread-d-front-end.git,An interactive experience in creating custom clothing,,9
50,https://github.com/dschappler/clothing_style_evaluator.git,Evaluate stylistic visual similarity of clothing and jewelry. Machine Learning Engineer Nanodegree Capstone Project.,,9
51,https://github.com/oussamabouchikhi/crwn-clothing.git,Clothing shop made using React & firebase with Stripe payments implemented.,"html5,css3,sass,styled-components,react,redux,redux-saga,redux-thunk,firebase,nodejs,stripe-payments,ecommerce,clothing-store,crwn-clothing,heroku",9
52,https://github.com/Dani-Mora/pytorch-unet-segmentation.git,Clothing segmentation using Unet and Deep Fashion 2 dataset.,"unet,semantic-segmentation,pytorch,python,python37",9
53,https://github.com/xiaozai/Anthropometric-clothing-measurements-from-3D-body-scans.git,Code and Datasets for Anthropometric clothing measurements from 3D body scans (MVA2020 paper),"body-mesh,anthropometry",9
54,https://github.com/BrenoOsvaldoFunicheli/clothing-store.git,"Printed Clothing website that allows Store Owner to manage products, product categories and allows user to communicate with store owner Additionally, user can choose clothes with the color that suits them. It was developed with POO principles using bootstrap, HTML5, CSS3, JavsScript with JQuery library, PHP 7.0, MySQL and persisting data with PDO library.",,9
55,https://github.com/pongsate1/clothing_parsing.git,repository for my clothing parsing project.,,8
56,https://github.com/applebym/project5_final.git,Clothing Image Search Tool,,8
57,https://github.com/UweTrottmann/Shopr.git,Suggests clothing items to you based on Active Learning strategies. Just a research project (Ma Thesis)!,,8
58,https://github.com/alexwcheng/athleisure-advertising.git,"Multiple ANOVA with Tukey Test to create an athleisure clothing ad campaign strategy using Google, Youtube, and Amazon search volume data.",,8
59,https://github.com/Hines94/CharacterClippingProtector.git,A unity tool to hide certain areas of character meshes and reduce the amount of clipping between clothing layers,,8
60,https://github.com/rudrajikadra/Web-Scraping-Amazon-Mens-Fashion-Search-Images-Beautiful-Soup-Python.git,"{""Using Python and Beautiful Soupe this code is able to download images from amazon.com Men's Fashion department in Clothing and download top N images for every search Provided in the keywords file.""}","web-scraping,python,beautifulsoup,amazon,image-scraper",8
61,https://github.com/andrewjong/video-outfit-transfer.git,Deep learning GAN project to transfer clothing over video. Written in PyTorch.,,8
62,https://github.com/birdortyedi/fashion-caps-net.git,Clothing Classification with Capsule Network,,7
63,https://github.com/IzPerfect/Clothing-Segmentation.git,"Clothing Segmentation using FCN, DeepLabV2, U-Net in Keras",,7
