,Url,Description,Topics,Stars
0,https://github.com/desktop/desktop.git,Simple collaboration from your desktop,"electron,github,git,typescript,github-desktop",11782
1,https://github.com/graphql/graphql-playground.git,"🎮  GraphQL IDE for better development workflows (GraphQL Subscriptions, interactive docs & collaboration)","graphql,ide,graphiql,prisma,graphql-playground",7185
2,https://github.com/vector-im/element-web.git,A glossy Matrix collaboration client for the web.,"hacktoberfest,matrix",6593
3,https://github.com/xwiki-labs/cryptpad.git,"Collaboration suite, end-to-end encrypted and open-source.","zero-knowledge,collaborative-editing,cryptpad,javascript,chainpad,encryption",2622
4,https://github.com/redbooth/teambox.git,"This is the legacy version of Teambox - the award-winning collaboration solution, inspired by Basecamp, Yammer and Twitter.",,1888
5,https://github.com/SpecFlowOSS/SpecFlow.git,"#1 .NET BDD Framework. SpecFlow automates your testing & works with your existing code. Find Bugs before they happen. Behavior Driven Development helps developers, testers, and business representatives to get a better understanding of their collaboration","specflow,xunit,mstest,nunit,bdd,gherkin,hacktoberfest",1711
6,https://github.com/iluminar/goodwork.git,Self hosted project management and collaboration tool powered by TALL stack,"laravel,project-management,collaboration,self-hosted,tailwindcss,laravel-5,docker,docker-compose,team-chat,task-management-system,php,task-manager,project-management-software,tailwind,release-planning,remote-work,livewire,alpinejs,laravel-livewire,hacktoberfest",1542
7,https://github.com/coreybutler/fenix.git,A simple and visual static web server with collaboration features.,"web-server,static-site,https,ssl,gui,http-server,ssh-tunnel,share,desktop,fenix,localhost,jamstack,jam",1532
8,https://github.com/vector-im/riot-android.git,A glossy Matrix collaboration client for Android,,1447
9,https://github.com/twilio/twilio-video-app-react.git,A collaboration application built with the twilio-video.js SDK and React.js,"twilio,video,react,webrtc",1307
10,https://github.com/subethaedit/SubEthaEdit.git,General purpose plain text editor for macOS. Widely known for its live collaboration feature.,"cocoa,objective-c,text-editor,mit-license,collaborative-editing,collaboration,html,developer-tools,creative-writing,macosx,macos,desktop-application,shell,syntax-highlighting,regular-expressions,osx,appkit,mac,ide,code",1199
11,https://github.com/vector-im/element-android.git,A glossy Matrix collaboration client for Android.,"hacktoberfest,matrix,element-android",1194
12,https://github.com/pydio/cells.git,Future-proof content collaboration platform,"filesharing,golang-application,microservices",1090
13,https://github.com/inverse-inc/sogo.git,"SOGo is a very fast and scalable modern collaboration suite (groupware). It offers calendaring, address book management, and a full-featured Webmail client along with resource sharing and permission handling. It also makes use of documented standards (IMAP, CalDAV, CardDAV, etc.) and thereby provides native connectivity (without plugins) to many clients such as Microsoft Outlook, Apple iCal, the iPhone, Mozilla Lightning, and a plethora of mobile devices.","sogo,objective-c,groupware,angularjs-material",1064
14,https://github.com/SerpicoProject/Serpico.git,SimplE RePort wrIting and COllaboration tool,,989
15,https://github.com/vector-im/element-ios.git,A glossy Matrix collaboration client for iOS,,930
16,https://github.com/radicle-dev/radicle-alpha.git,A peer-to-peer stack for code collaboration,"p2p,code,decentralized,developer-tools",924
17,https://github.com/linagora/Twake.git,Twake is a secure open source collaboration platform to improve organizational productivity. ,"collaboration,tool,teamwork,chat,file-sharing,drive,kanban,kanban-board,calendar",917
18,https://github.com/weseek/growi.git,:anchor: GROWI - Team collaboration software using markdown,"javascript,nodejs,react,jquery,markdown-editor,growi,wiki,wiki-engine",874
19,https://github.com/ubisoft/mixer.git,"Add-on for real-time collaboration in Blender (mirror only, please post your issues and merge requests at https://gitlab.com/ubisoft-animation-studio/mixer)","blender-addon,collaboration,blender",785
20,https://github.com/sakaiproject/sakai.git,"Sakai is a freely available, feature-rich technology solution for learning, teaching, research and collaboration. Sakai is an open source software suite developed by a diverse and global adopter community.","sakai,sakai-cle,java,tomcat,education,vle,lms",750
21,https://github.com/Enalean/tuleap.git,"Tuleap is a Free & Open Source Suite to improve management of software developments and collaboration. With a single web-based solution, project managers, developers & quality managers can easily build, deploy software projects.",,731
22,https://github.com/RBMHTechnology/eventuate.git,"Global-scale event sourcing and event collaboration with causal consistency (This project is in maintenance mode. Only critical bugs will be fixed, but there is no more feature development.).",,707
23,https://github.com/MycroftAI/mycroft-skills.git,A repository for sharing and collaboration for third-party Mycroft skills development.,"mycroft-skill,collaboration,voice-control,voice-assistant,skills,mycroft,apps,mycroft-fallback,mycroftai,mycroft-mark-1,hacktoberfest",629
24,https://github.com/sonosaurus/sonobus.git,"Source code for SonoBus, a real-time network audio streaming collaboration tool.","audio,network,peer-to-peer,macos,windows,linux,low-latency,music,podcasting,plugin,audiounit,vst,aax",627
25,https://github.com/ari/jobsworth.git,"Project Management, Collaboration and Time Tracking.",,623
26,https://github.com/PrecursorApp/precursor.git,Create mockups with real-time collaboration,,584
27,https://github.com/benchmarkstudios/slackbox.git,🎵 Spotify playlist collaboration through Slack.,,554
28,https://github.com/tbertinmahieux/MSongsDB.git,"Code for the Million Song Dataset, the dataset contains metadata and audio analysis for a million tracks, a collaboration between The Echo Nest and LabROSA. See website for details.",,543
29,https://github.com/TeamCodeStream/codestream.git,The Code Collaboration Tool Built for Remote Teams,"open-source,code-review,pull-request,github,bitbucket,gitlab,vscode,jetbrains,jira,trello",523
