,Url,Description,Topics,Stars
0,https://github.com/CISOfy/lynis.git,"Lynis - Security auditing tool for Linux, macOS, and UNIX-based systems. Assists with compliance testing (HIPAA/ISO27001/PCI DSS) and system hardening. Agentless, and installation optional.","shell,linux,pci-dss,compliance,security-audit,security-hardening,security-scanner,security-vulnerability,hipaa,unix,vulnerability-detection,vulnerability-scanners,vulnerability-assessment,devops,devops-tools,system-hardening,hardening,auditing,gdpr,security-tools",8426
1,https://github.com/toniblyx/prowler.git,"Prowler is a security tool to perform AWS security best practices assessments, audits, incident response, continuous monitoring, hardening and forensics readiness. It contains all CIS controls listed here https://d0.awsstatic.com/whitepapers/compliance/AWS_CIS_Foundations_Benchmark.pdf and more than 100 additional checks that help on GDPR, HIPAA and other security requirements.","security,security-tools,security-audit,security-hardening,cloudtrail,hardening,aws-cli,aws,cis-benchmark,prowler,assessment,aws-auditing,compliance,gdpr,hipaa,cis,forensics,cloud,well-architected",3403
2,https://github.com/accurics/terrascan.git,Detect compliance and security violations across Infrastructure as Code to mitigate risk before provisioning cloud native infrastructure.,"security-tools,infrastructure-as-code,devsecops,devops,security,terraform,aws,cloudsecurity,cloud-security,terrascan,infrastructure,security-violations,architecture,kubernetes,iac,sast,azure-security,aws-security,gcp-security,scans",1654
3,https://github.com/knrz/CSV.js.git,"A simple, blazing-fast CSV parser and encoder. Full RFC 4180 compliance.",,1512
4,https://github.com/truevault/hipaa-compliance-developers-guide.git,A developers guide to HIPAA compliance and application development.,,1452
5,https://github.com/Sainan/Universal-Bypass.git,"{""Don't waste your time with compliance. Universal Bypass circumvents annoying link shorteners.""}","webextension,chrome-extension,firefox-extension",1434
6,https://github.com/NationalSecurityAgency/SIMP.git,A system automation and configuration management stack targeted toward operational flexibility and policy compliance.,,1313
7,https://github.com/promises-aplus/promises-tests.git,Compliances tests for Promises/A+,,756
8,https://github.com/catalyzeio/policies.git,Datica HIPAA Compliance Policies,,748
9,https://github.com/strongdm/comply.git,"Compliance automation framework, focused on SOC2","soc2,grc,compliance,templates,documentation-toolchain,go,golang,pdf-generation,gdpr,hipaa,iso27001",642
10,https://github.com/prey/gdpr_rails.git,Rails Engine for the GDPR compliance,"gdpr,rails,cookies,general-data-protection-regulation,gdpr-rails,gdpr-dashboard",584
11,https://github.com/aws-cloudformation/cloudformation-guard.git,"A set of tools to check AWS CloudFormation templates for policy compliance using a simple, policy-as-code, declarative syntax","cloudformation,policy",562
12,https://github.com/JimLee1996/TrojanX.git,"Trojan Client for macOS, ported from ShadowsocksX-NG. Please use it in compliance with laws, regulations and rules.","trojan-gfw,macos",519
