,Url,Description,Topics,Stars
0,https://github.com/CJex/regulex.git,:construction: Regular Expression Excited!,"javascript,regulex,regexp,regex,regular-expression,diagram,typescript",4623
1,https://github.com/React-Proto/react-proto.git,:art: React application prototyping tool for developers and designers :building_construction:,"react,electron,javascript,konva,redux,redux-thunk,konvajs,react-konva,developer-tools,front-end-development,desktop-application,design-tools,proto,architecture,prototyping",3178
2,https://github.com/trojan-gfw/igniter.git,A trojan client for Android (UNDER CONSTRUCTION).,,2819
3,https://github.com/graphql-nexus/nexus.git,"Code-First, Type-Safe, GraphQL Schema Construction","graphql,typescript,nexus,graphql-nexus,graphql-schema",2347
4,https://github.com/jedireza/drywall.git,":construction: Project moved, see Aqua and Frame","boilerplate,nodejs,javascript,mongodb",2212
5,https://github.com/CosmosOS/Cosmos.git,"Cosmos is an operating system ""construction kit"". Build your own OS using managed languages such as C#, VB.NET, and more!",,2090
6,https://github.com/html5blank/html5blank.git,:construction: Powerful shell for rapidly building your WordPress projects,,1894
7,https://github.com/sprache/Sprache.git,"A tiny, friendly, C# parser construction library",,1768
8,https://github.com/angusshire/greenhat.git,:construction_worker: Quick hack for making real work happen.,,1493
9,https://github.com/SCons/scons.git,SCons - a software construction tool,"build-tool,python3,python-3-5,python-3-6,scons,python37,python38",1139
10,https://github.com/KeKe-Li/data-structures-questions.git,golang sorting algorithm and data construction.,"golang,algorithm,structure,network-protocol",1094
11,https://github.com/parkerbennett/stackicons.git,"Icon font and Sass-based construction kit for Stackicons-Social, which supports multiple button shapes and a unique ""multi-color"" option in CSS for over 60 social brands.",,984
12,https://github.com/PeterH0323/Smart_Construction.git,Head Person Helmet Detection on Construction Sites，基于目标检测工地安全帽和禁入危险区域识别系统，🚀😆附 YOLOv5 训练自己的数据集超详细教程🚀😆2021.3新增可视化界面❗❗,"yolov5,helmet,pytorch,python,detection,object-detection",724
13,https://github.com/namin/inc.git,an incremental approach to compiler construction,"scheme,x86,c,compiler,compiler-construction,paper-implementations",714
14,https://github.com/datalust/superpower.git,A C# parser construction toolkit with high-quality error reporting,,710
15,https://github.com/Karn/notify.git,Simplified notification construction and delivery for Android.,"android,kotlin-android,kotlin-library,notifications,android-notifications,kotlin",703
16,https://github.com/alexgolec/tda-api.git,"A TD Ameritrade API client for Python. Includes historical data for equities and ETFs, options chains, streaming order book data, complex order construction, and more. ","finance,trading,tdameritrade,financial-data,automated-trading,python3",682
17,https://github.com/com-lihaoyi/scalatags.git,ScalaTags is a small XML/HTML construction library for Scala. ,,676
18,https://github.com/example42/psick.git,Puppet Systems Infrastructure Construction Kit: The control-repo,"puppet,vagrant-environments,control-systems,control-repo,puppet-tasks,infrastructure,fabric-tasks,hiera-eyaml,profile,docker,puppet-control",665
19,https://github.com/libnet/libnet.git,A portable framework for low-level network packet construction,"network-packets,ospf,rip,bgp,mpls,igmp,gre,tcp,udp,hsrp,ntp,arp,dhcp,dns,dot1x,dot1q",654
20,https://github.com/terrajobst/minsk.git,"This repo contains Minsk, a handwritten compiler in C#. It illustrates basic concepts of compiler construction and how one can tool the language inside of an IDE by exposing APIs for parsing and type checking.",,652
21,https://github.com/htck/bayeux.git,Historic Tale Construction Kit - opensource and customizable version !,,648
22,https://github.com/crawshaw/littleboss.git,littleboss: supervisor construction kit,"supervisor,golang",623
23,https://github.com/larsjanssen6/underconstruction.git,"This Laravel 8 package makes it possible for you to set your website in ""Under Construction"" mode. Only users with the correct 4 (or more) digit code can access your site. :fire:  :boom: :fire:","construction,underconstruction,php7,vuejs2,construction-mode,customizable,middleware,javascript,webpack,laravel-mix,laravel6,laravel7,laravel8,php8",550
24,https://github.com/microsoft/charticulator.git,Interactive Layout-Aware Construction of Bespoke Charts,,548
25,https://github.com/square/Blueprint.git,"Declarative UI construction for iOS, written in Swift","swift,ui,declarative,declarative-ui,square,uikit",524
26,https://github.com/JDAI-CV/DCL.git,Destruction and Construction Learning for Fine-grained Image Recognition,,470
27,https://github.com/xuexiangjys/TemplateAppProject.git,"Android template project, fast construction (integrated XUI, XUtil, XAOP, XPage, XUpdate, XHttp2, Umeng Statistics and Walle multi-channel package). Android空壳模板工程，快速搭建（集成了XUI、XUtil、XAOP、XPage、XUpdate、XHttp2、友盟统计和walle多渠道打包)","x-templateproject,template-project",463
28,https://github.com/atcbosselut/comet-commonsense.git,"Code for ACL 2019 Paper: ""COMET: Commonsense Transformers for Automatic Knowledge Graph Construction"" https://arxiv.org/abs/1906.05317",,422
29,https://github.com/mikeizbicki/ucr-cs100.git,open source software construction course,,419
30,https://github.com/yoosan/video-understanding-dataset.git,"A collection of recent video understanding datasets, under construction!","video-understanding,datasets,computer-vision,action-recognition",391
31,https://github.com/HeliumProject/Engine.git,C++ Game Engine (Under Construction!),,382
32,https://github.com/sudo-suhas/elastic-builder.git,A Node.js implementation of the elasticsearch Query DSL  :construction_worker:,"elasticsearch,query-builder,nodejs,elasticsearch-query-dsl,javascript",378
33,https://github.com/soulteary/Home-Network-Note.git,🚧 Under Construction 🚧 记录搭建家用兼顾学习和娱乐网络环境的一些事情，以及折腾过的一些硬件的小经验。,"home,electric,home-network,homelab,nas",370
34,https://github.com/jesses/wck.git,Box2d Flash Alchemy Port + World Construction Kit (AS3 Physics Engine),,361
35,https://github.com/Gabriel439/Haskell-Morte-Library.git,A bare-bones calculus-of-constructions,,358
36,https://github.com/lemonhu/open-entity-relation-extraction.git,Knowledge triples extraction and knowledge base construction based on dependency syntax for open domain text.,"entity-relation,relation-extraction,knowledge-base,knowledge-extraction,paper-implementations,open-domain,information-extraction,python3",358
37,https://github.com/lemastero/scala_typeclassopedia.git,"Abstractions and constructions from math (Category theory, Abstract algebra) implementations in Scala, minimal description, links to good explanations, links to implementations in other FP languages: Haskell, Idris, Purescript, non FP too: Java, C++ and to formalizations in proof assistants: Coq (UniMath, HoTT book), Cubical Agda.","category-theory,scala,abstract-algebra,functional-programming,abstraction,patterns",349
38,https://github.com/blivesta/rippler.git,:construction_worker: Effect that spreads like a wave in touch or click.,,345
39,https://github.com/typedefs/typedefs.git,Programming language agnostic type construction language based on polynomials.,"type-definitions,serialization-library,types,f-algebras,type-theory,category-theory,serialization,marshalling",343
40,https://github.com/vczh-libraries/Vlpp.git,"Common C++ construction, including string operation / generic container / linq / etc",,342
41,https://github.com/HazyResearch/fonduer.git,A knowledge base construction engine for richly formatted data,"multimodality,machine-learning,knowledge-base-construction",336
42,https://github.com/backtickbacktick/backtick.git,:construction: The Backtick Chrome Extension,"chrome-extension,javascript,backticks",289
43,https://github.com/wujixiu/helmet-detection.git,Helmet Detection on Construction Sites,"helmet-detection,ssd-pelee,deep-learning",277
44,https://github.com/san650/ember-cli-page-object.git,This ember-cli addon eases the construction of page objects on your acceptance and integration tests,"ember,ember-cli,page-object,pageobject,pageobject-pattern,testing,qunit,mocha",272
45,https://github.com/numenta/nupic.core.git,Implementation of core NuPIC algorithms in C++ (under construction),,266
46,https://github.com/mchalupa/dg.git,"[LLVM Static Slicer] Various program analyses, construction of dependence graphs and program slicing of LLVM bitcode.","llvm-bitcode,llvm-slicer,dependence-graph,static-analysis,static-code-analysis,reaching-definitions,slicing,dependency-graph,program-analysis,slice,analysis,llvm,llvm-ir,static-analyzer,pointer-analysis,points-to-analysis,data-dependency,control-dependency,backward-slicing,backward-slice",255
47,https://github.com/madmann91/bvh.git,A modern C++ BVH construction and traversal library,"header-only,cpp17,bvh,ray-tracing,openmp,construction-algorithms,traversal-algorithms",242
48,https://github.com/DraqueT/PolyGlot.git,PolyGlot is a conlang construction toolkit.,,241
49,https://github.com/Forceflow/ooc_svo_builder.git,Out-Of-Core Construction of Sparse Voxel Octrees - reference implementation,,236
50,https://github.com/BladeRunnerJS/brjs.git,"BladeRunnerJS (BRJS) is an open source development toolkit and framework for modular construction of large single-page HTML5 apps. It consists of a set of conventions, supporting tools and micro-libraries that make it easy to develop, test, deploy and maintain complex JavaScript apps.",,233
51,https://github.com/pridiltal/staplr.git,PDF Toolkit. :paperclip: :hammer: :wrench: :scissors:  :bookmark_tabs: :file_folder::paperclip: :bookmark: :construction: :construction_worker:,"r,pdftk,pdf,toolkit",226
52,https://github.com/ZJULearning/efanna.git,fast library for ANN search and KNN graph construction,,226
53,https://github.com/Programming-With-Love/Programming-With-Love-Profile.git,:hamburger: :heart: :moneybag: :zap: 用爱发电 (Programming With Love) 开源技术爱好者组织 | :sparkles: 组织简介 | :construction_worker: 所有成员及架构 | :penguin: 文明守则-开源精神 | :heavy_plus_sign: 加入我们 | 项目转入 :arrow_down: && 转出 :arrow_up:,,223
54,https://github.com/hseeberger/constructr.git,"Coordinated (etcd, ...) cluster construction for dynamic (cloud, containers) environments","akka,akka-cluster,etcd",217
55,https://github.com/fabiocaccamo/django-maintenance-mode.git,shows a 503 error page when maintenance-mode is on. :construction: :hammer_and_wrench:,"django,python,maintenance-mode,pypi,maintenance,503,service-unavailable",208
56,https://github.com/mabrarov/asio_samples.git,Examples (code samples) describing the construction of active objects on the top of Boost.Asio. A code-based guide for client/server creation with usage of active object pattern by means of Boost C++ Libraries.,"boost,asio,c-plus-plus,network,asynchronous",207
57,https://github.com/curran/dataviz-course-2018.git,"Online course on data visualization analysis, design & construction with D3.js.",,206
58,https://github.com/BenBrostoff/draftfast.git,A tool to automate and optimize DraftKings and FanDuel lineup construction.,"draftkings,optimizer,lineup-uploads,nba,nfl,wnba,pickem,dfs,python-3",195
59,https://github.com/drupal-composer/drupal-scaffold.git,:construction: Composer Plugin for updating the Drupal scaffold files when using drupal/core,,192
60,https://github.com/PyHDI/veriloggen.git,Veriloggen: A Mixed-Paradigm Hardware Construction Framework,"verilog-hdl,python,pyverilog,high-level-synthesis,hardware,hardware-construction-language,compiler",187
61,https://github.com/OpenWhiteBox/AES.git,Implementations of white-box AES constructions and their cryptanalyses.,,185
62,https://github.com/jiaeyan/Jiayan.git,"甲言，专注于古代汉语(古汉语/古文/文言文/文言)处理的NLP工具包，支持文言词库构建、分词、词性标注、断句和标点。Jiayan, the 1st NLP toolkit designed for Classical Chinese, supports lexicon construction, tokenizing, POS tagging, sentence segmentation and punctuation.","classical-chinese,nlp,ancient-chinese",185
63,https://github.com/rssh/scala-gopher.git,"Implementation of CSP constructions (Communication Sequence Process, i.e. go-like channels) in scala",,184
64,https://github.com/HavenShen/slim-born.git,Slim Framework 3 and 4 skeleton application has authentication MVC construction.,"slim,slim3,slim3-skeleton,skeleton,authentication,mvc,mvc-framework,slim4,slim4-skeleton,slim-mvc",180
65,https://github.com/jimweirich/re.git,Regular Expression Construction,,179
66,https://github.com/DataXujing/YOLO-V3-Tensorflow.git,:construction_worker: :construction_worker::construction_worker: YOLO V3(Tensorflow 1.x) 安全帽 识别 | 提供数据集下载和与预训练模型,"tensorflow,yolov3,object-detection,cv",177
67,https://github.com/keyz/redux-worker-middleware.git,:construction_worker: Unopinionated Web Workers for Redux,,172
