,Url,Description,Topics,Stars
0,https://github.com/selectize/selectize.js.git,"{""Selectize is the hybrid of a textbox and <select> box. It's jQuery based and it has autocomplete and native-feeling keyboard navigation; useful for tagging, contact lists, etc.""}","tagging,input,select",12623
1,https://github.com/sovereign/sovereign.git,"A set of Ansible playbooks to build and maintain your own private cloud: email, calendar, contacts, file sync, IRC bouncer, VPN, and more.",,10006
2,https://github.com/dillidon/alerts-and-pickers.git,"Advanced usage of UIAlertController and pickers based on it: Telegram, Contacts, Location, PhotoLibrary, Country, Phone Code, Currency, Date...","uialertcontroller,picker,image-picker,pickerview,textfield,datepicker,swift,uitextfield,alert,color-picker,login,signin,country-picker,currency-picker,phonecode,telegram-picker,telegram,contacts,location,map",5123
3,https://github.com/redmine/redmine.git,Mirror of redmine code source - Official SVN repository is at https://svn.redmine.org/redmine - contact: @jbbarth or jeanbaptiste.barth (at) gmail (dot) com,,4095
4,https://github.com/dwyl/learn-to-send-email-via-google-script-html-no-server.git,":email: An Example of using an HTML form (e.g: ""Contact Us"" on a website) to send Email without a Backend Server (using a Google Script) perfect for static websites that need to collect data. ","email,html-form,google-spreadsheet,no-server,ajax,tutorial,howto,static-site,example,form",2523
5,https://github.com/Dolibarr/dolibarr.git,"{""Dolibarr ERP CRM is a modern software package to manage your company or foundation activity (contacts, suppliers, invoices, orders, stocks, agenda, accounting, ...).It's opensource software (wrote with PHP language) designed for small and medium companies, foundation and freelances. You can freely install, use and distribute it as a standalone application or as a web application to use it from every internet access and media.""}","erp,crm,accounting,quotations,invoicing,stocks,agenda,human-resource-managment,php,mysql,postgresql,suppliers,orders,proposal,sales,purchase,invoice,stock,hacktoberfest,invoices",2466
6,https://github.com/ruslanskorb/RSKImageCropper.git,An image cropper / photo cropper for iOS like in the Contacts app with support for landscape orientation.,"crop,cropping,trimming,cropper,editor,image,photo,contacts-app,edit",2356
7,https://github.com/Kozea/Radicale.git,A simple CalDAV (calendar) and CardDAV (contact) server.,"python,caldav,cardav,icalendar",2098
8,https://github.com/sabre-io/Baikal.git,Baïkal is a Calendar+Contacts server,,1797
9,https://github.com/openai/mujoco-py.git,"MuJoCo is a physics engine for detailed, efficient rigid body simulations with contacts. mujoco-py allows using MuJoCo from Python 3.",,1613
10,https://github.com/szad670401/HyperLandmark.git,Deep Learning Based Free Mobile Real-Time  Face Landmark Detector. Contact:jack-yu-business@foxmail.com,"face-landmark,cnn,android,tracking,106-points,face-alignment",1511
11,https://github.com/morenoh149/react-native-contacts.git,React Native Contacts,"react-native,react-native-component,contacts,phone,mobile",1383
12,https://github.com/loopj/android-smart-image-view.git,"Android ImageView replacement which allows image loading from URLs or contact address book, with caching",,1318
13,https://github.com/rsattar/ClusterPrePermissions.git,"{""Cluster's reusable pre-permissions utility that lets developers ask the users on their own dialog for photos or contacts access, before making the system-based request. This is based on the Medium post by Cluster describing the different ways to ask for iOS permissions (https://medium.com/p/96fa4eb54f2c).""}",,1222
14,https://github.com/robertlevonyan/materialChipView.git,"Material Chip view. Can be used as tags for categories, contacts or creating text clouds","android,android-library,android-development,api,chip,view,text,tags,tag,material-chip,gradle,material-design,material-ui",1207
15,https://github.com/jiang111/IndexRecyclerView.git,[DEPRECATED] a Contact list implements by RecyclerView,recyclerview,1160
16,https://github.com/Dsiner/UIUtil.git,"UIUtil for Android, Lyrics, Tick animations, Comparisons, Satellite menus, Praise, Slide buttons, TAB indicators, Contact sorting, Drag sorting, Skidding deletes, Shadow effects, RecyclerView nesting RecyclerView, Map list Poi/Drawer effects, Progress settings, Clock set, Damping, Progress, Album, Snap, Progress, CircleDownload, AdvertSwitcher, Carousel ad, FlowLayout, Tag...; 歌词控件、打勾动画、对比、卫星菜单、点赞、滑动按钮、TAB指示器、联系人排序、拖曳排序、侧滑删除、阴影效果.、RecyclerView嵌套RecyclerView.、地图列表Poi/抽屉效果、进度设置、时钟设置、滑动阻尼、相册媒体快照、圆形下载进度，轮播广告, 流式布局，标签...","lrc,vs,reply,tick,sorted-lists,button-switch,tabindicator,arcmenu,indicator,sidebar,drag,skid,shadow,recyclerview-nested-recyclerview,map,poi,drawer-effects,progress,clock,damping",1040
17,https://github.com/skerkour/bloom.git,"The simplest way to de-Google your life and business: Inbox, Calendar, Files, Contacts & much more","rust,privacy,vue,vuejs,automation,workspace,drive,files,bloom,cloud,self-hosted,productivity,inbox,calendar,self-hosting,analytics,chat,messaging",982
18,https://github.com/Roll20/roll20-character-sheets.git,Character sheet templates created by the community for use in Roll20 VTT. Contact team@roll20.net if critical hotfixes need to be requested.,hacktoberfest,931
19,https://github.com/pimutils/vdirsyncer.git,📇 Synchronize calendars and contacts.,"python,cli,webdav,caldav,carddav,synchronisation,contacts,calendar,tasks,todo,pim,icalendar,vtodo,vevent,vcard,vobject,sync",906
20,https://github.com/microsoft/CDM.git,"The Common Data Model (CDM) is a standard and extensible collection of schemas (entities, attributes, relationships) that represents business concepts and activities with well-defined semantics, to facilitate data interoperability. Examples of entities include: Account, Contact, Lead, Opportunity, Product, etc.",,904
21,https://github.com/gskinnerTeam/flokk.git,A fresh and modern Google Contacts manager that integrates with GitHub and Twitter.,,835
22,https://github.com/tristanhimmelman/THContactPicker.git,An iOS view used for selecting contacts. This view is inspired by the contact selection in the iOS Mail and Messages apps,,672
23,https://github.com/pavlospt/RoundedLetterView.git,RoundedLetterView like the one in Android 5.0 Contacts app,"android,view,roundedletterview",651
24,https://github.com/MarcWeber/vim-addon-manager.git,manage and install vim plugins (including their dependencies) in a sane way. If you have any trouble contact me. Usually I reply within 24 hours,,627
25,https://github.com/cardmagic/contacts.git,"A universal interface to import email contacts from various providers including Yahoo, Gmail, Hotmail, AOL and Plaxo.",,610
26,https://github.com/wks/ik-analyzer.git,No longer maintained. Please contact the origional author.,,604
27,https://github.com/unitedstates/contact-congress.git,Sending electronic written messages to members of Congress by reverse engineering their contact forms.,,596
28,https://github.com/toddmotto/angular-1-5-components-app.git,"A Contacts Manager application built on Angular 1.5 components, ui-router 1.0.0, Firebase.","angular,ui-router,firebase,component-architecture",583
29,https://github.com/iAugux/Phonetic.git,An iOS App to generate phonetic keys for your Chinese contacts. Written in Swift.,"phonetic,contacts,sort,chinese,swift,polyphonic,characters,phonetic-keys",573
30,https://github.com/zhimengzhe/iBarn.git,"{""iBarn SkyDrive provides file network backup, synchronization and sharing service. This system can resume upload and down file and if someone uploads one file when you upload it too, it needn't upload any more, directly upload success. You can choose file download to local or online collection. The recycle bin function to prevent users from accidentally deleted data. While providing customized services, and the two development. the intention to contact by email fanyalei@aliyun.com or QQ 451802973.iBarn网盘，功能强大，堪比百度网盘""}",,567
