,Url,Description,Topics,Stars
0,https://github.com/EOSIO/eos.git,An open source smart contract platform ,eosio,11169
1,https://github.com/OpenZeppelin/openzeppelin-contracts.git,OpenZeppelin Contracts is a library for secure smart contract development.,"zeppelin,ethereum,solidity,evm,security",10301
2,https://github.com/ethereum/solidity.git,"Solidity, the Smart Contract Programming Language","cpp,ethereum,smartcontracts,language,solidity,blockchain",10200
3,https://github.com/trufflesuite/truffle.git,A tool for developing smart contracts. Crafted with the finest cacaos.,"truffle,ethereum,framework,blockchain,solidity,smart-contracts,smart-contract-tools,javascript,hac,hacktoberfest,hacktoberfest2020",10003
4,https://github.com/engineerapart/TheRemoteFreelancer.git,"Listing of community-curated resources to find topical remote freelance & contract work for software developers, web designers, and more!","freelancer,freelance-talent,jobs,upwork,remote-work",6344
5,https://github.com/ConsenSys/smart-contract-best-practices.git,A guide to smart contract security best practices,"smart-contracts,ethereum,solidity,security,blockchain",4138
6,https://github.com/corda/corda.git,"{""Corda is an open source blockchain project, designed for business from the start. Only Corda allows you to build interoperable blockchain networks that transact in strict privacy. Corda's smart contract technology allows businesses to transact directly, with value.""}","corda,kotlin,distributed-ledger,dlt",3600
7,https://github.com/vyperlang/vyper.git,Pythonic Smart Contract Language for the EVM,"vyper,language,python,ethereum,ethereum-dapp",3052
8,https://github.com/pact-foundation/pact-ruby.git,"Enables consumer driven contract testing, providing a mock service and DSL for the consumer project, and interaction playback and verification for the service provider project.",hacktoberfest,2053
9,https://github.com/tadast/switching-to-contracting-uk.git,A step by step guide of how to start contracting in United Kingdom,"how-to,tutorial,contractors,freelancing",1964
10,https://github.com/ConsenSys/mythril.git,"Security analysis tool for EVM bytecode. Supports smart contracts built for Ethereum, Hedera, Quorum, Vechain, Roostock, Tron and other EVM-compatible blockchains.","security-analysis,ethereum,blockchain,smart-contracts,solidity,program-analysis,hacktoberfest",1627
11,https://github.com/egonSchiele/contracts.ruby.git,Contracts for Ruby.,,1391
12,https://github.com/ConsenSys/Tokens.git,Ethereum Token Contracts,,1379
13,https://github.com/0xProject/0x-monorepo.git,0x protocol monorepo - includes our smart contracts and many developer tools,"0x,ethereum,erc20,erc721,exchange",1341
14,https://github.com/TokenMarketNet/smart-contracts.git,Ethereum smart contracts for security and utility tokens,"ethereum,python,smart-contracts,ico,crowdsale,solidity,solidity-contracts,blockchain,security-token,security-token-service",1195
15,https://github.com/Uniswap/uniswap-v2-core.git,🎛 Core smart contracts of Uniswap V2,"ethereum,smart-contracts,erc20,decentralized-exchange,cryptocurrency",1093
16,https://github.com/blockchain-etl/ethereum-etl.git,"Python scripts for ETL (extract, transform and load) jobs for Ethereum blocks, transactions, ERC20 / ERC721 tokens, transfers, receipts, logs, contracts, internal transactions. Data is available in Google BigQuery https://goo.gl/oY5BCQ","ethereum,csv,export,erc20,erc20-tokens,etl,transaction,sql,aws,gcp,bigquery,google-cloud,erc721,blockchain-analytics",1007
17,https://github.com/pact-foundation/pact-js.git,JS version of Pact. Pact is a contract testing framework for HTTP APIs and non-HTTP asynchronous messaging systems.,"pact,consumer-driven-contracts,pact-js,mocha,test-framework,hacktoberfest",968
18,https://github.com/dashbitco/mox.git,Mocks and explicit contracts in Elixir,,879
19,https://github.com/ethereum-ts/TypeChain.git,🔌 TypeScript bindings for Ethereum smart contracts,"typescript,ethereum,web3,solidity,blockchain,abi,smartcontract,truffle",867
20,https://github.com/Uniswap/uniswap-v3-core.git,🦄 🦄 🦄 Core smart contracts of Uniswap v3,"ethereum,smart-contracts,automated-market-maker,core",854
