,Url,Description,Topics,Stars
0,https://github.com/CoderMJLee/MJExtension.git,"{""A fast, convenient and nonintrusive conversion framework between JSON and model. Your model class doesn't need to extend any base class. You don't need to modify any model file.""}","objective-c,model,json,dictionary,array",8418
1,https://github.com/BYVoid/OpenCC.git,Conversion between Traditional and Simplified Chinese,"chinese-translation,traditional-chinese,simplified-chinese",5511
2,https://github.com/microsoft/MMdnn.git,"MMdnn is a set of tools to help users inter-operate among different deep learning frameworks. E.g. model conversion and visualization. Convert models between Caffe, Keras, MXNet, Tensorflow, CNTK, PyTorch Onnx and CoreML.","cntk,visualization,tensorflow,model-converter,pytorch,caffe,keras,mxnet,coreml,onnx,darknet",5322
3,https://github.com/instantpage/instant.page.git,Make your site’s pages instant in 1 minute and improve your conversion rate by 1%,"instant,performance",5321
4,https://github.com/jonschlinkert/remarkable.git,"Markdown parser, done right. Commonmark support, extensions, syntax plugins, high speed - all in one. Gulp and metalsmith plugins available. Used by Facebook, Docusaurus and many others! Use https://github.com/breakdance/breakdance for HTML-to-markdown conversion. Use https://github.com/jonschlinkert/markdown-toc to generate a table of contents.","commonmark,gfm,markdown,parser,md,syntax-highlighting,nodejs,javascript,markdown-parser,node,markdown-it,jonschlinkert,parse,compile,docusaurus",5089
5,https://github.com/aui/font-spider.git,Smart webfont compression and format conversion tool,"woff2,woff,ttf,svg,eot,truetype,opentype,webfont,font-face",4376
6,https://github.com/bgrins/TinyColor.git,"Fast, small color manipulation and conversion for JavaScript",,3836
7,https://github.com/Qix-/color.git,:rainbow: Javascript color conversion and manipulation library,,3666
8,https://github.com/andabi/deep-voice-conversion.git,Deep neural networks for voice conversion (voice style transfer) in Tensorflow,,3528
9,https://github.com/vercel/ms.git,Tiny millisecond conversion utility,"milliseconds,conversion,utility",3455
10,https://github.com/xwmx/nb.git,"CLI and local web plain text note-taking, bookmarking, and archiving with linking, tagging, filtering, search, Git versioning & syncing, Pandoc conversion, + more in a single portable script.","notes,bash,shell,productivity,command-line,cli,sync,note-taking,vim,vscode,git,pandoc,notebook,bookmarks,knowledge-base,archiving,bookmark-manager,notes-app,markdown,zettelkasten",3273
11,https://github.com/ysh329/deep-learning-model-convertor.git,The convertor/conversion of deep learning models for different deep learning frameworks/softwares.,"deep-learning,model,neural-network,convertor,model-convertor,awesome-list,deep-learning-framework,tensorflow,caffe,pytorch,mxnet,keras,torch,caffe2",2931
12,https://github.com/fixerAPI/fixer.git,A foreign exchange rates and currency conversion API,"foreign-exchange-rates,ruby,currencies,exchange-rate,historical-rates,money",2526
13,https://github.com/RubyMoney/money.git,A Ruby Library for dealing with money and currency conversion.,"money,exchange-rate,ruby",2393
14,https://github.com/carlsednaoui/ouibounce.git,Increase your landing page conversion rates.,,2297
15,https://github.com/apple/coremltools.git,"Core ML tools contain supporting tools for Core ML model conversion, editing, and validation.","coremltools,tensorflow,pytorch,hacktoberfest,coreml,onnx,machine-learning,model-converter,model-conversion",2219
16,https://github.com/medcl/elasticsearch-analysis-pinyin.git,This Pinyin Analysis plugin is used to do conversion between Chinese characters and Pinyin.,"pinyin,pinyin-analysis,conversion,elasticsearch,analyzer",2027
17,https://github.com/redis/redis-doc.git,"Redis documentation source code for markdown and metadata files, conversion scripts, and so forth",,1949
18,https://github.com/openbsd/src.git,"{""Public git conversion mirror of OpenBSD's official CVS src repository. Pull requests not accepted - send diffs to the tech@ mailing list.""}",openbsd,1938
19,https://github.com/zzw922cn/awesome-speech-recognition-speech-synthesis-papers.git,"Speech synthesis, voice conversion, self-supervised learning, music generation,Automatic Speech Recognition, Speaker Verification, Speech Synthesis, Language Modeling","automatic-speech-recognition,papers,roadmap,rnn,cnn,dnn,attention-mechanism,seq2seq,acoustic-model,timit-dataset,tts,language-model,speaker-verification",1841
20,https://github.com/kn007/silk-v3-decoder.git,"[Skype Silk Codec SDK]Decode silk v3 audio files (like wechat amr, aud files, qq slk files) and convert to other format (like mp3). Batch conversion support.","silk,audio-files,batch-conversion-support,qq,wechat,mp3,convert,decoder,encode,decode,autoit,encoder,silkv3,mina,mini-program",1683
21,https://github.com/vsch/flexmark-java.git,"CommonMark/Markdown Java parser with source level AST. CommonMark 0.28, emulation of: pegdown, kramdown, markdown.pl, MultiMarkdown. With HTML to MD, MD to PDF, MD to DOCX  conversion modules.","commonmark,pegdown,java,markdown-parser,markdown-processor,markdown-conversion,markdown-flavors,markdown,markdown-to-html,html-to-markdown,markdown-to-pdf",1574
22,https://github.com/jjgod/mac-dictionary-kit.git,Dictionary conversion tool for Mac OS X 10.5 and above,"dictionary-conversion,mac-dictionary-kit",1507
