,Url,Description,Topics,Stars
0,https://github.com/lipis/flag-icon-css.git,:flags: A collection of all country flags in SVG — plus the CSS for easier integration,"css,country-flags,icon-css,svg,country",7459
1,https://github.com/mledoze/countries.git,"World countries in JSON, CSV, XML and Yaml. Any help is welcome!","countries,geojson,topojson,xml,csv,yaml,json,php",5201
2,https://github.com/dillidon/alerts-and-pickers.git,"Advanced usage of UIAlertController and pickers based on it: Telegram, Contacts, Location, PhotoLibrary, Country, Phone Code, Currency, Date...","uialertcontroller,picker,image-picker,pickerview,textfield,datepicker,swift,uitextfield,alert,color-picker,login,signin,country-picker,currency-picker,phonecode,telegram-picker,telegram,contacts,location,map",5123
3,https://github.com/umpirsky/country-list.git,:globe_with_meridians: List of all countries with names and ISO 3166-1 codes in all languages and data formats.,,4676
4,https://github.com/owid/covid-19-data.git,"Data on COVID-19 (coronavirus) cases, deaths, hospitalizations, tests • All countries • Updated daily by Our World in Data","covid-19,covid,coronavirus,sars-cov-2",3552
5,https://github.com/hampusborgos/country-flags.git,"{""SVG and PNG renders of all countries' flags.""}",,2369
6,https://github.com/djaiss/mapsicon.git,"A free collection of maps for every country in the world, available in 11 sizes or in SVG.","icons,countries",1981
7,https://github.com/apilayer/restcountries.git,Get information about countries via a RESTful API,"rest-countries,rest,java,countries,rest-api",1929
8,https://github.com/ahmadawais/corona-cli.git,"🦠 Track the Coronavirus disease (COVID-19) in the command line. Worldwide for all countries, for one country, and the US States. Fast response time (< 100ms). To chat: https://twitter.com/MrAhmadAwais/","coronavirus,corona,coronavirus-tracking,coronavirus-real-time,coronavirus-analysis,coronavirus-info,covid-19,visualization",1741
9,https://github.com/countries/countries.git,"All sorts of useful information about every country packaged as convenient little country objects. It includes data from ISO 3166 (countries and states/subdivisions ), ISO 4217 (currency), and E.164 (phone numbers).",,1657
10,https://github.com/antonioribeiro/countries.git,Laravel countries and currencies,"laravel,laravel-countries,countries,languages,timezones,states,php",1487
11,https://github.com/lukes/ISO-3166-Countries-with-Regional-Codes.git,"ISO 3166-1 country lists merged with their UN Geoscheme regional codes in ready-to-use JSON, XML, CSV data sets","region-codes,countries,iso,csv,json,xml,dataset,data,iso3166,iso3166-1,iso3166-2",1404
12,https://github.com/rinvex/countries.git,"Rinvex Country is a simple and lightweight package for retrieving country details with flexibility. A whole bunch of data including name, demonym, capital, iso codes, dialling codes, geo data, currencies, flags, emoji, and other attributes for all 250 countries worldwide at your fingertips.","php,countries,capitals,flags",1372
13,https://github.com/dr5hn/countries-states-cities-database.git,"🌍 World countries, states, regions, provinces, cities, towns in JSON, SQL, XML, PLIST, YAML, and CSV. All Countries, States, Cities with ISO2, ISO3, Country Code, Phone Code, Capital, Native Language, Timezones, Latitude, Longitude, Region, Subregion, Flag Emoji, and Currency. #countries #states #cities","cities,countries,states,city,state,country,json,sql,regions,region,world-regions,plist,xml,csv,yaml,countries-states-cities,country-state-city,mysql,api,provinces",1302
14,https://github.com/pomber/covid19.git,"JSON time-series of coronavirus cases (confirmed, deaths and recovered) per country - updated daily","covid-19,2019-ncov,coronavirus,dataset,json,api,time-series,data",1181
15,https://github.com/hbb20/CountryCodePickerProject.git,Country Code Picker (CCP) is an android library which provides an easy way to search and select country or international phone code. Also supports Android EditText phone mask and international phone validation.,"ccp,android-library,country-codes,country-flags,phonenumber,country-picker,country-selector,andriod-country-spinner,phonecode-spinner,country-spinner,android,library,libphonenumber,country-phone,android-edittext-phone-mask,phone-validation,android-phone-formatting,international-phone-view,international-phone,international-phone-input",1120
16,https://github.com/SmileyChris/django-countries.git,"A Django application that provides country choices for use with forms, flag icons static files, and a country field for models.","python,country-codes,django",982
17,https://github.com/daviddias/awesome-hacking-locations.git,":computer: :coffee: List of Awesome Hacking Locations, organised by Country and City, listing if it features power and wifi","awesome-list,awesome-lists",849
