,Url,Description,Topics,Stars
0,https://github.com/amarofashion/react-credit-cards.git,Beautiful credit cards for your payment forms,"react,react-component,payment,credit-card",2115
1,https://github.com/wajahatkarim3/EasyFlipView.git,"💳 A quick and easy flip view through which you can create views with two sides like credit cards, poker cards etc.","android-library,views,custom-view,xml,layouts,credit-cards,poker-cards,android,animation",1242
2,https://github.com/devnied/EMV-NFC-Paycard-Enrollment.git,A Java library used to read and extract data from NFC EMV credit cards (Android/PCSC).,"android,java,emv,nfc,java-library,credit-card,tlv,track2",1029
3,https://github.com/paypal/PayPal-iOS-SDK.git,Accept credit cards and PayPal in your iOS app,,973
4,https://github.com/paypal/PayPal-Android-SDK.git,Accept PayPal and credit cards in your Android app,,778
5,https://github.com/braintree/card-validator.git,Validate credit cards as users type.,,636
