,Url,Description,Topics,Stars
0,https://github.com/Scifabric/pybossa.git,"{""PYBOSSA is the ultimate crowdsourcing framework (aka microtasking) to analyze or enrich data that can't be processed by machines alone.""}","crowdsourcing,pybossa,python,citizenscience,citizen,science,microtasking,opensource,knowledge,research,crowd",674
1,https://github.com/nytlabs/hive.git,"A platform for backing crowdsourcing websites, built in golang for elasticsearch",,354
2,https://github.com/ninuxorg/nodeshot.git,Django based tools to create crowdsourcing web apps.,,321
3,https://github.com/crowdresearch/daemo.git,The Daemo crowdsourcing platform,"python,postgres,angular,material-design,crowdsourcing",146
4,https://github.com/seanbell/opensurfaces.git,"{""Crowdsourcing pipeline and website for OpenSurfaces [SIG '13] and Intrinsic Images in the Wild [SIG '14]""}",,139
5,https://github.com/benwbrum/fromthepage.git,FromThePage is a wiki-like application for crowdsourcing transcription of handwritten documents.,,133
6,https://github.com/LibraryOfCongress/concordia.git,Crowdsourcing platform for full text transcription and tagging. https://crowd.loc.gov,"transcription,volunteers,loc,crowdsourcing,django",116
7,https://github.com/wq/wq.db.git,"{""☁🌐 wq's db library, extending Django REST framework to support apps for geospatial field data collection, citizen science, and crowdsourcing. ""}","django,rest-api,data-collection,wq-framework,citizen-science,django-rest-framework",103
8,https://github.com/Cosecha/redadalertas.git,A web app for crowdsourcing immigration raid data.,"react,redux,redux-saga,semantic-ui,immigration,social-justice,gplv3",95
9,https://github.com/kort/kort.git,"Kort is a cross-platform, crowdsourcing app aimed to improve OpenStreetMap using the concept of gamification (2012-2016).",,88
10,https://github.com/qq547276542/LabelMarker.git,A small tools for marking training set label in machine learning task.(crowdsourcing),"crowdsourcing,django,marking,machine-learning,tool",83
11,https://github.com/propublica/transcribable.git,Drop in crowdsourcing for your Rails app. Extracted from Free the Files.,,83
12,https://github.com/microsoft/P.808.git,"This is an open-source implementation of the ITU P.808 standard for ""Subjective evaluation of speech quality with a crowdsourcing approach"" (see https://www.itu.int/rec/T-REC-P.808/en). It uses Amazon Mechanical Turk as the crowdsourcing platform. It includes implementations for Absolute Category Rating (ACR), Degradation Category Rating (DCR), and Comparison Category Rating (CCR). ",,79
13,https://github.com/facebookresearch/Mephisto.git,A suite of tools for managing crowdsourcing tasks from the inception through to data packaging for research use,,75
14,https://github.com/marchowardbegins/AlgoHive.git,Crowdsourcing cryptocurrency prediction algorithms.,,74
15,https://github.com/borismus/CrowdForge.git,Django framework for crowdsourcing complex tasks using MTurk,,60
16,https://github.com/medtagger/MedTagger.git,A collaborative framework for annotating medical datasets using crowdsourcing.,"labeling,medical-imaging,crowdsourcing,deep-learning,data-validation,data-science",60
17,https://github.com/CrowdTruth/CrowdTruth.git,"Version 1.0 of the CrowdTruth Framework for crowdsourcing ground truth data, for training and evaluation of cognitive computing systems. Check out also version 2.0 at https://github.com/CrowdTruth/CrowdTruth-core. Data collected with CrowdTruth methodology: http://data.crowdtruth.org/. Our papers: http://crowdtruth.org/papers/","crowdtruth-framework,crowdtruth-work-ow,quality,microtasks,javascript,evaluation",59
18,https://github.com/JakobRogstadius/CrisisTracker.git,CrisisTracker is an open-source web platform that extracts situation awareness reports from public tweets during humanitarian disasters. It combines automated processing with crowdsourcing to quickly detect new events and bring structure to millions of  updates in real-time.,,58
19,https://github.com/ipeirotis/Get-Another-Label.git,Quality control code for estimating the quality of the workers in crowdsourcing environments,,57
20,https://github.com/markaspot/mark-a-spot.git,Public Civic Issue Tracking and Crowdsourcing / Mapping Platform based on Drupal 8. Open311 Server and Client Software,,47
21,https://github.com/appirio-tech/connect-app.git,Build your next project on Connect with the power of crowdsourcing,,42
22,https://github.com/CrowdTruth/CrowdTruth-core.git,CrowdTruth framework for crowdsourcing ground truth for training & evaluation of AI systems,"crowdsourcing,inter-annotator-agreement,human-computer-interaction,annotations,annotation-processing,ambiguity,ambiguity-resolver,natural-language-processing,python,data-science,nlp,artificial-intelligence,ai",37
23,https://github.com/suchow/awesome-crowds.git,"A curated list of awesome resources on crowdsourcing, human computation, and online behavioral experiments.","crowdsourcing,experiments,games,prediction-markets,crowdfunding,citizen-science",35
24,https://github.com/cs-education/classTranscribe.git,"ClassTranscribe provides accessible, searchable lecture videos with captions using automated Speech-to-text and crowdsourcing techniques. This repository represents a 2018 version. The 2019 brand new version of the code is at https://github.com/classtranscribe",,32
25,https://github.com/dividiti/crowdsource-video-experiments-on-android.git,Crowdsourcing video experiments (such as collaborative benchmarking and optimization of DNN algorithms) using Collective Knowledge Framework across diverse Android devices provided by volunteers. Results are continuously aggregated in the open repository:,"dnn,dnn-benchmarking,dnn-tuning,dnn-optimization,collaborative-dnn-optimization,collaborative-optimization,collective-knowledge,crowd-benchmarking,crowd-tuning,openmp,opencl,cuda,android-app,android-device,mobile-devices,iot,machine-learning,data-mining,open-research,reproducible-experiments",31
26,https://github.com/LibCrowds/libcrowds.git,The frontend for the LibCrowds crowdsourcing platform,"vuejs,crowdsourcing,microtasks,pybossa,british-library",30
27,https://github.com/ctuning/ck-crowdtuning-platforms.git,"Meta information about platforms participating in experiment crowdsourcing using Collective Knowledge Framework (OS,CPU,GPU,GPGPU,NN...):","json-api,json-metadata,experiment-crowdsourcing,collective-knowledge,platforms-properties,crowdsourcing,reproducible-experimentation,reproducible-research,collaborative-research,open-research",30
28,https://github.com/radumas/bikeways4everybody.git,Crowdsourcing bike routes in Boston. Making pretty maps from it.,"carto,bikeways,crowdsourcing,crowdmap,leaflet-draw,postgis",29
29,https://github.com/ctuning/ck-crowdnode.git,"Standalone, thin and portable server to let users participate in experiment crowdsourcing using Windows devices via Collective Knowledge Framework:","collaborative-optimization,collective-knowledge,workload-automation,windows,server,crowdsourcing-experiments,json-api,adb-like-server",29
30,https://github.com/wnyc/django-crowdsourcing.git,"Django-crowdsourcing is an MIT-licensed survey and report tool for journalists, supporting many types of survey questions and a wide variety of reporting options. A reusable Django application, it is designed to be installed easily in any Django site, including multi-site installations. Its surveys are entirely configured within the admin interface that ships with Django. While the primary focus of development is support for crowdsourcing projects, the survey tool is general purpose and can be used for a variety of applications. It is easy enough to handle simple polls with pie charts, yet powerful enough to handle complicated surveys with rich multimedia responses plotted on a map with custom icons.",,26
31,https://github.com/CancerDataScience/CrowdsourcingDataset-Amgadetal2019.git,"Use this to download all elements of the dataset described in: Amgad M, Elfandy H, ..., Gutman DA, Cooper LAD. Structured crowdsourcing enables convolutional segmentation of histology images. Bioinformatics. 2019. doi: 10.1093/bioinformatics/btz083",,26
32,https://github.com/squidsoup/django-crowdsourcing.git,"Django-crowdsourcing is a highly configurable survey and report tool for journalists, with a feature set that supports a wide range of useful crowdsourcing projects.",,25
33,https://github.com/open-city/recycling.git,Crowdsourcing data about which residential buildings do not have recycling in Chicago,,24
34,https://github.com/dssg/ushine-learning.git,An API that uses machine learning to help the Ushahidi nonprofit do smarter crisis crowdsourcing.,,24
35,https://github.com/ctuning/crowdsource-experiments-using-android-devices.git,Android application to participate in experiment crowdsourcing (such as workload crowd-benchmarking and crowd-tuning) using Collective Knowledge Framework and open repositories of knowledge: ,"crowdsource-experiments,open-research,collaborative-research,reproducible-research,mobile-devices,android-application,collaborative-benchmarking,performance-benchmarking,performance-tuning,automation,crowd-tuning,knowledge-sharing",24
36,https://github.com/Ajapaik/ajapaik-web.git,"Crowdsourcing of data for historic imagery (geotagging, face tagging, rephotography)",,23
37,https://github.com/workmachine/crowd-sh.git,MapReduce for Crowdsourcing Workflow on Mechanical Turk Using Airtable,,23
38,https://github.com/sdfb/sdfb.git,A crowdsourcing website reassembling the social network of early modern Britain,,23
39,https://github.com/kluther/Pipeline.git,"Free, open-source software for crowdsourcing creative projects",,22
40,https://github.com/rekrei/rekrei.git,Platform for crowdsourcing the digital recreation of lost heritage,"heritage,photogrammetry",21
41,https://github.com/LibCrowds/libcrowds-viewer.git,A Vue component for crowdsourcing Web Annotations.,"vuejs,iiif,crowdsourcing",21
