,Url,Description,Topics,Stars
0,https://github.com/spree/spree.git,"Open Source multi-language/multi-currency/multi-store E-commerce platform for Ruby on Rails with a modern UX, PWA frontend, REST API, GraphQL, several official extensions, and 3rd party integrations. ","spree,spreecommerce,rails,ecommerce,e-commerce,ruby,rubyonrails,cart,headless-commerce,ecommerce-platform,store,shop,spree-commerce,graphql",11232
1,https://github.com/dogecoin/dogecoin.git,very currency,,9100
2,https://github.com/dillidon/alerts-and-pickers.git,"Advanced usage of UIAlertController and pickers based on it: Telegram, Contacts, Location, PhotoLibrary, Country, Phone Code, Currency, Date...","uialertcontroller,picker,image-picker,pickerview,textfield,datepicker,swift,uitextfield,alert,color-picker,login,signin,country-picker,currency-picker,phonecode,telegram-picker,telegram,contacts,location,map",5123
3,https://github.com/openexchangerates/accounting.js.git,"A lightweight JavaScript library for number, money and currency formatting - fully localisable, zero dependencies.",,4694
4,https://github.com/input-output-hk/cardano-sl.git,Cryptographic currency implementing Ouroboros PoS protocol,"haskell,stake-blockchain-protocol,cryptocurrency",3575
5,https://github.com/Zheaoli/awesome-coins.git,₿ A guide (for humans!) to cryto-currencies and their algos.,"cryptocurrency,algorithms,bitcoin,ethereum,awesome,awesome-list,coin,wallet,algo,nicehash,btc,guide,documentation,kennethreitz",3322
6,https://github.com/bitpay/wallet.git,Bitpay Wallet (formerly Copay) is a secure Bitcoin and other crypto currencies wallet platform for both desktop and mobile devices.,"bitcoin,wallet,hardware-wallet,wallet-service,blockchain,copay,bitpay",3200
7,https://github.com/fixerAPI/fixer.git,A foreign exchange rates and currency conversion API,"foreign-exchange-rates,ruby,currencies,exchange-rate,historical-rates,money",2526
8,https://github.com/RubyMoney/money.git,A Ruby Library for dealing with money and currency conversion.,"money,exchange-rate,ruby",2393
9,https://github.com/scurker/currency.js.git,A javascript library for handling currencies,"currency-values,javascript,javascript-library,money,currency",2003
10,https://github.com/countries/countries.git,"All sorts of useful information about every country packaged as convenient little country objects. It includes data from ISO 3166 (countries and states/subdivisions ), ISO 4217 (currency), and E.164 (phone numbers).",,1657
11,https://github.com/autoNumeric/autoNumeric.git,autoNumeric is a standalone library that provides live as-you-type formatting for international numbers and currencies. ,"autonumeric,javascript,javascript-library,maskedinput,inputmask",1572
12,https://github.com/antonioribeiro/countries.git,Laravel countries and currencies,"laravel,laravel-countries,countries,languages,timezones,states,php",1487
13,https://github.com/openexchangerates/money.js.git,"money.js is a tiny (1kb) javascript currency conversion library, for web & nodeJS",,1397
14,https://github.com/rinvex/countries.git,"Rinvex Country is a simple and lightweight package for retrieving country details with flexibility. A whole bunch of data including name, demonym, capital, iso codes, dialling codes, geo data, currencies, flags, emoji, and other attributes for all 250 countries worldwide at your fingertips.","php,countries,capitals,flags",1372
