,Url,Description,Topics,Stars
0,https://github.com/oroinc/crm-application.git,OroCRM - an open-source Customer Relationship Management application.,"orocrm,crm,orocrm-application,php,web-application,customer-retention,symfony-application,symfony,oroplatform-application,application",791
1,https://github.com/billerickson/Genesis-CRM.git,"A Customer Relationship Management theme for WordPress, built on Genesis",,118
2,https://github.com/luckyshot/CRMx.git,"CRMx is a super-flexible micro-CRM system for personal, freelance and small businesses. It can be customized very quickly for Customer Relationship Management, Lead Management System, Project Management, To-Do List or any other usage due to its flexibility in customization and scalable code. CRMx allows unlimited users to work in the same or different environments very flexibly. CRMx works through a RESTful API which allows third-party services and other software to interact neatly. CRMx also has a User Access Control system (UAC) to define permissions for each user and have maximum control over the organization.","php,crm,crm-online,crm-system,mysql-database,productivity,sales,business,freelance,bootstrap",70
3,https://github.com/techiediaries/django-crm.git,A Simple Django CRM (Customer Relationship Management) RESTful API Project ,"django,django-rest-framework,crm",64
4,https://github.com/VanHakobyan/CustomerRelationshipManagement_CRM.git,"{""Customer relationship management, processes implemented to manage a company's interactions with customers and prospects.""}","crm-system,restful-api,crud-application,c-sharp,asp-net-web-api-2,database,entity-framework,databases,database-first,logging,model-factory,request,rest-api,response,responsive-design,email-template,email-sender,parsing-library,javascript,reactjs",43
5,https://github.com/treselle-systems/customer_churn_analysis.git,"In the customer management lifecycle, customer churn refers to a decision made by the customer about ending the business relationship. It is also referred as loss of clients or customers. Customer loyalty and customer churn always add up to 100%. If a firm has a 60% of loyalty rate, then their loss or churn rate of customers is 40%. As per 80/20 customer profitability rule, 20% of customers are generating 80% of revenue. So, it is very important to predict the users likely to churn from business relationship and the factors affecting the customer decisions. We are going to show how logistic regression model using R can be used to identify the customer churn in the telecom dataset.",,39
6,https://github.com/go2ismail/ASP.NET-CORE-2-MVC-AdminLTE-CRM-Order-Management.git,"ASP.NET CORE 2 MVC AdminLTE For CRM (Customer Relationship Management) and Order Management (Sales Order, Purchase Order, Inventory)",,25
7,https://github.com/j3k0/crm-cli.git,Customer Relationship Management from your Terminal,,21
8,https://github.com/karlkori/Simple-CRM.git,very simple Customer Relationship Management system,,15
9,https://github.com/Parbhat/CRM.git,"Customer Relationship Management (CRM) Software made with Swing, JDBC, MySQL",,15
10,https://github.com/tigranv/CRM_Project_C.git,Simple Customer Relationship Management Project (CRM for BetConstruct Internship),,14
11,https://github.com/commonality/archetypes.git,"䷴ Universal, rule-based business collaboration APIs for e-commerce and customer relationship management (CRM).","business,business-archetypes,crm,customer-relationship-management,inventory,money,order,party,party-relationship,product,rule,rules,rule-engine,archetype-pattern,archetype-patterns,swagger-codegen,swagger-ui,mda",13
12,https://github.com/narekye/CRM.git,"{""Customer Relationship Management back-end side sample. CRM is an approach to managing a company's interaction with current and potential customers.""}","crm,crm-sdk,rest-api,entity-framework,backend,database-management,webapi-2",13
13,https://github.com/realScipio/scippycrm.git,scippyCRM is a B2B Customer Relationship Management application built with Flask.,,12
14,https://github.com/aramzham/CRM_project_Bet_B.git,"Customer relationship management (CRM) describes all aspects of sales, marketing and service-related interactions that a company has with its customers or potential customers. Both business-to-consumer (B2C) and business-to-business (B2B) companies often use CRM systems to track and manage communications through the Web, email telephone, mobile apps, chat, social media and marketing materials.","crm,csharp,webapi,front-end",12
15,https://github.com/MohsenKoohi/BurgeATS.git,"An Open Source Customer Relationship Management System, Affairs Tracking System, and Ticketing & Messaging System based on BurgeCMF, and CodeIgniter",,10
16,https://github.com/julien-amar/crm-laravel.git,Customer Relationship Management system based on Laravel 4 framework (PHP),"laravel-framework,crm-platform",10
17,https://github.com/yuyuhan0306/Yelp_CRM_NLP.git,"Digged into negative reviews, conducted NLP techniques such as sentiment analysis, text processing, n-gram modeling and then created a real-time response chatbot to improve customer relationship management system.",,9
18,https://github.com/aniltimt/bearded-octo-adventure.git,"Insurance CRM Software for Sales & Marketing Automation, It is customer relationship management (CRM) software that automates insurance sales and marketing. For agencies, brokers, and independent agents.",,9
19,https://github.com/Concursive/concoursesuitecrm-community.git,Customer Relationship Management,,8
20,https://github.com/broadcastle/crm.git,A simple customer relationship management tool.,"go,golang,crm,cli",8
21,https://github.com/apideck-samples/crm.git,Customer relationship management tool built with the Apideck CRM API,"nextjs,react,typescript,tailwindcss,crm,api,integrations,sdk,samples",8
22,https://github.com/DamianMielcarek/CRM.git,Customer relationship management system,"spring-boot,mysql,spring-mvc,spring-data,spring-security",7
23,https://github.com/IamOmaR22/CRM--Django.git,"Customer Relationship Management using Django and SQLite. You can manage Customer, Product, Orders etc.","python,django,crm,profiles,python3,sqlite3",6
24,https://github.com/robingithubrobin/CoreCRM.git,A customer relationship management system written in ASP.NET Core.,,5
25,https://github.com/underscorenico/skeleton-ecrm-nodejs.git,Customer Relationship Management module skeleton in NodeJS,"nodejs,mongodb,crm,jwt,redis",5
26,https://github.com/gr8crm/gr8crm.github.io.git,GR8 CRM - Great Customer Relationship Management Plugins for the Grails Web Framework,,5
27,https://github.com/lucsedirae/open-house-crm.git,An open source customer relationship management application for real estate professionals,"crm,open-source,reactjs",5
28,https://github.com/ernsheong/ragged-wing-crm.git,"A Customer Relationship Management (CRM) application custom built for Ragged Wing Ensemble, a non-profit arts organization in the Bay Area. Project halted.",,5
29,https://github.com/healzer/PyCRM.git,"This repository is dedicated to solving various (complex) problems using software, primarily the Python programming language. More specifically business solutions to Customer Relationship Management (CRM), Client and Data Management. Some problems can be solved or automated using simple code snippets, while more complex issues involve machine learning (A.I.) approaches.","ocr,ocr-library,crm,customer-relationship-management,sales,marketing,bookkeeping,accounting,labeling,invoices",5
30,https://github.com/SkyScraperTwc/CrmSys.git,a customer relationship management system,"crm-system,mysql,struts2,spring,hibernate",4
31,https://github.com/HybirdCorp/creme_crm.git,Creme is a highly configurable free/open-source Customer Relationship Management designed with an entities/relationships architecture.,"crm,python,django",4
32,https://github.com/Namchee/wom-crm.git,Customer Relationship Management for Tugas Besar PBW + MIBD ,,4
33,https://github.com/rouzbeh-hatamy/CRM.git,customer relationship management,,4
34,https://github.com/cemistanbullu/CRM.git,customer relationship management system with cron_job,,4
35,https://github.com/lanbau/giantcrm.git,WDI Project 3: Ultimate Customer Relationship Management Tool,,4
36,https://github.com/narekye/diploma-octo.git,"Customer relationship management project, which includes back end side implemented with .NET Core, and front end side with Angular 7+.",,4
37,https://github.com/21tretiak0101/briana-crm.git,📈 Open source Client Relationship Management (CRM) system that allows a company to manage and analyze its own interactions with its past and current customers,"crm-system,spring,angular,aws-s3,aws-ecr,websocket,redis,docker,docker-compose,github-actions,nginx,spring-cloud",4
38,https://github.com/rishimaurya/MyCRM.git,MyCRM is Customer Relationship Management Software developed using PHP and Codeigniter Framework.,"php,codeigniter,codeigniter-framework,crm,customer-relationship-management,mycrm",3
39,https://github.com/nilerbarcelos/crm.git,"Aplicacão Desenvolvida durante o curso da e-genial de ROR, (Customer relationship management)",,3
40,https://github.com/yaron1m/violet.git,Customer Relationship Management System (CRM) tailor made to C-Point LTD,"crm,reactjs,firebase",3
41,https://github.com/Anant016/ReactNative-app2-CRM.git,"It is a Customer relationship management android app developed using react-native, and firebase as database.",,3
42,https://github.com/products-and-hacks/CRM-with-Google-Sheets-and-Redash.git,This project uses Google Sheets + Google Apps Script + Azure SQL Server + Redash for doing a doing a Customer Relationship Management (CRM).,"lowcode,productsandhacks,google-apps-script,products-and-hacks",3
