,Url,Description,Topics,Stars
0,https://github.com/harjot-oberai/MusicDNA.git,A Music Player for android that renders beautiful DNA(Visualization) of the currently playing music.,"android,music-player,visualizer,soundcloud",2681
1,https://github.com/google/deepvariant.git,DeepVariant is an analysis pipeline that uses a deep neural network to call genetic variants from next-generation DNA sequencing data.,"tensorflow,deep-neural-network,genomics,science,dna,sequencing,genome,bioinformatics,deep-learning,ngs,deepvariant,machine-learning",2261
2,https://github.com/Excel-DNA/ExcelDna.git,Excel-DNA - Free and easy .NET for Excel. This repository contains the core Excel-DNA library.,excel,771
3,https://github.com/pallada-92/dna-3d-engine.git,3d engine implementation in DNA code!,"dna,piperine,strand-displacement,chemical-reaction-networks,chemical-kinetics,chemical-reactions,in-vitro,molecular-programming,molecular-biology,biology,3d,3d-engine,cube,raymarching,real-reactive-programming",501
4,https://github.com/eleme/dna.git,"dna, dart native access. A lightweight dart to native super channel plugin, You can use it to invoke any native code directly in contextual and chained dart code.","dart,flutter,flutter-plugin,objcective-c,java",357
5,https://github.com/etal/cnvkit.git,Copy number variant detection from targeted DNA sequencing,,288
6,https://github.com/Edinburgh-Genome-Foundry/DnaFeaturesViewer.git,:eye: Python library to plot DNA sequence features (e.g. from Genbank files),"genbank,visualization,synthetic-biology,molecular-biology,bioinformatics,dna-visualization",283
7,https://github.com/VoigtLab/dnaplotlib.git,DNA plotting library for Python,,236
8,https://github.com/BenLangmead/ads1-notebooks.git,Copies of notebooks used in the practical sessions for Algorithms for DNA Sequencing,,234
9,https://github.com/davek44/Basset.git,Convolutional neural network analysis for predicting DNA sequence activity.,,202
10,https://github.com/BenLangmead/ads1-slides.git,Slides for Algorithms for DNA Sequencing Coursera class,,199
11,https://github.com/genome/bam-readcount.git,count DNA sequence reads in BAM files,,182
12,https://github.com/servalproject/serval-dna.git,"{""The Serval Project's core daemon that implements Distributed Numbering Architecture (DNA), MDP, VoMP, Rhizome, MeshMS, etc.""}",,164
13,https://github.com/marbl/MashMap.git,A fast approximate aligner for long DNA sequences,,154
14,https://github.com/codexgigassys/codex-backend.git,Codex Gigas malware DNA profiling search engine discovers malware patterns and characteristics assisting individuals who are attracted in malware hunting.,,152
15,https://github.com/assafshocher/InGAN.git,"Official code for the paper ""InGAN: Capturing and Retargeting the DNA of a Natural Image""",,150
16,https://github.com/uci-cbcl/DanQ.git,A hybrid convolutional and recurrent neural network for predicting the function of DNA sequences,,136
17,https://github.com/jenniferlu717/Bracken.git,Bracken (Bayesian Reestimation of Abundance with KrakEN) is a highly accurate statistical method that computes the abundance of species in DNA sequences from a metagenomics sample. ,,125
18,https://github.com/vixis/angularplasmid.git,DNA Plasmid Visualization Component using AngularJS,,120
19,https://github.com/al2na/methylKit.git,R package for DNA methylation analysis,"genome-biology,methylation,statistical-analysis,visualization",119
20,https://github.com/ShioCMS/shio.git,":sparkles: :dna: Shio CMS - Model Content, Use GraphQL and Create Site using Javascript with Native Cache and Search.","wcm,content-management-system,cms,java,spring-boot,javascript,angularjs,nashorn,viglet-shio,graphql,shio,headless-cms",118
21,https://github.com/TeamErlich/dna-fountain.git,DNA-Fountain,,117
22,https://github.com/CiscoDevNet/dne-dna-code.git,Provides code examples for DevNet Express DNA series,"learning-labs,devnet-express,cisco",114
23,https://github.com/Illumina/canvas.git,Canvas - Copy number variant (CNV) calling from DNA sequencing data,,109
24,https://github.com/lastz/lastz.git,"Program for aligning DNA sequences, a pairwise aligner.",,107
25,https://github.com/Wavestreaming/jquery-shoutcast.git,jQuery plugin to communicate with SHOUTcast DNAS v2 via JSON-P,,105
26,https://github.com/Edinburgh-Genome-Foundry/DnaChisel.git,:pencil2: A versatile DNA sequence optimizer,"sequence-design,dna-optimization,synthetic-biology,bioinformatics,synbio,codon-optimization",104
27,https://github.com/aidenlab/3d-dna.git,3D de novo assembly (3D DNA) pipeline,,100
28,https://github.com/crazyhottommy/DNA-seq-analysis.git,DNA sequencing analysis notes from Ming Tang,"somatic-mutations,cancer-genomes,genome-sequencing",98
29,https://github.com/neufeld/pandaseq.git,PAired-eND Assembler for DNA sequences,,95
30,https://github.com/Synbiota/GENtle2.git,GENtle2 - Web-Based DNA Editor for Synthetic Biology,,92
31,https://github.com/broadinstitute/ichorCNA.git,Estimating tumor fraction in cell-free DNA from ultra-low-pass whole genome sequencing.,"copy-number,low-coverage-sequencing,cell-free-dna",89
32,https://github.com/BjornFJohansson/pydna.git,"Data structures for double stranded DNA & simulation of homologous recombination, Gibson assembly, cut & paste cloning in Python and Jupyter notebooks.","bioinformatics,biopython,python,anaconda,dna,gel,jupyter-notebooks,biology,pydna,jupyter-notebook,gel-simulation,jupyter,gibson-assembly,cloning-strategies,gel-electrophoresis,assembly-strategies,simulation",87
33,https://github.com/whatnickcodes/dna.git,The DNA of Nicholas Cerminara,,85
34,https://github.com/CyberBiology/Genesis.git,Artificial life simulator - sea landscape with cells based on executable DNA,,85
35,https://github.com/apriha/lineage.git,tools for genetic genealogy and the analysis of consumer DNA test results,"dna,genes,genetics,genealogy,snps,chromosomes,genotype,bioinformatics,ancestry",85
36,https://github.com/cslarsen/arv.git,A fast 23andMe DNA parser and inferrer for Python,"23andme,dna,python,genome,bioinformatics,snpedia,snps",84
37,https://github.com/jerryji1993/DNABERT.git,DNABERT: pre-trained Bidirectional Encoder Representations from Transformers model for DNA-language in genome,"kmer,dnabert-model,kmer-format,gpu,sequence,genome,machine-learning,deep-learning,natural-language-processing,nlp",83
38,https://github.com/rmhubley/RepeatMasker.git,RepeatMasker is a program that screens DNA sequences for interspersed repeats and low complexity DNA sequences.,,82
39,https://github.com/CypherCove/DoubleHelix.git,A live wallpaper and daydream for Android featuring stylized glassy-looking DNA structures,"libgdx,android,daydream,livewallpaper",79
40,https://github.com/robertaboukhalil/fastq.bio.git,An interactive web tool for quality control of DNA sequencing data,"bioinformatics,genomics,sequencing,fastqc,webassembly,wasm",75
41,https://github.com/barricklab/breseq.git,breseq is a computational pipeline for finding mutations relative to a reference sequence in short-read DNA resequencing data. It is intended for haploid microbial genomes (<20 Mb). breseq is a command line tool implemented in C++ and R. More information at ,,75
42,https://github.com/chrovis/cljam.git,A DNA Sequence Alignment/Map (SAM) library for Clojure,"clojure,bioinformatics,genomics,sam,bam,vcf,bcf,fasta,2bit,bed,fastq,wig,bigwig,gff",74
43,https://github.com/AliView/AliView.git,"Software for aligning viewing and editing dna/aminoacid sequences, intuitive, fast and lightweight. Download and website:",,74
44,https://github.com/leifeld/dna.git,Discourse Network Analyzer (DNA),"content-analysis,network-analysis,discourse,policy-debates,text-annotation,text,network",73
45,https://github.com/orta/dna.git,my dna in raw text,,73
46,https://github.com/kennethreitz/context.git,"{""Raw dump of Kenneth Reitz's DNA Sequence, Ancestry, Genealogy, &c.""}","genome,human-genome,kennethreitz,23andme,promethease,geneology,gedcom,gedcom-files,ancestry,dna",73
47,https://github.com/Excel-DNA/Samples.git,Various sample projects and snippets related to Excel-DNA,,72
48,https://github.com/JonnyBanana/THE-BIOHACKING-BIBLE.git," :pill: :pill: :pill:  :pill: :pill: Lots of resources on the world of Biohacking, Genetic Editing, Biology, Bacteria, DNA, CRISPR, Cas9, Plasmids, Antibiotics, PCR, and moooreeeee...     :pill: :pill: :pill: :pill: :pill:   IN CELL WE TRUST!!!     :pill: :pill: :pill: :pill: :pill:   ",,70
49,https://github.com/Prinsphield/DNA-GAN.git,DNA-GAN: Learning Disentangled Representations from Multi-Attribute Images,"disentangled-representations,representation-learning,generative-adversarial-network,multi-attribute,image-manipulation",65
50,https://github.com/Lattice-Automation/seqviz.git,"DNA sequence viewer supporting custom, GenBank, FASTA, NCBI accession, and iGEM input.","reactjs,dna,igem,synthetic-biology,visualization,vector,plasmid",65
51,https://github.com/cbcrg/tcoffee.git,"A collection of tools for Multiple Alignments of DNA, RNA, Protein Sequence",,63
52,https://github.com/cschin/DCNet.git,DCNet\u200a—\u200aDenoising (DNA) Sequence With a LSTM-RNN and\xa0PyTorch & Neural DBG,,63
53,https://github.com/griffithlab/regtools.git,Integrate DNA-seq and RNA-seq data to identify mutations that are associated with regulatory effects on gene expression.,,63
54,https://github.com/20n/act.git,Computational synthetic biology: Predicting DNA edits for bioengineering,"synthetic-biology,deep-learning,bioengineering,data-mining,computational-synthetic-biology,fermentation,acetaminophen,biochemistry,reaction-operators,enzyme-function,metabolic-network,metabolic-engineering",62
55,https://github.com/sebhtml/ray.git,Ray -- Parallel genome assemblies for parallel DNA sequencing ,,61
56,https://github.com/WGLab/DeepMod.git,"DeepMod: a deep-learning tool for genomic-scale, strand-sensitive and single-nucleotide based detection of DNA modifications",,61
57,https://github.com/raphael-group/THetA.git,"Tumor Heterogeneity Analysis (THetA) and THetA2 are algorithms that estimate the tumor purity and clonal/subclonal copy number aberrations directly from high-throughput DNA sequencing data. This repository includes the updated algorithm, called THetA2.",,61
58,https://github.com/lh3/dna-nn.git,Model and predict short DNA sequence features with neural networks,"bioinformatics,genomics,deep-learning",60
59,https://github.com/beaumontlab/antonie.git,"Antonie is an integrated, robust, reliable and fast processor of DNA reads",,59
60,https://github.com/drio/dnaism.git,Horizon chart js library for DNA data.,,58
61,https://github.com/BGI-shenzhen/Reseqtools.git,A Toolkit for analyzing next-generation DNA Re-Sequencing data,,55
62,https://github.com/crazyhottommy/DNA-methylation-analysis.git,DNA methylation analysis notes from Ming Tang,dna-methylation,54
63,https://github.com/smithlabcode/methpipe.git,A pipeline for analyzing DNA methylation data from bisulfite sequencing.,,54
64,https://github.com/DanielBiegler/visualize-dna-sequences.git,Visualizing DNA Sequences via Javascript,"visualization,visual,dna,javascript,bootstrap,bootstrap4,html,html5,sequence,visualizing,visualizing-dna-sequences,canvas",52
65,https://github.com/nf-core/eager.git,A fully reproducible and state-of-the-art ancient DNA analysis pipeline,"nextflow,ancientdna,adna,pipeline,pathogen-genomics,population-genetics,nf-core,workflow,metagenomics,bioinformatics,genome,ancient-dna-analysis",51
66,https://github.com/lh3/ropebwt2.git,Incremental construction of FM-index for DNA sequences,"bioinformatics,fm-index",51
67,https://github.com/Superzchen/iLearn.git,"iLearn, a Python Toolkit and Web Server Integrating the Functionality of Feature Calculation, Extraction, Clustering, Feature Selection, Feature Normalization, Dimension Reduction and Model Construction for Classification, Best Model Selection, Ensemble Learning and Result Visualization for DNA, RNA and Protein Sequences.",,49
68,https://github.com/ncbi/BAMscale.git,BAMscale is a one-step tool for either 1) quantifying and normalizing the coverage of peaks or 2) generated scaled BigWig files for easy visualization of commonly used DNA-seq capture based methods.,,48
69,https://github.com/refresh-bio/DSRC.git,DSRC - DNA Sequence Reads Compressor,,47
70,https://github.com/OpenGene/CfdnaPattern.git,Pattern Recognition for Cell-free DNA,"cfdna,pattern,ngs,bioinformatics",47
71,https://github.com/mrzResearchArena/PyFeat.git,"A Python-based Effective Feature Generation Tool from DNA, RNA, and Protein Sequences","computational-biology,bioinformatics,genomics,proteomics",47
72,https://github.com/cosmo-team/cosmo.git,"Cosmo is a fast, low-memory DNA assembler using a Succinct (variable order) de Bruijn Graph.",,46
73,https://github.com/Griffan/VerifyBamID.git,VerifyBamID2: A robust tool for DNA contamination estimation from sequence reads using ancestry-agnostic method.,"genetics,dna-sequences,qc-analysis,contamination,bioinformatics,biostatistics,bam,cram",45
74,https://github.com/CiscoDevNet/devnet-express-code-samples.git,Archived: This repository holds code samples for DevNet Express DNA Track,"devnet-express,python,networking,cisco,learning-labs",44
75,https://github.com/mengqvist/DNApy.git,Code for DNA plasmid editing.,,43
76,https://github.com/brettc/partitionfinder.git,PartitionFinder discovers optimal partitioning schemes for DNA sequences.,,43
77,https://github.com/lorarjohns/DNA_pandas_selenium.git,Webscraping and data analysis of DNA with pandas and Selenium,,43
78,https://github.com/RWilton/Arioc.git,Arioc:  GPU-accelerated DNA short-read alignment,"bioinformatics,genomics,read-aligners,sequence-alignment,dna-sequence-alignment,gpu,bisulfite-sequencing,methylation",43
79,https://github.com/samuell/gccontent-benchmark.git,Benchmarking different languages for a simple bioinformatics task (Counting the GC fraction of DNA in a FASTA file),"bioinformatics,benchmarking,programming-languages",42
80,https://github.com/TailorDev/franklin.git,:pencil2: Our DNA sequence annotation tool.,,41
81,https://github.com/kipoi/kipoiseq.git,Standard set of data-loaders for training and making predictions for DNA sequence-based models.,,41
82,https://github.com/boscoh/jolecule.git,Javascript viewer for proteins and DNA with animated views,,39
83,https://github.com/lightdock/lightdock.git,"Protein-protein, protein-peptide and protein-DNA docking framework based on the GSO algorithm","protein,protein-structure,protein-protein-interaction,protein-docking,swarm-intelligence,glowworm-swarm-optimization,protein-dna-interactions,peptides,dna,docking,artificial-intelligence,protein-design,proteomics,structural-biology,structural-bioinformatics,bioinformatics,bioinformatics-tool,chemistry,molecular-biology,molecular-structures",39
84,https://github.com/bjpop/rubra.git,Infrastructure code to support DNA pipeline,,37
85,https://github.com/loblao/libpandadna.git,"{""A parser for Disney's DNA files. It focus primarily on Toontown's DNA.""}",,36
86,https://github.com/Benson-Genomics-Lab/TRF.git,Tandem Repeats Finder: a program to analyze DNA sequences,,36
87,https://github.com/uio-cels/NucDiff.git,In-depth characterization and annotation of differences between two sets of DNA sequences,,36
88,https://github.com/Scorpio-y/RGB-Image-encryption-based-on-chaotic-system-and-DNA-algorithm.git,基于混沌系统和DNA编码的彩色数字图像加密、解密、抗噪声性能分析以及抗裁剪性能分析,,36
89,https://github.com/Excel-DNA/Registration.git,Registration helpers for Excel-DNA,,35
90,https://github.com/shendurelab/cfDNA.git,Analysis of epigenetic signals captured by fragmentation patterns of cell-free DNA,,35
91,https://github.com/ekg/wfmash.git,base-accurate DNA sequence alignments using WFA and mashmap2,,35
92,https://github.com/ratschlab/metagraph.git,"Scalable annotated de Bruijn graphs for DNA indexing, alignment, and assembly","graph,dna,differential-assembly,search-index,alignment,metagenomics,sequence-assembly",35
93,https://github.com/schmeing/ReSeq.git,More realistic simulator for genomic DNA sequences from Illumina machines that achieves a similar k-mer spectrum as the original,,35
94,https://github.com/smortezah/smashpp.git,Find and visualize rearrangements in DNA sequences,"rearrangements,high-throughput-sequencing,alignment-free,genome-compression,visualization,dna-sequences",34
95,https://github.com/opencb/hpg-aligner.git,HPG Aligner is an ultrafast and highly sensitive Next-Generation Sequencing (NGS) mapper which supoprts both DNA and RNA alignment,,34
96,https://github.com/KHP-Informatics/DNAscan.git,"DNAscan is a fast and efficient bioinformatics pipeline that allows for the analysis of DNA Next Generation sequencing data, requiring very little computational effort and memory usage.","ngs,next-generation-sequencing,pipeline,workflow",34
97,https://github.com/troglobit/libite.git,"{""That missing frog DNA you've been looking for""}","generic-functions,helper-macro,frog-dna,isc,mit-license,openbsd-functions,utility-library",33
98,https://github.com/FogNo23/DNASrep.git,DNAS replacement server,,32
99,https://github.com/shubhamjha97/hierarchical-clustering.git,A Python implementation of divisive and hierarchical clustering algorithms. The algorithms were tested on the Human Gene DNA Sequence dataset and dendrograms were plotted.,"clustering,dendrogram,hierarchical-clustering,agglomerative-clustering,divisive-clustering,data-mining,data-mining-algorithms",32
100,https://github.com/grcasanova/SuperVirus.git,"Project aimed at creating a malware able to evolve and adapt to the various host machines through metamorphic modifications, spontaneous mutations, code imitation and DNA programming to enable/disable functionalities",,31
101,https://github.com/richarddurbin/modimizer.git,a toolset for fast DNA read set matching and assembly using a new type of reduced kmer,,31
102,https://github.com/IQTLabs/squiggle.git,📈 DNA Sequence Visualization for Humans,"dna,visualization",30
103,https://github.com/sestaton/HMMER2GO.git,Annotate DNA sequences for Gene Ontology terms,"hmmer,gene,orfs,gene-annotation",30
104,https://github.com/ekg/edyeet.git,base-accurate DNA sequence alignments using edlib and mashmap2,,30
105,https://github.com/ihh/dart.git,"DNA, Amino Acid and RNA Tests",,29
106,https://github.com/allanino/DNA.git,A python script to encode/decode arbitrary computer files into DNA sequences.,,29
107,https://github.com/xuwd11/Coursera-Bioinformatics.git,"My solution to Bioinformatics Specialization (Finding Hidden Messages in DNA; Genome Sequencing; Comparing Genes, Proteins, and Genomes; Molecular Evolution; Genomic Data Science and Clustering; Finding Mutations in DNA and Proteins; Bioinformatics Capstone: Big Data in Biology)","coursera,bioinformatics,python",29
108,https://github.com/yuchaojiang/CODEX2.git,Full-spectrum copy number variation detection by high-throughput DNA sequencing,,29
109,https://github.com/OpenToontownTools/OpenLevelEditor.git,"{""An open sourced modernized version of Disney's in-house Toontown Online level editor used to create .dna files.""}","toontown,toontown-online,dna-files,panda,panda3d,panda3d-game-engine,panda3d-editor,toontown-offline,corporate-clash,toontown-corporate-clash,toontownleveleditor,toontown-level-editor",29
110,https://github.com/kundajelab/ChromDragoNN.git,"Code for the paper ""Integrating regulatory DNA sequence and gene expression to predict genome-wide chromatin accessibility across cellular contexts""","genomics,epigenetics,deep-learning,chromatin-accessibiity,gene-regulation",29
111,https://github.com/KirillKryukov/naf.git,Nucleotide Archival Format - Compressed file format for DNA/RNA/protein sequences,"compression,file-format,dna,rna,protein,fasta,fastq",29
112,https://github.com/KingandWoodMallesonsAU/Project-DnA.git,Project DnA is about creating an architecture for smart contracts based on the principle that both digital terms and analogue terms should be integrated into a contract so that it is both easily administered and infinitely expressive,,29
113,https://github.com/perishky/meffil.git,Efficient algorithms for analyzing DNA methylation data.,,28
114,https://github.com/caballero/SeqComplex.git,Algorithms to compute DNA complexity,,28
115,https://github.com/slzhao/QC3.git,"QC3, a quality control tool designed for DNA sequencing data for raw data, alignment, and variant calling.",,28
116,https://github.com/aradenbaugh/radia.git,RADIA:  RNA and DNA Integrated Analysis for Somatic Mutation Detection,,27
117,https://github.com/Excel-DNA/WiXInstaller.git,Template project for a WiX-based installer for an Excel-DNA add-in,,27
118,https://github.com/ginolhac/mapDamage.git,mapDamage: tracking and quantifying damage patterns in ancient DNA sequences,"ancient-dna-sequences,ngs,python,r",27
119,https://github.com/stuckinaboot/iGenomics.git,The first app for Mobile DNA Sequence Alignment and Analysis,"dna-sequencing,genomes,nanopore-sequencing,ios,obj-c,dropbox",27
120,https://github.com/YangJianshun/LINKVIEW.git,DNA序列比对结果 可视化展示工具,,27
121,https://github.com/kieranrcampbell/clonealign.git,Bayesian inference of clone-specific gene expression estimates by integrating single-cell RNA-seq and single-cell DNA-seq data,"single-cell,gene-expression,cancer-genomics",27
