,Url,Description,Topics,Stars
0,https://github.com/ColorlibHQ/AdminLTE.git,AdminLTE - Free admin dashboard template based on Bootstrap 4,"bootstrap,admin-dashboard,admin,admin-template,admin-panel",38552
1,https://github.com/tabler/tabler.git,Tabler is free and open-source HTML Dashboard UI Kit built on Bootstrap,"dashboard,html,bootstrap,sass,scss,boilerplate-template,admin-dashboard,dashboard-templates,modular,dashboards,themes,jekyll,css,adminpanel,bootstrap4-theme,uikit,ui-kit,bootstrap5,sponsors,html5",23402
2,https://github.com/akveo/ngx-admin.git,Customizable admin dashboard template based on Angular 10+,"webpack,bootstrap4,admin,admin-dashboard,dashboard,framework,typescript,responsive,sass,ng2,admin-ui,angular2,ng2-admin,ngx-admin,theme,admin-template,material-theme,angular9,angular-dashboard-template,angular10",22578
3,https://github.com/ColorlibHQ/gentelella.git,Free Bootstrap 4 Admin Dashboard Template,"bootstrap,dashboard,admin-dashboard,html,html-template,colorlib",20132
4,https://github.com/getredash/redash.git,"Make Your Company Data Driven. Connect to any data source, easily visualize, dashboard and share your data.","redash,python,visualization,analytics,bi,redshift,bigquery,athena,mysql,postgresql,dashboard,javascript,business-intelligence,databricks,spark,spark-sql,hacktoberfest",18707
5,https://github.com/yaronn/blessed-contrib.git,Build terminal dashboards using ascii/ansi art and javascript,,14251
6,https://github.com/FormidableLabs/webpack-dashboard.git,A CLI dashboard for webpack dev server,"webpack,dashboard,devtools,dx,cli,webpack-dashboard,cli-dashboard,socket-communication",13782
7,https://github.com/wtfutil/wtf.git,The personal information dashboard for your terminal,"golang,dashboard,terminal,tui,cui,go,devops,wtf,wtfutil",12429
8,https://github.com/Shopify/dashing.git,The exceptionally handsome dashboard framework in Ruby and Coffeescript.,,11117
9,https://github.com/gizak/termui.git,Golang terminal dashboard,,10912
10,https://github.com/keen/dashboards.git,Responsive dashboard templates 📊✨,"dashboard,templates,keen-io,analytics,analytics-dashboard,charts,grid,css-grid,css-grid-layout,css-grid-template",10872
11,https://github.com/d2-projects/d2-admin.git,An elegant dashboard,"vue,admin,element-ui,axios,vuex,vue-cli,vue-cli3,element,vue-admin,admin-template,mock,admin-dashboard,desktop,management-system,webpack,i18n,dashboar,xlsx,csv,fontawesome",10431
12,https://github.com/creativetimofficial/material-dashboard.git,Material Dashboard - Open Source Bootstrap 4 Material Design Admin,"bootstrap-material,material-dashboard,creative-tim,material-design,material-ui,material-theme,bootstrap-4,bootstrap4,bootstrap-theme,admin,admin-dashboard,admin-template",9701
13,https://github.com/afaqurk/linux-dash.git,A beautiful web dashboard for Linux,"linux,dashboard,monitoring,server,web,ui,linux-dash",9540
14,https://github.com/aksakalli/gtop.git,System monitoring dashboard for terminal,,8454
15,https://github.com/Freeboard/freeboard.git,"A damn-sexy, open source real-time dashboard builder for IOT and other web mashups. A free open-source alternative to Geckoboard.",,6102
16,https://github.com/ankane/pghero.git,A performance dashboard for Postgres,,5933
17,https://github.com/notwaldorf/tiny-care-terminal.git,"{""💖💻 A little dashboard that tries to take care of you when you're using your terminal.""}",,5860
18,https://github.com/alexazhou/VeryNginx.git," A very powerful and friendly  nginx base on lua-nginx-module( openresty ) which provide WAF, Control Panel, and Dashboards. ",,5600
19,https://github.com/zouhir/jarvis.git,A very intelligent browser based Webpack dashboard,"webpack,dashboard,build-tool",5400
20,https://github.com/thoughtbot/administrate.git,A Rails engine that helps you put together a super-flexible admin dashboard.,"ruby,rails,admin-dashboard",5101
21,https://github.com/fdehau/tui-rs.git,Build terminal user interfaces and dashboards using Rust,"dashboard,tui,terminal,rust",4962
22,https://github.com/invertase/rdash-angular.git,AngularJS implementation of the RDash admin dashboard theme,,4752
23,https://github.com/knadh/listmonk.git,"High performance, self-hosted newsletter and mailing list manager with a modern dashboard. Single binary app.","email-marketing,newsletter,newsletter-management,mailing-list,smtp,self-hosted,email-campaigns,listmonk,email-subscription,campaign-management,campaign,sms-gateway,fcm-messaging",4659
24,https://github.com/FormidableLabs/nodejs-dashboard.git, Telemetry dashboard for node.js apps from the terminal!,"nodejs,telemetry,monitoring",3902
25,https://github.com/gridstack/gridstack.js.git,Build interactive dashboards in minutes.,"gridstack,gridstackjs,dashboards",3703
