,Url,Description,Topics,Stars
0,https://github.com/trekhleb/javascript-algorithms.git,📝 Algorithms and data structures implemented in JavaScript with explanations and links to further readings,"javascript,algorithms,algorithm,javascript-algorithms,computer-science,interview,data-structures,interview-preparation",106888
1,https://github.com/d3/d3.git,"Bring data to life with SVG, Canvas and HTML. :bar_chart::chart_with_upwards_trend::tada:",visualization,96781
2,https://github.com/redis/redis.git,"Redis is an in-memory database that persists on disk. The data model is key-value, but many different kind of values are supported: Strings, Lists, Sets, Sorted Sets, Hashes, Streams, HyperLogLogs, Bitmaps.",,48838
3,https://github.com/protocolbuffers/protobuf.git,"{""Protocol Buffers - Google's data interchange format""}","protobuf,protocol-buffers,protocol-compiler,protobuf-runtime,protoc,serialization,marshalling,rpc",47842
4,https://github.com/apache/echarts.git,"Apache ECharts is a powerful, interactive charting and data visualization library for browser","echarts,data-visualization,charts,charting-library,visualization,apache,data-viz,canvas,svg",46340
5,https://github.com/grafana/grafana.git,"The open and composable observability and data visualization platform. Visualize metrics, logs, and traces from multiple sources like Prometheus, Loki, Elasticsearch, InfluxDB, Postgres and many more. ","grafana,monitoring,analytics,metrics,influxdb,prometheus,elasticsearch,alerting,data-visualization,go,dashboard,business-intelligence,mysql,postgres,hacktoberfest",41485
6,https://github.com/minimaxir/big-list-of-naughty-strings.git,The Big List of Naughty Strings is a list of strings which have a high probability of causing issues when used as user-input data.,,40386
7,https://github.com/apache/superset.git,Apache Superset is a Data Visualization and Data Exploration Platform,"superset,apache,apache-superset,data-visualization,data-viz,analytics,business-intelligence,data-science,data-engineering,asf,bi,business-analytics,data-analytics,data-analysis,python,react,sql-editor,flask",38458
8,https://github.com/etcd-io/etcd.git,Distributed reliable key-value store for the most critical data of a distributed system,"etcd,raft,distributed-systems,kubernetes,go,database,key-value,consensus,distributed-database",35804
9,https://github.com/Marak/faker.js.git,generate massive amounts of realistic fake data in Node.js and the browser,"faker,fake,faker-generator,mocking,mocks,fake-content,fake-data,javascript",31963
10,https://github.com/danielmiessler/SecLists.git,"{""SecLists is the security tester's companion. It's a collection of multiple types of lists used during security assessments, collected in one place. List types include usernames, passwords, URLs, sensitive data patterns, fuzzing payloads, web shells, and many more.""}",,31439
11,https://github.com/immutable-js/immutable-js.git,Immutable persistent data collections for Javascript which increase efficiency and simplicity.,,30993
