,Url,Description,Topics,Stars
0,https://github.com/dcos/dcos.git,DC/OS - The Datacenter Operating System ,"dcos,mesos,python,package-manager,marathon,mesos-dns,docker,cluster,dcos-testing-guild",2290
1,https://github.com/joyent/triton.git,Joyent Triton DataCenter: a cloud management platform with first class support for containers.,,1175
2,https://github.com/erpc-io/eRPC.git,Efficient RPCs for datacenter networks,,511
3,https://github.com/ejrv/VPNs.git,List of datacenter & VPN IP addresses,,249
4,https://github.com/dcos/dcos-ui.git,The UI for The Datacenter Operating System,"dcos-ux-guild,dcos",247
5,https://github.com/facebookarchive/puewue-frontend.git,"{""The front-end to a simple application that displays Facebook's datacenter power consumption and other information.""}",,170
6,https://github.com/yonch/fastpass.git,A datacenter network framework that aims for high utilization with zero queueing. A logically centralized arbiter controls and orchestrates all network transfers.,,145
7,https://github.com/blrchen/azure-speed-test.git,"Azure speed test tool. Test your network latency, download and upload speed to Azure datacenters around the world.","azure-latency-test,azure-upload-speed-test,azure-download-speed-test,azure-speed-test,azure-datacenters",144
8,https://github.com/timperrett/hashpi.git,"Rasberry Pi cluster running Hashicorp datacenter infrastructure (nomad, vault, consul)",,129
9,https://github.com/facebookarchive/puewue-backend.git,"{""The back-end to a simple application that displays Facebook's datacenter power consumption and other information.""}",,113
10,https://github.com/axsh/wakame-vdc.git, Datacenter Hypervisor - Open Source Cloud Computing / IaaS,"iaas,cloud-computing,ruby",110
11,https://github.com/FengcunLi/CloudSimPy.git,CloudSimPy: Datacenter job scheduling simulation framework,"cloud,reinforcement-learning,job-scheduling-algorithm,datacenter,schedule",88
12,https://github.com/WukLab/LITE.git,LITE Kernel RDMA Support for Datacenter Applications. SOSP 2017.,"rdma,linux-kernel-module,verbs",85
13,https://github.com/tiglabs/openjdos.git,openjdos: a kubernetes-based datacenter operating system,"kubernetes,cloud-native",81
14,https://github.com/g0t4/consul-getting-started.git,This is a sample repo of examples for getting started with Consul. It even includes a multi datacenter example with 14 VMs to allow you to simulate failures in a multi DC environment!,,75
15,https://github.com/brunocascio/better-digital-ocean-datacenter.git,"{""Calculates average ping metric for different digitalocean's datacenters""}","digital-ocean-datacenter,digitalocean-datacenters,metrics",72
16,https://github.com/wlloyd/eiger.git,"A research fork of cassandra that provides causal+ consistency, read-only transaction, and write-only transaction across all the servers in each datacenter.",,70
17,https://github.com/vmware/nsx-t-datacenter-ci-pipelines.git,CI pipelines for VMware NSX-T Datacenter,,68
18,https://github.com/tailhook/ciruela.git,A peer-to-peer synchronization software for servers in datacenters.,"p2p,file,synchronization,filesync,peer-to-peer",61
19,https://github.com/microsoft/dcmkit.git,Datacenter Migration Program Kit,,53
20,https://github.com/baifendian/Sirius.git,Cluster dashboard for datacenter clusters,,43
21,https://github.com/shenango/caladan.git,Interference-aware CPU scheduling that enables performance isolation and high CPU utilization for datacenter servers,,43
22,https://github.com/dcgym/iroko.git,A platform to test reinforcement learning policies in the datacenter setting.,"emulator,openai-gym,reinforcement-learning,network,congestion-control,datacenter,tcp,machine-learning,traffic-engineering",40
23,https://github.com/marcomontalbano/speedtest-for-digitalocean.git,Run speed tests for all DigitalOcean datacenters faster than ever.,"fastest,speedtest,speed-test,digitalocean,datacenter,ping,codeship",40
24,https://github.com/nets-cs-pub-ro/NDP.git,NDP datacenter stack,,39
25,https://github.com/pku-finelab/ColocationSim.git,ColocationSim: Simulate Colocation Datacenter in a Fine Granularity with Microservices and Interference Modeling,,38
26,https://github.com/atlarge-research/opendc.git,Collaborative Datacenter Simulation and Exploration for Everybody.,"simulator,datacenter,tu-delft,data-center,opendc,vu-amsterdam,cloud-computing,big-data,serverless",31
27,https://github.com/arjitc/DCIMStack.git,Datacenter Inventory Management System,,26
28,https://github.com/oVirt/ovirt-ansible-infra.git,"Ansible role to deploy oVirt datacenter infrasctructure including clusters, hosts, storages and networks.",,24
29,https://github.com/jivco/cassandra-nginx-cdn.git,Some config files and POC code to use Apache Cassandra as distributed storage for HLS chunks accross multiple datacenters and scripts for converting/transcoding UDP MPEG-TS to HLS and vice versa. The idea is take from Globo.com’s Live Video Platform for FIFA World Cup ’14.,"nginx,openresty,nginx-proxy,lua,dvr,iptv,hls,hls-stream,hls-live-streaming,cassandra-database,apache-cassandra,cassandra,transcoding,ffmpeg,cdn",24
30,https://github.com/joyent/conch-api.git,Datacenter build and management service,,22
31,https://github.com/shreyakupadhyay/SDN-Datacenter.git,Making a software defined datacenter. Which includes various virtual networks with mutiple network functions deployed on it. This includes SDN network deployed on real hardware. ,"raspberry-pi,ovs,bridge,sdn,ovs-installation,virtual-network,network-topology",22
32,https://github.com/davidjonas/unCloud.git,"The internet has become an increasingly disputed space. Governments want to regulate it and internet providers want to restrict access to parts of it. To help us remember that the internet can exist without governments, we have created unCloud. unCloud is an application that enables anyone with a laptop to create an open wireless network and distribute their own information. Once it is launched, a passerby using a mobile internet device can connect to this open wireless network. The person running the application can decide what information is shown in any web address. Users can access information wirelessly while at the same time remain disconnected from the internet. unCloud does not depend on a remote datacenter, instead it can be run from a laptop, making it an ideal application to run in a train or at a café.",,22
33,https://github.com/microsoft/Project_Natick_Analysis.git,GitHub Repository for Blogpost: Monitoring environmental conditions near underwater datacenters using Deep Learning,"artificial-intelligence,underwater-images,object-detection",21
34,https://github.com/bee42/kubernetes-on-embedded.git,Build your on kubernetes datacenter with hybrid embedded devices,,21
35,https://github.com/theforeman/foreman_datacenter.git,This plugin lets you document your physical servers across multiple datacenters,,20
36,https://github.com/alexellis/datacenter-sensor.git,Sensors for the datacenter to protect against intruders and high temperatures,,20
37,https://github.com/omartin2010/AzureRange.git,Generates Complementary Subnets of Azure Datacenter IP Ranges,,19
38,https://github.com/judge2020/cloudflare-connectivity-test.git,Test the current network congestion of Cloudflare based on datacenter routing,,19
39,https://github.com/ntu-dsi-dcn/ntu-dsi-dcn.git,The official open source ns-3 simulation framework for datacenter network architectures,"ntu-dsi-dcn,ns-3,simulation-framework,simulation-codes,datacenter,network,architectures",16
40,https://github.com/Molkobain/itop-datacenter-view.git,"Extension for iTop: Easily manage & visualize your racks, enclosures and datacenter devices.","itop,itop-extension,cmdb,ux,itop-module,datacenter,rack,racktables,rackmonkey,enclosure",16
41,https://github.com/cogolabs/slackipmi.git,Reboot datacenter nodes over Slack,"slack,ipmi,linux,slack-bot,lights-out,golang,bare-metal",15
