,Url,Description,Topics,Stars
0,https://github.com/donnemartin/system-design-primer.git,Learn how to design large-scale systems. Prep for the system design interview.  Includes Anki flashcards.,"programming,development,design,design-system,system,design-patterns,web,web-application,webapp,python,interview,interview-questions,interview-practice",131144
1,https://github.com/mui-org/material-ui.git,"Material-UI is a simple and customizable component library to build faster, beautiful, and more accessible React applications. Follow your own design system, or start with Material Design.","react-components,react,javascript,material-design,design-systems,typescript,hacktoberfest",68158
2,https://github.com/iluwatar/java-design-patterns.git,Design patterns implemented in Java,"java,principles,design-patterns,awesome-list,snippets,snippets-collection,snippets-library,hacktoberfest",65813
3,https://github.com/google/material-design-icons.git,Material Design icons by Google,"material,material-design,icons,sprites,ios,android,web",42808
4,https://github.com/Dogfalo/materialize.git,"Materialize, a CSS Framework based on Material Design","design,css,framework,javascript,material-design,material,css-framework",38471
5,https://github.com/google/material-design-lite.git,Material Design Components in HTML/CSS/JS,"material-design,material-design-lite,mdl,material-components,material",31764
6,https://github.com/kamranahmedse/design-patterns-for-humans.git,An ultra-simplified explanation to design patterns,"design-patterns,architecture,software-engineering,engineering,principles,computer-science",30831
7,https://github.com/ant-design/ant-design-pro.git,👨🏻\u200d💻👩🏻\u200d💻 Use Ant Design like a Pro!,"antd,react,enterprise,boilerplate,admin,umi,dashboard,ant-design,antv",29089
8,https://github.com/faif/python-patterns.git,A collection of design patterns/idioms in Python,"python,idioms,design-patterns",28287
9,https://github.com/bradtraversy/design-resources-for-developers.git,"Curated list of design and UI resources from stock photos, web templates, CSS frameworks, UI libraries, tools and much more",,27963
10,https://github.com/ryanoasis/nerd-fonts.git,"Iconic font aggregator, collection, & patcher. 3,600+ icons, 50+ patched fonts: Hack, Source Code Pro, more. Glyph collections: Font Awesome, Material Design Icons, Octicons, & more","fonts,patched-fonts,powerline,shell,statusline,python,iconic-fonts,patcher,font-awesome,octicons,font,icon-font",27924
11,https://github.com/Tencent/weui.git,"A UI library by WeChat official design team, includes the most useful widgets/modules in mobile web applications.","weui,wechat,mobile-web,style",25647
12,https://github.com/cheeriojs/cheerio.git,"Fast, flexible, and lean implementation of core jQuery designed specifically for the server.","cheerio,jquery,htmlparser2,dom,htmlparser,selector,scraper,parser,html",23701
13,https://github.com/goabstract/Awesome-Design-Tools.git,The best design tools and plugins for everything 👉,"design,design-tools,ui-design,awesome-list,awesome,design-systems,animations,font-awesome",22881
14,https://github.com/Automattic/mongoose.git,MongoDB object modeling designed to work in an asynchronous environment.,,22626
15,https://github.com/zhangdaiscott/jeecg-boot.git,「企业级低代码平台」前后端分离架构SpringBoot 2.x，SpringCloud，Ant Design&Vue，Mybatis-plus，Shiro，JWT。强大的代码生成器让前后端代码一键生成，无需写任何代码! 引领新的开发模式OnlineCoding->代码生成->手工MERGE，帮助Java项目解决70%重复工作，让开发更关注业务，既能快速提高效率，帮助公司节省成本，同时又不失灵活性。,"spring-boot,ant-design,mybatis,vue,ant-design-vue,shiro,antd,mybatis-plus,jbpm,activiti,codegenerator,springcloud,jeecgboot,jeecg,springboot,flowable,low-code,spring,spring-cloud,admin",22487
16,https://github.com/Netflix/Hystrix.git,"Hystrix is a latency and fault tolerance library designed to isolate points of access to remote systems, services and 3rd party libraries, stop cascading failure and enable resilience in complex distributed systems where failure is inevitable.",,21489
17,https://github.com/angular/components.git,Component infrastructure and Material Design components for Angular,"angular,material-design,material,angular-components",21427
18,https://github.com/mdbootstrap/mdb-ui-kit.git,Bootstrap 5 & Material Design 2.0 UI KIT,"material-design,bootstrap-material,bootstrap,material,javascript,framework,bootstrap4,bootstrap5,css,material-design-for-bootstrap,html,uikit",20883
19,https://github.com/DesignPatternsPHP/DesignPatternsPHP.git,sample code for several design patterns in PHP 8,"designpatternsphp,php,design-patterns,design-pattern,oop,modern-php,code-examples,phpunit,php8",19597
20,https://github.com/elixir-lang/elixir.git,"Elixir is a dynamic, functional language designed for building scalable and maintainable applications",,18640
21,https://github.com/marmelab/react-admin.git,"A frontend Framework for building B2B applications running in the browser on top of REST/GraphQL APIs, using ES6, React and Material Design","material-ui,react,frontend-framework,rest,admin,admin-dashboard,single-page-app,admin-on-rest,react-admin",16779
22,https://github.com/angular/material.git,Material design for AngularJS,"angularjs-material,material-design,angularjs,javascript,lts",16703
23,https://github.com/microsoft/cascadia-code.git,"This is a fun, new monospaced font that includes programming ligatures and is designed to enhance the modern look and feel of the Windows Terminal.",,16407
24,https://github.com/Kong/insomnia.git,"The Open Source API Client and Design Platform for GraphQL, REST and gRPC","electron-app,rest-api,api-client,curl,http-client,graphql,api-design,api,grpc",16302
25,https://github.com/nickbutcher/plaid.git,An Android app which provides design news & inspiration as well as being an example of implementing material design.,,15990
26,https://github.com/material-components/material-components-web.git,Modular and customizable Material Design UI components for the web,"material-components,material-design,web,css,javascript",15495
27,https://github.com/tmrts/go-patterns.git,"Curated list of Go design patterns, recipes and idioms","go,idioms,patterns,awesome,golang,design-patterns,design-patterns-for-humans",15127
28,https://github.com/designmodo/Flat-UI.git,"Flat UI Free - Design Framework (html/css3/less/js). Flat UI is based on Bootstrap, a comfortable, responsive, and functional framework that simplifies the development of websites.",,14859
29,https://github.com/taosdata/TDengine.git,An open-source big data platform designed and optimized for the Internet of Things (IoT).,"iot,bigdata,time-series,database,industrial-iot,connected-vehicles,full-stack,monitoring",14852
30,https://github.com/checkcheckzz/system-design-interview.git,System design interview for IT companies,"interview,interview-questions,interview-preparation,design-systems,system,system-design",14409
31,https://github.com/vueComponent/ant-design-vue.git,🌈  An enterprise-class UI components based on Ant Design and Vue. 🐜,"vue,enterprise,css,ui-design,antd,ant-design,frontend,vuecomponent,ui,vue-antd,vue-antd-ui,react,ant,antd-vue,vue3",14326
32,https://github.com/source-foundry/Hack.git,A typeface designed for source code,"font,typeface,developer-tools,developer,ttf,web-fonts,hack",14178
33,https://github.com/knex/knex.git,"A query builder for PostgreSQL, MySQL and SQLite3, designed to be flexible, portable, and fun to use.","sql,knex,mysql,postgresql,sqlite3,javascript",14130
34,https://github.com/Tencent/weui-wxss.git,"A UI library by WeChat official design team, includes the most useful widgets/modules.","weui,wxss",13706
35,https://github.com/interagent/http-api-design.git,HTTP API design guide extracted from work on the Heroku Platform API,,13480
36,https://github.com/emilwallner/Screenshot-to-code.git,A neural network that transforms a design mock-up into a static website.,"keras,deep-learning,seq2seq,encoder-decoder,lstm,floydhub,machine-learning,cnn,cnn-keras,jupyter-notebook,jupyter",13309
37,https://github.com/froala/design-blocks.git,A set of 170+ Bootstrap based design blocks ready to be used to create clean modern websites.,"website-design,design-templates,designer,html5,bootstrap4,bootstrap-theme,html-template,material-design,modern-design",13217
38,https://github.com/fyne-io/fyne.git,Cross platform GUI in Go inspired by Material Design,"golang,gui,cross-platform,go,fyne,theme,hacktoberfest",13047
39,https://github.com/emotion-js/emotion.git,👩\u200d🎤 CSS-in-JS library designed for high performance style composition,"css-in-js,babel-plugin,react,reactjs,css,emotion",12985
40,https://github.com/gztchan/awesome-design.git,🌟Curated design resources,"design,ui,ux,creative,adobe,sketch,vector,graphics,awesome,curated,design-system,designer-news,podcast,font",12915
41,https://github.com/DovAmir/awesome-design-patterns.git,A curated list of software and architecture related design patterns.,"awesome,awesome-list,architecture,design-patterns,gof-patterns,microservices,cloud-computing,lists,resources",12840
42,https://github.com/ochococo/Design-Patterns-In-Swift.git,📖 Design Patterns implemented in Swift 5.0,"swift,design-patterns,good-practices,computer-science,gang-of-four,playground,swift-5",12632
43,https://github.com/alexpate/awesome-design-systems.git,💅🏻 ⚒ A collection of awesome design systems,"awesome-list,design-systems,pattern-library,ui-library,awesome,hacktoberfest",12576
44,https://github.com/material-components/material-components-android.git,Modular and customizable Material Design UI components for Android,"material-components,android,material-design",12297
45,https://github.com/zhihu/Matisse.git,:fireworks: A well-designed local image and video selector for Android,"android,android-library,android-image-picker,android-image-selector,video-selector",11954
46,https://github.com/hyperledger/fabric.git,Hyperledger Fabric is an enterprise-grade permissioned distributed ledger framework for developing solutions and applications. Its modular and versatile design satisfies a broad range of industry use cases. It offers a unique approach to consensus that enables performance at scale while preserving privacy.,"hyperledger,fabric,blockchain,distributed-ledger,consensus,confidentiality",11883
47,https://github.com/mikepenz/MaterialDrawer.git,"The flexible, easy to use, all in one drawer library for your Android project. Now brand new with material 2 design.","materialdrawer,drawer,java,navigation-drawer,android,material-design,drawerlayout,android-library,android-ui,drawer-support,material-ui,material-components,material-theme,android-development,mikepenz,hacktoberfest",11359
48,https://github.com/tensorflow/tensor2tensor.git,Library of deep learning models and datasets designed to make deep learning more accessible and accelerate ML research.,"machine-learning,machine-translation,deep-learning,reinforcement-learning,tpu",11246
49,https://github.com/nim-lang/Nim.git,"Nim is a statically typed compiled systems programming language. It combines successful concepts from mature languages like Python, Ada and Modula. Its design focuses on efficiency, expressiveness, and elegance (in that order of priority).","language,compiler,metaprogramming,macros,efficient,procedural,nim,hacktoberfest",11219
50,https://github.com/krasimir/react-in-patterns.git,A free book that talks about design patterns/techniques used while developing with React.,"react,data-flow,dependency,injection,patterns",10870
51,https://github.com/wenzhixin/bootstrap-table.git,"An extended table to integration with some of the most widely used CSS frameworks. (Supports Bootstrap, Semantic UI, Bulma, Material Design, Foundation, Vue.js)","bootstrap,table,pagination,checkbox,radio,datatables,css,css-framework,semantic-ui,bulma,material-design,materialize,foundation,semantic,material,vuejs,vuejs2,vue,bootstrap-table",10805
52,https://github.com/MaterialDesignInXAML/MaterialDesignInXamlToolkit.git,"{""Google's Material Design in XAML & WPF, for C# & VB.Net. ""}","c-sharp,material,xaml,theme,dragablz,design,material-design,wpf,hacktoberfest,hacktoberfest2020",10738
53,https://github.com/WebAssembly/design.git,WebAssembly Design Documents,,10608
54,https://github.com/primer/css.git,The CSS design system that powers GitHub,"sass,ui-components,framework,design-system,design-systems,primer,css,primer-css,meta,styleguide",10226
55,https://github.com/creativetimofficial/material-dashboard.git,Material Dashboard - Open Source Bootstrap 4 Material Design Admin,"bootstrap-material,material-dashboard,creative-tim,material-design,material-ui,material-theme,bootstrap-4,bootstrap4,bootstrap-theme,admin,admin-dashboard,admin-template",9701
56,https://github.com/imathis/octopress.git,Octopress is an obsessively designed framework for Jekyll blogging. It’s easy to configure and easy to deploy. Sweet huh?,,9407
57,https://github.com/rocky-linux/rocky.git,Rocky Linux is a community enterprise Operating System designed to be 100% bug-for-bug compatible with Enterprise Linux created in response to the effective discontinuation of CentOS.,"rocky,enterprise-linux",9361
58,https://github.com/vuematerial/vue-material.git,Material design for Vue.js,"vue,javascript,material,material-design,vue-material,hacktoberfest",9344
59,https://github.com/Templarian/MaterialDesign.git,✒5900+ Material Design Icons from the Community,"icons,svg,google-material,donations,webfonts,material-design,android,bootstrap",9052
60,https://github.com/tailwindlabs/headlessui.git,"Completely unstyled, fully accessible UI components, designed to integrate beautifully with Tailwind CSS.",,9000
61,https://github.com/chuzhixin/vue-admin-beautiful.git,"🚀🚀🚀vue3,vue3.0,vue,vue3.x,vue.js,vue后台管理,admin,vue-admin,vue-element-admin,ant-design，vue-admin-beautiful-pro,vab admin pro,vab admin plus主线版本基于element-plus、element-ui、ant-design-vue三者并行开发维护，同时支持电脑，手机，平板，切换分支查看不同的vue版本，element-plus版本已发布(vue3,vue3.0,vue,vue3.x,vue.js)程序无国界，但程序员有国界，中国国家尊严不容挑衅，如果您在特殊时期继续购买HM、耐克、阿迪达斯等品牌那么您将无权继续使用Vab","vue,vue-admin,element-ui,element,vuejs,admin,admin-dashboard,admin-template,adminlte,vue-template,vue3,ant-design,ant-design-vue,axios,vue-cli,element-plus,mock,vue3-composition-api,vue-element-admin,spring-boot",8924
62,https://github.com/react-toolbox/react-toolbox.git,"{""A set of React components implementing Google's Material Design specification with the power of CSS Modules""}","material-design,react,ui-kits,css-modules",8694
63,https://github.com/IBAnimatable/IBAnimatable.git,"Design and prototype customized UI, interaction, navigation, transition and animation for App Store ready Apps in Interface Builder with IBAnimatable.","interface-builder,animation,transition-animation,swift,ui-components,uikit,ios,prototyping,protocol-oriented",8529
64,https://github.com/roughike/BottomBar.git,(Deprecated) A custom view component that mimics the new Material Design Bottom Navigation pattern.,"android,material-design,bottom-navigation,library,java",8447
65,https://github.com/mdbootstrap/perfect-scrollbar.git,Minimalistic but perfect custom scrollbar plugin. Get more free components with Material Design for Bootstrap UI Kit (link below),"javascript,frontend,scrollbar-plugin",8366
66,https://github.com/zuiidea/antd-admin.git,An excellent front-end solution for enterprise applications built upon Ant Design and UmiJS,"antd,react,dva,mock,admin,dashboard",8284
67,https://github.com/museui/muse-ui.git,Material Design UI library for Vuejs 2.0,"muse-ui,material,vuejs2,vue2,vue",8263
68,https://github.com/florent37/MaterialViewPager.git,A Material Design ViewPager easy to use library,"material,android,viewpager,java,toolbar,scroll,parallax,kenburnsview,materialviewpager",8223
69,https://github.com/akveo/react-native-ui-kitten.git,:boom: React Native UI Library based on Eva Design System  :new_moon_with_face::sparkles:Dark Mode,"react,react-native,ui-kit",8166
70,https://github.com/vueComponent/ant-design-vue-pro.git,👨🏻\u200d💻👩🏻\u200d💻 Use Ant Design Vue like a Pro!   ,"antd,vue,vuex,admin,dashboard,css,antd-pro,ant-design,vue-admin",8075
71,https://github.com/tal-tech/go-zero.git,"{""go-zero is a web and rpc framework written in Go. It's born to ensure the stability of the busy sites with resilient design. Builtin goctl greatly improves the development productivity.""}","golang,microservice,architecture,rpc-framework,web-framework,gozero,rpc,restful-api,code-generation,go-zero,goctl",7974
72,https://github.com/callstack/react-native-paper.git,Material Design for React Native (Android & iOS),"react-native,material-design,ui-kit,hacktoberfest",7959
73,https://github.com/s0md3v/Photon.git,Incredibly fast crawler designed for OSINT.,"crawler,spider,python,osint,information-gathering",7831
74,https://github.com/chrisbanes/cheesesquare.git,Demos the new Android Design library.,,7830
75,https://github.com/terkelg/awesome-creative-coding.git,"Creative Coding: Generative Art, Data visualization, Interaction Design, Resources.","awesome,creative-coding,interaction-design,information-visualization,list,graphics-programming,awesome-list,generative-art,data-visualization,3d-graphics,webgl,art,design,shaders,resources,computer-graphics,programming-graphics",7773
