,Url,Description,Topics,Stars
0,https://github.com/ripienaar/free-for-dev.git,"A list of SaaS, PaaS and IaaS offerings that have free tiers of interest to devops and infradev",,46882
1,https://github.com/yeasy/docker_practice.git,"Learn and understand Docker technologies, with real DevOps practice!","docker,book,cloud-computing,container,kubernetes,swarm,mesos,spark,devops,linux",18637
2,https://github.com/meolu/walle-web.git,walle - 瓦力 Devops开源项目代码部署平台,"deployer,walle-web,python,git,devops,devops-tools,cd",10891
3,https://github.com/bregman-arie/devops-exercises.git,"Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP, DNS, Elastic, Network, Virtualization. DevOps Interview Questions","devops,aws,linux,ansible,python,docker,prometheus,containers,git,kubernetes,interview,interview-questions,terraform,azure,openstack,sql,coding,sre,production-engineer",8317
4,https://github.com/Leo-G/Data-Science-Wiki.git,"A wiki of  DataScience, Statistics, Maths, R,Python, AI, Machine Learning,  Automation, Devops Tools, Bash, Linux Tutorials, Scripts and Datasets",,4752
5,https://github.com/geerlingguy/ansible-for-devops.git,Ansible for DevOps examples.,"ansible,devops,vagrant,examples,jeff-geerling,book,leanpub,amazon,kindle,docker,playbook,kubernetes,aws",4546
6,https://github.com/chassing/linux-sysadmin-interview-questions.git,Collection of Linux Sysadmin/DevOps interview questions,,4069
7,https://github.com/Tikam02/DevOps-Guide.git, DevOps Guide from basic to advanced with Interview Questions and Notes 🔥,"cheatsheet,kubernetes,docker,devops,devops-cheatsheets,kubernetes-monitoring,networking,linux,ci-cd,containers,interview,python,grafana,ansible,jenkins,git,hacktoberfest2020,hacktoberfest,hacktoberfest-2020",3614
8,https://github.com/hygieia/Hygieia.git,CapitalOne  DevOps Dashboard,"devops,dashboard,hygieia,delivery-pipeline,visualization,continuous-delivery,continuous-deployment,continuous-integration",3608
9,https://github.com/theonedev/onedev.git,Super Easy All-In-One DevOps Platform,"git,devops,docker,kubernetes,continuous-integration,continuous-deployment,issue-tracker",3576
10,https://github.com/ovh/cds.git,Enterprise-Grade Continuous Delivery & DevOps Automation Open Source Platform,"continuous-delivery,continuous-integration,continuous-deployment,automation,devops,devops-workflow,golang,hacktoberfest",3381
11,https://github.com/guhongze/adminset.git,自动化运维平台：CMDB、CD、DevOps、资产管理、任务编排、持续交付、系统监控、运维管理、配置管理,"cmdb,devops,crontab,python,monitor,django,ops",2871
12,https://github.com/opendevops-cn/opendevops.git,CODO是一款为用户提供企业多混合云、一站式DevOps、自动化运维、完全开源的云管理平台、自动化运维平台,"demo,cmdb,crontab,task,itsm,devops,k8s,ci,cd,opendevops,tornado,vue,iview,docker,docker-compose,ansible,saltstack,ops",2682
13,https://github.com/bridgetkromhout/devops-against-humanity.git,DevOps Against Humanity,,1796
