,Url,Description,Topics,Stars
0,https://github.com/devrelcollective/awesome-devrel.git,Awesome Developer Relations resources curated by the DevRel Collective,"awesome-list,devrel,speaking-resources,cfps,awesome-lists",273
1,https://github.com/pwarocks/shinydemos.git,"Shiny Demos is a growing set of demos of the latest Open Web Standards, made by the Opera developer relations team.",,101
2,https://github.com/MurtzaM/Developer-Evangelist-Interview-Questions.git,"Interview questions to ask developer evangelist, developer advocate, developer relations, or partner engineer candidates.",,95
3,https://github.com/AlenToma/EntityWorker.Core.git,EntityWorker is an object-relation mapper(ORM) that enable .NET developers to work with relations data using objects. EntityWorker is an alternative to entityframwork. is more flexible and much faster than entity framework.,"entity-framework,database,orm,sqlclient,sqlite,postgresql",91
4,https://github.com/MicrosoftDocs/cloud-developer-advocates.git,Site content for the site listing the Cloud Advocacy team within Developer Relations at Microsoft.,,58
5,https://github.com/ricardoalcocer/AlloyAppTemplate.git,This repo was moved to  https://github.com/appcelerator-developer-relations/Template.Hierarchical-Navigation,,53
6,https://github.com/npm/devrel.git,anything developer relations at npm,,11
7,https://github.com/meilisearch/devrel.git,Anything Developer Relations at Meili,,10
8,https://github.com/Asana/devrel-examples.git,A place to share some examples from our Developer Relations team for commonly-asked-about workflows.,,9
9,https://github.com/heremaps/devrel-livestreams.git,Source code and resources related to the Developer Relations livestreams,,7
10,https://github.com/AlannaBurke/devrelresources.git,Developer Relations/Advocacy/Community Resources,,7
