,Url,Description,Topics,Stars
0,https://github.com/thingsboard/thingsboard.git,"Open-source IoT Platform - Device management, data collection, processing and visualization.","dashboard,visualization,iot,iot-platform,mqtt,coap,middleware,netty,akka,websockets,grpc,widgets,thingsboard,iot-analytics,spark,fleet-tracking,smart-farm,platform,kafka",8586
1,https://github.com/RaspAP/raspap-webgui.git,Simple wireless AP setup & management for Debian-based devices,"raspberry-pi,hostapd,rpi,iot,dnsmasq,wifi,lighttpd,debian,armbian,orangepi,wi-fi,raspap,raspberrypi",3014
2,https://github.com/mainflux/mainflux.git,Industrial IoT Messaging and Device Management Platform,"golang,iot-platform,edge-computing,distributed-systems,iot-cloud,iot-gateway,message-broker,mqtt,coap,web-socket,lorawan,opc-ua,iiot,lora,iot,internet-of-things,lwm2m,messaging,edge,telecom",1404
3,https://github.com/kaaproject/kaa.git,"Kaa Internet of Things platform for device management, data collection, analytics and visualization, remote control, software updates and more","iot,platform,embedded,kaa-platform",1274
4,https://github.com/micromdm/micromdm.git,Mobile Device Management server,"mdm,apple,micromdm,macadmins,macadmin",1262
5,https://github.com/inverse-inc/sogo.git,"SOGo is a very fast and scalable modern collaboration suite (groupware). It offers calendaring, address book management, and a full-featured Webmail client along with resource sharing and permission handling. It also makes use of documented standards (IMAP, CalDAV, CardDAV, etc.) and thereby provides native connectivity (without plugins) to many clients such as Microsoft Outlook, Apple iCal, the iPhone, Mozilla Lightning, and a plethora of mobile devices.","sogo,objective-c,groupware,angularjs-material",1064
6,https://github.com/inverse-inc/packetfence.git,"PacketFence is a fully supported, trusted, Free and Open Source network access control (NAC) solution. Boasting an impressive feature set including a captive-portal for registration and remediation, centralized wired and wireless management, powerful BYOD management options, 802.1X support, layer-2 isolation of problematic devices; PacketFence can be used to effectively secure networks small to very large heterogeneous networks.","nac,packetfence,network",861
7,https://github.com/nornir-automation/nornir.git,Pluggable multi-threaded framework with inventory management to help operate collections of devices,,815
8,https://github.com/sitewhere/sitewhere.git,"SiteWhere is an industrial strength open-source application enablement platform for the Internet of Things (IoT). It provides a multi-tenant microservice-based infrastructure that includes device/asset management, data ingestion, big-data storage, and integration through a modern, scalable architecture.  SiteWhere provides REST APIs for all system functionality.  SiteWhere provides SDKs for many common device platforms including Android, iOS, Arduino, and any Java-capable platform such as Raspberry Pi rapidly accelerating the speed of innovation.","sitewhere,internet-of-things,integration,device-management,iot,iot-platform,platform,mqtt,iot-framework,java,arduino,raspberry-pi,android,open-source,aws,kafka,zookeeper,microservices,kubernetes,helm",809
9,https://github.com/photonixapp/photonix.git,"A modern, web-based photo management server. Run it on your home server and it will let you find the right photo from your collection on any device. Smart filtering is made possible by object recognition, location awareness, color analysis and other ML algorithms.","photo,photography,django,javascript,react,web,gallery,management,python,tensorflow,object-detection,image-recognition,photo-manager,ml,ai,docker,docker-image,google-photos,storage",653
10,https://github.com/Netflix-Skunkworks/stethoscope-app.git,A desktop application that checks security-related settings and makes recommendations for improvements without requiring central device management or automated reporting.,security,433
11,https://github.com/gajus/scream.git,"Dynamic viewport management for mobile. Manage viewport in different states of device orientation. Scale document to fit viewport. Calculate the dimensions of the ""minimal"" iOS 8 view relative to your viewport width.",,292
12,https://github.com/mhogomchungu/zuluCrypt.git,zuluCrypt is a front end to cryptsetup and tcplay and it allows easy management of encrypted block devices,,282
13,https://github.com/IoTSharp/IoTSharp.git,"IoTSharp is an open-source IoT platform for data collection, processing, visualization, and device management.","visualization,iot-platform,iot-cloud,iotsharp,coap-server,docker",246
14,https://github.com/pnoker/iot-dc3.git," IOT DC3 is an open source, distributed Internet of Things (IOT) platform based on Spring Cloud. It is used for rapid development of IOT projects and management of IOT devices. It is a set of solutions for IOT system.","iot,spring-cloud,device-management,data-collection,multi-protocol,mqtt,rtsp,java,vue,docker,gateway,opc-ua,tcp,socket,plc,dcs,rpc,visualization,iot-dc3",222
15,https://github.com/shinpei0208/gdev.git,"First-Class GPU Resource Management: Device Drivers, Runtimes, and CUDA Compilers for Nouveau.",,177
16,https://github.com/IntergalacticPenguin/mobile-toolkit.git,📱 Shell scripts for Android and iOS device management,"android,ios,development,toolkit,adb,shell,terminal,capture-screen,uninstall,install,mobile-development,mobile,record,screenshot-utility,record-video,screenshots,video,simulators,emulators,hacktoberfest",168
17,https://github.com/VirgilSecurity/awesome-virgil.git,Key Management and Crypto Building Block for your App or Device.,"end-to-end-encryption,cryptography,gdpr,hipaa,awesome-list,e2ee,awesome-virgil-security,secure-the-future,securethefuture",149
18,https://github.com/openebs/node-disk-manager.git,Kubernetes Storage Device Management,"disk,kubernetes,storage,hacktoberfest",131
19,https://github.com/mleone/broadcast.git,An embedded ruby web application for remote Android device management. ,,129
20,https://github.com/multunus/onemdm-server.git,OneMDM is an open source Mobile Device Management (MDM) solution.,,125
